UID	set	resource	cell_line_name	time	2D_3D	stimuli	compound_name_1	dosage_1	compound_name_2	dosage_2	compound_name_3	dosage_3	compound_name_4	dosage_4
set101_25	set101	Michael Davies	SKMEL5	6hr			CONTROL							
set101_26	set101	Michael Davies	SKMEL5	6hr			CONTROL							
set101_57	set101	Michael Davies	SKMEL5	24hr			CONTROL							
set101_58	set101	Michael Davies	SKMEL5	24hr			CONTROL							
set101_103	set101	Michael Davies	UCSD354L	6hr			CONTROL							
set101_104	set101	Michael Davies	UCSD354L	6hr			CONTROL							
set101_149	set101	Michael Davies	UCSD354L	24hr			CONTROL							
set101_150	set101	Michael Davies	UCSD354L	24hr			CONTROL							
set101_195	set101	Michael Davies	C8161-P	6hr			CONTROL							
set101_196	set101	Michael Davies	C8161-P	6hr			CONTROL							
set101_241	set101	Michael Davies	C8161-P	24hr			CONTROL							
set101_242	set101	Michael Davies	C8161-P	24hr			CONTROL							
set101_273	set101	Michael Davies	WM1799	6hr			CONTROL							
set101_274	set101	Michael Davies	WM1799	6hr			CONTROL							
set101_319	set101	Michael Davies	WM1799	24hr			CONTROL							
set101_320	set101	Michael Davies	WM1799	24hr			CONTROL							
set101_365	set101	Michael Davies	WM1366	6hr			CONTROL							
set101_366	set101	Michael Davies	WM1366	6hr			CONTROL							
set101_411	set101	Michael Davies	WM1366	24hr			CONTROL							
set101_412	set101	Michael Davies	WM1366	24hr			CONTROL							
set101_457	set101	Michael Davies	CHL1	6hr			CONTROL							
set101_458	set101	Michael Davies	CHL1	6hr			CONTROL							
set101_489	set101	Michael Davies	CHL1	24hr			CONTROL							
set101_490	set101	Michael Davies	CHL1	24hr			CONTROL							
set101_535	set101	Michael Davies	SKMEL28	6hr			CONTROL							
set101_536	set101	Michael Davies	SKMEL28	6hr			CONTROL							
set101_581	set101	Michael Davies	SKMEL28	24hr			CONTROL							
set101_582	set101	Michael Davies	SKMEL28	24hr			CONTROL							
set101_627	set101	Michael Davies	WM3854	6hr			CONTROL							
set101_628	set101	Michael Davies	WM3854	6hr			CONTROL							
