"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set80_501",0.074709829,-0.076476269,-0.3185251065,0.113746492,2.5664323955,2.5606075275,1.2183044315,-0.0343730954999999,-0.597067245,-0.058468538,-0.150919647,2.5641610065,3.9984011765,1.939007666,0.248700317,0.667495056,0.245602459,0.48927563,0.357580206,0,0.1862264905,0,0.531002876,-0.5284351985,0.142085512,-1.638166985,0.279177002,0.04961189,0.423767123,-0.623478048,1.899804073,0.415834962,-0.036335029,-0.35972606,2.75543755,0,-0.119830353,-0.2754206525,0.161397439,1.692228434,0.450619714,-1.059419385,0.293271969,0.415797765,0.240170724,0.183531903,-0.5106598775,-1.0131083205,0.5531635205,-0.306532159,0.1360619225,0.238613142,-0.947035891,0.0238744415,-0.00474583050000002,0,0.28743126,0.222623072,0.60074325,0.263341159,1.549758563,-0.9879051105,-0.8465716085,-0.9759200775,1.9228791315,0.061643962,0.219823223,-0.2107323905,0,-0.09372536,0,-2.297765463,-0.28783187,0.430355689,-0.488826811,-0.0938671575,-0.254399277,4.317720986,0.0088427425,1.316728142,0,0.0383414245,0.908143185,1.731711589,0.411535738,0.193609013,-0.2383358515,-0.523819925,0.896049452,0.013896439,-0.161498656,0.414368294,1.782737238,0.930265429,0.258249198,0.581455834,-0.629403092,0.500703072,0.0211011565,-0.272003443,0.088773166,-0.579163585,-0.930741157,0.349323535,0.377392167,0.766118512,0.217001912,1.980025018,-0.9766201985,1.094307603,-2.179433385,1.023382391,0.046718837,-0.5917413195,-0.367841757,-0.044850386,1.121994474,-0.248444679,-0.1462787375,0.3559893705,0.4293652875,0.0892945785,-0.2012178095,0.407808416,-0.4633671105,-0.0100177459999999,0.88312372,-0.7027699685,-0.894526084,1.523545607,0.062680987,-0.082262689,0.1736816885,0.018424723,0.428379772,1.2386727965,0.000625081999999999,-0.107433017,0.046419722,0.06151547,-0.129934324,-0.8080064605,0,0.183522369,-0.3983215395,-0.063578201,-0.602957871,0.949391032,-0.1385509415,-0.1630561145,-0.373868773,0.056784404,0.3057771255,-2.4260297465,0,0,0,-0.029804003,-0.229523149,-0.107290886,-0.443454167,-0.0737410465,0.6200572515,-0.425040272,1.20770236,-0.246051572,-0.432989147,0.023961462,0,0.336589947,-0.916732026,-1.71309791,-0.00370573,-3.18122801,-0.549910844,-0.57977676,0.703697403,-0.738235407,-0.072407846,1.712577093,0,-2.492649139,0.037575405,-0.366913878,2.505305672,1.110629506,-0.1870459615,-0.083599495
"set80_500",0.035979585,-0.126320824,0.023331664,0.23204752,2.662675062,2.76574905,1.185067003,-0.020539739,-0.473031166,-0.07448787,-0.1788358055,3.1300773665,4.2293407265,1.919230386,0.445986546,0.6098885575,0.2126270525,0.598435098,-0.0829390184999999,0,0.3323074085,0,0.475309677,-0.1695443945,0.19963519,-1.1464422065,0.368251582,0.102996777,0.3750809185,-0.900018906,1.80131544,0.5251017145,-0.073955098,-0.2854662715,2.676161376,0,0.077034093,-0.0484110485,0.215496316,2.0266587975,0.6330443925,-0.976595969,0.21636335,0.440803614,0.187226807,-0.128272267,-0.692962217,-0.972484449,1.4195292005,-0.34198979,-0.1852429245,0.4043468255,0.114792202,0.277038269,0.018811403,0,0.2135267775,0.32312819,0.239973732,-0.100825443,1.5263867055,-1.148418431,-0.4522639315,-0.2662679445,2.0186210225,0.2955874945,0.23992244,-0.052152491,0,-0.15543234,0,-2.5935095845,-0.298461905,0.193171443,-0.459888418,-0.06867284,-0.283645828,4.4424038845,0.061938648,1.311808437,0,-0.140413739,0.6199438485,1.821426698,0.44700935,0.282355773,-0.0806014705,-0.603627125,1.2097889585,0.568563659,-0.161498656,0.3101286995,2.1777709325,0.953491642,0.143421636,1.4844846055,-0.2752858895,0.427005478,0.7229446835,0.007124259,0.1087122225,-0.51491415,-0.833818753,0.328755691,0.539479313,0.140689341,0.230879673,2.488578454,-0.5645651245,1.3510898205,-2.0359306805,0.9573442875,0.323102475,-0.475306054,-0.1498894845,-0.155583153,1.1011922795,-0.270172497,-0.154968057,0.414690388,0.660216699,0.1122126035,-0.3248328075,0.407808416,-0.4044782645,0.0513360965000001,1.304692055,-0.782317399,-0.839886626,1.812764154,0.036340875,6.33540000000155e-05,-0.0250663425000001,-0.051113997,0.656510144,1.1389620935,0.230376486,-0.029014763,0.1308770575,0.029276176,-0.220087412,-0.827750626,0,0.2175910695,-0.331378346,-0.056966655,-0.593433708,1.054216203,-0.1776731615,-0.2242552325,-0.353091473,0.844472015,0.411950759,-2.486131431,0,0,0,-0.062479093,-0.308626845,-0.198642621,-0.443454167,-0.0221121234999999,0.8180270455,-0.0511538845,1.4882766675,0.12002031,-0.7259328345,0.165466075,0,0.336589947,-0.5789672255,-1.692599935,-0.115816989,-3.228246496,-0.7590660375,-0.5222668025,0.811167967,-1.0479154705,-0.00971898300000001,1.922675097,0,-2.701553001,0.037575405,-0.4161224605,2.4974021055,1.085661938,-0.231741029,0.70855648
"set80_499",0.047244522,-0.170452763,-0.1485812145,0.1791980165,3.4249690305,3.2030067855,1.7963909735,0.053914585,-0.493149188,-0.086220018,-0.1524979685,2.7368647525,5.6840527675,3.377386402,0.3624635245,0.6558232885,0.1968392665,0.477799397,0.3294952605,0,0.371699397,0,0.666867488,-0.244784032,0.089941267,-1.130589453,0.39802989,0.154465298,0.4420166005,-0.7604548385,2.4612863455,0.3293111925,0.092314553,-0.4514222715,2.850710362,0,-0.0196749115,-0.3811553595,0.276432011,2.5768392435,0.5274912165,-1.048498186,0.214728976,0.2956832325,0.303762293,0.131474782,-0.5031576065,-1.832010626,1.683605348,-0.411589294,-0.134856398,0.3788608655,0.0505411845,0.19013544,-0.030571423,0,0.20166759,0.164221313,0.203435689,0.1203194585,2.0483531275,-1.045884392,-0.5391183305,-0.7604325605,2.6571129955,0.110231705,0.227468609,-0.053302341,0,-0.0133479935,0,-2.881210027,-0.1254316705,0.354667448,-0.5389668635,-0.145596685,-0.2602576885,4.7798940115,0.0333781405,1.7055297305,0,0.053269361,0.755869476,1.623006308,0.486034236,0.471842339,-0.149670406,-0.5733411725,0.998491375,0.1389975215,-0.161498656,0.3891711875,2.177905245,1.5817524145,0.172875274,0.7679233805,-0.3820429735,0.477997616,-0.0837099765,-0.19779381,0.035242634,-0.546661452,-0.863629197,0.20541504,0.604855297,0.3422275115,0.206009717,2.390895034,-0.712565118,1.169839976,-2.810643332,1.594497847,0.1161574115,-0.4894336635,-0.2297404125,-0.06681079,1.667414905,-0.299792219,-0.218104151,0.187585719,1.1289800935,0.1413375045,-0.2507605185,0.407808416,-0.2864032255,-0.0676195875,0.912843721,-0.783039343,-0.888554278,2.2395670805,0.070528823,-0.079343286,0.268234104,0.110570312,0.5433180595,1.802505143,0.075465484,-0.010032932,0.1022880875,0.090958422,-0.12973391,-1.193992751,0,0.3428497895,-0.189730946,-0.078827554,-0.651088967,1.6474638705,-0.2032252235,-0.3335945795,-0.320995604,0.3942993725,0.140973976,-3.026050413,0,0,0,-0.005005173,-0.279718673,-0.0954113265,-0.443454167,-0.1267143315,0.5961847245,-0.343969206,1.545498032,-0.146488681,-0.4200967995,-0.105084851,0,0.336589947,-1.0537947235,-1.511661994,-0.090823263,-3.271391638,-0.715253034,-0.248742838,0.7212231595,-0.663923657,-0.0549053325,2.4980423155,0,-3.262697525,0.037575405,-0.303530079,3.249573513,1.1439897095,0.0559749690000001,0.16653411
"set80_477",0.056444889,-0.312976835,-0.043735574,0.2523026325,2.4487229845,2.4623377135,0.9638739675,0.19529018,-0.711335416,-0.111551878,-0.281890901,2.6586050875,3.5014515675,1.602153747,0.4325522175,0.578080082,0.193130822,0.637021785,0.178953878,0,0.308497621,0,0.573435592,-0.4436934635,0.012191943,-1.6726159125,0.484837984,0.04190253,0.451536524,-0.9227949975,1.709952888,0.597175673,0.103740344,-0.407788383,2.786398692,0,-0.2196420825,-0.289127945,0.177498068,1.769498077,0.584520647,-1.148134941,0.325885201,0.486949671,0.293072276,0.109459899,-0.594924011,-0.823925272,1.1948302495,-0.652044112,0.49389956,0.704454069,-0.0580193995,0.12582481,0.060884182,0,0.246221241,0.320104371,0.508622986,0.0471371025,1.3705284995,-1.3511939045,-0.476733943,-0.4584067865,1.9995453245,0.246585523,0.150834133,-0.3607078945,0,-0.1440445245,0,-2.347635255,-0.195107507,0.253381272,-0.367582343,-0.117341888,-0.484885115,4.0078538175,0.1017998345,1.197471885,0,-0.00756665999999998,0.75313268,1.917209627,0.425421342,0.33463272,-0.2042361385,-0.6434241175,0.7545561425,0.1947289585,-0.161498656,0.4942633395,1.83001446,0.74143996,0.162921936,0.675320982,-0.551057739,0.393872793,-0.052116307,-0.075003476,0.205835464,-0.609293366,-0.754397453,0.334243724,0.457424811,0.194957443,0.257872228,2.3493755045,-0.919117359,1.099413597,-2.1009055325,0.6663165685,-0.0749666015,-0.456402096,-0.3120594795,-0.198506239,0.8769683735,-0.232802655,-0.1328774635,0.4848919085,0.176965661,0.118970528,-0.3147244465,0.407808416,-0.281006011,-0.106291865,1.010861325,-0.704074568,-0.940150918,1.193123191,0.070887452,-0.074149781,0.077114727,0.00487612499999998,0.6590048655,0.792345899,0.272853468,-0.093474654,0.109439878,0.045535803,-0.105728303,-1.107077568,0,0.293491986,-0.0938270920000001,0.003255545,-0.559211481,0.838128748,-0.1385953365,-0.3255948525,-0.124916625,0.4148647985,0.061572239,-2.2933565445,0,0,0,-0.163261867,-0.529027524,-0.307415958,-0.443454167,0.106856694,0.914426632,-0.1357412935,0.944353728,-0.124526581,-0.425805991,-0.032097535,0,0.336589947,-0.763629449,-1.68779932,-0.076373666,-3.432322739,-0.548513518,-0.420368557,0.8598801095,-0.9077412055,-0.0326471855,1.67295719,0,-2.518293919,0.037575405,-0.498439789,2.1735329655,1.0800228815,-0.679123119,0.198103826
"set80_476",0.007219741,-0.186102289,0.039770448,0.2929836245,2.384992594,2.430869719,0.885435474,0.115149426,-0.59072817,0.01044879,-0.291999108,2.961048378,3.718718367,1.554192535,0.477711138,0.4665565,0.135647278,0.619751023,-0.1919052385,0,0.2899642145,0,0.353942846,-0.2752556025,0.145730728,-1.4715372275,0.417041712,0.112493975,0.285504575,-0.961142433,1.5499968785,0.493999431,-0.025476014,-0.396048077,2.560723293,0,-0.0272993855,-0.1586994805,0.117303501,1.801895291,0.634887772,-1.050230587,0.198398593,0.476237783,0.259855598,-0.093852227,-0.715445318,-0.859785511,1.0981769475,-0.334792193,0.3377976235,0.566793915,0.1141660825,0.3347247315,-0.0500593545,0,0.2234357065,0.262727407,0.502997658,-0.291904497,1.2059815745,-1.088838798,-0.552216026,-0.207336083,1.813893014,0.1862418945,0.119202301,-0.00405085050000001,0,-0.2161420795,0,-2.427621668,-0.2770311285,0.109448151,-0.3853773365,-0.1062806205,-0.310266597,4.072783102,0.018072756,1.134782442,0,-0.1084201445,0.7927182555,1.981686772,0.485803708,0.294902888,-0.0814519360000001,-0.6699935275,1.106949672,0.5315797785,-0.161498656,0.343443106,1.985076927,0.711818066,0.151313183,1.3962200545,-0.304543842,0.441707238,0.7005947615,0.049368633,0.0861929895,-0.556246416,-0.855748412,0.262679615,0.521253059,0.2215501005,0.212820957,2.739493291,-0.707214662,1.4371785345,-1.686535036,0.635087022,0.2533588405,-0.604114185,-0.091754176,-0.116215388,0.836268476,-0.329898994,-0.146989106,0.477579775,0.617205195,0.175808539,-0.3836515145,0.407808416,-0.4208549585,0.058329693,1.256380289,-0.772860522,-0.943608658,1.5822788525,-0.00865011,0.028358154,-0.201797337,-0.0238151655000001,0.69169769,0.79624894,0.280491598,-0.09698563,0.180769279,0.047929225,-0.157127317,-0.9205960855,0,0.342698852,-0.4052775315,-0.022785358,-0.585203526,0.7916413655,-0.1230534145,-0.3025624745,-0.159719088,0.8457786365,0.3492188435,-2.447242975,0,0,0,0.030667432,-0.37377696,-0.2872398035,-0.443454167,0.066053331,0.887448321,-0.0379619065,1.175558753,0.122683705,-0.7346939215,0.099130816,0,0.336589947,-0.525801934,-1.727203162,-0.190143292,-3.418459921,-0.9458657765,-0.3303300145,0.8072092165,-1.2546038555,0.0366745515,1.6818935395,0,-2.542014776,0.037575405,-0.3750125145,2.2105043965,1.0437472435,-0.4582275975,0.652794367
"set80_475",0.042015835,-0.204185567,-0.0478497605,0.2519223195,3.2968401595,3.0816677175,1.5488257885,0.1446433355,-0.721558599,-0.111429922,-0.190067377,2.7322907845,5.0018829925,2.831239661,0.45693856,0.441836206,0.155319332,0.585188177,0.2378606655,0,0.3943523835,0,0.680093302,-0.2224248995,-0.0930773915000001,-1.5417889195,0.327296573,0.113127025,0.313030056,-0.874916019,2.2625653685,0.478731674,0.179823682,-0.443591062,2.733705422,0,-0.114830446,-0.265919749,0.233238726,2.4089408815,0.616595742,-1.062002463,0.2291708,0.3820457835,0.327764257,0.136914199,-0.6053629525,-1.5095418435,1.6236213485,-0.563756375,0.1900669485,0.515080478,0.2167399165,0.223945033,-0.078254658,0,0.2307577895,0.259548976,0.359472967,-0.0254704445,1.7347966825,-1.331312986,-0.481086993,-0.4157359435,2.4821754215,0.4817878515,0.239158174,-0.2310363195,0,-0.027339516,0,-2.630989339,-0.1180669085,0.340848671,-0.5362350155,-0.119186119,-0.428175417,4.3940750085,0.0196945735,1.4800460855,0,-0.095655686,0.5061337755,1.735366323,0.516972066,0.587411914,-0.0698906065,-0.6689917155,0.766497554,0.163344505,-0.161498656,0.4790069325,2.088820718,1.2801414495,0.109867617,0.8276330615,-0.251351379,0.425321876,-0.145704861,-0.12003966,0.1620145615,-0.53156456,-0.822070697,0.17847498,0.625079938,0.307305757,0.243353027,2.4029416585,-0.5221074005,1.2940299795,-2.5558464855,1.1727785605,0.00391975099999999,-0.5339896535,-0.2197692055,-0.024945698,1.433662082,-0.215287633,-0.1592439255,0.3014505955,1.3844010745,0.1050569245,-0.309744611,0.407808416,-0.28863151,-0.078244091,1.055217217,-0.8322450465,-0.933276113,1.922414872,0.080150961,-0.096229209,0.0397253794999999,0.1555681825,0.686232545,1.3844635425,0.22444353,-0.020087334,0.131797515,0.058253038,-0.112914471,-1.205065995,0,0.319538085,0.0580319230000002,-0.118760301,-0.709420806,1.338582248,-0.1635002505,-0.2801201675,-0.259855508,0.510152679,0.066848975,-2.89142394,0,0,0,0.093688516,-0.309109145,-0.1289453755,-0.443454167,-0.093713999,0.741868636,-0.139655014,1.307445178,-0.043308378,-0.4380915885,-0.126177789,0,0.336589947,-0.965639381,-1.463584809,-0.130806582,-3.504328522,-0.6854353955,-0.3700994245,0.8000109605,-0.847168244,-0.0302992655,2.251102781,0,-3.062879128,0.037575405,-0.4234808955,2.938988013,1.0528080235,-0.644753646,0.27398218
"set80_453",0.086678199,-0.270040848,-0.0481983335,0.2668133155,2.259208294,2.226282095,0.795087149,0.1749244555,-0.427031242,-0.119046639,-0.247050787,2.5587852725,3.0223632765,1.302217454,0.4620929975,0.417996591,0.135852352,0.521667743,0.228788027,0,0.553884314,0,0.419410712,-0.3218865545,-0.032917068,-1.5144364535,0.416820032,0.12269675,0.183409489,-0.8766073315,1.5013393365,0.494917732,0.06793056,-0.478583595,2.91620393,0,-0.1850555855,-0.352257738,0.435089291,1.758935316,0.715991498,-1.076145177,0.160770477,0.4616775,0.397982748,-0.051470884,-0.659595152,-0.547871723,0.7511328585,-0.510114329,0.625118325,0.570654909,0.3391300585,0.210068448,0.00274521199999997,0,0.197365312,0.370164332,0.637360455,-0.0594335670000001,0.84364394,-1.212376689,-0.371420249,-0.4299206485,1.8364615265,0.1208388865,0.067725683,-0.2234877455,0,-0.1743668395,0,-2.191014562,-0.1427867245,0.181728231,-0.3814038115,-0.104189101,-0.426769134,3.6779096325,0.054633925,0.959289171,0,-0.135904448,0.7593883055,1.813321377,0.467750156,0.434728335,-0.069187947,-0.5734969095,0.5733081215,0.2735929695,-0.161498656,0.500152936,1.7210789185,0.4774031975,0.162268037,0.840793635,-0.431963413,0.372680497,-0.083942628,-0.015176573,0.1095160125,-0.54534467,-0.830842187,0.227207503,0.509834119,0.1146135475,0.195583737,2.331550531,-0.686531419,1.344975106,-1.7625347625,0.5208136115,-0.0614765125,-0.5228812625,-0.249641433,-0.142461969,0.6765125975,-0.273537172,-0.1199497105,0.4214198135,0.724705845,0.0348035705,-0.3283519655,0.407808416,-0.425091693,0.0627761760000001,1.28401128,-0.9136595465,-0.966554502,0.919288923,-0.021693148,0.063959972,-0.169013477,0.1467524395,0.6552167175,0.604059666,0.208566207,-0.060882468,0.164079954,0.075698583,-0.124480632,-0.791967433,0,0.321826488,0.12019437,-0.048761238,-0.642695307,0.576106763,-0.00804775099999999,-0.200512519,-0.207930397,0.5060273205,0.243959857,-2.3700132645,0,0,0,0.09179269,-0.318012701,-0.245667276,-0.443454167,0.0137022505000001,0.9277434925,-0.2222371185,0.6256606345,-0.202035161,-0.50336494,0.10717671,0,0.336589947,-0.246061383,-1.483381931,-0.286769448,-3.303408673,-0.8317190445,-0.2882686335,0.7852514025,-0.8214753525,-0.0104305015,1.467151915,0,-2.4212971815,0.037575405,-0.4332823955,1.918287437,0.8549207975,-0.600283862,0.151282515
"set80_452",0.01889295,-0.36473515,0.00302503600000004,0.3758127135,2.3405338325,2.3653647885,0.8171551675,0.1074722985,-0.565735291,-0.073078858,-0.307931162,3.094838386,3.590121503,1.374216379,0.5312806145,0.50114579,0.115390333,0.681084843,-0.343549897,0,0.612291893,0,0.485100315,-0.299380963,-0.078876573,-1.609432204,0.497061604,0.053169253,0.330984718,-1.0603857045,1.5422610005,0.4821886525,0.002143168,-0.481732595,2.81630079,0,-0.092795172,-0.284551983,0.538114066,1.7894448315,0.721931482,-1.078180288,0.263387652,0.4847430505,0.53217102,-0.027595328,-0.695795158,-0.584417508,0.799212198,-0.180640964,-0.000230673000000237,0.6185368875,0.2894226365,0.3840524605,-0.0713004465,0,0.2249534665,0.343205163,0.146064779,-0.221995869,0.8907934175,-1.527676663,-0.614332017,-0.2425736165,1.7851865915,0.2462746525,0.24781851,-0.208086336,0,-0.035639837,0,-2.492218535,-0.2182444655,0.110983147,-0.46776813,-0.1419635865,-0.562587967,4.289814998,4.47284999999797e-05,1.1069715735,0,-0.2794632965,0.6203539775,1.9229946185,0.493254495,0.441033683,-0.048458765,-0.6473856365,1.2198897325,0.510707032,-0.161498656,0.4675689025,2.3301966595,0.5159062495,0.141992853,2.0978115575,-0.208832861,0.384340743,0.8198338855,0.146859981,0.1611320085,-0.536851431,-0.870438809,0.181261443,0.533719099,0.2159914795,0.118428813,2.6495358375,-0.9594306695,1.579375862,-1.654125296,0.498955654,0.183666322,-0.680612254,-0.1834386265,-0.00138701300000002,0.728900879,-0.371561943,-0.08074479,0.428345994,0.8812384335,0.0535035805,-0.4684636505,0.407808416,-0.3946726705,0.124599336,1.329735405,-0.9237365905,-0.944795637,1.4220063655,0.002261498,0.065920332,-0.2459113235,0.06020378,0.6950376125,0.61002418,0.238402976,-0.014020192,0.209799728,0.049743905,-0.21343066,-0.9696393585,0,0.443095233,-0.1161782565,-0.059381387,-0.704362935,0.6301492345,-0.1518818685,-0.2769341985,-0.179911253,1.040694949,0.2927015905,-2.4178133925,0,0,0,0.018497576,-0.414929571,-0.3641906305,-0.443454167,-0.067377586,0.705640834,-0.1261490035,1.105873414,0.064598364,-0.4682010885,0.163874423,0,0.336589947,-0.190419274,-1.55572863,-0.375564296,-3.456739101,-1.0136530205,-0.3117689815,0.8119010685,-1.0007491645,0.0216482795,1.5609622995,0,-2.5595091135,0.037575405,-0.4989538175,1.950522816,0.8372946295,-0.6291056435,0.939229865
"set80_451",0.030756717,-0.314469082,-0.10886356,0.3498947985,3.668410188,3.389659659,1.873122035,0.1344177755,-0.457524315,-0.105055902,-0.328457863,2.598181128,5.47514653,3.151152134,0.425395266,0.475280427,0.100892825,0.605075665,0.321970471,0,0.574993904,0,0.883520719,-0.4089958045,0.0645277265,-1.5674912665,0.40886422,0.147871218,0.254401305,-0.8736294515,2.529466615,0.4715414665,0.104404821,-0.512352987,2.725796508,0,-0.2649090285,-0.2844555455,0.470381471,2.7846801095,0.698923654,-1.06398537,0.139400197,0.3928046705,0.478601351,-0.073881185,-0.663702168,-1.5969894795,1.677953142,-0.33077845,-0.301632451,0.646145765,0.1611810885,0.242664392,-0.089723471,0,0.188319589,0.353142066,0.206814603,0.0422663525,1.764790884,-1.299790292,-0.5563863735,-0.5280824985,2.785295238,0.263822252,0.282079218,-0.1959948225,0,0.0111084935,0,-3.230988667,-0.187468405,0.19422457,-0.5956790625,-0.130247612,-0.455380428,4.7202360145,-0.013323549,1.5682146545,0,-0.3333073575,0.5154934475,1.7280589565,0.494275894,0.614608065,-0.117917514,-0.5981577755,0.7761746645,0.2304879275,-0.161498656,0.5143677545,2.0354934535,1.5225138435,0.133502098,1.0800786075,-0.048073527,0.357852357,-0.215680437,0.028339567,0.130659146,-0.574867803,-0.893360767,0.135693571,0.737960739,0.305235262,0.187030544,2.641926804,-0.8777477385,1.487500537,-2.745716704,1.51636469,-0.0790374105,-0.628958184,-0.2404977865,0.092308974,1.729838233,-0.287363776,-0.1324232385,0.2961476825,1.977501952,0.0624970225,-0.3829483665,0.407808416,-0.324740236,0.0673283515,1.293452367,-1.001696982,-1.028249421,2.070390138,-0.00171194600000001,-0.027184957,-0.0246496135000002,0.277751827,0.613668896,1.6466890715,0.231625145,-0.04095265,0.174547349,0.074708966,-0.139377184,-1.163857677,0,0.384410905,0.0919295045,-0.079636086,-0.743142659,1.629647108,-0.0342568285,-0.1953230625,-0.281127517,0.5795560515,0.102193857,-2.9252681045,0,0,0,-0.003448956,-0.342076372,-0.177355007,-0.443454167,-0.232450696,0.624644132,-0.220498349,1.384010499,-0.057626691,-0.427359082,0.090608782,0,0.336589947,-0.420227858,-1.382031249,-0.391985945,-3.526774566,-0.881347078,-0.219820344,0.8040457515,-0.808289291,-0.0615289065,2.540893312,0,-3.390159304,0.037575405,-0.437663018,3.1334223555,0.8597888485,-0.558257909,0.502805806
"set80_287",-0.084356458,0.037130233,-0.1351076055,0.475224731,1.7736165225,2.0434237085,0.7646388275,-0.3142550095,-0.195482135,-0.088842559,-0.233523711,2.7990015385,3.0014805735,1.242359128,0.206774718,0.494418932,-0.309487743,0.367026036,0.096092087,0,0.048836797,0,0.533508902,-0.508454926,0.0837844755,-1.467259389,0.129538297,0.18471122,0.233033859,-0.365484754,1.4808521105,0.38343829,0.059185079,-0.619205427,1.733541625,0,-0.0916946155,-0.298550439,0.045029876,1.1462388205,0.31327986,-0.954143566,0.254492805,0.6151692675,0.144571102,1.175408605,-0.629613454,-0.6905938685,0.249974389,-0.568514638,0.286130058,-0.055357772,-1.204756364,0.036658479,-0.163363521,0,0.276333917,0.478293115,1.541626463,0.023798065,1.2092382735,-0.6647825505,-0.5534984915,-1.0107419805,1.5384868065,0.0995259005,0.281610169,-0.3908186445,0,-0.2345193625,0,-1.492104948,-0.2805085265,0.383789784,-0.5688493455,-0.003167836,-0.319005123,4.4343450735,-0.000216406000000002,0.936918994,0,0.58079466,0.9767836715,1.626018448,0.305945679,0.219763262,-0.3188249945,0.246316634,1.2492545315,-0.2805998245,-0.161498656,0.591355151,1.5225561325,0.5237295875,0.281262389,0.507600576,-0.643090017,0.544491766,0.142142228,-0.2859104,0.1433239435,-0.548782291,-0.848582041,0.067649055,0.118867197,0.124185565,0.175265613,1.1383657,-0.3388280925,1.091105262,-1.6328765715,0.5877400555,-0.1779053925,-0.1737738925,-0.594747171,-0.353499089,0.8037471155,-0.327784719,0.00347748799999999,0.60497615,0.088234,0.127184502,-0.083933055,0.407808416,-0.87704277,-0.20079342,0.844063005,-0.622503036,-0.846923276,0.7087751675,0.193669322,-0.274732861,0.290522032,0.4660638275,0.425544056,0.8654175795,-0.272284266,-0.162336007,0.009804706,-0.111577328,-0.151321984,-0.658683792,0,-0.03449129,-0.4570914115,-0.025852043,-1.024405056,0.5756806785,0.255529434,-0.049807584,-0.300067443,1.1924086685,0.244222849,-2.3928654105,0,0,0,-0.042455751,-0.306650237,-0.051152646,-0.443454167,0.226551436,0.823504005,-0.4643290555,0.86752499,-0.427110853,-0.4720595615,0.00709394799999996,0,0.336589947,-0.192030543,-1.797939989,0.007992006,-3.19604236,-0.2011244205,-0.7035916605,0.570598907,0.2634136855,-0.218275811,1.2144177345,0,-1.7339025815,0.037575405,-0.4698078655,1.8820380165,1.406928217,-0.5759571465,-0.157468504
