"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set19_636",-0.031847962,-0.265963311,0.361974355,0.232189541,-0.563759816,-0.499822311,-0.303748025,-0.2588173715,-0.15029632,0,0.091776407,1.0418271625,-0.8976797575,-1.097713448,0.24361856,0.240356248,0.103836325,0,-0.0817097275,0,0.318855348,0,-0.283402738,-0.389415535,0.187383177,0.1111778055,0.435151926,0,0.312024644,-0.5403787245,-0.391400565,0,0,0.44491453,0.191164277,0,0.293863211,0,0,0.1579746675,-0.178290991,0.281606275,-0.695929604,0.1499737715,0.152931213,-0.112381781,0.091776407,0.548856724,-0.6454214885,-0.0756435950000001,0.3729987535,-0.0653411395,0.436541738,-0.105788573,0.276517357,0.016341794,0,0,0.185729426,0.045709405,-0.5052144085,0.3669783985,-0.7739220775,0.3421042175,-0.225353148,-0.226490351,0,0.0818185759999999,0,0,0,0.426589777,0.091776407,-0.009958996,0,0,-0.210630558,-0.4797360285,0.468480745,0.1244953915,1.702338405,0.267114475,0.1182116745,-0.091776407,0,0,0.046067002,0.0948575729999999,0.258052629,0.264992396,0,0.035664888,0.421922242,-0.5052144085,0,0.6072203525,0.091776407,-0.044946017,0.091776407,0,0,0.209627965,0,-0.029786648,-1.36600687,0,-0.421261116,0.0264352675,-0.0174038405,0.0264352675,0.5052144085,-0.5052144085,0.121301695,0.183552814,0,0,-0.499822311,0.166680421,0,0.299947543,-0.3674268115,-0.177452792,0.173594983,0,-0.307586671,0.0683603225,0,0.1244953915,0.332861325,-0.6297098,0.052513925,-0.179998286,0.2426795725,-0.0207651540000001,0.209704154,-0.392884404,-0.258411495,-0.058461849,-0.091776407,0,0.006697667,0,0,-0.091776407,0.474914219,-0.123316826,0,-0.170409888,0.2798612605,0.5932036075,0,0,0,-0.258052629,0,0,0,0,0,-0.892689407,0,0.248990783,0.184343728,0.149815809,-0.061483535,0,-0.118243688,0,0,0.387650147,-0.500665899,-0.156475012,0.054237801,-0.070457146,-0.290521091,0,0,0,0,-0.6297098,0,-0.0212450185000001,0,-0.150249488,-0.369934822,0,0,-0.386659838
"set19_688",0.220302376,0.117963307,-0.00967104100000005,-0.117266865,-0.753867121,-0.140856057,-0.116039397,0.440759916,0.228847653,0,0.553263055,-0.3397777135,0.2129175285,1.060440042,-0.4644186975,0.763359381,1.261112544,0,0.4714328455,0,0.2637943455,0,0.069356817,-0.996127465,-0.208723998,0.716149049,0.343974155,0,0.579446292,-1.0825744205,-0.511541006,0,0,0.801018538,0.117841426,0,0.477862155,0,0,0.0600209115,-0.361455331,0.25818771,-0.341222897,-0.1172556185,0.18232424,0.427622337,0.553263055,-0.530220021,-0.0980239260000001,-0.0533277750000001,-0.0263590924999999,-0.272141801,-1.747928202,-0.581092162,-0.11377139,0.278764243,0,0,0.165905884,0.5525787125,-0.2307804355,1.203563143,-0.399843652,-0.723125267,-0.13857995,-0.045939368,0,-0.026753931,0,0,0,-0.175647568,0.553263055,0.570895586,0,0,-0.5103914015,-0.4675677795,-0.352717155,0.1195317255,2.006445443,0.645353603,0.834384309,-0.553263055,0,0,0.000684342500000001,0.126192061,0.442208527,-0.874666202,0,-0.189773214,0.194681583,-0.2307804355,0,0.135799127,0.553263055,0.28707472,0.553263055,0,0,-0.206136887,0,-0.162520668,-0.953929594,0,-1.020782803,0.281121254,-0.264319189,0.281121254,0.2307804355,-0.2307804355,-0.059162956,1.10652611,0,0,-0.140856057,0.361344659,0,-0.234511237,0.497284519,-0.105355526,0.526509124,0,-1.336629726,0.062362175,0,0.1195317255,-1.264808319,-0.350312161,0.193842258,0.485756958,0.56445545,0.0323225445,-0.0528235195000001,-0.377953796,-0.141666342,0.035007582,-0.553263055,0,0.167936127,0,0,-0.553263055,0.1488847385,-0.700815075,0,-0.997190498,0.0922004855,-0.4672479395,0,0,0,-0.442208527,0,0,0,0,0,0.0630348309999999,0,0.239063451,-0.292215268,0.227691264,-0.386106894,0,0.2099483785,0,0,0.124504775,-0.441248814,0.187584387,0.000432709000000031,0.216008412,-0.174418362,0,0,0,0,-0.350312161,0,0.205439139,0,0.036282779,0.0686000469999999,0,0,-0.439467598
"set19_615",-0.039223281,-0.044369469,0.0460142640000001,-0.08204661,0.4712380485,0.6540805005,0.7318270005,0.358400232,-0.102391428,0,0.065515869,0.32463876,1.442907438,1.671112899,0.3101788905,0.04898879,0.255390695000001,0,0.201276354,0,0.065668284,0,-0.207714915,-0.05337264,-0.0330831975000001,0.592957053,0.292206277,0,0.087768057,-0.1854479115,0.761063571,0,0,0.202297996,0.106304485,0,0.383726277,0,0,0.7205176125,0.835912685,0.242808819,-0.164754615,0.0681911545,0.293208015,-0.069074467,0.065515869,-0.8355564495,0.5146754535,0.315778244,-0.668385621,-0.163702628,0.1710937705,-0.184018829,0.129078177,-0.022674617,0,0,0.0915321140000001,-0.0430859185,0.677835438,0.8662531915,0.9346286695,0.3803390095,0.879117203,-0.046791861,0,0.165949846,0,0,0,-0.33119135,0.065515869,-0.163437494,0,0,-0.834396601,0.5891810445,0.386036376,0.156845548,1.130199416,0.13680983,-0.03267089,-0.065515869,0,0,0.1086017875,-0.240267745,0.225250463,0.131538063,0,-0.046850509,0.161501444,0.677835438,0,0.158764813,0.065515869,0.069300311,0.065515869,0,0,0.075357507,0,0.28622045,-0.600441643,0,-1.668793202,-0.098186759,-0.3961423395,-0.098186759,-0.677835438,0.677835438,-0.089190121,0.131031738,0,0,0.6540805005,0.082362989,0,0.136382309,-0.615401967,0.042545919,0.231465715,0,-0.161468118,-0.312001621,0,0.156845548,0.288179625,0.52098989,-0.119843077,-0.297996773,0.3091156175,0.107620092,0.4405014795,0.5977024585,-0.178905142,0.018963364,-0.065515869,0,-0.126953287,0,0,-0.065515869,-0.00505298599999998,-0.111283809,0,0.705852976,0.201281765,0.291079775,0,0,0,-0.225250463,0,0,0,0,0,-0.246995492,0,0.313691096,0.221317498,1.261078507,0.815368184,0,0.3089115005,0,0,0.243968814,-0.607240475,-0.00334825399999999,-0.0881071070000001,-0.046936178,-0.098450912,0,0,0,0,0.52098989,0,-0.9982728205,0,-0.00657497800000001,0.787171111,0,0,-0.20307131
"set19_687",0.00127384899999999,0.00159037300000001,-0.157953337,-3.353329361,0.0482199584999998,0.2370091505,0.2342103595,0.14765736,0.022118047,0,0.0309239965,-0.850714638,1.327741807,1.688318815,-0.0188583305,0.0482142395,0.1678789865,0,-0.0299083530000001,0,-0.0435215155,0,-0.016712901,-0.0158780125,0.0851585714999999,0.6757373685,0.289131957,0,0.3885360355,-0.160079386,0.1735987375,0,0,-0.0421957495,-0.166204812,0,0.029465665,0,0,0.1227289195,0.4416942445,0.081598547,-0.138026242,0.007473801,0.324721335,0.239353157,0.0309239965,-0.8441594075,0.989552731,-0.207315869,-0.2106684905,0.0744104875,1.075653554,-0.096574692,-0.148599992,0.146830908,0,0,0.110485358,0.033467493,0.3866570325,0.5907419265,0.395721204,0.157264292,0.4288418345,-0.125564568,0,-0.063830057,0,0,0,-0.2576788125,0.0309239965,0.200136306,0,0,0.155511516,0.2097719505,-0.183984593,0.184358883,0.862647692,-0.0215180159999999,0.1362584805,-0.0309239965,0,0,-0.0025434965,-0.051014756,0.173599875,0.197435684,0,-0.114736625,-0.00596936699999991,0.3866570325,0,-0.0387318745,0.0309239965,0.0587771619999999,0.0309239965,0,0,-0.089058861,0,0.026218936,-0.449094462,0,0.311023032,0.105334484,0.014727475,0.105334484,-0.3866570325,0.3866570325,-0.027203557,0.061847993,0,0,0.2370091505,0.293554611,0,0.014947602,-0.205710456,-0.012865035,-0.0329060605,0,-0.5608645825,0.077243021,0,0.184358883,-0.394428853,0.2022981495,0.103977423,-0.109347449,0.2312269855,0.2072749925,-0.1302036105,0.0960396664999998,0.037474929,0.00182743399999996,-0.0309239965,0,0.014149095,0,0,-0.0309239965,-0.218263066,-0.000823393999999977,0,-0.0215859685000001,0.042184802,-0.093562906,0,0,0,-0.173599875,0,0,0,0,0,0.0619214755,0,0.368717766,-0.010266524,1.091988506,0.2492725925,0,0.1692408745,0,0,0.198755065,-0.7396433465,-0.014835789,0.0101708549999999,0.042952117,0.045832219,0,0,0,0,0.2022981495,0,-0.609131882,0,0.155288305,0.2717201515,0,0,-0.225840179
"set19_614",0.167740791,-0.057784411,0.179927151,0.216077135,-1.131522971,-1.07617061,-0.803848301,1.156800562,-0.091876585,0,0.0540557365,0.6690795795,-2.0772580155,-1.978297688,0.257249006,0.1965165055,0.692910968500001,0,-0.0699909595000001,0,0.097974817,0,-0.152022981,-0.2195595725,0.0273886829999999,0.2489158465,0.261952464,0,0.4100180655,-0.3970345165,-0.9786164175,0,0,-0.0572973825,0.273103942,0,0.559719795,0,0,-0.9050960125,0.2812156305,0.187359096,-0.423620584,0.075154662,0.159748515,-0.021408713,0.0540557365,0.989148844,-1.9768491805,0.225547336,1.021931191,0.0229826735,-0.5882408925,-0.033445928,0.211713421,0.089726051,0,0,0.157703865,0.0325672495,-1.08013846,0.2377712165,-0.590843133,0.2162067345,-0.9049540995,-0.068321382,0,0.0295780535,0,0,0,1.0903584245,0.0540557365,-0.019423807,0,0,-1.1132841035,-1.1010456465,0.359102208,0.0960618485,1.461441065,0.172009492,0.1310941465,-0.0540557365,0,0,0.021488487,0.0547542109999999,0.1820665945,0.237150988,0,-0.231152566,0.29692673,-1.08013846,0,0.308896801,0.0540557365,-0.056467326,0.0540557365,0,0,0.196806399,0,0.097377072,-0.766437274,0,-2.226568207,0.07703841,-1.0852002365,0.07703841,1.08013846,-1.08013846,0.121247587,0.108111473,0,0,-1.07617061,0.129576558,0,0.150309324,-0.3781306645,-0.171347239,0.08363379,0,-0.8007965565,0.09861862,0,0.0960618485,0.208338981,-1.1762003085,0.071160956,-0.125066378,0.21563595,0.0296015055,0.0806445939999999,-0.990284974,-0.209435922,0.152035108,-0.0540557365,0,0.043583917,0,0,-0.0540557365,0.1795713305,-0.235694513,0,-0.8637966215,0.1751843605,0.3284956435,0,0,0,-0.1820665945,0,0,0,0,0,-0.7576973225,0,0.192123697,0.180618291,0.24302945,-0.790093964,0,-0.138097043,0,0,0.264925102,-0.3933512555,-0.06771539,0.169843906,0.274631766,-0.132920686,0,0,0,0,-1.1762003085,0,0.9772626225,0,0.068234936,-0.9761409115,0,0,-0.115731428
"set19_611",-0.309609575,-0.427754443,0.189620438,-0.343218976,0.7595433045,0.5701283615,0.4982355745,0.3114127675,-0.012080288,0,0.0932220525,0.819736907,1.424194441,1.403156746,0.3073632395,0.0225873745,0.1726019415,0,0.19644996,0,0.2223490255,0,-0.229941903,0.1269451715,-0.010674901,0.4976734755,0.495809531,0,-0.1042060085,-0.6407697815,0.937771641,0,0,0.2191091465,0.223415957,0,0.650912101,0,0,1.129329268,0.4716050075,0.546842811,-0.531167833,0.275556507,0.10187385,-0.353860696,0.0932220525,-0.701578373,0.5382256305,0.589713807,-0.519814704,0.244144266,0.8700767165,-0.384578314,-0.147518209,-0.18965785,0,0,-0.0363277470000001,-0.141510001,0.715695443,0.9466470195,1.152986496,0.859375388,1.1523056015,-0.056365907,0,0.2775794015,0,0,0,-0.326106607,0.0932220525,-0.161835278,0,0,-0.744061999,0.684631217,0.681207668,0.306620733,1.318236908,0.109574646,0.430588371,-0.0932220525,0,0,0.2347320535,-0.265777601,0.361408056,-0.042251416,0,0.307777025,0.2762808055,0.715695443,0,0.443842508,0.0932220525,0.241426032,0.0932220525,0,0,-0.193740205,0,0.39312138,-0.521681151,0,-1.488123998,0.3373663185,-0.47589481,0.3373663185,-0.715695443,0.715695443,-0.273088374,0.186444105,0,0,0.5701283615,-0.133188702,0,0.551113014,-0.660593992,0.132313656,0.370801454,0,-0.5301771035,0.2035751625,0,0.306620733,0.494596216,0.40907471,-0.199126452,-0.639890575,0.5094771055,0.293636131,0.7898908565,0.4744942565,0.008393725,-0.271982483,-0.0932220525,0,-0.160749782,0,0,-0.0932220525,0.1656237755,0.143315103,0,0.505528982,0.4366101585,0.3454824425,0,0,0,-0.361408056,0,0,0,0,0,-0.2866351485,0,0.613241466,0.722601131,1.398294652,1.067178351,0,-0.7795754225,0,0,0.676773567,-0.8019970685,-0.302021775,-0.47087246,-0.095480245,-0.025969204,0,0,0,0,0.40907471,0,-1.4718504685,0,0.75770074,0.731182013,0,0,-0.220382884
"set19_610",-0.030254696,-0.312668056,-0.0357767820000001,0.175260015,-0.5401672935,-0.5763265295,-0.4990150535,-0.5868963985,-0.227582474,0,0.043124548,0.743366937,-1.032142855,-1.415990357,0.3834397795,0.251368137,0.208749144000001,0,-0.164974483,0,-0.0364445695,0,0.079568208,-0.155580995,0.0914273985,-0.27594324,0.297343118,0,0.191284969,-0.619949179,-0.420290449,0,0,0.27120625,0.431633817,0,0.023902259,0,0,-0.596705412,0.22158148,0.118917674,-1.153802933,0.06139106,0.320181784,-0.079351853,0.043124548,0.7079951785,-0.676940354,0.227630086,0.405999158,0.1352735955,0.198075393,0.011156223,0.242026479,0.065020761,0,0,0.130240839,-0.0298325615,-0.477137225,0.1279172165,-0.4472297755,0.315295248,-0.4068653615,-0.13326534,0,0.0718667665,0,0,0,0.455021535,0.043124548,0.130014601,0,0,-0.2611798285,-0.523816273,0.406354023,0.108070108,1.485454761,0.231995479,0.2215226915,-0.043124548,0,0,0.0729571095,0.0398006529999999,0.2240678475,0.271602144,0,-0.061958555,0.3705475105,-0.477137225,0,0.2181052015,0.043124548,0.301206737,0.043124548,0,0,0.172957474,0,-0.009991835,-0.86203149,0,-0.522359657,0.1783981435,-0.251629548,0.1783981435,0.477137225,-0.477137225,0.099897071,0.086249096,0,0,-0.5763265295,0.095953092,0,0.12278212,-0.283272463,-0.188934836,0.1149913145,0,-0.204579948,0.1749773545,0,0.108070108,-0.324569271,-0.585207333,0.050300363,-0.202432279,0.168271172,0.0433926289999999,0.2166906425,-0.4610414125,-0.269283438,-0.046205826,-0.043124548,0,0.177641747,0,0,-0.043124548,-0.020332943,0.01778462,0,-0.094433834,0.0702718635,0.2362394945,0,0,0,-0.2240678475,0,0,0,0,0,-0.887610983,0,0.216140216,0.120041556,0.044771745,-0.2603856985,0,0.5166248665,0,0,0.324297839,0.062841291,0.096561707,0.093337819,-0.213427332,-0.129354958,0,0,0,0,-0.585207333,0,0.4288591215,0,0.226610489,-0.567445726,0,0,-0.100696065
"set19_612",-0.011707904,-0.283658132,0.123237742,0.139572055,0.053252754,0.089071817,0.173830881,0.7162132495,-0.162103947,0,0.0467762545,0.435801852,0.277482269,0.56596752,0.2715528365,0.1844076345,-0.1179663265,0,0.0663887965,0,0.025889437,0,-0.155120835,-0.3545558545,0.086090997,0.1058407145,0.283462028,0,0.1717930085,-0.5539729835,0.2181169305,0,0,0.2999596435,0.238126852,0,0.219963293,0,0,0.163055682,0.5392636855,0.162578644,-1.030944938,0.0624357905,0.22505637,-0.15514377,0.0467762545,-0.28298376,-0.8100509655,0.250893512,-0.155267037,0.026621933,-0.464234404,-0.038864447,0.056851698,-0.00691365599999999,0,0,0.040071987,-0.016051467,0.16710181,0.194273142,-0.2375300465,0.3610085685,0.2697684,-0.004986781,0,0.217255908,0,0,0,-0.1680741765,0.0467762545,0.05198548,0,0,-1.043112002,0.111276808,0.316881595,0.1182607925,1.573880281,0.20095577,0.120174442,-0.0467762545,0,0,0.0628277215,-0.0784269830000002,0.2187386775,0.244062809,0,-0.036773871,0.205134453,0.16710181,0,0.130546005,0.0467762545,-0.00979398300000001,0.0467762545,0,0,0.122541388,0,0.060333362,-0.978239238,0,-2.086224004,0.0733981875,-0.7896503055,0.0733981875,-0.16710181,0.16710181,0.053195563,0.093552509,0,0,0.089071817,0.094555971,0,0.124871581,-0.422096192,-0.148040304,0.2640321625,0,-0.4233265315,-0.0208555685,0,0.1182607925,0.094215714,0.0488410175,-0.021770964,-0.211368601,0.1903390815,0.049630397,0.4973395375,0.105986958,-0.290883154,-0.035578895,-0.0467762545,0,-0.00946465599999999,0,0,-0.0467762545,-0.0413572045,-0.12026129,0,0.3446333585,0.10266659,0.245947918,0,0,0,-0.2187386775,0,0,0,0,0,-0.8237541465,0,0.236521585,0.081710625,0.112458215,0.2561641755,0,-0.0734402245,0,0,0.301153446,-0.1062522105,-0.031955506,-0.0414378639999999,-0.081594085,-0.137260791,0,0,0,0,0.0488410175,0,-0.261524572,0,0.027563216,0.1293026165,0,0,-0.158147691
"set19_635",-0.022498167,-0.016957315,0.15896553,0.099074321,-2.0220477945,0.3288525675,0.2950460665,1.411264306,0.648164505,0,-0.03693976,-0.3798851505,1.0380920985,1.596975675,0.1482573175,-0.00723144899999999,0.0514114310000001,0,0.0511392454999998,0,0.1343242365,0,-0.231465653,-0.033662729,0.00502217999999995,0.5704700745,0.162640433,0,0.221591453,0.0920385965,0.3222606665,0,0,0.100470955,-0.979671415,0,0.615993136,0,0,0.6749253205,0.00668962599999998,0.021185761,-0.518266072,0.068285793,0.02839676,-0.153812848,-0.03693976,-0.7984878375,0.848383628,-0.091146664,-0.244710049,-0.14546581,0.846163429,-0.065223305,0.060547047,-0.001754559,0,0,0.0547971660000001,0.00794996950000001,0.359075986,0.5703562525,0.5875467595,0.0650628505,0.418223292,-0.170263004,0,0.042067644,0,0,0,-0.3210651665,-0.03693976,-0.073567262,0,0,0.013669514,0.4062768475,0.249812877,0.0210849315,0.96494298,0.024080866,-0.21934533,0.03693976,0,0,-0.0448897295,-0.012637722,0.0331253645,0.121147576,0,-0.044890199,-0.0680348864999999,0.359075986,0,0.0542489170000001,-0.03693976,0.0752334779999999,-0.03693976,0,0,0.00412256799999999,0,0.017643646,-0.942515671,0,0.027339028,-0.18240557,0.1563132385,-0.18240557,-0.359075986,0.359075986,0.00248893500000003,-0.07387952,0,0,0.3288525675,0.036202444,0,0.136571586,-0.460856148,-0.101219594,0.00512788399999997,0,-0.036884424,-0.217858721,0,0.0210849315,0.083407838,0.3379910545,0.023183152,0.050931655,0.012009995,0.00910804900000001,0.0392455584999999,0.3521305705,-0.170690898,0.09847381,0.03693976,0,-0.032891595,0,0,0.03693976,-0.2216527315,-0.06839872,0,0.5535059355,0.059147306,0.100681653,0,0,0,-0.0331253645,0,0,0,0,0,-0.529103261,0,0.042169863,0.035733139,1.112214899,0.317063041,0,-0.7226445045,0,0,0.156517456,-0.546078976,0.129966297,0.0430818589999999,0.078819625,-0.023953765,0,0,0,0,0.3379910545,0,-0.570342906,0,-0.347885252,0.3197140805,0,0,-0.18422832
"set19_686",0.124318303,-0.066283629,0.234740378,-0.067990445,-0.4720138735,-0.1913114645,-0.0351823475000001,1.135081329,0.006318555,0,0.4796255475,0.9769499575,-0.4088449695,-1.473627275,-0.364448434,0.7182022715,1.0862470315,0,0.0372067804999999,0,0.2844743465,0,0.206450069,-0.8909066385,-0.0470510845000001,1.036723041,0.299931371,0,0.5610817855,-1.3895173205,-0.3289650145,0,0,0.6787605185,0.040845305,0,0.507125642,0,0,0.0719338795,-0.1831888785,0.27707192,-0.570936118,-0.112820635,0.032413492,0.399273401,0.4796255475,0.7368136375,0.0971708379999999,-0.091433085,-0.102615375,0.0855624765,-0.919612173,-0.514366376,0.047704447,0.270293606,0,0,0.200143197,0.3991912205,-0.0648978320000001,1.414570921,-0.0594036915,-0.311717679,0.0151642469999999,0.103291276,0,-0.0507421405000001,0,0,0,-0.1764896475,0.4796255475,0.533854939,0,0,-0.637133452,-0.4970148135,-0.189921224,0.3192963465,1.194588261,0.67153725,1.0448135715,-0.4796255475,0,0,0.080434327,0.145960092,0.6550649715,0.170772497,0,-0.160801743,0.5881845935,-0.0648978320000001,0,0.536890315,0.4796255475,0.313355286,0.4796255475,0,0,-0.10246765,0,0.008719596,-1.137336109,0,-1.274266904,0.565188024,-0.693003742,0.565188024,0.0648978320000001,-0.0648978320000001,-0.101622401,0.959251095,0,0,-0.1913114645,0.298722782,0,-0.22564127,0.438422315,-0.117202964,0.428883407,0,-0.6564560425,0.948795621,0,0.3192963465,-0.980151971,-0.3841941785,0.208443791,0.156105536,0.766558812,0.237907473,-0.0210499540000001,-0.3583782945,-0.261440469,0.11371217,-0.4796255475,0,0.194322354,0,0,-0.4796255475,0.255001102,-0.486419719,0,-0.7165905095,0.080062079,-0.21970005,0,0,0,-0.6550649715,0,0,0,0,0,0.0478864385,0,0.638592693,-0.40528924,0.956075445,-0.0517161310000001,0,-0.677910219,0,0,0.117449053,-0.5082846485,0.279696629,-0.141787967,0.248884208,-0.162777747,0,0,0,0,-0.3841941785,0,0.00549336700000005,0,0.569692222,0.00157124949999998,0,0,-0.289105916
