"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set61_508",0.4864403895,0.163553208,-0.141194054,0.3808933545,0.0610251440000001,0.766704513,0.698603184,-1.0010230345,-0.4817385645,-0.380818838,0.292666845,1.189194385,1.281972427,0.606075916,0.224322517,0.1712531565,-1.3416332205,-0.268973435,0.520900146,0,0.492049173,0,-0.391428618,-0.724133774,0.153602941,-0.7700984705,-0.41038255,0.293180534,-1.4612224685,0.73362406,-1.3424394275,-0.5646968455,0.411798728,0.1989367525,-0.0766814779999998,0,0.4474990855,0.258671932,0.710983071,0.499035162,0.00997685049999998,-0.209841123,0.40377889,0.349805535,0.245295161,0.27097468,0.0299759904999999,-0.681021748,-0.7086199315,0.07278157,-0.3453162495,-0.7469304505,-0.383103297,-0.006858346,0.585406797,0,0.142511199,-0.298200198,-0.347725528,-0.4362685715,0.4760410045,0.796017464,-0.105439907,-0.023344429,-0.7024452805,0.0553973210000002,-0.104943078,0.586538093,0,0.4255371025,0,0.793984608,0.1071445365,0.018440945,-0.374130169,0.350845065,0.0051092245,-0.188644368,0.2725424655,-0.280079965,0.219652138,3.6915198845,-0.640761439,-0.664436067,0.3716832,0.425604065,-0.222050165,0.855376341,1.7951763465,0.503781318,0,0.638910833,1.3457129485,0.1527578905,0.5135217025,-0.606311508,0.0735522155,-0.032921527,0.603411401,-0.053237504,0.028547953,0.843321869,-0.442572645,-0.02910062,-0.081563696,1.2463923665,0.2956219465,0.854308302,0.2782566075,-2.121789275,0.207798341,0.650963426,0.877000527,-0.5654340985,0.331427996,0.03937635,0.9560018495,-0.488611966,0.172382526,-0.349229974,-0.402341275,-0.6866274825,0.6291066365,0,-0.0735522155,-0.876725551,-0.422824508,-0.1400207235,0.4445325435,1.045016199,0.267233396,0.068803139,1.4567317055,-1.6830847305,0.106835851,1.7301838065,-0.505368926,0.243673347,0.450890351,0,2.9400388845,0.492717083,0,-0.0735522155,1.737962319,1.057117199,-0.043549644,0.475978384,-0.733401418,-0.462568239,-0.272470775,0.012455486,-0.184459051,-0.794129657,0,0,0,0.388782844,0.214615554,0.2201424825,-0.2191146295,-1.426436915,-0.782026384,-0.441548872,0.0135490619999999,0.412844946,-0.539645843,2.004290904,0,0.1317304355,-1.0835206925,-0.3193381965,0.51952004,-1.515989971,-0.056080361,-0.028547953,-0.6134912155,0.1336944935,0.3631127465,0.297342838,0.1317304355,-1.2395917685,0,-0.0248440965,0.4155239185,0.0559528245,-0.0251580415,-0.053264484
"set61_507",0.3968596645,0.103531536,-0.390135458,0.242573748,0.1300873065,0.7007737565,0.6827866115,-1.0492480415,-0.199975908,-0.284882419,0.260296589,1.9571284755,2.4573234025,1.104825905,0.4904964185,0.2150131485,-1.7218044035,-0.103465116,0.364215299,0,0.628024926,0,-0.152518268,-0.536835961,0.3022464535,-1.216052194,-0.37597681,0.34577365,-1.2095305525,0.521923413,-0.630938601,-0.5646968455,0.411798728,0.1824577965,-0.0675557279999999,0,0.4055302695,0.188493709,0.941516146,0.463277127,0.1015238595,-0.471386955,0.219459609,0.4068585725,0.245295161,0.147613848,0.0207615724999999,-0.8133517665,-0.9373741385,0.728463648,-0.437774886,-0.9649868955,-0.2875422895,0.030242192,0.54615647,0,-0.00344092800000007,-0.148314712,-0.382822362,-0.731722313,0.6216234025,0.700130912,-0.1517181,-0.273947456,-0.10295872,-0.129554283,-0.262849361,0.5833393805,0,0.4096458025,0,0.8528777385,-0.000248010000000021,-0.025540918,-0.390021469,0.2317364755,-0.014179802,-0.00192885699999995,0.265504292,-0.249814683,0.073699373,4.10637012,-0.5427225965,-0.404475115,0.649523822,0.425604065,0.0114287355,0.8471055715,1.995335481,0.698206356,0,0.664528827,2.415453603,0.046445398,0.4763487415,-0.1609792355,0.0570732595,-0.042711098,0.629842698,0.111180583,0.028547953,0.724055723,-0.277654114,0.012093773,-0.053265712,1.1982804075,0.153826604,0.507852897,0.5899243925,-1.96935461,0.06460865,0.479322807,0.877000527,-0.685718,0.278778926,0.046226651,0.9348426745,-0.428474526,0.232082137,-0.23125831,-0.5199394355,-0.729033969,0.5193424375,0,-0.0570732595,-0.8535573315,-0.271189218,-0.028382004,0.4159968345,0.7424504695,0.197374974,0.095334657,1.7305855785,-1.6578275115,0.3300856965,1.7340419535,-0.487648355,0.159808197,0.513379001,0,4.292803598,0.25493162,0,-0.0570732595,1.399408861,1.057117199,-0.185212064,0.106902523,-0.705154132,-0.361258852,-0.392843458,0.014516477,-0.10180014,-1.034518907,0,0,0,0.388782844,0.285844014,0.2299600845,-0.2032233295,-1.011604417,-0.281287382,-0.4940800675,0.475165794,0.412844946,-0.529488696,2.180181608,0,0.028513146,-1.1263183295,-0.1955860225,0.421809962,-1.685550927,-0.113314654,-0.028547953,-0.484149005,0.2159305535,0.181542494,0.2916917685,0.028513146,1.050842935,0,-0.069444698,0.4578314365,0.00389588599999992,-0.115809505,-0.026265913
"set61_506",0.19398901,0.264683522,-0.7065132515,0.5627573645,-0.018883289,0.442892645,0.62433392,-0.610667937,0.1133498405,-0.467190795,0.289068036,1.299403863,2.140867524,0.755510227,0.212733242,0.538920937,-1.151900015,-0.358909001,0.608778012,0,0.1338712145,0,-0.366434087,-1.5372917395,0.1338985035,-0.371004347,-0.417269105,0.813203873,-1.131765835,0.526548362,-0.4640473835,-0.5646968455,0.411798728,0.443018276,0.423054318,0,0.189603989,0.0938244324999999,0.164041975,0.300946874,-0.130441332,-0.090346299,0.41462385,0.105072513,0.245295161,0.454350722,0.1377559125,-0.989156353,-0.3527835675,0.263678212,-1.396040991,-0.476881985,-0.91853171,-0.163200359,0.604031456,0,0.0252392735,-0.137393301,-0.521493836,-0.334760896,0.3938141855,1.031796953,-0.3931944665,-0.9367528315,-0.6442853295,0.593799606,-0.14950025,0.309539558,0,0.17785677,0,0.14697252,-0.5123862995,0.372904858,-0.6218105015,0.0397929915,0.0201986315,-0.00127097100000007,-0.2677179185,-1.365859691,1.198464308,3.8466656055,-1.741608981,-0.7296376185,0.354517328,0.425604065,-0.2968468305,0.2948001715,2.0694763185,0.787762369,0,0.550129876,0.880761542,0.106109881,0.807924111,-0.398206058,0.317633739,-0.238505622,0.633992758,-0.074063119,0.028547953,0.6382294,-0.824248007,-0.06916039,-0.426624805,1.2097062885,0.2624290195,-1.0944858835,-0.0261681474999998,-1.6002374275,-0.344853206,0.351974938,0.877000527,0.10703754,0.447575096,-0.033310162,1.1905453385,-0.555567737,0.4050356265,-0.0806277885000002,-1.4386354645,-0.625568305,1.0295731745,0,-0.317633739,-0.660134792,0.00682618400000001,0.277743251,0.293904797,0.9227051285,0.498367043,-0.228762182,1.0105670525,-1.9255821175,0.000164502999999983,1.758220678,-0.593005238,0.339165208,0.805862154,0,3.2656706415,0.712135352,0,-0.317633739,1.157124734,1.057117199,-0.172639831,0.54996282,-0.382475543,-0.342327522,-0.934658812,-0.30069438,0.231307924,0.216928392,0,0,0,0.388782844,0.161092109,0.7242356755,0.028565703,-1.3173095385,-0.4152129215,-0.204656712,0.821481043,0.412844946,-0.505010599,1.495519518,0,0.0683586945,-0.91044657,0.087661236,0.692810613,-1.441665612,-0.200312597,-0.028547953,-0.7136884575,0.0235537545,0.2689328615,0.5848118635,0.0683586945,-0.263542594,0,-0.1160413165,0.1447618405,-0.1143346995,-0.0658232525,-0.032020543
"set61_509",0.380651167,0.11749259,-0.2393250485,0.3556470955,0.2798723105,0.8069983105,0.8510553005,-0.9428720935,0.0203673835,-0.256338918,0.421190495,2.0275065675,2.1755092175,1.643122566,0.1387431635,0.584861296,-1.211073487,-0.253847965,0.298718368,0,0.4323848645,0,-0.441049732,-0.8263590155,0.097354711,-0.9250595085,-0.382135273,0.338408567,-1.089268961,0.650698215,-0.7106638145,-0.5646968455,0.411798728,0.366256945,-0.100535278,0,0.547114331,0.2026384945,0.685930378,0.4954013695,-0.102866812,-0.294650056,0.356377313,0.5041892195,0.245295161,0.199745185,0.0915921104999999,-1.2139705995,-0.657127513,1.108766517,-0.48536085,-0.8127532305,-2.581614818,-0.021616989,0.520445295,0,0.2539718405,-0.13309525,-0.311336348,-0.2295362785,0.8543254935,0.5471370335,0.00376744300000004,-0.864246265,-0.4397735355,-0.0585740669999998,-0.39924562,0.6177787065,0,0.38674056,0,0.595229826,-1.2286960785,0.0945374349999999,-0.4129267115,0.2758584095,0.019605657,-0.0731103165,0.1329367405,-0.241417858,0.108215564,3.926208016,-0.2681290565,-0.5839672805,0.690472623,0.425604065,-0.253416632,1.0793114295,1.96258806,0.361234995,0,0.619829006,1.9426730575,0.1451104045,0.539370744,-0.297517678,0.240872408,0.041517848,0.841482972,-0.099688052,0.028547953,0.700458714,-0.71410361,0.061068606,-0.039661262,1.1704252545,0.2884246985,0.528335359,0.4358307405,-2.014079454,0.170979221,0.638237598,0.877000527,-0.228187284,0.322144913,0.159258622,1.264532444,-0.561739701,0.306069678,-0.0189635870000001,-0.8091105625,-0.7397120025,0.795225844,0,-0.240872408,-0.8864831415,-0.214083692,-0.0580619545,0.376890851,1.545668122,0.183099642,-0.093252622,1.6957369705,-1.6855473015,0.1876201635,1.934286366,-0.36938419,0.245100688,0.151810811,0,3.2891438925,0.612017224,0,-0.240872408,1.5576005095,1.057117199,-0.016242259,0.304573984,-0.474484281,-0.220266909,-0.364949343,-1.241195648,-0.069017561,-1.063171081,0,0,0,0.388782844,0.270462619,0.4100766915,-0.180318087,-1.3116419925,-0.5766487495,-0.353811592,0.8371883905,0.412844946,-0.3942293705,1.991259854,0,0.0955403225,-1.257393747,-0.229143166,0.550045549,-1.617074264,-0.164911399,-0.028547953,-0.5758364125,0.0298406605,0.3340252605,0.282111019,0.0955403225,-0.99463831,0,-0.1532645065,0.841520226,0.0172880565,-0.0614864545,-0.03873807
"set61_489",0.403856691,0.191277039,-0.4321542855,0.245398371,-0.0757304185,0.2880843695,0.4011612105,-0.709043237,-0.207175819,-0.321421486,0.208802991,2.034184033,1.48985604,1.401790115,0.4879048615,0.398928081,-1.595726585,-0.115721562,0.4144183415,0,0.538209838,0,-0.368846886,-0.910433599,0.442206787,-0.929445192,-0.263768773,0.831147797,-1.03125151,0.335943668,-0.605618071,-0.5646968455,0.411798728,0.21216618,0.0734337460000001,0,0.484133172,0.1212491675,0.702306653,0.3948840415,0.224155535,-0.329166201,0.309760765,0.567938527,0.245295161,0.229258162,-0.0973424045000002,-1.364826269,-0.841884272,1.084318485,-0.796207751,-0.433619146,-0.355134242,-0.03660018,0.524200889,0,-0.0340491465,-0.080318981,-0.399819707,-0.6311310625,0.229825375,0.177436896,-0.156016244,-0.4470888935,-0.3022214065,0.291079077,-0.213817668,0.4835673155,0,0.328443821,0,0.7145535905,-0.112977477,0.1244917,-0.4712234505,0.174854029,0.020932262,-0.4617634635,0.200866566,-1.259803233,1.130723274,3.937359403,-0.535824741500001,-0.2441635855,0.475125702,0.425604065,0.091210399,0.578400047,2.070248885,0.414907431,0,0.570804998,1.4945784685,-0.22059312,0.715246838,-0.149164476,0.086781643,0.289680838,0.535184559,0.059717464,0.028547953,0.797221966,-0.275733732,0.041603907,-0.436119088,1.2320043695,0.248370267,-0.7971350055,0.3609472295,-1.551444842,0.3861716045,0.1394287245,0.877000527,-0.5207797165,0.357233733,0.056813562,0.915584143,-0.482271263,0.416499939,0.231291723,-1.4882298855,-0.6366233355,0.5639891975,0,-0.086781643,-0.7205221455,0.149836858,0.053787429,0.280384405,0.8253933365,0.263856967,-0.066891719,1.152098965,-1.9763906965,0.3181167825,1.590821858,-0.0870364519999999,0.220905273,0.565432416,0,3.292863348,0.729658067,0,-0.086781643,1.2287039125,1.057117199,0.137537777,-0.090023666,-0.3087241505,-0.1721417035,-0.290758269,0.091021025,-0.017279242,0.0815135085000002,0,0,0,0.388782844,0.395064835,0.5023555415,-0.122021348,-1.0561951175,-0.2228868005,-0.4015537335,0.8046242495,0.412844946,-0.5908857885,1.897899255,0,0.052832681,-0.736844291,-0.230102831,0.486847948,-1.355027466,-0.145076686,-0.028547953,-0.227812663,0.0482182675,0.247956436,-0.0923277474999999,0.052832681,-0.786684388,0,3.44999999978002e-07,0.0782988794999999,-0.0745542850000001,-0.1798393445,-0.066151938
"set61_488",0.420022622,0.289467761,-0.3071850925,0.4835760675,-0.2486054235,0.3453007005,0.3651524655,-0.536959684,0.0336810754999999,-0.331628254,0.4218556875,1.94833231,1.392205454,0.605475787,0.5578150515,0.3545188575,-1.6651496115,-0.301966573,0.9595510655,0,0.1858439915,0,-0.129188063,-0.5546707005,0.1389863535,-0.950630268,-0.462201721,0.539199512,-0.8677621045,0.1821603265,-0.4352379865,-0.5646968455,0.411798728,0.3808182745,-0.183737949,0,0.484577848,0.1364732325,0.316009045,0.2407598535,0.0518921795,-0.281834139,0.648709908,0.197262629,0.245295161,0.164321619,0.1491446175,-0.7464248015,-0.4967100535,-0.84583509,-0.3221091415,-0.747235795,-2.525829996,-0.142108667,0.656699423,0,0.168757512,-0.014732968,-0.419580027,-0.148697587,0.3899175295,0.856757617,-0.03138952,-1.096460593,-0.1750758525,2.716505616,0.166037932,0.476223761,0,0.372844423,0,1.0629482445,-1.487074877,0.731930935,-0.4268228485,0.2306919115,0.034369836,0.131808393,0.4175468885,-0.355686344,0.220182757,3.6382535925,-0.421055312,-1.622303819,-0.352931742,0.425604065,0.0819569205,0.9302380495,1.274551249,0.354072353,0,0.394882609,1.9097025235,-0.0905235105,0.478599544,-0.255116078,0.2554337375,-0.180623682,0.5970953185,-0.00724515499999998,0.028547953,0.764855557,-0.574616986,0.028228208,-0.239956292,1.1210150005,0.2866826955,1.028052992,0.66584689,-1.6703673835,-0.255012889,0.345950003,0.877000527,-0.216438849,0.303972598,0.075996457,0.6145045585,-0.818747861,-0.0772174505000001,-0.1939450915,-1.0772503035,-0.6675012405,0.712173022,0,-0.2554337375,-0.7393320525,-0.00603096999999997,-0.161006589,0.399742376,0.576041692,0.475654326,-0.493475329,1.379393029,-1.7211647165,0.1842561535,1.547170783,-0.740014899,0.274879158,0.1234376165,0,1.9802429325,0.57419695,0,-0.2554337375,1.5066951855,1.057117199,-0.017991954,0.106282824,-0.517476674,-0.213398398,-0.256156237,-1.441206585,0.127816102,-0.818297877,0,0,0,0.388782844,0.43730251,0.5250334935,-0.16642195,-1.12084454,-0.412849358,-0.366848501,0.3429049585,0.412844946,-0.6674006255,1.78392227,0,0.0642699615,-0.9200994445,-0.412350163,0.570923198,-1.872934713,-0.290477589,-0.028547953,-0.5775772875,-0.0627562115,0.3928526825,0.133579006,0.0642699615,-0.6923084235,0,-0.0414353145,0.2328281645,-0.5730706255,-0.1883491685,0.028828829
"set61_487",0.460231849,0.257462365,-0.2342240555,0.258945,-0.52584308,0.0353914720000001,0.165511169,-0.381119546,0.089027619,-0.30100759,0.4460424275,1.8588393015,1.2736958935,0.511019175,0.5439038545,0.2877515305,-1.8688064135,-0.266422102,0.922563677,0,0.2130237905,0,-0.093009523,-0.5542083615,0.1495019595,-1.0851322855,-0.452223867,0.438547384,-0.7923263745,0.0893322630000001,-0.4198676535,-0.5646968455,0.411798728,0.3672406255,-0.222345313,0,0.45886151,0.1446797785,0.311592204,0.125747704,-0.0991122565,-0.363865893,0.34186007,0.2272606405,0.245295161,0.308164671,0.1250463125,-0.658176294,-0.7670084835,-0.851401553,-0.0323283940000001,-0.663241133,-2.5189125895,-0.126037988,0.69578269,0,0.25193435,0.058623886,-0.322650822,-0.158533755,0.1359680635,1.048141076,0.04160442,-1.1808552675,-0.3620863435,2.619141386,0.247197576,0.5127370445,0,0.410608812,0,1.1017942035,-1.4836709325,0.651845988,-0.3890584595,0.274780608,0.076396576,-0.2063376505,0.341534464,-0.5001959315,0.196876427,3.8099347215,-0.0511122855000003,-1.551442476,-0.341245349,0.425604065,0.0695061695,0.856227035,1.2198376945,0.246333013,0,0.532416232,1.9319173275,-0.2606092915,0.335950812,-0.194528765,0.2418560885,-0.0487431,0.6224228965,0.019342861,0.028547953,0.658075341,-0.51263258,0.002310641,-0.161354239,1.149590168,0.377060483,1.030187077,0.641532214,-1.706265828,-0.2312620905,0.0978330945000001,0.877000527,-0.2750342285,0.313093468,0.086322864,0.3269246505,-0.808184351,-0.1190454095,-0.2431786655,-0.929938921,-0.647331527,0.771706196,0,-0.2418560885,-0.636606429,-0.117320656,-0.1154076415,0.291297007,0.451877331,0.326603727,-0.492833832,1.330451402,-1.62980428,0.1399813455,1.356102006,-0.662702602,0.316583891,0.3010963535,0,2.223338954,0.453966107,0,-0.2418560885,1.3272028795,1.057117199,-0.049174519,-0.130735588,-0.5212003035,-0.2239324985,-0.2611474,-1.415319174,0.133105495,-0.9511454185,0,0,0,0.388782844,0.495946202,0.4611297805,-0.204186339,-1.077972352,-0.451642981,-0.3000370915,0.0516343615,0.412844946,-0.520457572,1.751185713,0,0.070594269,-0.8727030935,-0.476576737,0.562467533,-1.922002018,-0.32859468,-0.028547953,-0.519774685,-0.00545313149999999,0.34343659,-0.16365275,0.070594269,-0.4814419005,0,-0.002727541,0.0323007925,-0.634351541,-0.141735309,-0.043560596
"set61_486",0.3375548315,0.21673644,-0.459153146,0.463108663,-0.26748819,0.256322196,0.260855014,-0.546538223,-0.105073618,-0.313999352,0.3043059695,1.23416523,1.163275713,0.486937943,0.423272348,0.148597719,-1.902499098,-0.4014797,1.1080742425,0,0.166410772,0,-0.101269247,-0.491001361,0.20514202,-0.869285589,-0.213293875,0.469854512,-0.804865416,0.4535563735,-0.5009883325,-0.5646968455,0.411798728,0.329395246,-0.138035602,0,0.4283421885,0.145407535,0.290678953,0.0818705850000001,-0.020318719,-0.431097402,0.365221887,-0.1123092465,0.245295161,0.172606078,0.0125453889999998,-0.6168983875,-0.7889100715,-0.834934128,-0.0779339370000001,-0.8500661305,-2.3452984185,-0.113429858,0.48236462,0,0.066996123,-0.012922763,-0.199711077,-0.438485961,0.028168836,1.0705119595,-0.04587865,-1.3598622775,-0.3998528735,2.57902418,0.250893045,0.386827184,0,0.3067177335,0,1.3283737185,-1.2935768485,0.425302463,-0.492949538,0.1931665965,0.0533566765,-0.332263853,0.051338939,-0.70250662,0.299200297,3.9773540105,-0.4401277655,-1.2670363655,-0.0837449399999999,0.425604065,0.064364037,0.8816091335,1.162992041,0.361804996,0,0.52907635,1.608512636,-0.161540386,0.6207922435,-0.5417521115,0.204010709,0.061433844,0.3679538345,-0.012608939,0.028547953,0.571297206,-0.764753396,-0.234930613,-0.154807121,1.2152054165,0.353257751,0.4802808805,0.624981825,-1.7714284125,-0.3451290365,0.2064289185,0.877000527,-0.224556842,0.355154092,0.125855891,0.2165438195,-0.79273403,-0.180199901,-0.445599634,-0.603018867,-0.6278639645,0.8053533445,0,-0.204010709,-0.790296373,-0.190966363,-0.1080016755,0.1152585695,0.6442601795,0.386638468,-0.288552437,1.307677892,-1.6202160805,0.0702318689999999,1.5234199785,-0.642232728,0.39210821,0.3716479085,0,2.407812964,0.412767112,0,-0.204010709,0.971322603,1.057117199,0.01049408,-0.037736854,-0.678547332,-0.334978337,-0.25876222,-1.124507326,0.125792293,-0.783833637,0,0,0,0.388782844,0.537085762,0.438937965,-0.1002952605,-1.103230373,-0.377561311,-0.2761959525,-0.344347372,0.412844946,-0.6171335565,1.630918637,0,0.092871336,-0.803920098,-0.1668793935,0.499870829,-2.09985808,-0.23478222,-0.028547953,-0.66465063,-0.0278330345,0.149183205,0.0205019705000001,0.092871336,-0.3111352665,0,-0.023336433,-0.069102406,-0.694603922,0.083932427,0.010805327
"set61_485",0.388767558,0.159500906,-0.3223178785,0.463938137,-0.2756693915,0.3661520525,0.2943858215,-0.626663594,-0.0968786460000002,-0.331834698,0.409667051,1.369323001,1.137873929,1.116935637,0.3559638525,0.500193927,-1.83646073,-0.327162218,1.0012800125,0,0.258042674,0,-0.178562153,-0.541176611,0.1705964855,-0.946958351,-0.342380216,0.42960972,-0.85349424,0.4211837765,-0.6201814255,-0.5646968455,0.411798728,0.358569564,-0.33984884,0,0.520528337,0.1820829975,0.475770903,0.0741593280000001,-0.015817103,-0.446504008,0.378770756,0.123112206,0.245295161,0.247828404,-0.00705723500000011,-0.9233793315,-0.7730395755,0.124376662,-0.0911490955000001,-0.8917934345,-2.393877398,-0.032381799,0.578761934,0,0.127557674,-0.043404762,-0.234694737,-0.1727498505,0.1572390355,1.07486574,0.080011568,-1.171264471,-0.4655521235,2.592846787,0.213828536,0.5315830905,0,0.382904497,0,1.233209235,-1.217580484,0.528204596,-0.4167627745,0.26295522,0.0156661045,-0.243462163,0.152424921,-0.644349673,0.318757436,3.983613868,-0.116772413000001,-1.3297411025,-0.147709296,0.425604065,-0.0275513315,0.900942762,1.2290551345,0.211844548,0,0.536337852,1.7085577555,-0.1915766625,0.358535551,-0.440638773,0.233185027,-0.038740273,0.475606838,-0.107148788,0.028547953,0.604052839,-0.674123008,-0.152370944,-0.161354239,1.1800483335,0.271478467,0.722948758,0.638188896,-1.7780185605,-0.204790765,0.234050172,0.877000527,-0.2487931095,0.386620538,0.172992849,0.373582907,-0.785594277,-0.121305141,-0.338398543,-0.7204400015,-0.6651463265,0.8635250425,0,-0.233185027,-0.785788833,-0.120810753,-0.1465426765,0.19874935,0.65503031,0.3963084,-0.442526366,1.3918421925,-1.6396182785,0.1543407135,1.482677264,-0.683791297,0.297171779,0.254911321,0,2.136194369,0.389276694,0,-0.233185027,1.1860728615,1.057117199,-0.08471576,0.00687556449999999,-0.641373608,-0.260134507,-0.277533391,-1.224685583,0.095478461,-0.871747236,0,0,0,0.388782844,0.459313908,0.447989887,-0.176482024,-1.173604438,-0.441323253,-0.2309025765,-0.165121649,0.412844946,-0.4683132055,1.689707271,0,0.086473196,-0.912812231,-0.380500957,0.542121678,-1.96567207,-0.245577601,-0.028547953,-0.634689831,-0.0144447235,0.310372495,-0.014756286,0.086473196,-0.3777446795,0,-0.087025493,0.0867917075,-0.643352328,-0.0677918855,-0.052150649
"set61_505",0.242264599,0.12303276,-0.5516358735,0.681578697,0.1346778535,0.6643472475,0.7739933725,-0.452595886,-0.0964512490000001,-0.574409274,0.324822778,1.0404806745,1.7603988605,0.97393518,0.1858516095,0.658479989,-0.609451647,-0.250028818,0.614946484,0,0.211756459,0,-0.351007376,-1.5326150915,0.104287386,0.0321976965000002,-0.285007341,0.847895129,-1.173156039,0.4095172495,-0.150985393,-0.5646968455,0.411798728,0.471720299,0.722947502,0,0.531654986,0.1848434035,0.313328627,0.4834718045,-0.204636247,-0.0160977950000001,0.375332206,0.062172992,0.245295161,0.322358901,0.4219684765,-1.137296811,-0.229714325,0.728324637,-1.4414298625,-0.5215964305,-1.188078176,-0.187159891,0.659351563,0,0.0973205235,-0.038817552,-0.481417461,-0.1543821635,0.2825309305,0.9492030115,-0.618985273,-0.881335662,-0.618198612,0.611958698,-0.048088414,0.433454913,0,0.184909489,0,-0.2536979285,-0.448989851,0.638354336,-0.6147577825,-0.013403691,-0.019754338,0.211081809,0.018844968,-1.592281613,1.241335181,3.73353956,-1.147532501,-0.4659227705,0.195795577,0.425604065,-0.3953725235,0.163254546,2.05398777,0.946208241,0,0.564043812,0.482889324,0.3219788035,0.775715873,-0.360274288,0.346335762,-0.15594938,0.712180229,-0.221823066,0.028547953,0.756114707,-0.512722438,0.019593056,-0.570258397,1.2270779835,0.122273679,-0.753728484,-0.125304257,-1.1534587995,-0.424322913,0.618272355,0.877000527,0.0971394655,0.476898059,-0.094689685,1.4229888405,-0.590510911,0.3878584965,-0.1774605765,-1.246313217,-0.5632238435,0.945713369,0,-0.346335762,-0.512363383,0.039135794,-0.155790637,0.304062702,1.487089514,0.376995279,-0.142516079,0.891689654,-1.8119565865,0.1876522025,2.006170043,-0.866293623,0.321251409,0.164581095,0,3.264808045,0.510450331,0,-0.346335762,0.9215632665,1.057117199,0.171972784,0.7367659025,-0.458717117,-0.32670922,-1.064265454,-0.646762905,0.289616861,0.372053075,0,0,0,0.388782844,0.056515868,0.7702833265,0.021512984,-1.451801401,-0.47923365,-0.2718722175,0.952726632,0.412844946,-0.236226458,1.014761801,0,0.008109293,-0.410054995,0.130958449,0.754906427,-1.291164576,-0.162392335,-0.028547953,-0.590463586,0.1853865425,0.332400426,0.823632818,0.008109293,-0.182330621,0,-0.082726556,0.2616509335,-0.103199621,-0.033054135,-0.110752069
