"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set53_246",-0.0804648035,0.014113769,-0.0804648035,-0.0223796900000001,-0.2284983655,-0.1886887405,-0.1886887405,0.144687757,-0.25680701,0,-0.1440024095,-0.0265556189999998,-0.303960431,-0.585504389,0.027461516,0.0584019700000001,0.00966790000000003,0,0.217819574,0,0.0554844115,0,0.055239046,0.076158533,1.0536768,0.4449543,-0.098054531,0.230271141,0.288224716,0.1318837825,-0.237387001,0,0,-0.063537606,0.28058354,0,0.708406599,-0.0804648035,0.208509433,-0.225134447,0.23688114,0.112281018,0.099519878,-0.263251246,-0.04035933,0.064387838,0.3949967715,0.0999428815000001,0.7522349965,-0.547611438,0.126519545,-0.072068011,-0.3046733425,0.103761138,0.00472819599999996,0,-0.3356484315,0.026843242,0.128612156,-0.102365785,-0.0563434909999999,1.127070204,0.1375281185,0.055207032,-0.2295323695,-0.079806857,-0.063151631,0.932897841,0,0.701732943,0,0.370892541,0.0394494085,0.085214258,0.0617160895,0.0298337465,-0.075173072,0.000772102000000087,0.001903667,0.170279561,0.032737797,-0.0427819925,0.4792344015,0.049441949,0,0,0.018127905,0.0455594625,0.315449122,0.9260256785,0,-0.8335656695,-0.19519239,-0.0985820769999999,0.0804648035,0.0590827205000001,-0.063537606,0.15232648,-0.1246222115,0.095780016,-0.308849104,0.210558623,-0.028425149,-0.269410406,-0.015994013,0,-0.18635413,0.778309733,0.338681164,-0.338980293,0.277428037,-0.228912992,0.8810260455,0.0636881415,0.9439997795,0.050328289,-0.193518229,-0.016404597,-0.0776006295,-0.1186761315,0.2928165475,0.2242960015,0.294681048,0,0.063537606,-0.00158910300000004,-0.119824099,0.1031252765,0.0550630735,-0.107056086,0,-0.280286731,0.0777249325,0.0126572675,0.187844629,-0.0630225925,0.029232654,0,-0.0169271975,0,0.152610277,-0.242678257,0,0.063537606,-0.197774634,-0.00198050100000002,0.085677317,-0.162284669,-0.000619377499999997,-0.0915359815,0,1.1185315935,0,-0.0171630775,0,0,0,0,0,0.0515979645,0.0804648035,0.00926768200000003,0.117699679,0.7271457795,-0.116822371,1.564395493,-1.4117171015,-0.091604936,0,0.11029855,0.217818993,-0.0332948895,-0.038973971,0.118808358,-0.073153268,0.073153268,-0.044438813,-0.7821977465,0,-0.0657227669999999,0.11029855,-0.127067431,0,0.151754329,0.0478452985000001,1.210471425,-0.1443238405,0.327473842
"set53_271",-0.1792903795,0.174944465,-0.1792903795,0.127623335,-0.392618169,-0.503234047,-0.503234047,0.041128685,0.0137022505,0,-0.2419439305,-0.9648655975,-1.4101226595,-0.773955119,0.043364879,0.017135217,0.169903684,0,0.6541439155,0,0.040678895,0,0.036411363,-0.050877658,0.970228847,0.265838217,0.092585625,0.354684788,0.372495034,0.257421605,-0.513264759,0,0,-0.062653551,0.581803487,0,0.747184705,-0.1792903795,0.129337784,-0.4158317785,0.101481004,0.054332515,0.149006192,-0.609290243,-0.467666047,0.208081545,0.149733426,0.195487309,0.22997883,0.462722777,0.7415587315,-0.077244457,-0.327859028,0.109107359,-0.197270085,0,-0.073611915,-0.013903179,0.328812565,0.093333909,-0.405752302,0.890229426,-0.1202647315,-0.1666126515,-0.5309053885,-0.19820815,-0.115104962,0.672054507,0,0.558674009,0,0.5709016655,-0.09579257,-0.108935619,-0.1401717665,-0.105434178,-0.0732027375,-0.874371359,-0.0471646155,-0.019980047,0.22573447,-0.3462722425,0.216777079,-0.142429288,0,0,-0.066909978,-0.0629121625,-0.3978930155,0.8723942895,0,-0.6389771775,-1.081699726,-0.246450856,0.1792903795,-0.9803899685,-0.062653551,0.117474329,-0.4533517705,-0.115498901,-0.292260987,0.448545824,-0.039120946,-0.353267751,-0.106155551,0,-0.2171395915,0.637065646,0.1079529375,-0.1639537165,0.570084388,-0.447343477,0.9703667705,0.127839479,0.9572318815,0.219977797,-0.6205716475,-0.019792748,-0.2420042675,-0.3529635605,0.4637505545,0.1820339295,0.052607829,0,0.062653551,0.0291095805,-0.137727694,-0.00683199049999997,-0.1436081135,-0.312372138,0,-0.211119476,-0.1973070155,0.019146852,-0.129329618,-0.357266179,0.107393366,0,-0.1166368285,0,-0.2054997615,0.003936247,0,0.062653551,-0.3016570125,-0.029494599,0.179428753,-0.505590987,-0.0835619115,-0.2426703595,0,0.8582124325,0,0.1209090185,0,0,0,0,0,0.114688843,0.1792903795,0.171496843,0.181239125,0.546510935,-0.882516116,1.475928777,-1.112212016,-0.240187737,0,0.0738562015,0.293100898,0.2138001175,0.034753331,0.197139008,-0.072295159,0.072295159,-0.081784898,-0.7379643885,0,-0.157655867,0.0738562015,0.4860946065,0,0.0739316035,-0.3096281035,1.029068367,-0.1113002125,0.145564232
"set53_339",-0.2646053625,-0.13229616,-0.2646053625,0.218128123,0.0288065095,-0.1746184295,-0.1746184295,0.475231938,0.110321738,0,-0.3186966805,0.9012036085,0.6581945125,-0.713013617,0.264221209,0.035730504,-0.023358147,0,0.0328440204999999,0,0.3596819885,0,-0.10588958,-0.152525879,1.0250671015,0.9733258255,0.20519421,0.210019011,0.285693899,-0.0307047295,-0.3896555945,0,0,-0.054091318,0.214751127,0,-0.2006148795,-0.2646053625,0.287884948,0.2486746445,-0.036372778,0.022251461,0.517109786,-0.207840532,0.049999037,-0.046781204,-0.0180759045000001,-1.0620149005,0.4317927925,-0.552015289,-0.192604264,-0.057500206,0.7103212285,-0.269415343,-0.022426873,0,0.3025668795,0.0608341889999999,0.397410335,0.475625466,0.132361509,0.379124676,-0.172325514,0.277504271,0.327851251,0.2795949145,-0.303762475,0.4500143515,0,0.0850835535,0,0.3240628425,-0.186190734,0.103216919,0.039170642,-0.2138002215,0.1722535185,-0.0140848095,-0.11888255,0.6342020805,-0.233071434,0.3804226135,0.476939119,-0.425254747,0,0,0.154390178,0.1098698415,0.36612202,0.590678841,0,-0.4738436285,-0.0474408365,-0.1904816965,0.2646053625,0.6323989485,-0.054091318,-0.335679385,-0.6696887325,-0.437728944,-0.4684326725,-0.129529441,-0.046842976,-0.0132017639999999,-0.0102051580000001,0,0.231910567,0.215090067,0.5218338885,-0.078904109,-0.00421169000000005,-0.232029502,0.0639861569999999,0.2072278675,0.9545166965,0.214964338,0.534848655,-0.127592055,0.308838912,0.639445721,0.550409123,0.596409811,0.437504105,0,0.054091318,-0.156875169,0.227195297,0.645365845,0.3058853025,-0.348107789,0,-0.635644801,0.862836929,0.310398216,0.557448552,-0.116526688,0.271725037,0,-0.2105140445,0,0.176480372,-0.956257682,0,0.054091318,0.0220137,0.074613953,0.08172801,0.0947030765000001,0.559880753,0.798218123,0,0.829621716,0,-0.1223611405,0,0,0,0,0,0.0509181875,0.2646053625,-0.057414315,-0.368981515,0.390316075,0.46194173,0.699377832,-0.653279181,-0.181482832,0,0.050805141,0.237152147,0.6420156415,0.507838285,-0.237834253,-0.0817008055,0.0817008055,-0.435223294,-0.349688916,0,0.220251347,0.050805141,-0.372147156,0,0.2595289225,0.44370223,1.176993954,0.473808131,0.459682604
"set53_338",0.218735161,-0.022015842,0.218735161,0.570789964,0.9364929345,0.3450287175,0.3450287175,-0.385913929,-0.1003218965,0,0.23573357,0.5497331215,2.6722947485,0.949375295,-0.24467823,0.480035848,0.137135023,0,-1.766309562,0,0.178724222,0,0.52046889,-0.1749997685,0.3240137595,-1.1113172655,0.155519387,-0.017475647,0.326405076,-0.3793475385,0.332679154,0,0,0.016998409,-0.0409457520000001,0,0.2981079895,0.218735161,0.230782677,0.5892270845,-0.094581162,0.385654427,0.291636577,0.2903098965,-0.675223882,0.008447436,-0.0203586734999999,-0.783464623,0.238057496,-0.382968672,-1.830311639,0.318372319,0.068915539,0.121694915,0.019894103,0,0.0172676795,0.15504963,0.338897159,0.545322605,0.299309584,0.2876492365,-0.0387679320000001,0.5694467555,0.7689957345,0.534753332,-0.054734615,0.5222646645,0,0.2094585915,0,0.0473616529999999,0.2703957535,-0.038325967,0.360900044,0.1880010155,-0.060039461,1.805959373,0.2023471815,0.613436319,1.471000856,-1.226006224,0.6469755845,-1.320408069,0,0,-0.019089638,0.319925988,0.5968690375,-0.3251822435,0,0.0395917215,0.896322499,0.5526095045,-0.218735161,2.901595104,0.016998409,-0.353671387,1.840309431,0.054314183,-0.187624513,-0.146856152,-0.315672031,0.295902831,0.209755889,0,-0.2816057255,0.1210609035,0.6688356475,-1.6218242135,0.360337573,0.476462662,0.1648986895,-0.2154724885,0.0741372865,-0.206156665,0.762517519,-0.021042483,-0.111554417,-0.00408377499999998,1.0185377065,0.232771778,0.266024634,0,-0.016998409,-0.0446208485,-1.527385338,0.233889628,0.297144056,0.4088259965,0,-0.436013235,-0.088414036,0.2331248375,0.344937192,0.537758859,-0.219384892,0,0.201736752,0,-1.6372705415,-0.608845441,0,-0.016998409,0.543416154,-0.169458734,-0.254228857,1.1382071005,0.2925330725,0.4414168035,0,1.2154973735,0,0.4353064035,0,0,0,0,0,0.00826058550000001,-0.218735161,0.0423655415,-0.2632529605,-0.26396102,1.913230543,-0.018553139,0.271670025,0.046130278,0,-0.0307341455,0.091114835,-0.824524112,0.383297288,0.0602097099999996,-0.065396329,0.065396329,-0.291286032,0.0092765695,0,0.5389746415,-0.0307341455,-0.606829708,0,0.0438343435,0.5713967725,1.151816279,-1.4014514875,0.770216603
"set53_337",0.0766968525,-0.58125897,0.0766968525,0.316610864,-0.0597538194999999,-0.3304437885,-0.3304437885,-0.0956562405000001,0.8942435855,0,0.157539331,1.638343115,0.541349136,-0.270450004,0.00602747300000001,0.0278986365,-0.1949950745,0,-0.818956532,0,0.272209717,0,-0.240810482,0.081555468,0.704059393,0.6010934255,0.494989328,-0.0423362,0.4565803225,-0.311029659,-0.4694686635,0,0,0.0808424785,-0.102607957,0,0.1796806845,0.0766968525,0.131966613,-0.0894547500000001,-0.1440106375,-0.212276816,0.048563366,0.1451317715,-0.122495152,-0.178386655,-0.2786739535,-0.0684285044999999,-0.183140897,-0.22731485,-0.4400063845,-0.721075958,0.8077667055,-0.046186476,-0.044152732,0,0.089813789,-0.018695739,0.18130906,0.4778302115,-0.498339472,0.355301788,-0.0600331645,0.510168634,-0.191863698,0.397327111,-0.305242068,0.4176459405,0,0.3978347275,0,0.8045938255,0.0489540655,-0.046943191,0.1502943285,0.022689719,-0.2095124175,0.319546332,-0.2867462225,0.8451832125,0.191229864,0.199148747,0.583411124,-0.2648999795,0,0,0.033063634,0.3747288575,1.376631242,0.194592824,0,-0.110879411,1.1349815955,-0.375944553,-0.0766968525,1.8252491355,0.0808424785,-0.280401605,0.485849675,-0.044364903,-0.13822693,-0.440816221,-0.327273527,-0.541123422,-0.48173053,0,-0.3638757045,0.088812226,0.960581039,-0.216678588,0.378916914,-0.411518284,0.329411861,0.030980971,0.4658227,0.00939648,0.144160728,-0.092092254,0.1417460865,0.0057208094999997,0.2412718185,0.130823112,0.5892923055,0,-0.0808424785,-0.391635531,0.129202574,0.1785305485,0.5020922865,-0.4338949325,0,-0.124298772,0.793866723,0.139945761,0.290998588,-0.3937805565,0.112171367,0,-0.00414562599999997,0,-0.3229489655,-0.710756384,0,-0.0808424785,0.0460405235,0.206576208,0.043930633,0.287718218,0.219654586,0.179169549,0,0.506419735,0,-0.4341864915,0,0,0,0,0,0.0596743785,-0.0766968525,-0.022759216,-0.070524423,0.4260308455,0.496838522,0.64227575,0.1848463075,0.004105742,0,-0.0540071335,0.2114520275,0.2300530435,0.513143846,-0.346097954,0.054578132,-0.054578132,0.00857581500000001,-0.321137875,0,0.4617672115,-0.0540071335,0.1255488915,0,-0.0790101395,-0.0506134269999999,1.540188018,0.706456223,0.42701561
"set53_320",-0.233323054,-0.115202293,-0.233323054,-0.0533828470000001,-0.7769799225,-0.5037731105,-0.5037731105,-0.0537284294999999,0.82228889,0,-0.332596721,0.1172614705,-0.2998644965,-0.35136388,-0.568845087,0.054818746,-0.213719222,0,-0.0738901494999999,0,0.186819287,0,0.130508257,0.219238885,0.6045703865,0.221910395,0.280024893,0.089708648,0.424123789,0.6980213105,-0.5586608685,0,0,-0.099273667,0.107704766,0,-0.422265502,-0.233323054,0.102038268,-0.1813706645,-0.051587787,-0.252219187,0.049125203,-0.612729001,-0.278902031,-0.04843486,-0.462408814,-0.131298915,-0.602853662,-0.289917875,-0.322401573,-0.2846592635,-0.020208638,0.104078258,-0.206917669,0,0.211700538,-0.209834103,0.223893079,0.5707276,-0.297132925,-0.0818352115000001,-0.3952836925,-0.1281945185,-0.283295385,-0.1464348995,0.075287788,0.3623715,0,-0.00408073200000006,0,0.8166522105,-0.1396120525,0.196297198,0.1852111155,-0.229135747,0.228123792,0.1899126995,-0.337030119,0.1219053005,0.259564706,0.1266649245,0.491421988,-0.309776776,0,0,-0.00538434099999999,-0.031191238,0.713399945,0.67164277,0,-0.0857429024999999,0.1395723675,-0.312143803,0.233323054,1.093714881,-0.099273667,-0.089494564,0.266560903,-0.087127056,-0.1931227265,-0.161872534,-0.132250959,-0.714823647,-0.318535167,0,0.082840168,0.0757400369999999,0.031454458,0.0299326505,0.534823969,-0.4301288,0.0782360459999998,0.038963027,0.7558601515,0.145226929,-0.369298877,0.036857244,-0.1919922755,-0.2165824735,0.0228705359999999,0.184909547,0.178986783,0,0.099273667,-0.5470424295,-0.088636991,0.0786210430000001,0.084180548,-0.4406758715,0,-0.127302645,0.1519854545,0.0703275870000001,-0.027669323,-0.6469904625,0.52018954,0,-0.134049387,0,-0.450142778,-0.138367906,0,0.099273667,-0.2136352655,0.066374121,0.513389364,-0.5835274745,0.146833415,-0.0103882750000002,0,0.138694242,0,-0.1548755655,0,0,0,0,0,-0.054419343,0.233323054,0.2566375245,0.1365864795,0.154490251,-0.227358196,0.458484644,-0.26409943,-0.188720097,0,0.004187307,0.237663251,0.269431836,0.322093457,-0.2238791,-0.1887973615,0.1887973615,-0.097216498,-0.229242322,0,0.3291941805,0.004187307,0.5809069535,0,0.2088454145,-0.160161662,0.954858584,-0.045792741,0.432519484
"set53_319",-0.275530119,1.348749886,-0.275530119,-0.093149889,-1.741973887,-1.010496304,-1.010496304,0.497517238,0.761500901,0,-0.2090095855,-1.7668107145,-2.2990719575,-1.415919272,0.891131331,0.1500013675,2.3201234875,0,1.224417485,0,0.191038657,0,0.294195069,-0.8363095125,0.798920298,0.9984581375,0.321598385,0.744037399,-0.0806503805000002,-0.9526629665,-1.031861836,0,0,0.0665205335,2.368138082,0,2.9310302405,-0.275530119,0.076708504,-0.914586904,0.7198947495,0.3804924,0.519758185,-1.030924688,0.415361056,1.98242898,-0.3184263,1.350210888,0.900241525,-0.645615667,1.15868309,1.7321557195,-0.0661836320000001,0.105218226,-0.254520766,0,-0.5282125365,-0.097090131,0.622766542,0.2887370365,-0.9837381835,2.7059652325,0.4264689845,-1.087549208,-1.305747734,0.4545475925,0.211041338,0.7040084585,0,0.6580621035,0,-0.606076827,-0.027819697,1.108789926,-0.3287064115,-0.178498767,0.707308814,-1.234077426,-0.880091529,-0.6997401925,0.949669841,-0.611091898,1.483459553,-0.9999218535,0,0,-0.206431712,-0.586247862,-0.7240512585,1.6265791595,0,-0.4734368,-0.7469298905,-1.000815325,0.275530119,-0.507916487,0.0665205335,0.522401846,0.8555897835,-0.208209529,-0.3903638985,0.501470598,-0.200749203,-1.118062653,-0.443325954,0,1.343331907,2.139099292,-1.4323278395,1.1873079625,0.9837591135,-0.9614744775,1.4060764445,0.505602538,1.014479024,0.164929587,-2.0024656555,0.47852142,-0.518856988,-0.816363049,0.075471133,-0.507427364,0.2020728555,0,-0.0665205335,2.267457814,-0.23995803,-0.3162356315,0.014729506,-1.0712026835,0,0.399555478,-0.781036476,-0.11735821,-0.451173148,0.5645823455,-0.790934345,0,-0.3420506525,0,-0.146056867,0.479438218,0,-0.0665205335,0.1651842345,-0.261648678,0.083920571,-1.7062667335,-0.3442732565,-0.5168347055,0,0.3177285105,0,0.157701776,0,0,0,0,0,0.438539233,0.275530119,0.5977293805,0.4868486415,0.4961322815,-0.542797442,1.867184445,-1.9897352885,1.705325666,0,0.097031352,-0.8096447455,0.150594931,0.235657311,1.433940063,-0.0841585365,0.0841585365,-0.079910024,-0.9335922225,0,-0.2702880295,0.097031352,0.500026303,0,0.7724935585,-1.2564892305,0.306154159,0.1274073545,0.426469551
"set53_318",-0.0913008955,-0.100253463,-0.0913008955,-0.133115182,-0.586904317,-0.400356791,-0.400356791,-0.0337326185,0.0346584715,0,-0.1989709295,0.0173041970000001,-0.793611228,-0.77609027,-0.241486762,0.308297348,-0.171746912,0,0.522187369,0,0.221231303,0,0.01378768,0.1525262095,1.093554861,0.841768748,0.047009197,0.175987365,0.275496056,0.0945732665,-0.4536403895,0,0,-0.107670034,0.164657487,0,0.5834825635,-0.0913008955,0.32029629,-0.2898445385,0.095317481,-0.105213829,0.177032316,-0.189357226,-0.121955233,-0.008559618,-0.0781509315,0.0127554675000002,0.2551280095,-0.566211177,0.2521584765,-0.2917110365,-0.2197140095,0.140763159,-0.037617245,0,0.0385221175,-0.139919742,0.18784045,0.44379855,-0.0879224114999999,0.833628419,-0.122875389,0.0283281495,-0.3366192325,0.2375147295,0.056849654,0.858751648,0,0.6497278695,0,0.6006740325,-0.0710738545,0.108462111,-0.091397758,-0.042402155,-0.052119442,-0.498479432,-0.0146621595000001,0.288228471,0.000184293000000002,0.300772234,0.540306574,-0.283517356,0,0,0.035380183,0.0239302875,0.26839719,1.123363335,0,-0.7612913855,-0.128579469,-0.3018690055,0.0913008955,-0.18212335,-0.107670034,0.030304252,-0.2137606935,-0.062619819,-0.1672693485,0.161005422,-0.08906629,-0.323167697,-0.090880999,0,-0.2133368125,0.5760858195,0.56012492,-0.3928849875,0.3079062475,-0.3539098915,0.681285925,-0.075140432,1.0317848065,0.100812497,-0.417789957,-0.154832796,-0.018310875,-0.0391335770000003,0.136899181,0.1640599285,0.1632974195,0,0.107670034,-0.333811493,-0.154711199,0.188790656,0.0612549845,-0.4015995035,0,-0.294405249,0.309185539,0.077763707,0.137434402,-0.440801346,0.207733633,0,0.0163691385,0,-0.0332784044999999,-0.452879383,0,0.107670034,-0.1322907645,0.048485937,0.334209006,-0.481856649,0.0172906589999999,-0.179410929,0,0.930331336,0,-0.298843429,0,0,0,0,0,-0.0196763515,0.0913008955,0.2204356935,-0.0122232105,0.7347257255,-0.590585748,1.48205753,-0.9664062055,-0.274372272,0,0.0488987405,0.276833263,0.0582813305,0.172591389,-0.025421879,-0.0789983345,0.0789983345,-0.095879691,-0.741028765,0,-0.2946117745,0.0488987405,0.2938243645,0,-0.07245073,-0.187620155,0.907681211,0.250008752,0.283142034
"set53_317",-0.173080861,-0.022763904,-0.173080861,-0.061119346,-0.0841054629999999,-0.124170112,-0.124170112,-0.137147504,-0.03489652,0,-0.2370655855,-0.053847141,-0.299195779,-0.345295809,-0.3729565095,0.3803718355,0.0554712645,0,0.428443148,0,0.083095798,0,0.142640445,0.1185412295,0.94550155,0.2882381575,0.013599236,0.169246163,0.4159616945,0.668808702,-0.184876404,0,0,-0.0639847245,0.225627322,0,0.2338918995,-0.173080861,0.182030177,-0.1894862695,0.0926168615,-0.038155979,0.201219244,-0.4246138845,0.129007542,-0.041767238,0.098208232,-0.0143172714999999,0.356363664,-0.165637292,0.299470777,-0.2313712835,-0.557665854,0.194600185,-0.086544837,0,-0.0247061845,-0.12927177,0.253500345,0.580941811,0.000540521000000141,0.5585253995,-0.2726253545,-0.194345176,-0.106422482,0.1262195425,0.127420899,0.5618302795,0,0.4795414835,0,0.542023602,-0.217514982,0.082853768,-0.2835894775,-0.167145721,-0.1011242005,-0.097683422,-0.03463457,0.493374034,-0.181554649,0.280889709,0.362803064,-0.0555548055,0,0,-0.0218893425,-0.052736807,0.610495311,0.9149911295,0,-0.806580515,-0.100943344,-0.0307335259999999,0.173080861,-0.24119141,-0.0639847245,0.067252049,-0.1359640335,0.0360885,-0.1307154895,0.082479462,0.068901931,-0.196006632,0.0605747919999999,0,-0.223544188,0.249429095,0.7652135225,-0.1123352575,0.174597018,-0.0956561309999999,0.7539126095,0.051046552,0.83442275,0.183646205,-0.175059666,-0.142710859,-0.080254652,-0.187642431,0.6595830355,0.101114428,0.3014642185,0,0.0639847245,-0.404929665,-0.0661869259999999,0.0263258410000001,-0.032995304,-0.119953799,0,-0.245184634,0.412902758,0.033723894,0.0882263955,-0.198322595,0.208456406,0,-0.1090961365,0,0.173164631,-0.350453204,0,0.0639847245,-0.447403757,-0.010554138,0.060918125,-0.2742239635,-0.0107663510000001,-0.19309818,0,1.0244615325,0,-0.419599348,0,0,0,0,0,0.020638357,0.173080861,0.190347049,-0.01065607,0.6006364785,-0.5194010045,1.305244689,-0.757973534,-0.257895065,0,0.00593514,0.1615707685,0.101488884,0.040796795,-0.025379483,-0.0136154635,0.0136154635,-0.075801089,-0.6526223445,0,-0.0375581819999999,0.00593514,0.065431381,0,-0.0824638505,0.0317783575000001,0.72722693,-0.0230892475,0.455850897
"set53_315",-0.358130299,0.015467316,-0.358130299,0.0226518689999999,-0.0439232354999999,-0.1234149755,-0.1234149755,0.2303257125,-0.112226034,0,-0.416702219,-0.7618450585,1.2527224935,0.285277451,-0.077367985,-0.0573045209999999,0.033258237,0,-0.243207653,0,0.160173994,0,-0.119056896,0.0260019495,0.8090629995,0.1494326685,-0.00207870200000002,0.162003964,0.346579643,0.4093104885,-0.145715563,0,0,-0.05857192,0.166576832,0,0.1086903295,-0.358130299,0.213407847,0.057194034,0.027565175,0.182477194,0.415146151,-0.6897955345,0.025059781,-0.048741943,0.144660077,-1.164851757,0.331246158,-0.525716755,-0.48223561,0.1263466955,-0.6307621155,-0.064858335,-0.040818899,0,0.022230699,-0.026294344,0.258593354,0.413446533,0.082219966,0.502726861,-0.2716312995,-0.207804141,-0.0567063775,0.2511929805,-0.177405975,0.3415717075,0,0.2006919685,0,0.2447877625,-0.3541383205,0.04359432,-0.1068783275,-0.337149316,-0.1163371605,0.119125725,-0.103715738,0.824154771,-0.412464566,-0.2929491525,0.14785818,-0.422911609,0,0,0.005742994,-0.220207636,0.3163858275,0.8469692015,0,-0.900733756,0.0266330255000001,0.029848084,0.358130299,0.7243490875,-0.05857192,-0.032177191,-0.508889457,-0.468756731,-0.2537404505,-0.071845189,-0.048085068,0.215933222,0.106309908,0,-0.294859169,0.1676060895,-0.100826313,-0.0444763795000001,-0.0758286719999999,-0.052909235,0.7471176005,0.261967442,0.865862156,0.098229322,-0.078906559,-0.099129707,0.0403708315,0.0667951055,0.504141085,0.5275546735,0.274664542,0,0.05857192,-0.0512370435,-0.0766398469999998,0.2146067385,-0.00426506599999998,-0.0629582440000001,0,-0.37996867,0.3276421655,0.119924233,0.12117081,0.0733752744999999,0.226674549,0,-0.299558379,0,0.272164923,-0.593694259,0,0.05857192,-0.111956979,0.175060025,-0.013017403,-0.0182487020000001,-0.0037971425,0.0450805484999999,0,1.1823314455,0,0.099009081,0,0,0,0,0,0.022430062,0.358130299,-0.191620098,-0.249114528,0.5204941425,0.088080641,1.117644535,-0.6878854735,-0.046282192,0,0.020980983,0.271232063,0.661219437,-0.020615863,-0.0719073150000002,-0.0415829155,0.0415829155,-0.147689451,-0.5588222675,0,0.00840625799999994,0.020980983,-0.2648176955,0,0.0663467885,0.00989766449999993,0.89213592,-0.4794271055,0.485241549
