"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set97_98",-0.188361196,-0.625560203,0.5479964935,0.247128281,-0.619130509,-0.468175993,-0.559934904,-0.2355136235,0.238518823,0.26350782,-0.140837604,-1.519250084,-3.268124622,-2.058489774,0.1018762205,0.119831105,0.83626021,-0.10778926,0.5057526475,0.104346647,0.053081398,0,-0.07997365,0.893138596,-0.6876579955,-0.0890120839999999,0.117317142,-0.440998252,0.778148946,-0.2045893925,-0.938551786,-0.1221870005,0,-0.00514295100000001,0.745692314,0,-0.9213273155,-0.716638316,0.236287198,-1.1242013075,-0.502726353,0.236009244,0.001453409,0.00549712550000003,-0.242189239,-0.276279492,1.1932068955,1.3270440925,-0.830212753,-0.108443826,4.9773597815,-0.2056787455,-0.3004486235,0.2479291105,0.2593093715,0,0.359889632,-0.182284731,1.423072412,-0.3560218585,0.1730240885,-1.233570795,0.3274794485,0.374593789,-0.296293154,1.321618404,0,-0.3586532145,0,-0.3199075175,0,0.545977397,0.255064033,-0.487706358,-0.2807894075,-0.3103004295,0.2108056915,-1.15620028,-0.0508632865,-0.037700585,0,1.8513587855,0.358227674,0.2795158855,0.201414735,-0.170437772,-0.033384989,0.097220008,0.767856377,-0.2058690735,-0.181567898,-0.0751190805,-0.8118152145,-0.6067704385,0.190434838,-2.3969044715,-0.134860308,-0.383390697,-0.3727031895,0.00809188299999999,0.109344419,-0.242496244,0.528357177,0.202010727,-0.122805959,-1.3079079185,-0.434144437,-0.3784556375,-0.516496691,-0.2085866885,-0.0293492050000002,-0.822298888,-0.00479099650000001,0.5480478375,-0.2411277835,0.00315078899999999,-0.4780029055,0.015066785,0.288030483,0.108122574,-1.5132796525,-0.410079039,0.037708885,-0.555828146,0.3820674805,-0.458019066,0.412751151,0.942035474,0.599547625,-0.619494405,0.121088226,0.322232052,1.402712649,-0.1802347995,0.1480869865,-2.3837752255,0.491451836,-0.092420584,0.039291128,-0.117778902,-0.297093059,0.8707698735,0,0.840560355,-2.1610294365,0.033029927,0.299529685,-1.402135778,-0.063750155,-0.481413661,-0.273099617,-0.2843028275,0.0121070895000001,-0.839773602,0,0,0,-0.149232108,-0.450478321,-0.028772065,-0.384744339,0.849136702,0.522305503,-0.408952737,-3.2754073975,-0.326139519,1.3744221835,0.04492811,0,0.04423119,-0.589911184,-0.193248625,-0.018391922,0.816564243,0.238002034,0.595317507,0.083777661,0.507320421,0.042692648,-0.816392542,0,1.0243516215,-0.509069487,0.032121275,-0.471688177,0.616796137,-0.436944778,-0.030263927
"set97_99",-0.144836102,-0.100584811,0.407813056,0.2030358735,-0.7260838045,-0.4820524845,-0.5464769405,-0.4138478185,0.160980706,-0.022397606,0.082852081,-1.5297651925,-3.3903567325,-2.074434977,-0.019177769,0.196327503,1.216023863,-0.144750057,0.3526850895,0.109802393,0.0738124235,0,-0.112038681,0.692179144,-0.6529935645,0.378991198,0.065496796,-0.456408197,0.771082188,-0.1977538915,-0.901829722,0.145522898,0,-0.020512787,0.847760619,0,-0.272789535,-0.2517184215,0.215361365,-1.0418687795,-0.307644385,0.345214264,0.03823081,-0.0490421665,-0.191252946,-0.15882709,1.04198584,1.1603715385,-0.503442671,-0.258950243,5.106372007,-0.0422062085,0.00286606999999994,0.0373032084999999,0.3367903495,0,0.4233924795,-0.201473125,1.303229257,-0.213683878,-0.140412447,-0.6108967445,0.475151963,0.3879728025,-0.700404748,1.018230364,0,-0.2461552395,0,-0.486998647,0,0.55421428,0.270998392,0.11656307,-0.055702786,-0.2646897665,0.117617368,-1.205912328,-0.021512414,-0.27966385,0,1.6701931685,0.5455554305,0.413772277,0.206830547,-0.046002046,-0.227634949,0.0383434845,0.358284518,-0.274977499,-0.306939103,0.163617587,-1.1732853345,-0.795682396,0.235109225,-2.411148733,-0.13088549,-0.420423014,-0.2261245605,-0.066348891,0.02359501,0.145617191,0.422332908,0.197778853,-0.035607684,-1.153839496,-0.269123808,-0.2752774635,-0.449061279,-0.072518665,0.324187834,-0.707851487,-0.144422421,0.595570802,-0.184863802,-0.01510481,-0.551927058,0.039681632,0.1707071365,-0.0342103825,-1.330731,-0.297138478,0.080289653,-0.426086844,0.1365087895,0.0335229685,0.030503095,0.5359743085,0.347633337,-0.597012065,0.088445001,0.23616696,0.993196679,-0.3820148925,-0.036153806,-1.9959565475,0.521945628,-0.198787976,-0.016402643,-0.163492144,-0.030928407,0.7602689225,0,0.501337822,-2.1881379525,-0.444596048,0.285427409,-1.112632868,-0.037338491,-0.504769294,-0.415781325,-0.734440049,0.1472592775,-0.507685533,0,0,0,0.05503807,-0.556359152,-0.0830234845,-0.276429178,0.3051694275,0.3981035545,-0.298935141,-2.9429994455,-0.380954402,0.833421934,0.285840622,0,-0.015915734,-0.508965987,-0.131048615,-0.01185302,0.760650207,0.151284965,0.415732695,0.00140345950000001,0.44971554,0.0666235145,-0.823017364,0,0.9786128115,-0.104285637,0.189099962,-0.431880751,0.7129177825,-0.484381043,-0.102485296
"set96_295",-0.043953871,0.051795931,-0.2579628115,0.100667719,-1.5072842035,-1.3328265895,-1.4161307965,0.087985627,0.296641888,-0.074166631,0.006705348,0.00422794400000008,-3.376844969,-2.291736848,-0.0110276025,0.119746815,0.0255548139999999,-0.025864874,-0.197322727,0.119310817,0.047186741,0,-0.097754684,-0.331040624,-0.2124150765,-0.110543476,-0.159808033,0.000259315000000003,-0.047288229,-0.502013423,-1.484832266,-0.4215763235,0,-0.070458148,0.272306654,0,0.0356306105,-0.288510535,0.146811759,-1.742755009,-0.02532513,-0.141638304,0.014952421,0.175896595,0.191536213,0.070821195,-0.374688087,1.244498857,-2.0331431325,0.085572332,1.9676676505,-0.179043766,0.0884514025,-0.0396375195000001,-0.0895735805000001,0,0.0775575985,-0.044349892,0.03184191,-0.1595022325,-1.362960532,-0.220088493,-0.069708929,-0.0587931864999999,-1.5301855065,0.2966119385,0,-0.1125855725,0,-0.1425054395,0,0.883592605,0.2107436295,0.021191902,-0.351257316,-0.1212049315,0.1860914585,-1.3577729815,0.010861909,-0.3468626825,0,0.184803931,0.460874792,-0.0944459164999998,0.00549652099999998,0.113555965,-0.031044841,-0.199440667,0.0886417115000002,0.0181934015,-0.091250539,0.102972385,-0.1264758525,-1.561895495,-0.09640059,-0.2220846855,-0.196699112,-0.027242495,-0.2745423595,-0.147759214,0.0342754065,-0.030000289,-0.021977449,-0.038474093,-0.194161017,0.526802495,0.051096214,0.00213553549999998,-0.6628714585,-0.2442330995,1.395524381,-1.47755939,-0.1854918005,-0.2019642015,0.007530528,0.056385854,-1.303316497,-0.029263542,0.2586681785,0.1153882735,-0.542784092,-0.197823741,0.014764653,-0.041171658,0.0486210085,0.3255733395,0.175263033,0.1055008425,0.054845517,-1.4805886125,-0.022387262,0.00347221199999992,0.00308718500000008,0.1177062035,-0.0688844625,-1.4339604865,0.118688736,-0.045481458,-0.030760646,-0.072489554,0.10010068,0.5329949735,0,0.149640511,-0.38797613,0.137373505,0.031158409,-1.6850188455,0.023430978,-0.026238646,-0.076915468,-0.1589773425,0.1062825855,-0.0098199120000001,0,0,0,0.109208009,-0.154764271,0.3208751315,-0.202384368,0.2395857635,0.1214537825,-0.229854779,-1.461410352,-0.030212659,0.542814892,0.08826286,0,-0.162503439,-0.423463893,-0.016323608,0.05277368,-0.0339520099999999,0.0360305935,-0.5422317745,-0.048465939,0.284589821,0.022229662,-1.5765322385,0,1.6672515055,-0.08424251,0.0793491335,-1.496911586,-0.107864824,-0.1281804695,0.351574987
"set96_271",-0.209470751,-0.005011612,-0.9688202745,-0.1469474735,-0.837852656,-0.741056048,-0.681012772,-0.137091847,0.364601872,-0.113856791,0.0412592485,-0.1914842435,-2.0059176625,-1.684303614,0.0127263705,-0.0763475945,0.0597713824999999,-0.040414995,-0.34194953,0.098478269,0.0638069025,0,-0.143704195,-0.9013823845,-0.413833626,-0.6596895875,-0.431268956,-0.031753318,-0.1774629425,-0.3718031455,-0.65197653,-0.469012773,0,0.0214726185,0.045487385,0,-0.1130269925,-0.21395806,0.166244611,-1.0010099555,-0.0286681305,-0.227138664,0.039067361,0.020970522,0.070643755,0.148704366,-0.8014235045,1.016841628,-2.2247460295,0.04184695,1.3706482945,-0.407081717,0.226608386,-0.135682818,-0.230482178,0,0.150277419,0.037506941,-0.0741122,-0.326945904,-0.8573011905,-0.262453578,-0.736754041,-0.207301217,-0.7190731695,0.385175385,0,-0.063187094,0,-0.1142479535,0,0.6631781785,0.3023530645,-0.00817016700000001,-0.313984215,-0.0547780659999999,-0.0154368069999999,-0.7605793975,-0.0435439814999999,-0.2241029665,0,0.0466917880000001,0.126092066,-0.1731536625,-0.066210692,0.093891564,0.041973632,-0.4378634805,0.00315920750000006,-0.0987941275,-0.038335329,0.0998646895,-0.3187370515,-0.810088412,-0.028130644,-0.2052694765,-0.1882490505,-0.0741979,-0.0418816594999999,-0.187202887,0.00727586500000001,-0.041352072,-0.085304286,-0.058383778,-0.223553986,1.799009126,0.007947378,-0.29733083,-0.8448188245,-0.3147920975,0.7323598335,-0.7220921565,-0.5449239695,-0.7787101275,0.000181838499999996,0.128065906,-0.6583525955,0.059859153,0.141208427,-0.060721763,-0.3342510505,-0.179642552,0.0432128165,-0.099655427,-0.1352109465,0.0338677515,0.075529468,0.0145985365,-0.00342510399999998,-0.7178753115,0.04401606,0.0545890539999999,0.024879975,0.257471096,-0.0544496385,-0.5917766115,0.174188824,-0.036947503,-0.0565933235,-0.040122389,0.093354568,0.11685507,0,-0.1933150935,-0.6476692555,0.235719606,-0.055403719,-0.9158879985,0.052256157,0.033304521,-0.024943115,-0.1446442835,0.253234402,-0.00067889100000007,0,0,0,0.290564149,-0.176853097,0.2447678135,-0.044062261,0.262903201,0.271574628,-0.2571010005,-0.9619645355,-0.030094719,0.2540790515,-0.209139852,0,-0.355206787,-0.1542442215,0.210489029,-0.048130661,-0.1590843,-0.00875632799999999,-0.682328119,-0.0101554075,0.2835309835,-0.0734164755,-0.9069818845,0,0.9416185495,-0.181501628,0.162431831,-0.8561730085,0.0762329235,-0.0439641285,0.320521585
"set96_272",-0.067217781,-0.00259661999999999,-0.609388296,0.0340594185,-0.6576934415,-0.5352002245,-0.6062678535,-0.1159064295,0.331762682,-0.134462546,0.0482305155,0.00175522950000002,-1.7565863985,-1.51267866,-0.029313518,-0.0256533025,0.0400614694999999,-0.043746791,-0.2991036045,0.046904722,0.078735794,0,-0.067028168,-0.685097069,-0.3584667935,-0.327140466,-0.104928668,-0.002082564,-0.0513782715000001,-0.3508426995,-0.637338802,-0.460919408,0,-0.0258955335,0.340147825,0,-0.050537996,-0.171901591,0.154118325,-0.8671843225,0.0362767015,-0.193058752,-0.036609035,0.123092149,0.191317941,0.140866755,-0.6455801365,0.8557697715,-1.855019405,0.062768063,1.10558966,-0.4898183475,0.151529241,-0.201581488,-0.230868039,0,0.167295989,-0.00588459499999999,-0.126891842,-0.090692221,-0.639073153,-0.2571439565,-0.541140913,-0.214333339,-0.688285807,0.199413988,0,-0.071111256,0,-0.106287921,0,0.5113546655,0.3820774915,0.048521103,-0.352029544,-0.00971255199999987,0.0245820505000001,-0.576632084,-0.0386515619999999,-0.282984565,0,0.101648489,0.0456422585000003,-0.1530707875,-0.079217969,0.156834437,0.00541991449999997,-0.1336799995,0.0490410335000001,-0.056390671,-0.046204699,0.108659293,-0.1378991865,-0.757794032,-0.068193014,-0.0915010599999999,-0.2133536885,-0.074157642,-0.0978197904999999,-0.182523655,0.025416962,0.07047965,0.019788695,-0.056652434,-0.25099449,1.263179201,0.042565485,-0.125235831,-0.640653482,-0.31049963,0.468450288,-0.632001358,-0.801415886,-0.51562023,-0.002687623,0.024023459,-0.57685802,-0.021225411,0.1740096555,0.0454985165000001,-0.4091692885,-0.2090814825,0.059192325,-0.178071905,-0.0812387865000002,0.130545305,0.068171632,0.017840214,0.030001931,-0.587684483,0.020767808,0.034971613,-0.0148271405,0.1577143165,-0.061677202,-0.5783631925,0.153104631,0.031293768,-0.0535007715,-0.045119928,0.08639838,0.136626879,0,-0.1807647075,-0.357538627,0.097476385,-0.012366189,-0.863454017,0.11937209,0.00347935499999999,-0.127995126,-0.13219992,0.222745116,0.030174707,0,0,0,0.148894278,-0.137395195,0.2448712455,-0.02689272,0.245945863,0.209092681,-0.318818067,-0.650299798,-0.00819098,0.440422961,-0.046292176,0,-0.053577094,-0.2330070595,-0.042350071,0.00820084899999998,-0.0531969069999999,0.094293539,-0.510567998,-0.0379379685,0.273113223,-0.0617535095,-0.803100573,0,0.81796637,-0.131622427,0.135961962,-0.752276566,0.0124667415,-0.1767880455,0.352066094
"set96_273",-0.177004772,0.02181267,-0.534954654,-0.050278139,-0.8104745805,-0.6131411605,-0.7087483375,0.00448452149999996,0.42574528,-0.072900942,0.00677610749999999,-0.194696838,-1.980526002,-1.56155219,-0.015197811,-0.0631959275,-0.1723362975,0.079352876,-0.3201742815,0.068115644,0.040118773,0,-0.047745559,-0.303722726,-0.2646474555,-0.350959776,-0.620630758,0.004370092,-0.0326783115,-0.211969123,-0.758395168,-0.467330533,0,-0.0558428495,0.588394804,0,-0.0243206955,-0.187776569,0.119254832,-1.0005901355,0.0688351395,-0.225520683,-0.000131707999999994,0.00165788150000001,0.086903955,0.121443645,-0.7058374575,0.9056040955,-1.600857452,0.103466238,1.2147876435,-0.405656413,0.0744112205,-0.213387207,-0.277905827,0,0.133832678,0.04321495,-0.037788189,-0.1964149505,-0.7344577975,-0.369979999,-0.1714946745,-0.13260554,-0.8537432285,0.1907574915,0,-0.065619489,0,-0.1164941305,0,0.64140088,0.22741035,-0.011801471,-0.4139479925,0.00551715800000019,0.0674444540000001,-0.752663854,-0.01045739,-0.211816939,0,0.0925858425,0.0135410005000007,-0.1176051505,-0.052215802,0.176744762,-0.03620393,-0.224644052,-0.0652456984999999,-0.0167819455,0.021194495,0.081209918,-0.1779253685,-0.8105950215,-0.130839357,-0.224716729,-0.1966068645,-0.070199335,-0.0848540244999998,-0.138099881,0.0258604995,-0.030287451,0.004935574,-0.088042174,-0.263829775,0.6644350955,-0.005277821,-0.2735445915,-0.415457709,-0.2422723925,0.657203646,-0.755459309,-0.2529189995,-0.307938906,0.078383002,0.075339245,-0.707154951,-0.059170576,0.121562675,-0.089226218,-0.429085298,-0.1953263865,-0.038096312,-0.040987068,-0.1037730855,0.1907405105,0.095901874,0.04976935,0.054558769,-0.680945951,-0.064557486,0.0740001379999999,0.0232187815,0.0916640075,-0.039234894,-0.638381079,0.0964631540000001,0.108829083,-0.0135986675,-0.00370694100000001,-0.052345524,0.0871948249999998,0,-0.1742547915,-0.4452436665,0.43693357,-0.089088914,-0.960854742,-0.0299731655,-0.0926294055,-0.00903169200000004,-0.1622115055,0.28461584,0.0228693805,0,0,0,0.201688179,-0.165456,0.2258468345,-0.078945501,0.1948746395,0.1835611235,-0.2303626895,-0.893519757,-0.003759897,0.486331499,-0.050999285,0,-0.189547286,-0.2144203725,0.014593056,-0.011423638,-0.069130085,0.0196566445,-0.6330442695,0.041204966,0.2566452845,-0.121204708,-0.925197634,0,0.9653533595,-0.152252629,0.1083195805,-0.86836002,-0.037661737,-0.168159067,0.445474591
"set96_289",-0.100266014,-0.00228777399999999,-0.3783073615,-0.037936068,-1.21671752,-0.80040061,-0.570698107,-0.034375091,0.493079062,-0.050373457,-0.017151215,-0.0645324190000001,-1.579852289,-0.852923152,0.00751413249999998,0.319606221,-0.0183928729999999,-0.081696282,-0.442381416,0.135227536,0.038366419,0,-0.198871176,-0.451193934,-0.5967192065,0.0400689055000001,0.531389623,0.056237006,0.166254625,-0.4315452405,-0.4088214545,-0.501188526,0,-0.010798394,0.964777046,0,-0.2148250525,-0.0761627879999999,0.259887276,-0.8312709925,-0.123748749,-0.16250468,0.036836585,0.109375518,0.309161388,0.186201153,-0.501073601,0.5203793325,-1.220171478,-0.093163316,1.061551861,-0.468959982,0.2891232565,-0.254625478,-0.458749027,0,0.157341299,-0.065985649,0.137706329,-0.066024034,-0.3623859275,-0.216700437,-0.20328976,0.13233908,-0.577654532,0.5846472915,0,-0.1243684575,0,-0.0605978995,0,0.5602808065,0.3806322095,-0.144899178,-0.3249491785,0.0441435990000001,0.311253601,-0.40191427,0.135130971,-0.3528539645,0,0.297016353,0.871106508500001,-0.089517965,-0.061817773,0.045228168,0.00200740349999998,-0.129256984,0.0429469804999999,-0.0109550035,0.087553708,0.175276962,-0.4440603215,-0.5803030225,0.062942602,-0.3519388425,-0.476323537,-0.018171557,0.0502908470000001,-0.278544982,0.0267302735,-0.104015614,0.128079017,0.005349486,-0.76036582,0.597903983,-0.083077419,-0.136339248,-0.3405026905,-0.323611808,0.6117901015,-0.6898183345,-0.3696891965,-0.1097588575,0.039264512,0.091370595,-0.520120125,0.072805576,0.102425831,0.11740544,-1.631936544,-0.0830087345,0.11596225,0.118484518,-0.287588705,-0.020464923,0.180574213,0.1637033265,0.11728996,-0.417485,0.054389408,-0.00485535800000003,-0.0888390145000001,0.083971303,-0.0271656515,-0.56466034,-0.21750753,0.129775125,-0.092454001,-0.105422019,0.011888724,0.132916524,0,-0.288271515,-0.4930031475,-0.190289164,0.040043858,-0.652470157,0.248364373,0.10063861,0.051413295,-0.2794444385,0.342285416,0.226635257,0,0,0,0.038905015,-0.191470336,0.268356841,-0.108306334,0.3887421245,0.2375106205,-0.2201377865,-0.449678586,-0.107136037,0.612667548,-0.040116214,0,-0.06950559,-0.039411316,0.228744137,0.069975925,0.103138277,-0.1245839745,-0.6204571195,-0.115650457,0.2443993545,-0.073263243,-0.52160229,0,0.6247611405,0.036538422,0.1714930515,-0.740410132,-0.084776898,-0.1528606905,0.382212607
"set96_290",0.109197351,0.016688162,-0.428275162,0.1889388545,-1.12011579,-0.8329989,-0.477586377,-0.057587241,0.47349463,-0.037153631,-0.0178368635,-0.293698416,-1.633105022,-0.811227359,-0.024989647,-0.0736866954999999,0.0227144595000001,-0.122060771,-0.3421137755,0.104171255,0.058958913,0,-0.245476152,-0.479977682,-0.588480701,-0.034646816,0.263856552,0.006937544,0.0719369595,-0.350483787,-0.424036152,-0.5860226345,0,0.0100380485,0.479710053,0,-0.188580784,-0.279920761,0.29013425,-0.8562526995,-0.0291859565,-0.099141121,0.079600527,-0.0481640525,0.250345386,0.20378583,-0.538933366,0.368671335,-1.416133625,-0.19526603,1.032513712,-0.5300707485,0.00144165749999997,-0.1676105805,-0.3123596345,0,0.155535734,-0.00152629199999998,0.00775070999999999,-0.0686586635,-0.1888343345,-0.1413184705,-0.2456421295,-0.099703553,-0.549444596,0.328236376,0,-0.0904918855,0,0.000459368000000002,0,0.52916065,0.2038950825,-0.116629874,-0.4173352265,-0.0354308324999998,0.342372254,-0.599032681,0.092675845,-0.269374656,0,0.2710399235,0.579397014,-0.39266131,-0.135200616,0.135765736,0.0629869735,-0.1469902925,-0.276349088,0.032916534,0.024077961,0.114333835,-0.446216464,-0.4928272445,0.034404473,-0.5541664595,-0.3820319265,-0.08529679,-0.0161395739999999,-0.169447711,0.012026779,-0.146252335,0.043045661,-0.053151073,-0.773595309,0.8395820205,-0.013298874,-0.1052727565,-0.4759962425,-0.42615751,0.575104166,-0.510703956,-0.38686399,-0.286729198,0.068702204,0.00902852299999998,-0.4885460725,0.029444043,0.055950976,-0.108549539,-1.557111217,-0.0496186525,0.1096002175,-0.04176757,-0.144802935,0.00786709449999998,0.196712803,0.267023016,0.173638553,-0.362574962,-0.036081845,0.085586859,0.0699813184999999,-0.006564343,-0.065118214,-0.4471828135,-0.239604649,0.035315591,-0.0686341155,-0.173891734,0.00433555400000001,0.2042933325,0,-0.1018114325,-0.3276512445,-0.064669827,0.005784334,-0.571954761,0.079160014,0.012259925,0.004805369,-0.26492337,0.2685398995,0.360521788,0,0,0,0.105351057,-0.106851191,0.0775911055,-0.1452489,0.314460036,0.166151992,-0.3421605225,-0.5015162445,-0.092748088,0.6776878805,-0.00277887500000001,0,-0.777145543,0.00744317850000001,0.291380013,0.156832327,0.148940658,-0.027845918,-0.546482265,-0.1132081925,0.3785018805,-0.0517199195,-0.520894032,0,0.6648840895,-0.047242624,0.148283047,-0.6347246795,0.0343220555,-0.104108561,0.419539423
"set96_291",0.084668865,0.014389184,-0.3944185655,0.1859995455,-1.191185631,-0.845167815,-0.4947717,0.1024947205,0.466328168,-0.071605617,0.0889064865,-0.0380719959999999,-1.517127959,-0.924359951,-0.029465679,-0.0324593795,-0.0210966385000001,-0.114336067,-0.430448243,0.095401377,0.044806022,0,-0.165944192,-0.7475883975,-0.432036299,-0.149399242,-0.072113913,-0.007918111,0.0473864835,-0.455009427,-0.5349708815,-0.480329433,0,-0.0237626155,0.445806919,0,0.113144879,-0.1482512865,0.203484083,-0.88384488,0.0137572875,-0.12565846,0.067252855,0.0387493015000001,0.234689948,0.235886838,-0.5697141145,0.480388456,-1.550771943,-0.156590275,0.792113293,-0.309664941,0.0585889995,-0.2160232145,-0.4118150405,0,0.1803784245,0.001435616,0.03649427,-0.27796732,-0.555972959,-0.18920306,-0.417626547,-0.111892808,-0.595553708,0.2680658115,0,-0.1521137815,0,-0.036851681,0,0.1674815975,0.148010206,-0.01008913,-0.4235953355,0.00257122450000014,0.173513097,-0.649193403,0.00573745199999995,-0.25862069,0,0.236547882,0.644088096500001,-0.1052523575,-0.079833146,0.094208491,0.059679749,-0.1418647735,0.1072355435,0.069694174,0.006567,0.1379592195,-0.349004231,-0.580398212,0.150810378,-0.2630880175,-0.3402831005,-0.015030219,0.0166049390000001,-0.17284171,0.0442262075,-0.094307029,-0.048620632,-0.070001883,-0.779754352,1.2377695125,0.027572977,0.005839344,-0.8404997095,-0.22389007,0.6452832415,-0.5383642315,-0.716468326,-0.4984201905,0.0041483465,-0.021805926,-0.414654807,-0.044589604,0.1475989535,-0.0424101754999999,-1.7639614655,-0.0796416015,0.0686146615,-0.020776079,-0.21331996,0.2127209695,0.183405394,0.1044918765,0.067038351,-0.4542240715,-0.034345204,0.161241421,0.14441935,-0.017170627,-0.123276948,-0.3854030205,0.152107385,0.022312199,-0.0583522625,-0.056121573,0.012047808,0.1320820715,0,-0.1783549635,-0.3198068325,-0.017161197,0.099485463,-0.7609182045,0.1876515465,0.0515876805,0.021244792,-0.276435723,0.3428020905,0.4328819745,0,0,0,0.05519574,-0.182073748,0.211947532,-0.139886979,0.2290656365,0.1165086305,-0.227718719,-0.358678001,-0.033511464,0.3612749075,0.000251151999999977,0,-0.532097543,-0.1256328535,0.426249318,0.050077953,0.031755477,0.0122403255,-0.7178595205,-0.0397368035,0.266912529,-0.0953142705,-0.6794741475,0,0.7158096595,-0.079825123,0.0982751385,-0.7482206635,0.0600775785,-0.0950959075,0.446378218
"set96_292",-0.014778225,0.00606087199999999,-0.129241211,0.00245972399999998,0.074556307,0.117543733,0.035011633,0.510814202,0.208580623,-0.02105652,0.0605903175,-0.5685044885,-0.7198946855,0.147087961,-0.0295640775,0.00254711750000003,-0.0741957235000001,0.01787459,0.1075221705,-0.033005614,0.0834317435,0,-0.006679535,-0.2933886655,-0.2066947185,-0.376811912,0.0501787,-0.019775981,-0.0355339325,-0.5543972295,-0.0176480035,-0.408449798,0,-0.0119464125,-0.0120170040000001,0,-0.048196008,-0.308135657,0.092247,-0.129535643,-0.0373687665,-0.015034667,-0.00231491299999999,-0.1160494475,0.1175637,-0.033424947,-0.375380182,0.0450302524999999,-0.6095510955,-0.454236979,0.8757209585,-0.129490464,-0.1605656655,-0.0090835130000001,-0.00822634700000011,0,0.0036469095,-0.072184402,0.030980804,-0.014962773,-0.2657340235,-0.2262830155,-0.2020623745,-0.2143842585,-0.120662749,0.423288863,0,-0.0956002095,0,0.020229589,0,-0.8411157515,0.1218944355,0.038628348,-0.312034553,-0.0137772899999999,0.0812457714999999,-0.33182097,0.00260908699999998,0.143261299,0,-0.157790189,0.61148718,-0.2572099955,-0.222598428,-0.060247471,0.183058394,0.052024353,-0.288235881,-0.017147325,-0.019139479,0.182272668,-0.42570022,-0.040801141,0.093786353,-0.6571450075,-0.00872099849999999,-0.038276996,-0.4140835095,-0.052566732,0.028391458,-0.016963347,-0.036897415,-0.053451026,-0.137081614,0.5540083805,-0.018427469,0.5254091865,-0.861629224,-0.014205385,-0.029489129,-0.00699974900000001,0.060409321,-0.211333149,-0.043006477,0.112438213,0.015398071,-0.043598257,0.045240118,-0.247779793,0.0860190120000002,-0.0971633575,0.000910452999999995,-0.12058575,0.1457680275,0.4554241275,0.09287818,-0.0984767755,0.055760529,-0.5265233295,-0.013062356,-0.00398486200000003,0.1472650995,0.1990615815,-0.0755233705,0.074713246,0.108533221,0.132157212,-0.0328273945,-0.032797385,0.00467084599999999,-0.0397507080000001,0,0.1299404015,-0.2817668555,0.003150662,-0.001268304,0.0303536405,-0.0840226265,-0.0960561575,-0.035639299,-0.166248482,-0.0418512039999999,-0.1107097435,0,0,0,0.029954116,0.009917301,0.22893859,-0.152563752,-0.068942781,-0.111127454,-0.291868001,-0.737848798,-0.031675294,0.581778046,0.158095038,0,-0.05617605,-0.3327806355,-0.00531419799999999,0.043749178,-0.107346324,0.090670523,-0.378401757,0.062923621,0.190360975,-0.10401791,-0.0164159775,0,0.1396668505,0.04646832,0.042287305,-0.092575246,-0.186074054,-0.0347588475,0.277454683
