"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set81_349",0.239577834,0.12577324,-0.023143727,0.7274720225,-0.0308368405,0.1428109875,-0.1906916975,0.0806081805,-0.497225976,-0.154235188,0.4082268785,-0.6353422785,-1.0891661915,-0.242564819,0.017033594,0.1220132875,0.1788477185,-0.449935791,0.205305268,0,0.1302585375,0,0.085671612,-0.9217678825,0.562771701,1.381231459,-0.054969134,0.124704973,-0.2393652665,0.496469417,-0.2714025035,0.16414643,0.100117624,0.2202761035,-0.212129293,0,-0.0847516640000001,0.165812037,0.012992648,-0.0234728304999999,-0.5517454035,0.110447453,-0.352815705,0.191627714,-0.223466511,0.076258805,0.119375852,-0.276162794,-0.394382605,0.010379029,0.5590122895,-0.34556667,0.7527020485,-0.282853653,-0.0557521239999999,0,0.2505438715,-0.047255803,0.350638389,-0.453778201,-0.0284531605,0.498626153,-0.5689942495,0.894269545,-0.3709944635,0.100484312,0.020987146,0.1472919135,0,-0.182205111,0,1.0300290745,0.2106402725,0.175105688,0.195644323,0.087119386,0.53671551,-0.4467319975,0.193904422,-0.510412199,0,-0.1885055095,-1.618998333,0.0117954785,-0.048090869,-0.27164838,0.330942673,-0.00801016749999997,-0.2106324915,0.010429291,0,0.234001371,-0.9354742565,-0.2937974545,-0.171190915,-0.5805016745,-0.8646967005,-0.0847693789999999,0.8789399925,0.144517162,0.007978983,0.534210751,-0.359149655,-0.03539618,-0.147161718,0.662114082,0.198648602,-0.7233210375,0.892364865,-0.522889692,0.1696174975,-0.2050052235,-0.892646562,-0.184116648,0.133145689,-0.034715438,-0.0523571694999999,0.209878527,0.103093471,0.280161957,-0.6529349965,0.00237870850000001,0.4402271035,0,0.00706409350000001,-0.3290439515,-0.062140703,0.2013834095,0.067602506,-0.1174670405,0.11908922,-0.187759128,-0.256850526,-1.032842127,0.285968305,-0.0275107424999999,-0.084162724,-0.430686283,-0.0807918525,-0.165073769,0.067486192,-0.120697571,0,-0.2550306245,0.0906821345000001,-0.362813113,0.012137292,-0.5705919835,0.033679808,0.0715301540000001,-0.59932932,-0.261008704,0.228261684,1.365843264,0,0,0,0.14273408,0.195450458,-0.182765025,0,-0.035467765,-0.150629219,0.07585381,0.2844133235,0.057565048,-1.324151682,-0.207616625,0,0,0.2759125595,0.076631078,0.259628543,0.488130642,-0.232910635,-0.419177555,-0.2484214775,0.091293212,0.7228019185,-0.3179838035,0,-0.357104795,0,-0.027360019,-0.246540063,0.0389739665,0.0699711635,-0.373841862
"set81_303",-0.006711729,0.000387205999999973,-0.2036928055,0.1051391425,0.193739352,0.181315144,0.081407507,-0.515186893,-0.055324448,-0.034732189,0.148995863,-0.321143874,-0.152171407,-0.136850714,-0.0277481394999999,0.036723372,-0.00187867800000002,-0.104915615,0.0836753334999999,0,0.0512417245,0,0.00842505800000001,-0.4703053195,-0.0333879945,0.687244136,0.170187627,-0.005036015,0.012833799,0.1392145255,0.00775498500000003,0.0614486295,-0.067039352,-0.01306922,-0.0624782250000004,0,0.03631747,-0.0202965445,0.10824521,0.0654691765000001,-0.013239904,-0.00811183799999998,0.200495019,0.049880104,-0.064994726,0.005580544,-0.0305174145000001,-0.0285582285,-0.0998442779999999,0.104221562,0.0735257855,-0.1712905545,0.2983674205,-0.113994246,-0.146050627,0,-0.0130912875,-0.098715192,-0.0559835800000001,-0.153683527,0.080164603,0.1638730985,-0.1836003595,0.3569540285,-0.0491023844999999,0.064586048,-0.08516008,-0.0615087275,0,-0.090829468,0,0.1033893775,0.00376415599999996,0.049509741,0.0301247715,0.003426915,0.35967543,-0.0404531805,0.229776523,-0.0689948775,0,-0.081590438,-0.329316707,0.0209266145000001,-0.0209915959999999,-0.0619448229999999,-0.0199227905,0.0518570085,-0.036592701,-0.013292366,0,-0.114137006,-0.2092135035,0.100419894,0.00524437,-0.2174245395,-0.147007799,-0.042644245,0.000534801999999918,0.00288455199999998,0.024523564,0.037698384,-0.121210815,-0.063595269,-0.047692333,0.357056828,0.0528474919999999,-0.118308702,0.160385803,-0.084233921,-0.203368149,0.067295827,-0.985382689,-0.1611842125,-0.050877549,-0.014344563,0.108238408,0.044695764,0.040801255,0.058958953,0.1210753855,-0.0153829735,0.029611992,0,0.011758034,-0.210364311,-0.042354952,0.0112262225,0.065854112,0.1286563355,0.00154401400000001,-0.018738347,-0.0607275050000001,-0.3492809615,-0.1007127325,0.0603186470000001,-0.084611923,-0.04139827,-0.013636481,-0.032629938,0.034587096,0.0600874159999999,0,-0.020490311,-0.0670452225,-0.07846827,-0.036831524,0.0617236665000001,-0.165811801,-0.105649856,-0.561197077,-0.086575365,-0.010372254,0.357004445,0,0,0,0.314281762,0.0312536640000001,-0.00368461250000005,0,-0.1105855435,-0.2091717665,0.1220169605,0.0384880025,0.048041394,0.0476388655,-0.110756811,0,0,0.031655426,-0.036998171,0.00760578099999998,0.114056311,-0.081798211,0.243520163,-0.0496467245,0.0445093755,0.2306349235,0.00171663650000001,0,-0.081298531,0,-0.058860951,-0.028729244,-0.00420537550000008,0.225325897,-0.124097526
"set129_369",0.266758144,0.606255824,-2.380008432,-0.23490092,-2.24777072,-2.142203117,-1.393911478,1.6611614455,-0.307793615,-0.213872689,1.4362904725,-1.392516045,-2.015729168,-1.354985801,-0.5543660795,0.0587268745,-0.8283182085,0.730382048,-0.288054242,0,0.029135422,0,-0.018531409,-2.5698932495,0.032928281,-0.8575746455,-0.570742205,0.367225317,0.5491504455,0.4728226285,-1.5680689885,-1.03573501,0.088579704,0.5924823225,0.944159429,0,1.5944097155,-0.8364789785,-0.129252023,-1.4064716825,-0.6225098225,0.250692711,-0.311582366,-0.141162403,-0.262572576,-0.352446491,0.3570995225,0.749141956,-4.359076187,0.384862094,-0.3080970525,-0.898324312,-3.5159447595,-0.0490441855,-0.2978771635,0,-0.8149160725,-0.401550782,1.70513484,-1.1935419955,-2.0290147095,0.2120808185,-2.076436606,-1.949977386,-2.6547942075,-0.2498564,-0.512234809,0.8353011365,0,-0.3839611635,0,0.7591576455,-0.1546195095,0.403615453,-0.528932352,0.5372142035,0.103554353,-1.744162213,-0.374780855,-1.989010751,0,-0.4747481865,-0.64517163,-0.1746675195,-0.212656938,0.327034766,0.6111399475,0.00542747899999996,-0.6320123465,0.0296158085,0.443176621,0.5857681165,-0.0669753969999999,-1.3663112435,-0.595596774,1.763097132,-0.7032982255,1.338541715,1.092899756,0.380270228,-0.189531364,0.386643308,-1.603408359,-0.098917189,-0.478101044,4.578946693,-0.172905578,0.049504824,-1.916491277,-0.958637518,0.6216825835,-0.7306873925,-1.5859963095,-1.596327128,0.4672104115,0.269949406,-1.141126837,-0.39613157,0.568274256,0.210053762,-1.148447004,-0.302604143,-0.00504632850000003,-0.295906956,0.157799119,0.8687138625,0.166923887,0.8954370865,-0.063686121,-1.4743468345,-0.298436712,0.436608119,-1.082503301,-0.3172981565,-0.3844467055,-1.121622937,-0.073950179,0.075430485,-0.2751850085,-0.58188686,-0.190869069,0.8329878445,0,-0.2920761715,0.3633533835,0.15066871,0.382744072,-1.941027639,-0.8451114,-0.0509404919999998,-0.485481508,-0.2178910335,0.4047725635,1.765652606,0,0,0,0.187144843,1.167480558,-0.201019243,-0.837586273,-0.2649449385,-0.6769876375,0.0678106405,0.33099884,0.742557443,-0.107721036,-0.373176207,0,-0.408862595,-0.3655289525,0.05298341,-0.373033873,1.952038341,-0.298229088,-2.187927355,0.664473513,-0.1438824425,-0.531552347,-1.7311692285,0,1.246603947,-0.166893785,-0.066315572,-2.103575186,-0.481201506,0.472101376,-0.112201921
"set129_371",0.271811202,0.475722885,-1.851507835,0.0464659795,-2.299024725,-2.136032718,-1.387741079,1.455133883,-0.346674984,-0.213872689,0.671910262,-1.051255598,-2.302280781,-1.414616363,-0.5471375105,0.128753689,-0.826097378,0.043444925,-0.1288204025,0,-0.0114562825,0,-0.011759959,-2.1460223235,0.0430664025,0.1177915515,-0.598137797,0.518708259,0.422534435,0.465708846,-1.542087119,-0.738051094,0.088579704,0.637845715,0.875503863,0,1.454498017,-0.7568049815,-0.348136725,-1.186999588,-0.635489133,0.370228631,-0.301096172,-0.05965862,-0.374625592,-0.169465645,0.400628445,0.5794336365,-3.9721776515,0.409869204,0.0535148034999999,-0.8008949805,-3.2274215615,-0.00110967949999999,-0.2686936195,0,-0.7747053075,-0.401550782,1.420182133,-1.115536569,-2.090245782,0.64962842,-1.5348254345,-1.8353442645,-2.610558921,-0.310662236,-0.412408322,1.0397393105,0,-0.419071639,0,0.774848227,-0.0530592320000002,0.355110397,-0.271180151,0.5937144805,0.215559809,-1.559225509,-0.22658837,-2.0253332195,0,-0.334538243,-0.5382079625,-0.156914893,-0.172478087,-0.123460023,0.50095449,0.1669756405,-0.534103071,0.041529449,0.557366538,0.334687034,-0.216711723,-1.413769358,-0.527029292,1.5884792015,-0.604593302,1.248001992,1.1018135955,0.361818975,-0.289751333,0.386643308,-1.47222743,-0.145383403,-0.548687933,3.675820197,-0.245663584,0.1718464345,-1.1105593365,-0.705849084,0.75724226,-0.828402491,-1.525234916,-1.097036332,0.544272303,0.201987918,-0.9118043715,-0.343185531,0.5655408525,0.2790114715,-1.344928396,-0.3011829235,0.378557857,-0.106030116,0.1480837085,0.8332189065,0.536093644,0.7199728035,-0.001613174,-1.1599360445,-0.214336269,0.265419692,-1.238168974,-0.482234543,-0.3229055095,-1.021296298,-0.073950179,0.03032328,-0.288164319,-0.58188686,-0.154580095,0.7629019405,0,-0.394776834,0.6101118725,0.105030726,0.386290115,-1.7588106245,-0.7149868495,0.1259580865,-0.39987392,-0.215976681,0.4699106055,1.723762707,0,0,0,0.187144843,1.009377477,-0.0235137155,-0.815206801,-0.460279915,-0.564882841,0.18460509,0.2265530965,0.696241288,-0.5446586905,-0.336554958,0,-0.239389136,-0.357435571,-0.193530582,-0.45252445,1.929880218,-0.397955222,-1.98756467,0.3020419025,-0.24737328,-0.1032457245,-1.6663183825,0,1.110737071,-0.127845106,0.070188538,-1.9960526655,-0.3821227175,0.479640891,-0.135658059
"set129_370",0.296442374,0.527192666,-1.718111532,0.029594303,-2.192357044,-2.064779444,-1.316487805,1.557176992,-0.320779296,-0.213872689,1.5367408375,-0.8035816485,-1.8590731845,-1.367613504,-0.470292914,0.2062214805,-0.8097645255,0.01448819,-0.09015798,0,-0.0350850625,0,0.00441762600000001,-2.0023927605,0.02901847,0.254487892,-0.599325428,0.422185851,0.4144407105,0.307555431,-1.4590723795,-0.8236248075,0.088579704,0.6486611465,1.196154004,0,1.486417599,-0.7715464355,-0.355618153,-1.0573403625,-0.6345643465,0.340366412,-0.29114608,-0.076160039,-0.420011318,-0.161755646,0.409292449,0.540857888,-3.1997306055,0.279772392,-0.108437611,-0.6977939675,-3.2580698775,-0.055439671,-0.226529779,0,-0.6971110305,-0.401550782,1.578588415,-0.9477202195,-1.962381647,0.630342969,-1.4628966465,-1.7654082155,-2.303717479,-0.3194119715,-0.382964645,0.9925033505,0,-0.419393233,0,0.5870701465,-0.0910685950000001,0.459569627,-0.308823473,0.608606949,0.2329254595,-1.3714610455,-0.1641528,-1.8408832075,0,-0.3022420785,-0.5463122875,-0.1492478,-0.146839344,0.234557911,0.5616999955,0.204645415,-0.497179545,0.029141644,0.553105437,0.3806969505,-0.0874865645,-1.26222878,-0.487844721,1.629739382,-0.6753274525,1.220964804,1.0546371555,0.416583006,-0.2573270545,0.386643308,-1.512331142,-0.012326545,-0.450022579,3.4423392225,-0.263181854,0.249614868,-0.9738797865,-0.6014849835,0.6533620245,-0.6956930575,-1.627227146,-0.973781869,0.5225979595,0.18975102,-0.7226420035,-0.345545813,0.554042781,0.34780624,-1.222821813,-0.2599834205,0.3989741,-0.134774009,0.2632518305,0.9048221555,0.52807419,0.8423806495,-0.036169001,-1.095781373,-0.21273892,0.245109437,-1.134058514,-0.3995620355,-0.232335589,-0.9715849465,-0.073950179,0.032281714,-0.2872395325,-0.58188686,-0.167499012,0.852314918,0,-0.3595075325,0.7780335085,0.089927085,0.344603506,-1.5747782955,-0.7058297,0.160213295,-0.616966588,-0.282603186,0.389602549,1.568069249,0,0,0,0.187144843,1.011576239,-0.0473712549999999,-0.475570436,-0.3568803375,-0.5093922825,0.2771201675,0.3634039975,0.717741158,-0.6063265955,-0.472157361,0,-0.107190156,-0.2983626915,-0.14210842,-0.390975929,1.956812089,-0.3638234585,-1.9234634245,0.260548139,-0.2614953755,-0.142686071,-1.57837348,0,0.9184241285,-0.084767408,0.0658337755,-1.848126903,-0.257815755,0.49172862,-0.18341564
"set129_366",0.36686796,0.490477948,-1.7858804385,-0.0450430835,-2.5592410705,-2.4263985805,-1.6781069415,1.6199482375,-0.233443549,-0.213872689,1.3349202835,-0.8305156395,-2.3952750705,-1.347295793,-0.3947589695,0.2063992695,-0.7987401795,0.065334995,0.0153736074999999,0,0.104956875,0,-0.04556768,-1.9390849485,0.0592735235,0.25363911,-0.608309638,0.383788289,0.2210973615,0.1859437985,-1.8188792845,-0.6233222455,0.088579704,0.6507244985,1.181097567,0,1.434871036,-0.733304821,-0.311505372,-1.184748544,-0.6163758305,0.434304235,-0.266020675,-0.064484738,-0.239992534,-0.332938441,0.3338848395,0.713502905,-3.507266889,0.424628714,0.2837768385,-0.6099751505,-3.159888193,-0.1631594685,-0.1060402025,0,-0.9503210625,-0.401550782,1.007520751,-0.8507937115,-2.413612097,0.695928832,-1.3697905645,-1.756788918,-2.6777823035,-0.3883473265,0.4913436,1.02223434,0,-0.416519631,0,0.927182237,-0.0401003950000001,0.479577318,-0.219890973,0.8407514575,0.2300799335,-1.653236866,-0.1319057665,-1.4915668205,0,-0.3528574125,-0.4189010685,-0.033704368,-0.0995675659999999,0.348332148,0.6875055165,-0.0325146825,-0.259098525,0.07367303,0.469464181,0.2858247425,0.2082904085,-1.6692992605,-0.407021967,1.685047764,-0.6888889915,1.285914735,1.060422851,0.317725866,-0.2874226035,0.386643308,-1.543321667,-0.065556608,-0.469872979,3.2637958235,-0.266649594,0.485217452,-0.9158591805,-0.2618519865,1.3524869515,-1.1652190145,-1.562999815,-0.9280847105,0.5636965035,0.144145326,-1.2131139835,-0.31954745,0.591616498,0.341458061,-1.2187023365,-0.262624967,0.313899078,0.046125968,-0.339233737,0.9696165535,0.55188174,0.7573777295,0.037287923,-1.5462207775,-0.210904562,0.378136357,-1.001117492,-0.4921250515,-0.2397278515,-1.4662651945,-0.073950179,-0.10036485,-0.2690510165,-0.58188686,-0.211013887,0.6592665205,0,-0.3818624575,0.915825581,0.176268851,0.276969128,-1.973444676,-0.8257151135,0.0106070695000001,-0.696300081,-0.526940145,0.3453798235,1.5125948325,0,0,0,0.187144843,1.05305833,0.0324967699999999,-0.687173241,-0.424868869,-0.370713103,0.2674633975,-0.1854172445,0.739747148,-0.7548268,-0.379712531,0,0.035924743,-0.2949536775,-0.068479937,-0.50087398,1.864858317,-0.4071771015,-1.7954913595,0.3346188415,-0.4330011605,-0.1869362125,-1.9169490755,0,1.156941447,-0.028124335,0.2578481325,-2.3574805655,-0.4011713235,0.506542348,-0.103200292
"set129_372",0.301529591,0.493493747,-1.8596497755,-0.2083212395,-2.3589086045,-2.1459098565,-1.3976182175,1.695181164,-0.35354448,-0.213872689,1.270513994,-1.051194442,-2.120608212,-1.36586683,-0.500732466,0.161655152,-0.76781455,0.214035591,-0.0890183135,0,-0.2213073685,0,0.005110744,-2.1092725375,0.1592008515,0.0856660964999998,-0.570798649,0.507808487,0.453020976,0.346366272,-1.651582264,-0.9307424875,0.088579704,0.686492854,1.11084596,0,1.509248406,-0.7442545895,-0.748906285,-1.2296191775,-0.609687401,0.395963176,-0.284706467,-0.083311677,-0.363457225,-0.257772643,0.4480244225,0.483123971,-3.60464023,0.427092638,-0.122367133,-0.7354938565,-3.120260744,-0.106676588,-0.212465529,0,-0.6770777335,-0.401550782,1.398916229,-1.2213834545,-2.0855280565,0.6141252995,-1.536948088,-1.819941884,-2.604570168,-0.241045615,-0.420099615,1.0330523875,0,-0.314592861,0,0.6955067745,-0.0410240330000001,0.345658849,-0.3521267295,0.73814998,0.217810983,-1.5881529965,-0.2443160395,-2.008568912,0,-0.401123922,-0.646307911,-0.1062989395,-0.235328283,-0.057657271,0.588558427,0.0729123075,-0.5875226305,0.102075928,0.581073089,0.308900863,-0.16138749,-1.4373440605,-0.477301194,1.7366149645,-0.623948813,1.596923483,1.123431787,0.453851969,-0.260024156,0.386643308,-1.515391229,-0.231591125,-0.548222563,3.7519057805,-0.177202704,0.278569789,-1.13736772,-0.678094027,0.7041708,-0.815858585,-1.440189485,-1.1588882095,0.559330902,0.155648772,-0.967936973,-0.366390885,0.601461899,0.30885297,-1.361123003,-0.3178099885,0.275442447,-0.104374445,0.129665203,0.912650715,0.54157306,0.8686543235,0.027360147,-1.195305917,-0.158705892,0.32757354,-1.2867218355,-0.4258024765,-0.260537155,-1.047409894,-0.073950179,-0.049918983,-0.262362587,-0.58188686,-0.113669383,0.669313933,0,-0.412221707,0.639645965,0.039005307,0.433018428,-1.7838683105,-0.704307999,0.1209508,-0.524180778,-0.213887083,0.513002043,1.741456272,0,0,0,0.187144843,1.047262848,0.00635366149999994,-0.736106267,-0.4132142455,-0.6199080715,0.1524120675,0.348906508,0.78581284,-0.5545398515,-0.303622352,0,-0.327259253,-0.369232096,-0.087667461,-0.443362822,1.709764201,-0.328286128,-2.070634165,0.3578157175,-0.1937497605,-0.1887055365,-1.676088816,0,1.0766538795,-0.001328779,0.078723039,-2.034333282,-0.5101853495,0.5448356205,-0.117171735
"set129_196",0.265097995,0.574227438,-2.618704059,0.08327562,-3.998078588,-3.111193455,-2.362901816,2.329692384,0.200959422,-0.213872689,0.7635728225,-2.6084748815,-4.6127377785,-1.484569783,-1.166533281,0.2243261315,-0.1751950895,-0.399202132,-0.399373411,0,-1.0576943305,0,-0.148368166,-3.1979771665,-0.2042567445,-0.660796107,-0.659142414,0.935227094,0.1554475365,0.0588000915,-2.069984352,-1.3088844095,0.088579704,1.0509555705,0.867537773,0,2.204387645,-0.391058579,-1.834851797,-2.823647125,-0.8446786685,0.456576493,-0.277979301,-0.2718260085,-0.582165428,-0.10192466,0.467493174,0.338364616,-5.94476725,-0.267772739,0.542644238,-0.761336344,-6.1864934705,-0.3846281285,-0.7484102695,0,-0.690263359,-0.401550782,0.195660166,-0.3113043105,-3.945198205,1.1257882495,-2.2017045495,-2.8860123895,-4.9200327365,-0.414640914,-0.728377055,1.089045982,0,-0.368905726,0,0.3628346705,-0.9766319435,0.259007451,-0.7522378405,0.1762395405,0.844815835,-3.626698964,-0.3229309025,-1.8351527315,0,-0.7811661095,0.2196334985,-1.001295737,-0.460046047,-0.653619275,-0.100074097,0.588910791,-0.5076167005,-0.210000034,0.413416866,0.395060268,-0.701922438,-2.287365515,-0.120810911,1.5781015575,-0.4988250585,1.039281542,1.481234281,0.512563754,-0.308894026,0.386643308,-1.506787793,-0.685961199,-1.072994392,5.195204269,-0.123433056,0.912716815,-2.6606887845,0.1846739225,2.135100499,-1.296547287,-1.176379193,-1.461762711,0.549581624,0.276736904,-2.2356736665,-0.151073776,0.4072537405,-0.3126800705,-1.5321234325,-0.342380369,0.8339255785,-0.050671159,0.386795163,1.418016848,0.41738247,-0.195543893,0.194677701,-1.8931518325,-0.239911172,0.671670728,-1.398216973,-0.592090981,-0.892591965,-2.106475311,-0.073950179,0.0159416,-0.4973538545,-0.58188686,-0.205136853,0.8893617075,0,-0.6964351915,0.1971177045,0.087743076,0.382477765,-2.78299856,-1.625609047,-0.319901724,-1.108695174,-1.024591415,0.0246100995,2.0194800015,0,0,0,0.187144843,0.785948856,0.3698839895,-0.229232797,-1.60796416,-1.582677454,-0.0592112855,-1.5072847095,0.668574544,-0.2011449315,-0.410632973,0,-0.091336942,-0.7225219085,0.195039834,-0.189741273,2.112030141,-0.379201711,-2.077147835,-0.122090553,-0.3147254535,-0.198383845,-2.3853270195,0,2.974249165,0.071362294,0.037264086,-3.743181118,-0.335471033,0.5628882195,-0.066654652
"set129_197",0.323896183,0.619937286,-2.8981978405,0.067503688,-4.1463829165,-3.3709241945,-2.6226325555,2.09926456,0.288248893,-0.213872689,0.735520842,-3.7695212515,-5.1302211765,-1.418142472,-1.379972627,0.160368154,-0.248282575,-0.439913676,-0.192052505,0,-1.336186636,0,-0.108893236,-3.549607203,-0.0479292614999999,-0.958690335,-0.543644948,0.880955007,0.0660633809999999,0.4351814345,-2.4776321265,-1.7718729075,0.088579704,0.926092572,0.91764361,0,2.1140056565,-0.5891376505,-2.396505343,-3.2213062055,-0.785398504,0.423011245,-0.310105264,-0.3794491945,-0.525764797,-0.113809851,0.4643057295,0.4789926955,-6.9109572035,-0.190265114,0.7243262305,-0.932892527,-7.0985705805,-0.333717397,-0.978121587,0,-1.0365360055,-0.401550782,-0.053270516,-0.599036671,-4.391895926,1.0267263465,-2.6518667745,-3.3291017385,-5.712164871,-0.377241238,-0.624461507,0.911693318,0,-0.3490105045,0,0.994064427,-1.065402907,0.340114187,-0.8982485545,0.433976472,0.8706914375,-4.069692069,-0.4471340165,-1.9236736375,0,-0.789549133,-0.00389556150000003,-1.0220175065,-0.470983601,-0.576458218,-0.3020532105,0.71577359,-0.363048429,-0.1410367105,0.25338258,0.3931777045,-0.860061139,-2.5067564595,-0.185809785,1.482998592,-0.572495868,1.096335051,1.395818183,0.41090938,-0.245430756,0.386643308,-1.571601495,-1.05733203,-1.156625245,5.8947544545,-0.130006747,0.447131421,-3.0320183215,-0.1898122235,2.6779249125,-1.5018860335,-1.1562810925,-1.8735603375,0.4706509895,0.308588473,-2.688013466,-0.229123174,0.4284156695,-0.6121039225,-1.7583158335,-0.371924104,0.7600424265,0.10330589,0.238581779,1.2233672015,0.434871123,-0.297216095,0.105447974,-2.4657643735,-0.205990006,0.716426711,-1.5610658965,-0.469300511,-1.17594883,-2.3347119445,-0.073950179,0.126373347,-0.43807369,-0.58188686,-0.114816318,1.405556963,0,-0.712252104,-0.14819809,-0.00772130299999998,0.232834701,-3.103993304,-1.889278571,-0.494793763,-1.085848934,-1.1300278815,-0.012614547,1.9800679475,0,0,0,0.187144843,0.777521423,0.3505054225,-0.330611506,-1.735780459,-1.699860307,-0.311474276,-2.225791841,0.637639815,0.088721745,-0.396691203,0,-0.386009779,-0.587129736,0.280257309,-0.179148265,1.508288076,-0.174102865,-2.05844526,-0.140540108,0.085226716,-0.305893305,-2.6103531495,0,3.767140643,0.160015157,0.026365859,-4.2019740785,-0.527931655,0.5653435445,-0.026447384
"set129_195",0.304074596,0.553470173,-2.603508186,0.049025683,-3.861178727,-3.076364798,-2.328073159,2.2064550425,0.174125319,-0.213872689,0.780994901,-2.575812336,-4.54045519,-1.474676223,-1.148636912,0.301002869,-0.187174531,-0.344556308,-0.4262386025,0,-1.004009821,0,-0.070856643,-3.2652289415,-0.108306119,-0.676099231,-0.610050562,0.966733012,0.199956843,0.106213047,-2.078018469,-1.2757180105,0.088579704,1.014424075,0.519728899,0,2.227220877,-0.396129759,-1.750503365,-2.804941337,-0.838646871,0.50753135,-0.236723985,-0.2474721625,-0.491432718,-0.1111856,0.4382040235,0.312478506,-5.8586237075,-0.231316714,0.5380153535,-0.7953405575,-6.2943516625,-0.4054461815,-0.8099762405,0,-0.680912067,-0.401550782,0.250555067,-0.488416481,-3.8696569075,1.109595641,-2.290203542,-2.8967194305,-4.8761715285,-0.4970245885,-0.762224931,1.059752006,0,-0.300290672,0,0.4912917525,-1.2521437345,0.336159283,-0.765364422,0.2585864045,0.8426173865,-3.597900511,-0.227956396,-1.7444930215,0,-0.7116537895,0.1781224065,-1.0127175935,-0.428425803,-0.628183833,-0.0933135715,0.609419405,-0.3265802645,-0.155951017,0.317060822,0.3201727325,-0.650696604,-2.231856515,-0.194010101,1.583800041,-0.470509711,1.047499436,1.4598579985,0.475190543,-0.2893115635,0.386643308,-1.463968066,-0.75125178,-1.01995151,5.1777807075,-0.13658521,0.8295650655,-2.5535913935,0.3190384125,2.387081289,-1.214213641,-1.033622487,-1.451759614,0.5483442475,0.328950042,-2.259604829,-0.085212668,0.441373683,-0.338917011,-1.553729218,-0.359790563,0.792096732,0.139535123,0.2531043585,1.323578316,0.543395424,-0.1931227085,0.215147702,-1.807529037,-0.162707161,0.624122583,-1.392033898,-0.52406993,-0.89164387,-2.008684216,-0.073950179,0.043822221,-0.491322057,-0.58188686,-0.182983929,0.8724627465,0,-0.780199202,0.24033603,0.077238504,0.374100754,-2.7686959155,-1.65938215,-0.263189788,-1.066248636,-0.981469251,0.0747712255,1.882238616,0,0,0,0.187144843,0.701664319,0.386771568,-0.289096868,-1.5008839565,-1.5217279145,-0.1511810335,-1.53585346,0.705264716,-0.242772384,-0.382370578,0,-0.088631682,-0.731781831,0.188400861,-0.206858568,2.134848064,-0.3813636685,-2.0555342295,-0.093604567,-0.3111701145,-0.161347079,-2.335287344,0,3.0435710205,0.100680389,0.0376575714999999,-3.768552913,-0.347132983,0.622355347,0.00727196
