"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set86_356",-0.291293976,-0.255967091,-1.911164968,-0.50844841,-0.0718148374999999,-0.2590032875,-0.1478397765,1.557450495,1.133530134,-0.047774641,0.6129963445,-1.454951106,-0.411099641,0.718156721,-0.4656283745,0.00909341849999996,-1.7826580905,0.758949418,-0.4017807615,0,-0.3946165935,0,0.026168616,-0.7534595915,1.1608767345,-0.600701902,-0.113253304,0.20362789,0.1631892385,0.415698777,-1.0330004815,-0.768004052,0.27798074,-0.1188713635,2.579196785,0,0.850640417,-0.6999593195,-0.263012875,-0.96426816,0.1053225515,-0.213938098,0.415443076,-0.9017328215,0.236750175,0.182711931,-0.412352076,-0.250091062,-0.966523603,1.141582588,-1.8104803035,0.0991571475,-1.1054176025,-0.3668946625,-1.2218805835,0,-0.724070642,-0.300238849,1.553226185,0.270312993,-0.4037603735,1.909674994,-0.9341844135,-1.5265322695,-0.9706312155,-1.337930022,-0.160700014,0.680798378,0,0.901077479,0,-0.4192892485,0.6025497235,0.345588908,-0.085763609,-0.4434834255,0.265301277,-0.699199157,-0.3502331675,-0.793129737,0.627869813,0.704534315,0.3486912865,0.8916821935,-0.094935306,0.552919495,-0.5840431395,0.179035843,0.0263025235,0.232523614,0.324086421,-0.196938514,0.735610629,0.119605546,-0.447061784,0.199194169,-0.2893581165,1.114595671,-0.075725995,0.026931738,-0.265443838,0.218145501,-0.501753,-0.598260189,-0.17155414,1.8788534185,0.029622056,-0.121339492,-0.7534351345,0.388605236,-0.903935151,0.980638834,0.81293852,-0.675419056,0.950571529,0.356367421,-1.833612962,-0.121130317,-0.8255900105,-1.5679997275,1.0444908755,0.5751182775,-0.5265589735,0.0912944,0.910343686,0.581573083,-0.230795696,-1.0355446585,-0.721147996,-0.1069021395,-0.292601574,0.188039048,-0.5972536865,-0.064520465,-0.8168374965,-0.3432088365,-0.453482034,0.547403189,-0.0944682935,-0.854866466,0.493545529,-0.1875715005,0,-0.2416479215,0.836497188,-0.415199059,-0.142824463,-0.2033088645,-0.328502686,-0.902208312,1.194033966,0.142059734,-0.1945130355,-0.451963148,0,0,0,-0.090421702,0.617879946,-0.1688467325,0.261313584,-0.095454934,-0.561471821,0.162029241,-0.863437536,0.915038404,-0.762668314,-1.064977801,0,-1.208042094,0.0961051015,0.446512603,-0.161472666,-2.86887937,-0.010288504,-0.096929566,0.483396587,1.889942594,-0.773775727,-0.2968011925,-0.015383908,1.278046642,0.201183481,0.094012631,-0.5234079425,-0.525039177,1.402951991,-0.063953838
"set86_358",-0.259294956,-0.239809185,-1.2783577195,-0.453840195,0.0862803925,-0.2578238795,0.00215426649999996,1.6027615685,0.845411812,-0.086981949,0.5695501065,-0.7767476625,0.0803782065,0.693152512,-0.392794675,0.00459069649999996,-1.6879107155,0.722985086,-0.504004435,0,-0.4528422325,0,0.052186367,-0.5270248125,1.223832872,-0.204921189,-0.205139182,0.186236028,0.0736104515,0.2400604655,-0.81984447,-0.441340093,0.279955889,-0.0793362265,2.533655398,0,0.789711534,-0.588691926,-0.375037259,-0.815602054,-0.0236336215,-0.258097982,0.497524076,-0.776206195,0.146569293,0.181614615,-0.6547100625,-0.2945627685,-0.2711273725,1.038342369,-2.0002923065,0.2899796975,-1.0438024105,-0.351273225,-1.249371575,0,-0.534881624,-0.233572339,1.544491073,0.3495400895,-0.0844586645,1.934248863,-0.4521843875,-1.5223653305,-0.570011639,-1.4419983315,-0.223474604,0.738535068,0,0.796378047,0,-0.637302779,0.627089855,0.429249282,0.0613045765,-0.4111778,0.2340735025,-0.485317969,-0.2528920065,-0.651208534,0.575971448,0.7706695515,0.410855391,0.8040228765,-0.039059084,0.51054982,-0.5307765255,0.199470785,0.2954353185,0.219214174,0.324086421,-0.2710529505,0.99550148,0.2852765275,-0.398410304,0.306938433,-0.3258072095,1.017905213,0.2375043485,0.056411001,-0.2965614355,0.440576585,-0.300338935,-0.500889326,-0.180604244,0.931724834,0.05767562,0.0681447814999999,-0.2211782695,0.573810936,-0.7963483375,1.1208350665,0.886412339,-0.0744649195,0.8722464795,0.330614755,-1.5907444635,-0.125519116,-0.725530166,-1.343761275,1.0675810195,0.4178055065,-0.4045848975,0.0912944,0.8155295765,0.69834573,-0.161911334,-0.8926100245,-0.720314461,0.2548011065,-0.178938262,0.11537091,-0.3714695135,-0.1011614675,-0.651555247,-0.2074634295,-0.419277466,0.475461809,-0.1316133095,-0.792734701,0.264554976,-0.251072932,0,-0.3735085055,1.206257788,-0.337886538,-0.197189773,-0.1051692525,-0.222586241,-0.816537407,1.100494931,-0.024473677,-0.139763322,-0.492131667,0,0,0,-0.056822936,0.578745775,-0.1095708485,0.279624845,0.1572034225,-0.4461397175,0.289791755,-0.3503343105,0.850215366,-1.0147233675,-0.94324013,0,-1.194471682,-0.0796114595,0.300629914,-0.201289375,-2.574420886,-0.0299529325,-0.1240089995,0.468705519,1.803270151,-0.550184814,-0.1567259205,-0.001813496,1.140823497,0.201183481,0.2159047925,-0.3323617125,-0.367725771,1.4325577585,-0.165480859
"set86_359",-0.257230542,-0.303940761,-1.4597592845,-0.4355041945,-0.0245795645000001,-0.2554890435,-0.0828107145000001,1.6281673215,0.8843154435,-0.036738112,0.619322837,-1.197481551,-0.180166717,0.707936604,-0.3876382915,-0.041854641,-1.760956745,0.665965257,-0.41915181,0,-0.5140395535,0,0.048055407,-0.6582412675,1.0819586585,-0.2459412255,-0.218328815,0.26413298,0.209249103,0.1907341435,-1.0397679775,-0.5602591175,0.359971129,-0.13225599,2.630233107,0,0.938450093,-0.7175392475,-0.406946866,-1.0193526975,0.04880473,-0.297898617,0.435174563,-0.8052417175,0.164458244,0.220493733,-0.428269611,-0.33581568,-0.311258342,1.075031841,-1.9399864985,0.33267152,-1.033902487,-0.282100301,-1.236817595,0,-0.635810742,-0.361114822,1.690310337,0.3000898875,-0.242252634,2.0782425685,-0.5378312685,-1.4496422355,-0.7137943205,-1.432470705,-0.211997346,0.705507756,0,0.912516182,0,-0.481151297,0.6191092715,0.37981692,0.0822701485,-0.3475518475,0.187205663,-0.5798445095,-0.348633249,-0.7447801715,0.524249114,0.774786051,0.345548455,0.8638381335,-0.102868381,0.57811643,-0.4805305565,0.2204313415,0.1766543695,0.275654121,0.324086421,-0.273342476,0.8804691475,0.2455467565,-0.430765554,0.2405197165,-0.347580456,1.119425417,0.241176821,0.028827345,-0.257372638,0.30394003,-0.457197386,-0.571933773,-0.140749725,1.362490349,0.0609791285,0.1000625855,-0.4062215965,0.4064820825,-0.850333289,1.145971041,0.921069129,-0.278121579,0.959780303,0.338502786,-1.7164335595,-0.138330932,-0.7825886235,-1.4942002065,1.1106224075,0.477307868,-0.4264202725,0.0912944,0.848143308,0.411441722,-0.14826622,-0.892185895,-0.764001057,0.2293301,-0.31170735,0.171024694,-0.535790504,-0.0712222270000001,-0.7248639195,-0.378681016,-0.357426518,0.521615132,-0.053766483,-0.813551263,0.2201657365,-0.300767688,0,-0.319393804,1.0396130515,-0.251432263,-0.146275947,-0.193667314,-0.1574334285,-0.8773184985,1.168498393,0.093698555,-0.170290224,-0.545923703,0,0,0,-0.081870799,0.668924946,-0.016644342,0.242268259,0.144119735,-0.544796736,0.440416489,-0.710526661,0.944667816,-1.04509864,-0.940792657,0,-1.1467013455,-0.096337609,0.384928378,-0.125916087,-2.705594668,-0.09743642,-0.143636082,0.4326500465,1.7315455555,-0.6793497625,0.129151157,0.0459568405,1.270387022,0.201183481,0.1589977405,-0.452695814,-0.3836728445,1.507473338,-0.028705235
"set86_360",-0.2828835465,-0.17354876,-1.527216071,-0.4300429755,0.0252307905,-0.1142984875,-0.0421625395,1.8118863985,0.882945093,-0.062724945,0.697703359,-1.168460465,-0.180587325,0.712996312,-0.407080283,0.4233524065,-1.8107062495,0.644739965,-0.3216080885,0,-0.3997262055,0,0.115008524,-0.6856517775,1.1763256745,-0.0680688025000001,-0.201451304,0.243763568,0.2066360105,0.1308894715,-1.1171415145,-0.6099292505,0.274406066,-0.1305251755,2.78009202,0,0.9343361475,-0.6443530275,-0.225685548,-0.9487835095,0.1048909655,-0.293723725,0.414722077,-0.7638992715,0.35756628,0.237813056,-0.440676036,-0.302862613,-0.3516078115,1.257822452,-1.895503841,0.2553044485,-1.013333306,-0.3122323915,-1.1738988625,0,-0.661530556,-0.309512245,1.687079604,0.355650154,-0.322947507,2.1837940875,-0.432934809,-1.508431251,-0.66598353,-1.4857666685,-0.210591818,0.8276125565,0,0.9532367445,0,-0.541691719,0.6181718995,0.367944431,0.0920854045,-0.320302303,0.336487521,-0.6683717825,-0.343651831,-0.7850297245,0.428591706,0.739844284,0.405955693,0.771780159,-0.210396316,0.622535048,-0.398699961,0.19037176,0.2074923515,0.296906206,0.324086421,-0.2760386465,0.8411400085,0.2257906275,-0.4120185425,0.2021991065,-0.2634939335,1.136016313,0.1072508455,0.083903517,-0.3094407225,0.378994862,-0.370746498,-0.642857897,-0.201760889,1.362175284,0.166239189,0.1945140895,-0.250956979,0.42747917,-0.94577324,1.231077569,0.937214684,-0.25199688,1.0545456795,0.402202415,-1.6242472225,-0.046097073,-0.7357948455,-1.4055756705,1.2768737705,0.396195485,-0.402172534,0.0912944,0.858931615,0.7176862085,-0.216459383,-0.970569593,-0.7774766225,0.199931203,-0.186434685,0.193570281,-0.5695210045,-0.035782864,-0.677527799,-0.301143135,-0.399840722,0.522913148,-0.112718591,-0.803457687,0.487081929,-0.3250034655,0,-0.3175711535,1.0397175455,-0.245834671,-0.131380941,-0.1727553185,-0.204651401,-0.784981765,1.312705241,0.08189156,-0.1798807455,-0.5357225205,0,0,0,-0.001159921,0.87147012,-0.0488365485,0.2554516145,0.0688628755,-0.5349674975,0.3757778755,-0.604646842,0.940193678,-1.1156774855,-0.929447634,0,-1.115234102,-0.0448893435,0.3829989275,-0.21558555,-2.654356694,-0.0393483165,-0.0979482604999999,0.4324180955,1.7449331735,-0.6804049665,-0.233500597,0.077424084,1.280862212,0.201183481,0.2791440405,-0.4342452055,-0.4288923175,1.519055868,-0.045576685
"set86_375",-0.3373328725,-0.164378882,-2.036446373,-0.4828821985,-0.078039992,-0.275413352,-0.087670649,1.592043268,1.1980913515,-0.134203814,0.6174429735,-1.0886708215,-0.0576527015000001,0.796924352,-0.4950627535,-0.177127162,-1.646760386,0.686967311,-0.40424869,0,-0.46031902,0,0.067710276,-0.8587262195,0.9936284715,-0.5736114395,-0.32709175,0.191292461,0.347149198,0.4376256415,-1.0079195595,-0.5188332895,0.281992294,-0.143459763,1.645158371,0,0.8657696855,-0.791301737,-0.377896934,-0.990006568,0.305702615,0.14843854,0.558419442,-0.884355838,0.426473178,0.204572431,-0.4049742615,-0.427443039,-0.936327089,1.189022866,-1.6837055745,0.2456481985,-0.8943085995,-0.313873732,-1.086885707,0,-0.6050452695,-0.312597044,1.569882739,0.1672073605,-0.284620267,1.564234101,-1.1037474375,-1.4806127235,-0.7540596825,-1.382050091,-0.137891107,0.761805338,0,0.8481918975,0,-0.597153216,0.591026731,0.355680819,0.073767073,-0.54161452,0.2937669565,-0.823339316,-0.3735570935,-0.5220874145,0.546574708,0.6807998715,0.314769412,0.7116468405,-0.141138019,0.520300179,-0.6842069005,0.164486021,0.452669402,0.249597763,0.324086421,-0.358830278,0.9871038445,0.2979109135,-0.3149544995,0.400456473,-0.329253786,1.276417775,0.0131780655,0.02776434,-0.292820389,0.17827155,-0.598371575,-0.66378688,-0.05571916,2.041432295,-0.0100793855,0.3183978065,-1.3240427775,0.6360061755,-1.260948177,1.195191143,0.952936474,-0.7785480135,0.938933562,0.239495668,-1.684940821,-0.124512769,-0.7315898715,-1.5002547455,1.181464331,0.475181687,-0.500283806,0.0912944,0.995173033,0.7076626885,-0.359435974,-0.854370461,-0.9143879005,0.539931028,-0.258982003,0.129791846,-0.4337010625,-0.0465792005000001,-0.8085785165,-0.3137979905,-0.278900576,0.486383754,-0.0380104385,-0.80022187,0.3636295125,-0.030471702,0,-0.100551793,1.1217207815,-0.366107888,-0.132648395,-0.204530894,-0.4359038465,-0.8240625085,1.071200169,0.278279427,-0.208448949,-0.736842231,0,0,0,-0.025597285,0.476421182,-0.2353656615,0.2930613725,0.183449423,-0.680874835,0.223726982,-0.6587964965,0.993348338,-0.4965158355,-0.950852506,0,-1.2181586185,-0.281494816,0.3767292025,-0.318948051,-2.839209344,-0.157440226,-0.380016153,0.4434125805,1.8341519895,-0.8730710035,-0.289025237,-0.0255004325,1.517981999,0.201183481,0.1498441545,-0.3819798985,-0.3125477965,1.1624873475,-0.025070832
"set86_376",-0.279507447,-0.073731482,-2.0551252865,-0.3229736225,0.1149291545,-0.1921014095,-0.0183405705,1.6350905745,1.18905782,-0.10286538,0.6486075935,-0.894696192,0.13308698,0.826321869,-0.459569145,-0.2241530425,-1.5463377815,0.647290057,-0.5667890745,0,-0.4376006,0,-0.02628538,-0.892060743,1.011951245,-0.4804940525,-0.350218261,0.269918093,0.3279677725,0.4198780555,-0.897000095,-0.5873560385,0.252208599,-0.0480050315,1.661493035,0,0.9043077415,-0.663093306,-0.336652219,-0.900914408,0.3306182175,0.16794121,0.496407096,-0.7488526475,0.436364799,0.267572799,-0.3811853385,-0.519433436,-0.765388762,1.144973483,-1.971241991,0.285470205,-0.743846276,-0.2295110955,-1.0182155345,0,-0.5661900475,-0.261516733,1.55179736,0.145698272,-0.135568081,1.6958974685,-0.9881700485,-1.3275368245,-0.7078582735,-1.374377451,-0.126141647,0.8406854795,0,0.8840931055,0,-0.5697515265,0.6734284595,0.336850264,0.1473674775,-0.5087658495,0.357374656,-0.560350238,-0.236385707,-0.5811649355,0.461679754,0.6336906145,0.4036272575,0.692021414,-0.115413745,0.498638437,-0.6314700665,0.2235275445,0.362242856,0.3510760145,0.324086421,-0.4962826635,1.1117420895,0.2748695135,-0.458284001,0.5858195215,-0.2607956685,1.209432812,-0.077067532,0.084613693,-0.308265918,0.171403383,-0.492450479,-0.658598814,-0.117173181,2.007791694,-0.014971938,0.3584331455,-1.206356016,0.68765954,-1.211198133,1.117944718,0.9779709455,-0.8157855255,0.9580576145,0.245020623,-1.589477704,-0.201208523,-0.708885335,-1.405703303,1.2500006645,0.4805720415,-0.466645914,0.0912944,0.977330227,0.725049218,-0.284982576,-0.933157682,-0.829659626,0.615051751,-0.191406459,0.127170809,-0.4026499955,-0.1006530425,-0.770912879,-0.223335677,-0.357685399,0.442170348,-0.1284034545,-0.858595529,0.370742211,-0.1585334055,0,-0.1235241545,1.181102871,-0.378422318,-0.119433577,-0.1390453505,-0.323247745,-0.761726352,1.138938583,0.3673651025,-0.1469080655,-0.5901907465,0,0,0,0,0.510907633,-0.100630125,0.254623772,0.065888274,-0.564595888,0.267836395,-0.3420959455,1.010279275,-0.571071664,-1.085549162,0,-1.228877104,-0.2976734015,0.275065601,-0.215476746,-2.822657927,-0.0862492890000001,-0.393135279,0.4129899975,1.899945603,-0.8151505335,-0.165702529,-0.036218918,1.3474567175,0.201183481,0.265922939,-0.262149391,-0.1749869895,1.1007405315,-0.082033897
"set86_355",-0.365978104,-0.276367971,-1.8353201855,-0.5302337505,-0.2193903795,-0.3562560355,-0.3122049155,1.735208848,1.129719999,-0.011359435,0.681137096,-1.7171311655,-0.6953345295,0.710369296,-0.4955747855,-0.199587422,-1.811269769,0.810453007,-0.5375990275,0,-0.5301639105,0,0.028444212,-0.713507176,1.0542287645,-0.3959802135,-0.116110637,0.230550708,0.331470621,0.333372519,-1.0594101185,-0.855928333,0.407418076,-0.109933512,2.604480881,0,0.8676689475,-0.767901099,-0.437877104,-1.2417820455,0.046905291,-0.051231438,0.556554432,-1.0261352025,0.203011365,0.146144324,-0.362908144,-0.2200130195,-0.6892309255,1.107035901,-1.6258036015,0.0146453095,-0.930651407,-0.290488634,-1.235548453,0,-0.726114063,-0.193971007,1.726078083,0.297739937,-0.566030379,2.039158262,-0.6939024505,-1.7671010615,-1.1435909465,-1.425631297,-0.220946147,0.6365473225,0,0.8980129645,0,-0.233089481,0.859712132,0.270206495,-0.118249804,-0.415701152,0.243695806,-0.901801939,-0.536703571,-0.8301960145,0.684330323,0.7231250145,0.5625763785,0.893920868,0.020415343,0.564357909,-0.585808983,0.1402127555,-0.0784220065,0.2675402965,0.324086421,-0.3311619315,0.775066531,0.024446023,-0.414757608,0.2456495875,-0.288737559,1.255331305,0.078522807,0.024462351,-0.280310135,0.269011518,-0.420874879,-0.561263431,-0.144770911,1.5997416005,0.135825141,-0.032286064,-0.7260797335,0.3562000875,-1.0614995675,0.9239283895,0.8648500925,-0.3698554175,1.0583436325,0.370771633,-2.1874801485,-0.149152402,-0.8773119915,-1.7496587725,1.057947463,0.562797556,-0.5538330475,0.0912944,0.866596717,0.4688851985,-0.311999331,-1.0204858595,-0.788271521,-0.27726603,-0.299531618,0.157899598,-0.734028631,0.0342424779999999,-0.9569850035,-0.581120888,-0.302444122,0.578398281,-0.104898468,-0.798630912,0.496218582,-0.254070445,0,-0.275563591,0.9109946815,-0.397872147,-0.095944355,-0.3012254985,-0.4265037575,-1.0269354395,1.2383045,0.1672731455,-0.19259866,-0.501434931,0,0,0,-0.089395247,0.674241081,-0.036835928,0.265169518,0.0260078865,-0.4815086205,0.2506720485,-1.216391023,0.884984069,-0.6655786295,-0.977809399,0,-1.166572587,0.006017025,0.50692995,-0.208156434,-2.803622653,-0.115451685,-0.0817911649999999,0.4954112005,1.9920167655,-0.8247287395,-0.060698668,0.026085599,1.433642002,0.201183481,0.158297352,-0.8730117865,-0.6296181775,1.5272569245,0.041412347
"set86_377",-0.295911292,-0.09948969,-1.7211264695,-0.448661848,-0.1838393275,-0.5098365265,-0.2071755025,1.71473135,1.083900198,-0.166654259,0.7682418565,-0.7675977415,0.0453166075000001,0.787387631,-0.5260851365,-0.0211940575,-1.5914209955,0.641223802,-0.580887184,0,-0.437818271,0,0.06846694,-0.82572361,1.0559196625,-0.08141845,-0.512689709,0.270689706,0.3873750135,0.499169485,-0.8940702545,-0.4082847025,0.253763873,-0.1406078965,1.546966489,0,0.9576500245,-0.4825554015,-0.309476444,-1.0411657475,0.0828403915,-0.200628032,0.390960145,-0.75465522,0.256271798,0.209514888,-0.1706190165,-0.5276158125,-0.530973905,1.156462836,-1.5592910835,0.314951221,-1.1704400605,-0.337547618,-1.158391148,0,-0.465230611,-0.276354001,1.578101395,0.3568849395,-0.2197811225,1.9469802115,-0.8953464125,-1.45806723,-0.8550366275,-1.516851225,-0.121319534,0.78114767,0,0.9061887425,0,-0.5939165175,0.4737691305,0.480497847,0.2392829605,-0.429769928,0.4369930105,-0.7079324765,-0.238960732,-0.482672101,0.465529234,0.778675904,0.5823945725,0.74987348,-0.185192244,0.495662126,-0.7345855025,0.258367198,0.501800674,0.2631886185,0.324086421,-0.3476652025,1.0788324395,0.212023814,-0.326764385,0.5760895335,-0.3071147415,1.266136486,-0.0392396645,0.026519167,-0.290653448,0.127744334,-0.533843155,-0.700348309,-0.104986624,1.5411757995,0.016599802,0.6108513115,-1.0928156,0.772568779,-1.129648902,1.186206781,0.9733510335,-0.4466738045,1.0306253175,0.176310504,-1.721810624,-0.180581282,-0.7241461545,-1.3951770805,1.270184805,0.5079933375,-0.371764797,0.0912944,0.8584647355,0.732180539,-0.312150311,-0.804670092,-0.910665982,0.6804691545,-0.119319329,-0.030907386,-0.3261843995,0.04552814,-0.7654156755,-0.1711935545,-0.578169965,0.506703798,-0.0561898605,-0.846250152,0.368552872,-0.10853306,0,-0.3054137455,0.927336149,-0.356383969,-0.154680082,-0.260035518,-0.354030924,-0.795260482,0.990085446,0.0956201715,-0.146531799,-0.825825478,0,0,0,-0.10587131,0.437708744,0.2041384155,0.256341409,0.1546397875,-0.6371777705,0.212378411,-0.451139333,0.893075615,-0.822725658,-0.947152236,0,-1.211187645,-0.4217473765,0.25319712,-0.085359313,-2.656346684,-0.093604868,-0.65325371,0.366790362,1.998354639,-0.659147666,-0.3683133675,-0.018529459,1.6256327905,0.201183481,0.150776974,-0.435716977,-0.231412705,1.201026764,0.012950177
"set86_378",-0.269478652,-0.110993947,-1.764238011,-0.401709507,-0.1098981035,-0.4148666045,-0.1235417065,1.661267441,1.146804418,-0.039497608,0.706950753,-1.1305516985,-0.3111458825,0.813093445,-0.5808132545,-0.033183717,-1.651215125,0.632627796,-0.4532783785,0,-0.5087902355,0,0.160694599,-0.7607823015,1.1071212195,-0.237352746,-0.492321619,0.281548006,0.378100307,0.572003025,-0.9676792655,-0.448857306,0.196388624,-0.166515481,1.697066471,0,0.981898193,-0.4642322905,-0.397187627,-1.08329013,0.060933455,-0.178692396,0.369304209,-0.744856864,0.326989285,0.243578305,-0.1380289615,-0.639184272,-0.7532645935,1.220465993,-1.460700539,0.2342405855,-1.350050284,-0.2825385805,-1.1447280225,0,-0.470562002,-0.291014106,1.641740706,0.392155473,-0.260522534,1.9304621135,-0.920134011,-1.5902987235,-0.9164586555,-1.4362521,-0.131242554,0.73575042,0,0.900176512,0,-0.592966487,0.342209544,0.365151095,0.129994955,-0.4412326855,0.285882681,-0.873665477,-0.308323123,-0.6565688085,0.537136361,0.709220828,0.3840964015,0.794238957,-0.158984857,0.530321629,-0.769816993,0.296766562,0.3627028885,0.272529069,0.324086421,-0.34475654,0.8534135105,0.2184443155,-0.371860745,0.4281314585,-0.338981308,1.278541841,-0.0984972705,0.026685839,-0.264050947,0.151538146,-0.563578034,-0.687808613,-0.151771519,1.785546193,-0.075294571,0.5805310435,-1.2652345315,0.7315045515,-1.102374217,1.229476114,0.940068311,-0.628516715,1.045921184,0.2901234,-1.7386082315,-0.232201614,-0.6882349185,-1.4154220365,1.166688737,0.4707543995,-0.416357386,0.0912944,0.8892144955,0.6915095775,-0.370657753,-0.9028776845,-0.893767491,0.769041204,-0.126023796,0.016126708,-0.5935067605,-0.064551819,-0.8455785645,-0.260634652,-0.444233205,0.556402589,-0.123461907,-0.870893508,0.449470232,-0.1280867715,0,-0.280087432,0.9839097715,-0.453468166,-0.112247221,-0.2720656995,-0.3666209545,-0.8484812805,1.093031184,0.025167036,-0.0984865885,-0.6597311515,0,0,0,-0.091443625,0.476701999,0.02513352,0.255358801,0.051444587,-0.677517648,0.232172809,-0.653407066,0.932160674,-0.7237341935,-0.991685079,0,-1.229056457,-0.3781473,0.310748486,-0.215712059,-2.764363826,-0.153663542,-0.627942229,0.482465116,1.949886735,-0.738177003,-0.356085652,-0.036398271,1.666667056,0.201183481,0.124578102,-0.466531027,-0.178555352,1.1652425365,-0.062611373
"set86_357",-0.2702556135,-0.211074501,-1.275314684,-0.390746876,-0.1156818475,-0.3387710365,-0.1621572115,1.572161879,0.889100721,-0.020465819,0.725925694,-0.594712685,0.178572588,0.786117868,-0.3520662205,-0.1002410715,-1.6472236585,0.64033221,-0.4766903485,0,-0.484771625,0,-0.117362118,-0.4110599145,1.0632096785,0.0455003689999999,-0.241404277,0.247322337,0.1831674425,0.15675394,-0.6647157265,-0.5605721005,0.343901465,-0.0587919625,2.423052,0,0.863728282,-0.705846623,-0.474191073,-0.8678744925,0.0344441845,-0.270680305,0.4110489,-0.7003922155,0.170884466,0.194400911,-0.86548392,-0.3044782235,-0.127391174,1.059338267,-1.8551077625,0.1090603515,-0.7896944325,-0.426818662,-1.184211901,0,-0.5625388105,-0.183225515,1.520876679,0.301899451,-0.277805012,2.02364847,-0.4034033,-1.529824803,-0.616730543,-1.4715369715,-0.210406057,0.8594949285,0,0.902088388,0,-0.360871715,0.9060196055,0.43858683,0.1234555245,-0.3552733135,0.346294754,-0.4048954875,-0.258909431,-0.7050679915,0.535428639,0.8475374505,0.909843209,0.988325472,-0.02056303,0.601194002,-0.458297747,0.2056457505,0.284940788,0.2669063955,0.324086421,-0.386069969,1.2519583675,0.130026181,-0.4208672625,0.5114928675,-0.3039873175,1.071102374,0.06807018,0.086133835,-0.3232947895,0.509226313,-0.30538004,-0.534710435,-0.151920784,0.908331166,0.084791064,0.115047698,0.0167728065,0.5476108955,-1.030136457,0.955253634,0.8613635025,-0.0871154560000001,0.989550374,0.296541947,-1.6986596875,-0.063194635,-0.740739799,-1.341580865,1.1080908715,0.475132803,-0.332325853,0.0912944,0.7886284335,0.5343635215,-0.013301623,-0.9563418185,-0.7515361085,0.1656043785,-0.217101477,-0.000862638999999998,-0.553224427,-0.082589662,-0.5609828655,-0.4010839715,-0.46414908,0.547838555,-0.080562084,-0.819836568,0.354403934,-0.272944445,0,-0.4213001485,0.895363043,-0.167255108,-0.26747617,-0.2632529025,-0.198143651,-0.780141316,1.041882182,0.1619299805,0.081720007,-0.6642442905,0,0,0,-0.088231284,0.642246423,-0.096804387,0.2384605495,0.1232090775,-0.3241488735,0.29882672,-0.407015026,0.853029153,-1.091316097,-0.887416687,0,-1.200621991,0.0027613095,0.3155870245,-0.205697569,-2.674816327,-0.1767730725,-0.0637869794999999,0.342738112,1.850383345,-0.547029867,-0.2791600655,-0.007963805,1.071984226,0.201183481,0.2711292945,-0.4948814835,-0.366063106,1.459214969,0.045336155
