"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set81_323",-0.294071639,-0.743494346,1.9653968675,0.1398635635,3.6024548095,2.8773415385,0.9479955365,-1.784026098,-0.6671783375,0.569104559,-0.476423316,3.269834999,3.373428755,0.096429913,0.7124154875,-0.237830919,1.26081657,0.069879791,-0.564189171,0,0.6273702965,0,0.646187995,1.6762440385,-0.123495177,-0.728825469,0.165279061,-0.264592553,-0.154434216,0.0701741125,0.459898489,0.2587536295,-0.187695015,-0.501647099,1.613937391,0,-1.890079467,0.558588332,0.851248384,0.7212604985,0.305893112,-0.526972364,-0.06118104,0.457918738,-0.364587829,-0.052830484,0.307290478,-0.371845518,0.5590239375,0.38818723,1.2200619125,1.045707116,3.8500775435,-0.3138227415,-1.0174021975,0,0.4892039785,0.107729035,1.194997929,0.3341314305,1.547229401,-1.0345277795,1.3311444795,2.0552494735,2.252291266,0.419570523,0.498543699,-1.288622027,0,0.37721771,0,-0.3214517375,0.6542819565,1.565365923,0.1584324375,0.531712059,-0.8274010075,0.7386720565,-0.020196533,2.441317316,-1.498318111,0.403288484,0.077333903,0.8717994285,0.29823314,-0.414183318,0.033901913,0.0285012085,2.511077822,-0.645255193,0,0.424193494,1.538904683,0.251046017,0.441497305,0.822009664,0.58131532,-1.213642509,0.1365932035,-0.440806885,0.226520071,-0.562634918,1.047495726,0.215238749,0.377199457,-3.467367917,-0.7034795155,0.1865235735,3.5428408285,0.4587207215,0.116685789,-0.625182224,-0.125159189,0.952071761,-0.93122081,-0.53640169,1.78086473,0.874633075,0.4459923355,0.4698451405,0.861493215,-0.17992662,-0.8917663725,0,-3.7284429665,-1.324553763,0.11073433,0.802935224,-0.757086973,0.331157307,0.330759847,-0.609000803,1.8506907795,0.11443116,0.5544382055,0.9069783535,0.0226344699999999,-0.129409421,0.858366429,0.686216135,-0.3371821145,-0.7947642225,0,-1.048646666,-1.5881585555,0.327348231,-0.915209926,0.664738769,1.312681773,0.544157254,-0.446790035,1.261712053,0.2962111725,-1.645302035,0,0,0,0.32730331,-0.679293315,-0.2593506835,0,0.3091253655,0.3481164225,-0.613150335,0.767091952,-1.513186488,-0.0992774124999999,2.552108598,0,-0.1313257565,0.744925366,0.901002692,-0.046027244,0.433672011,-0.209921027,2.903302856,-0.7013732815,0.0972287435000002,0.1472848895,0.568254729,-0.1313257565,-0.436320486,0,-0.6644450145,2.508646097,2.6961905105,-1.275940926,0.29558598
"set132_270",0.180053063,-0.044620289,0.5721122875,0.1247222775,1.445710753,1.328180477,0.957681908,-2.0643135395,-0.8512052145,0.218346067,0.115950938,3.505014005,3.544540785,0.435502283,0.512486616,0.018238505,1.801867031,-0.194799397,-0.7149957595,0,-0.3678039135,0,0.526120864,0.349221348,0.0675124149999999,-0.3896013035,-0.337114009,-0.074964079,0.0400980990000001,0.235370836,0.6333346155,0.212862386,-0.270176607,0.023532376,2.314388498,0,-0.379073303,0.7556823015,-0.726850945,0.4700411895,-0.038627325,-0.74559338,0.137197671,0.735533875,-0.778733292,0.003889007,-0.045583449,-0.9960625945,-0.2505204205,0.059688441,0.381041304,0.6460892485,0.578575799,-0.5941793965,-0.2283949665,0,0.4410832365,0.275493817,-0.857848327,-0.102713513,0.0572517064999999,-0.81989101,0.010088418,0.4780295015,1.9173337655,0.1142968735,0.323197511,-0.088748631,0,-0.012137019,0,-0.7812894885,-0.605528259,0.069468637,0.3855924855,2.969886128,-0.329921029,2.2461859365,0.3776242975,1.612516022,-1.498318111,0.3379199175,-0.1125333365,1.246645185,0.179414089,0.00206542699999999,0.254798466,0.0807804385,3.090406672,-0.217507627,0.106192242,0.0736028565,2.472200547,0.10071823,0.588482305,1.991871856,-0.081188143,-0.443786576,0.3851151025,-0.35898631,0.0264826135,-0.235881139,-0.286382689,0.095937364,-0.130127037,-0.471023549,-0.7058101635,0.79621333,3.378909665,0.921331513,-0.2080537935,0.1697531185,-0.255114568,-0.058118021,-0.4571297265,-0.429720082,1.2145594735,0.98741412,0.274083187,0.541252898,0.035629506,-0.5994045775,-0.3107359565,0.096719245,-4.3974049735,-0.209691292,-0.15029245,-0.6494105625,-0.778400449,0.679433155,0.274361415,-0.46029153,0.226369272,-1.4856657035,0.941774962,1.7935923075,1.854362304,-0.494897388,0.703308421,0.17598563,-0.2051830865,-0.6887443945,0,-1.49330095,-0.806807398,0.934177706,-0.618206197,-0.0219505150000001,0.19041941,0.162393746,-1.061113677,-0.338592866,1.0347877115,-0.611592976,0,0,0,0.321480971,-0.196854876,-0.0500040265,-0.513066995,-0.4945390945,-0.1096104375,-0.2512997115,1.4576317335,-0.500855154,-1.7768025855,1.512660883,0,-0.1503922935,-0.157910855,0.556879979,-0.163650628,1.337801059,-0.9395218815,0.2180551235,-0.3400005225,-0.521756407,0.4688468795,0.229498502,-0.1313257565,-0.9411664105,0.114312417,-0.503250413,1.236906334,1.7396894205,-0.295797855,0.444140561
"set132_269",0.240497655,-0.061690531,0.870147183,0.1601034445,1.2657552495,1.1297818575,0.7592832885,-2.3376189955,-0.7836262765,0.218346067,0.181239025,3.542665803,3.571857027,0.473672734,0.378236885,0.110128327,1.86119669,-0.268267171,-0.782300275,0,-0.4572107675,0,0.526847912,0.5463319835,0.093548718,0.0979107049999999,-0.361441246,-0.460745247,0.064409188,0.294338102,0.526800831,0.249707395,-0.270176607,0.069301062,2.404591818,0,-0.331040139,0.700306645,-0.886608767,0.449022972,-0.083365828,-0.089942732,0.201653281,0.6664530875,-0.805501187,-0.012235241,-0.0577668205000001,-0.6870100505,-0.0782688375000002,0.068167993,0.3518550225,0.5741792635,0.1439443985,-0.457363025,-0.171103435,0,0.3805351805,0.275493817,-0.792668941,0.17381916,-0.052674187,-0.711117984,0.428561982,0.3531676545,1.620713794,0.134796963,0.324594074,-0.2375863425,0,0.100464828,0,-0.6002024255,-0.5164026115,0.115701145,0.24140796,2.9934564515,-0.2615179655,2.167944641,0.4445917515,1.6446647395,-1.498318111,0.4040294975,0.139775584,1.196516834,0.165394839,0.022813779,-0.113280366,0.2109619705,3.1411825305,-0.146694092,0.177816994,0.069660812,2.193376371,0.0643977615,0.476190414,1.83333682,0.003605724,-0.525667008,0.425365781,-0.286543465,0.044887485,-0.235881139,-0.275736231,0.20899188,-0.207756342,-1.071828594,-0.6363176295,0.6231984605,3.4528462155,0.759655826,0.034607331,-0.058917533,-0.187454305,0.3245184345,-0.441097205,-0.536389758,1.3176980935,0.929411845,0.2117229395,0.5617865055,0.1859444095,-0.4244692895,-0.375728928,0.111133696,-4.422744945,-0.178837467,-0.228789108,-0.511619305,-0.723295798,0.534625646,0.243193062,-0.335054798,0.3678366325,-1.4274160295,0.514594508,1.496650125,1.854362304,-0.447151201,0.658569918,0.172295407,-0.2571634255,-0.612758953,0,-1.420227308,-0.3594019045,0.885809527,-0.590407586,0.159535468,0.2183404855,0.4032810785,-1.013327655,-0.303319862,1.01974196,-0.5028210725,0,0,0,0.321480971,-0.195662794,-0.1021501265,-0.532645091,-0.598072084,-0.14002631,-0.1651123465,1.7389374425,-0.431980368,-1.6912248045,1.478243773,0,-0.2768702695,-0.169643602,0.768602018,-0.271883355,1.461912018,-0.852629767,0.051465072,-0.4311358415,-0.454167784,0.1723537015,0.2773822,-0.1313257565,-0.871002613,0.133983521,-0.4327975455,1.2433063255,1.7452762745,-0.2544925535,0.397385515
"set132_268",0.05284781,-0.104734335,1.1737979145,0.3223166985,1.696757594,1.413410889,1.04291232,-2.326523427,-0.9114326725,0.218346067,-0.0410514705,3.9631464005,4.0780158755,0.433827731,0.52227791,-0.0405680625,1.9308882885,-0.090107883,-0.829563897,0,-0.4772618965,0,0.474139685,0.754826559,0.4015853895,-0.235937522,-0.286337406,-0.219799665,0.1754783765,0.1210933245,0.5608619775,0.2080526975,-0.270176607,-0.000429134499999984,2.575414104,0,-0.4607001025,0.9012503155,-0.810684009,0.507217876,-0.0177677865,-0.24476956,0.128741348,0.822284656,-0.739237976,-0.04873641,-0.350156705,-0.8965838475,0.2080155815,0.035407706,0.3019890805,0.8414229795,0.164295956,-0.629028782,-0.337225626,0,0.4519545795,0.275493817,-0.866999562,-0.1816791335,0.5358053545,-0.8559534685,0.529024869,0.3991224965,2.196160583,0.157884347,0.36131976,-0.16008716,0,-0.0639450035,0,-1.086453097,-0.788042361,0.113105244,0.3510414845,2.8454562325,-0.428218265,2.5416098145,0.284916309,1.716863461,-1.498318111,0.3947805795,0.1107650085,1.303936735,0.276242286,-0.021545957,0.1502952985,0.3828653215,3.1868390685,-0.2703064955,0.139799563,-0.00232771650000002,2.4974449275,0.25270483,0.478748187,1.9730559715,-0.1254114535,-0.558596199,0.4399555685,-0.307113767,0.026326335,-0.235881139,-0.279978745,0.334281384,0.044524237,-1.2195202385,-0.7239293585,0.958101456,3.471060702,0.9463728095,-0.457595796,0.189958045,0.0363928995,0.265495604,-0.4754200505,-0.415478963,1.611406866,1.045099505,0.304723134,0.769923427,0.246678126,-0.542086125,-0.4371457355,0.004586378,-4.5025179145,-0.064764348,-0.0710294889999999,-0.309765637,-0.681301254,0.8031787645,0.270897204,-0.452928792,0.359441873,-1.3570685425,0.845157289,1.867183007,1.854362304,-0.396348812,0.7241679595,0.027630072,-0.3109013075,-0.869734127,0,-1.5530294185,-0.6188305175,0.883831884,-0.527207903,0.2328036245,0.6379609415,0.3819285415,-1.094255652,-0.4692821925,1.051973768,-0.825064914,0,0,0,0.321480971,-0.245702955,-0.113434977,-0.625546186,-0.2037560635,0.0340335825,-0.1674562765,2.0829137535,-0.537748359,-1.7514547695,1.792792785,0,-0.2350612485,-0.1694442975,0.661965429,-0.239565139,1.350282586,-0.984567963,0.286081875,-0.5813622915,-0.67820654,0.3341694215,0.3462433615,-0.1313257565,-1.101416615,0.262433043,-0.4574240675,1.7225723495,1.7006478195,-0.331194747,0.431234465
"set132_267",0.25791957,-0.061979587,0.7337687065,0.237593409,2.0489759055,1.5767550345,1.2062564655,-2.1769162165,-0.4394612355,0.218346067,-0.124854741,3.4447519955,4.3355016725,0.654705044,0.4178455315,-0.015818058,1.722852561,-0.274458912,-0.81210436,0,-0.058303389,0,0.665747048,0.7903819375,-0.0994846800000001,0.00198659500000006,-0.241201569,0.014986643,-0.414541319,0.299851108,0.678893316,-0.4790559205,-0.270176607,-0.19808797,2.425102846,0,-0.362978697,0.703015725,-0.064022441,0.516722351,0.033264265,-0.11197755,0.15507061,0.5418879695,-0.10784028,0.005025849,-0.201639148,-0.9467758585,-0.3754266935,0.112267719,0.0883378335,0.4951981105,0.101923477,-0.7648303555,-0.6402406265,0,0.1176585345,0.275493817,-0.77176967,-0.257368554,0.3992698975,-0.967117197,0.3087841945,0.145555177,1.7762487565,0.121176396,0.357458125,-0.182826064,0,0.127644309,0,-1.2787534845,-0.5239451035,0.00793887400000001,0.0374967565,3.127183969,-0.239674794,1.853963644,0.4585939905,1.8604247125,-1.498318111,0.347848204,0.2530927415,1.0176004195,0.137083496,-0.00125415700000001,0.01959092,0.344591629,3.176674151,-0.12807592,0.260316738,0.101811487,2.6453007485,0.3928505405,0.524108076,2.131184011,0.019057426,-0.459686844,0.4862623685,-0.323378273,0.032327094,-0.235881139,-0.520272459,0.237354708,0.302779167,-1.1207637395,-0.6602658045,1.292212841,3.6338584765,1.0673357,-0.413843857,0.326942513,-0.087074649,0.108749877,-0.449567132,-0.412721596,1.573176189,1.345727355,0.348857617,0.251557482,0.3422459215,-0.5299373535,-0.438593336,0.103143046,-4.6662910845,-0.1090410485,-0.157870569,-0.423462202,-0.550793742,0.9963332585,0.27816368,-0.44061278,0.3789592585,-1.1520926915,0.6555427835,2.107851191,1.854362304,-0.396952045,0.775200011,0.112963981,-0.1749487625,-1.0106527765,0,-1.875218092,-0.3046426765,0.873331065,-0.573614014,0.3239864,0.0639103970000001,-0.020009182,-1.007582043,-0.136340257,1.2950750425,-1.1837771085,0,0,0,0.321480971,-0.188129235,0.0503646985,-0.569314016,-0.5365128195,-0.1353949565,-0.61166756,1.633708815,-0.474041004,-1.7263152,0.830440381,0,-0.2599976965,0.040823453,0.816692912,-0.293129242,1.479753622,-1.174740742,0.268477672,-0.503301035,-0.5090902295,0.189064474,0.5354757875,-0.1313257565,-0.8249860375,0.287179011,-0.5439258455,1.7695078525,1.905731702,-0.308050232,0.382243592
"set132_266",0.168477238,-0.091272336,0.7685147565,0.018670286,1.8280506125,1.5502340695,1.1797355005,-1.9678800075,-0.1904114615,0.218346067,-0.2030636055,2.7940243075,3.8352790745,0.563195024,0.214528445,-0.1150636115,1.6968691985,-0.122855856,-0.769991289,0,-0.1529746785,0,0.520778416,0.7564891815,-0.156561535,0.053646627,-0.299922993,-0.100238731,-0.3856465525,0.483982103,0.741379094,-0.3250377135,-0.270176607,0.0978808855,2.545310815,0,-0.5026776845,0.414710161,-0.138998743,0.475519914,-0.0599747155,-0.166444922,0.14485374,0.6967722255,-0.279412901,0.008421473,-0.0926543174999999,-1.174422353,-0.683369071,-0.096864915,0.383238961,0.296825559,-0.513524554,-0.8485186855,-0.4828797255,0,0.3573036295,0.275493817,-0.894658716,0.121716991,0.0150079304999999,-1.165106732,0.221406384,-0.1438109395,1.480271673,0.223289792,0.343582142,-0.0976883745,0,0.0580773705,0,-1.2049222715,-0.628756622,0.038218507,0.0102413415,2.827792321,-0.350231263,1.657419707,0.360870919,1.706659231,-1.498318111,0.1612172645,0.135208012,0.752957701,0.081445114,-0.027276365,0.0221865425,0.520765244,2.9728477085,-0.1370496445,0.213029702,0.1035418925,2.135317154,0.286335486,0.567496303,2.0364958575,0.0077441005,-0.378284814,0.604559614,-0.345135787,0.03732592,-0.235881139,-0.521810989,-0.024846989,0.354137009,-1.0671687855,-0.7757204405,1.1676129735,3.425317467,0.815615485,-0.288585829,0.275294889,-0.6377961325,0.29469723,-0.4353652385,-0.812584164,1.3771179615,1.32135866,0.379465083,0.533174514,0.1903894755,-0.500500441,-0.3452212615,0.074920426,-4.434238752,-0.1365272775,-0.39609654,-0.611766223,-0.48492156,0.8474743885,0.234854467,-0.351528628,0.2574110635,-1.1978007005,0.604094941,2.0070272415,1.854362304,-0.371340241,0.6819610305,0.034868984,-0.3069251095,-0.9776426685,0,-1.7576252385,-0.6949667905,0.873300324,-0.509917998,0.278982099,0.100868019,0.09471693,-1.249023866,-0.2096151765,0.9408840795,-0.765255276,0,0,0,0.321480971,-0.151347441,-0.031751689,-0.451350128,-0.9794786965,-0.5061406695,-0.5370717195,1.240245821,-0.435639565,-0.9287734625,1.032995732,0,-0.1443806585,0.0432701115,0.845184242,-0.226381501,1.374993533,-0.955431164,0.456225918,-0.264893401,-0.42181205,-0.049830476,0.4677045945,-0.1313257565,-0.731756208,0.267100162,-0.5530273865,1.4256397975,1.707102746,-0.499327558,0.411939968
"set132_265",0.242191978,-0.258587634,0.8891411715,0.0647550795,1.699277891,1.385238324,1.014739755,-2.3404674605,-0.1882748335,0.218346067,-0.221858613,2.495816214,3.37375135,0.616397086,0.1013556325,-0.436473106,1.763603487,-0.169857469,-0.9559492135,0,-0.0426576485,0,0.45449236,1.125654588,0.1219225125,-0.0183868775000001,-0.257305097,-0.072144361,-0.572948962,0.7203773795,0.493285109,-0.604025394,-0.270176607,-0.00322909999999998,2.750615005,0,-0.5447040115,0.5883074925,0.008488836,0.0105760415,0.010110469,-0.039330915,0.181658154,0.3043303995,-0.313211073,-0.03709931,-0.0629177190000001,-0.975028214,-0.7185889155,0.003142435,0.613288601,0.3163966255,-0.294496775,-0.7657169855,-0.5837700755,0,0.0920756575,0.275493817,-1.046571365,0.317392126,0.0976228354999999,-1.0165692085,0.4243160695,-0.3139892905,1.1137312185,0.426235183,0.31747815,-0.247849225,0,0.1004707505,0,-0.872036348,-0.5897266915,-0.027165412,-0.0543465429999999,2.969465045,-0.4144854585,1.407072375,0.2955072395,1.7153641765,-1.498318111,0.2424253515,0.0153529509999999,0.993833265,-0.038903413,-0.012833252,-0.1593624615,0.1597227185,2.8081127145,-0.2583086555,0.38851431,0.1094372695,2.393555301,0.105785193,0.523252286,2.0188565745,0.064015385,-0.342196563,0.5690463185,-0.30055832,0.026348454,-0.235881139,-0.522503478,0.129438862,0.439865403,-1.4096318955,-0.7798315175,1.037224145,3.2483910215,0.873967128,-0.171550891,0.127167965,-0.1729932925,0.29669951,-0.4622041785,-0.434386463,1.315765679,1.233697248,0.344444025,-0.21326002,0.089307874,-0.5464779035,-0.526105016,0.040472281,-4.3651162645,-0.175617912,-0.236776632,-0.5193790015,-0.467479767,0.698929171,0.13934427,-0.233096988,0.2831156335,-1.1522346235,0.2223233755,1.778437549,1.854362304,-0.406389756,0.752046215,0.065580515,-0.4327436265,-1.0503305685,0,-1.679218874,-0.8175298085,0.889249532,-0.602541839,0.329060582,-0.0492620869999999,-0.142567725,-1.24392636,-0.1909672335,1.0012783675,-0.951116945,0,0,0,0.321480971,-0.191548696,-0.0539614695,-0.475552959,-0.8538394145,-0.3645526035,-0.447800126,0.837888793,-0.511272377,-1.054472453,1.15546848,0,-0.5440987545,0.087674915,0.827201598,-0.337158911,1.455201071,-1.070585826,0.526023527,-0.3720068395,-0.5054166705,0.0644464555,0.269639804,-0.1313257565,-0.132207995,0.330129682,-0.5064639695,1.430462501,1.6262966395,-0.374453467,0.267520255
"set132_252",0.185296991,-0.230293413,0.571611246,0.246686523,1.723267149,1.548014235,1.177515666,-2.00008619,-0.7327419235,0.218346067,0.2080856515,2.851312021,3.585824514,0.521691513,0.3601205695,0.0553889855,1.8673436665,-0.205165508,-0.614969155,0,-0.284917931,0,0.52365787,0.5095821135,0.0654676004999999,-0.292384248,-0.26327875,-0.015455081,-0.1506248155,0.4727818685,0.835162542,0.0141383015,-0.270176607,0.1822029875,2.673253853,0,-0.5299449675,0.526154059,-0.584138307,0.632165397,-0.0563957725,-0.257140045,0.167078463,0.7469081205,-0.403885239,0.037369176,0.1546064935,-0.857030349,0.1039897005,0.258970957,0.5030555045,0.357494664,0.9549975895,-0.5328217555,-0.3145021605,0,0.0442678125,0.275493817,-0.904769631,0.166702121,-0.137831652,-0.649065074,0.396254394,0.5446520385,1.422016766,0.1313020995,0.192310388,-0.3269194615,0,0.1057724155,0,-1.0601657045,-0.0622520655000001,0.056298928,0.218753088,2.621799159,-0.3667757515,2.093512334,0.2567009995,1.481400934,-1.498318111,0.1204565945,-0.1696804745,1.025024796,0.355041238,0.035742601,0.2134683455,0.107024782,2.7203018735,-0.2204151785,0.397448183,0.191989352,2.2803967535,-0.00544023850000008,0.648237391,1.8335747845,0.1501606815,-0.322769024,0.455728414,-0.251922296,0.0361583255,-0.235881139,-0.229253916,0.059169327,0.260699374,-0.896814698,-0.7055559045,0.916413682,3.2345715435,0.954306331,0.0443581380000001,0.0295166949999999,-0.2168493015,0.1548235595,-0.486425238,-0.416746707,1.3438319535,0.841531251,0.32979113,0.512108969,0.1326813355,-0.6172078915,-0.4869840605,-0.004649879,-4.314409107,-0.2687023495,-0.372208056,-1.0408738665,-0.930635893,0.7697332305,0.055790012,-0.227308683,0.0842265294999999,-1.5555835815,0.3910097015,1.9045147015,1.854362304,-0.424635645,0.6855399735,0.193980295,-0.2719614525,-0.6128708115,0,-1.3310580715,-0.7477341705,1.062842354,-0.4948359,0.114304959,0.136043067,0.184746644,-1.091722914,0.0905249055,0.8624830255,-0.439298927,0,0,0,0.321480971,-0.082137638,-0.030962115,-0.312640797,-1.4211221695,-0.4334283025,-0.1158156885,1.228325926,-0.540094753,-1.4684569395,1.411062426,0,-0.4274821665,-0.0541047445,0.714394297,-0.299174136,1.309210465,-0.8682754085,0.5014804505,-0.385576365,-0.545188754,0.118115685,0.4946574215,-0.1313257565,-1.1620873545,0.229681393,-0.674533458,1.351393876,1.516748544,-0.3764112515,0.316971476
"set132_251",0.218902648,-0.235730211,0.860740384,0.2517484775,1.8536284795,1.5021796075,1.1316810385,-2.2592844335,-0.6927516335,0.218346067,0.2068020375,3.403073207,3.919652272,0.539643561,0.4265066275,0.00725224350000001,1.7609832095,-0.188360429,-0.8645309265,0,-0.367448591,0,0.627222097,0.894879382,0.250718111,-0.00693592500000006,-0.339009918,-0.070584643,-0.2275962685,0.369149299,0.640470295,-0.2789514625,-0.270176607,0.00719224750000003,2.417588052,0,-0.5171570465,0.327811392,-0.778160536,0.544706192,-0.0047810975,-0.42590516,0.09802583,0.5357558915,-0.529381834,-0.04769837,0.1192255545,-0.8592109315,0.5205574935,0.177388851,0.0680897195000002,0.4043715095,0.8140365985,-0.4805608815,-0.4264480295,0,0.1655099695,0.275493817,-0.810722565,0.1286005425,0.602467897,-0.802582883,0.609496458,0.493671597,1.777303239,0.0670152755,0.289973444,-0.2416890225,0,0.1727465345,0,-0.9280382735,-0.3677124555,0.07208028,0.179200763,2.802595056,-0.4666869175,1.8369428735,0.3262872135,1.8486391345,-1.498318111,0.36768564,-0.257244423,1.151226927,0.274352277,0.074858615,0.1006276085,0.1681903085,3.0643178615,-0.1979674365,0.348826526,0.058108139,2.544664308,0.334155139,0.522965104,1.896341391,0.0840449115,-0.341007047,0.143274785,-0.241792108,0.0249631345,-0.235881139,-0.299386997,0.370757785,0.070575665,-1.527414014,-0.7181715465,0.8965557635,3.4962021845,0.9428585445,-0.235984351,0.258132193,-0.2794121925,0.3701799635,-0.442034245,-0.51213353,1.5263944335,0.881096581,0.272847826,0.185090809,0.207397264,-0.5281249655,-0.51735702,0.120526701,-4.518878145,-0.266629777,-0.382587198,-0.4287252895,-0.80847734,0.8223060885,0.130662698,-0.266751663,0.409831322,-1.375314064,0.5166842695,2.1991507455,1.854362304,-0.418798998,0.7371546485,0.147255249,-0.2484486005,-0.5988743285,0,-1.1082763425,-0.59979688,0.992624022,-0.538161679,0.337695391,0.1397750535,0.0550056014999999,-0.942994642,0.0108504404999999,0.9721430495,-0.8019950675,0,0,0,0.321480971,-0.146537824,-0.024359197,-0.378744599,-0.459032092,-0.086086301,-0.2364025935,1.6825264055,-0.473703149,-1.4638752575,1.376328377,0,-0.2566436585,-0.0814597455,0.733058894,-0.275644998,1.429499695,-0.9973586905,0.5564024245,-0.3974790225,-1.092498697,0.1840823955,0.5473223245,-0.1313257565,-1.049720297,0.231460262,-0.584563178,1.655136965,1.6433948465,-0.31872849,0.335446682
"set132_250",0.195006505,-0.21795593,0.8638774775,0.259878864,1.8158541065,1.5480520445,1.1775534755,-1.9158656685,-0.6822232425,0.218346067,0.1763859575,3.1942080275,3.7591064305,0.486993623,0.383969733,-0.0597687425,1.7992459825,-0.175122094,-0.9368650685,0,-0.329025254,0,0.548300779,0.962465602,0.2283305325,-0.1667862245,-0.254080397,-0.128098803,-0.1489320305,0.496064928,0.6850052425,-0.231529058,-0.270176607,0.0686521085,2.687609531,0,-0.5682485955,0.573417047,-0.683765531,0.554733312,0.0258016535,-0.163289216,0.183344778,0.515067037,-0.393346027,-0.177425214,-0.0245461219999999,-0.848862131,0.338475433,0.268041165,0.023384117,0.4816539355,0.7368011095,-0.501583839,-0.339999477,0,0.2180844015,0.275493817,-0.937748554,0.199140619,0.486256745,-0.729481675,0.5738470905,0.4616202835,1.7490295095,0.128741914,0.315593192,-0.2026165955,0,0.1902338165,0,-1.03637142,-0.319264598,0.047565089,0.229556488,2.8452941665,-0.3723527115,1.919202532,0.34135239,1.8770051175,-1.498318111,0.221587568,-0.253394902,1.1243969225,0.380069055,-0.037905475,0.1187646095,0.206642342,2.9631673115,-0.2840235325,0.432787205,-0.00270707450000002,2.484565937,0.3375234475,0.600965028,1.9376066915,0.0991286855,-0.40722884,0.2917060435,-0.212977707,-0.000866714000000018,-0.235881139,-0.276583427,0.169726227,0.13566612,-1.4210938005,-0.6909463495,1.0721468825,3.444362282,1.0030956735,-0.3339727275,0.3216494435,-0.2140875605,0.244846803,-0.4398448525,-0.493465884,1.474162946,0.834899776,0.2524846355,0.1756388065,0.10158577,-0.5480890485,-0.5435057525,0.050715648,-4.4009013415,-0.2299487215,-0.366758483,-0.520738609,-0.740088761,0.9229598565,0.05099647,-0.269985935,0.463528564,-1.50764979,0.496253747,2.0806191355,1.854362304,-0.451524394,0.7677373995,0.146264881,-0.3126113545,-0.754051236,0,-1.2967187965,-0.440243923,1.01977387,-0.542423539,0.23497121,0.1052162435,0.0949578765,-1.04210664,0.1514536315,0.91071675,-0.4594433535,0,0,0,0.321480971,-0.110118437,-0.112520975,-0.345968823,-0.666676519,-0.318385722,-0.174057968,1.601164782,-0.520984061,-1.536930741,1.477655487,0,-0.3324165175,-0.0392780805,0.670095771,-0.348222199,1.3729834,-0.933139671,0.705731244,-0.48070955,-0.6207785465,0.173141675,0.5441120425,-0.1313257565,-1.1044017185,0.302520267,-0.5977289565,1.4719160875,1.64469942,-0.3555364625,0.301954961
