"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set53_987",0.1787660365,-0.235554872,0.1787660365,0.030222153,0.00669947049999992,-0.1720456475,-0.1720456475,-1.4128241355,-1.170814998,0,0.0474941815,0.1408986615,-0.4683697825,-0.991319705,0.504765387,-0.064182954,-0.0118583309999995,0,0.220011186,0,-0.1711718625,0,0.0821600670000001,0.1299278625,-0.39595323,0.4847039605,0.246390193,0.0922602279999999,0.154441511,0.980915554,-0.124283252,0,0,-0.131271855,0.346048383999999,0,-0.366392034,0.1787660365,-0.159690068,-0.1298037595,0.056451635,-0.223235258,-0.012649964,0.33451909,0.212212565,0.189898343,-0.0997996320000002,0.3601216675,-0.167721791,0.429243391,1.209219225,-0.1488032515,-0.1022745555,0.903905931,0.353130317,0,0.13189724,-0.06894968,-0.0665624630000003,-0.270004939,0.382650573,-0.223562515,0.5171889315,-0.3155608735,0.0641237000000001,0.0899376074999995,-0.053768499,0.134088782,0,-0.386787798,0,0.639103762499999,0.209939744,-0.228276177,0.150968675,0.1966316315,0.1806162505,-0.6158018035,0.223513456,0.36645156,-0.11349386,0.0461916705,0.0618890425000002,0.146643661,0,0,-0.088607976,0.5880360175,-0.221739343,-0.4516522725,0,0.172083,-0.805667951,0.156167835,-0.1787660365,-1.511614044,-0.131271855,-0.122797375,-0.4254353255,-0.285177081,-0.1930824755,-0.613254884,-0.0495836980000001,0.689413316,0.873434953,0,0.0899381610000001,-0.721242334,0.1383261865,-0.706210173,0.427857225,0.00680763200000001,-1.2962439055,-0.4234441515,-0.402686742,0.200037042,0.0592832420000002,-0.012901321,-0.0726423474999998,-0.0170964544999997,1.2556675815,0.1495574,0.111093785,0,0.131271855,-0.2698756345,-0.208434638,0.2752995185,-0.3223197965,0.025076951,0,-0.368098141,0.1082875085,0.109234466,0.374825314,0.4070004425,-0.344394113,0,0.3100378915,0,0.083404635,0.025216927,0,0.131271855,-0.2017263265,-0.048060882,0.00992852899999996,0.563525997,0.0573160680000001,-0.250343272,0,-0.0342552985,0,-0.3656305955,0,0,0,0,0,-0.085141741,-0.1787660365,0.4499060415,0.3631063845,-0.7118189035,0.0338966375000004,-1.131107669,0.00587484949999995,0.195259769,0,0.017865595,0.222536504,-0.4801261285,0.372169495,-0.11950376,-0.1445799675,0.1445799675,-0.049470478,0.5655538345,0,-0.510022578,0.017865595,0.478652278,0,-0.2179598505,0.1947791475,0.401723751,-0.4602325715,-0.652550262
"set84_348",0.2149625705,0.122847448,1.430669521,-0.344646055,0.348544165,1.287585863,0.637071859,-3.5442821635,-0.2568242255,-0.024778002,0.395440288,3.1708469675,3.2386268015,0.437406746,0.9917548435,0.3928837325,-4.1582697275,-0.18389407,-1.4960214915,0,-0.529097782,0,-0.726457003,-0.4398971155,-0.4435017145,4.6335076715,-0.363442572,-0.211319701,-0.1326746855,1.691747843,1.341207011,-0.6335951675,0.075615335,0.0485149585,-5.259708625,0,1.359323495,0.1735301465,-0.142575019,1.6566876265,-0.4342007505,0.05134206,-0.317037895,3.190740487,0.418175398,0.05519791,3.4041643525,0.1648472335,2.642808068,1.031399172,3.301757267,-1.590137945,-0.8794883255,0.9597555805,0.8042551855,0,-0.0576594625,-0.089281139,1.4545186,-0.2859200855,1.710441059,1.54644253,1.046038704,-0.524487806,3.085644505,-3.818473188,-1.121173499,0.786668107,0,0.812153183,0,2.2584390595,0.1505691455,0.154734274,-0.692472111,-0.2674175865,-0.893130922,2.595486234,0.1935048735,0.3074744965,0.016618023,0.46232065,-2.1201250895,2.513594227,-0.104911261,0.459227809,0.255840868,1.6845414035,2.5865904115,2.0962948045,0,-1.1956101685,-0.8861076475,0.873284024,0.2230536795,-2.4888854155,-0.3774135805,-0.267508959,0.0169642695,0.185282039,0.168211048,1.339147468,0.69438688,0.762217127,0.388545417,-1.9639504185,-1.2851531955,-0.794506714,2.4146089045,-3.6669760765,-0.8065111115,0.8021942105,0.3365391835,1.1339903575,0.7730293735,-0.036751917,1.658776799,-0.354543185,0.7944516505,4.3355732975,0.971325193,0.3035993095,0.0174332485,0,-3.400483623,-2.0477765995,-0.254273907,-0.294792056,-1.0978855755,-0.013315843,-0.225396468,-0.822102376,-0.1219897875,-0.1899090435,-0.00946183350000002,0.2823275375,0.385666194,-0.372558235,-0.08542193,0.041319272,1.9316869555,1.5827107925,0,0.4528278885,-1.775478654,0.326880284,-0.327872687,0.8256450965,2.2615296215,2.0563115395,0.058434673,2.2831327895,0.2280722885,-0.4059878715,0,0,0,-0.041709722,-0.112306721,-0.053650352,-0.1096345565,1.039479811,1.169436424,0.3469777345,3.109363227,1.442297859,-1.412962079,-0.324590582,0,-0.0531099555,0.0219778265,0.2875566045,-0.414892371,2.083817266,-0.420335207,0.251021175,-0.069915367,-0.482828288,0.465928052,-0.17606636,-0.0531099555,-2.797637203,0,-0.2861160405,1.1901960135,-1.53877803,0.892190356,-1.32405986
"set84_349",0.2168386605,0.209984281,1.3587354355,-0.1803565415,-1.4055887835,-0.3933307855,-0.9298923745,-3.796248631,-0.6075451625,-0.072441371,0.448513859,2.7504662935,0.145840184500001,-0.961422895,0.9977676935,0.3935964015,-3.9901760355,-0.294915147,-1.669802639,0,-0.6698844965,0,-0.825283867,-0.5070599035,-0.472991824,4.9183156125,-0.272606124,-0.017983111,-0.1668327395,1.7551169015,-0.0319886804999999,-0.277406417,-0.027342724,0.0878324635,-5.415636166,0,1.348270106,1.2777154105,-0.117934774,-0.290392242,-0.4164127695,0.0401717,-0.333508968,3.2245522865,0.177339927,-0.015994725,3.364062901,0.8712457345,1.1367681165,0.95454931,3.9911615925,-1.486150153,-0.9283874215,0.866461112,0.657025778,0,-0.1055009045,-0.396041434,1.460725168,-0.371944855,0.140544202,1.781048403,0.9697088765,-0.309165775,1.4855963345,-3.6587719945,-1.18989816,0.766457152,0,0.723200775,0,3.9676066145,-0.244206504,0.016613121,-0.434807234,-0.090099406,-0.7249557615,1.616210087,0.3756065995,-0.490550351,0.016618023,0.375682352,-2.2455780855,2.2786147105,-0.075776004,0.652960333,0.29336475,1.815406517,2.4465571475,2.1617293945,0,-1.135915424,-0.994847608,-0.6979227125,0.2886126235,-2.079503504,-0.4060491755,-0.238385296,0.330467623,0.361590998,0.1775328335,1.362099251,0.634314721,1.145465092,0.280963686,-1.851292905,-1.2210329395,-2.146998804,2.7547747985,-3.1778011675,0.725435512,-0.583725487,0.1882326695,1.034856863,0.752155797,-0.159553127,0.0985823570000003,-0.229012414,0.862075254,4.335573293,0.9815112035,0.2120627495,0.089973298,0,-3.6357058295,-2.046469679,-0.197380344,-0.311874122,-1.2250496105,-1.6424892895,-0.156146535,-0.484222637,-0.40114511,0.00588225100000006,0.0502570225,-1.396092302,0.435257747,-0.338519629,-0.075598438,-0.036851618,1.8954581265,2.009988159,0,0.1080150195,-2.0964399455,0.23006743,-0.346726063,-0.777013582,2.163296574,2.018979692,0.25155617,2.1924660855,0.730647513,-0.0812184315000001,0,0,0,0.037512968,-0.049284657,0.130134527,-0.1096345565,1.1220186625,1.1472251835,0.611371297,1.801263242,1.385457085,-2.034045563,-0.034025458,0,-0.0531099555,0.1983484505,0.5791131935,-0.376750698,2.136677551,-0.2708575075,0.1426382295,-0.2043637915,-0.6936424025,0.5894312995,-1.7723481965,-0.0531099555,-0.9751857475,0,-0.303739471,-0.4622185205,-1.4655992675,0.9389620355,-1.228656174
"set84_351",0.1728787395,0.116314384,1.2896460615,-0.1844368855,1.2987589385,2.2502798205,1.0373301975,-3.6236447505,-0.8218763725,0,0.491598723,2.817825926,3.678275113,0.754332312,1.0787998615,0.3613551865,-4.2843090225,-0.095074975,-1.3003136265,0,-0.3740829085,0,-0.853747245,-0.3319194455,-0.560031967,4.1092778205,-0.155465652,-0.233960249,0.3449827285,2.004717064,1.7714782895,-0.3665616945,0.163934189,0.2043108875,-4.261550363,0,1.118016489,-0.5253675945,-0.098296789,2.242287272,-0.5781093485,-0.140292905,-0.479354393,2.95048207,0.698422115,0.063929747,3.4139617455,0.062996521,3.010468851,1.137419976,2.760169969,-1.938011755,-0.1387133615,0.8931220785,0.6712915305,0,-0.0217935005,-0.037223698,1.609368734,-0.3329593085,1.973322605,1.441642942,1.017905735,-0.0228516375,3.4318950145,-3.750795866,-1.01390791,0.585961254,0,0.657931351,0,2.157816508,0.3048124525,0.192679816,-0.666093258,-0.2098356515,-0.5901009175,2.551804194,0.28183346,0.3798859875,0.016618023,0.566637256,-2.3376627165,2.194638423,-0.1189228,1.176805683,0.272231801,1.41840843,2.467927963,1.7676156105,0,-0.8385067185,-0.993559195,1.3010857895,0.2632725475,-2.833001793,-0.3893225825,0.343494782,-0.0743465325000001,-0.222564224,0.204210001,1.562155577,0.587450002,0.918630933,0.519295018,-1.8666813235,-1.1312433585,-2.311091066,2.7287536365,-4.3451329375,-1.4113977925,1.2085583395,0.3926646535,1.137364714,0.4440529405,-0.316763743,1.964444287,-0.223568628,0.7051626765,3.9443454375,1.2463055155,0.2232582935,-0.019904023,0,-2.830111403,-2.2647704965,-0.326606984,-0.401779952,-0.8269292405,0.1457649425,-0.136530214,-0.829844521,-0.20295498,-0.462258619,0.0608577905,0.7103291625,0.205737486,-0.4290023,-0.100856903,0.133135929,2.0249835735,0.7756062675,0,0.3222290455,-1.787021394,0.165092386,-0.354557285,1.247456863,1.7117121035,1.8170104105,-0.069359408,2.1027689215,0.0449996315,-0.310134497,0,0,0,0.094209653,-0.253614891,-0.070586802,-0.1096345565,1.001206027,1.315824151,0.2046070415,3.0526578915,1.201605359,-1.8001566795,-0.367023436,0,-0.0531099555,-0.0185509415,-0.00286189849999997,-0.444058376,2.108465857,-0.465395053,0.374956525,0.0678996375,-0.274281784,0.3279474825,0.5056175575,-0.0531099555,-3.203755463,0,-0.6020816855,1.356986351,-1.9983436175,0.669318984,-1.284670966
"set84_352",0.2195924715,0.091412916,1.2246723605,-0.2940242125,-1.1862366005,0.0917398894999999,-0.7662249295,-3.7029689175,-0.6448773905,-0.011321842,0.5507856765,2.433252119,0.0701188120000003,-0.829785448,0.929887582,0.382648163,-4.175479238,-0.192458931,-0.9739090845,0,-0.2089644015,0,-0.983495796,-0.4994913445,-0.608068004,3.88766247,0.019404258,-0.114335093,0.344510019,2.0167190555,-0.24908294,-0.5724559065,0.189502509,0.206302858,-4.556648524,0,1.195980441,-0.4955081035,0.281042427,0.3862822995,-0.546535029,-0.211848015,-0.400311697,2.98552066,0.58052751,0.087838429,3.421770148,0.8730569815,1.1851440125,1.610940802,5.1928287245,-2.092641442,-0.7505803815,0.9505389725,0.6179494785,0,-0.1590041885,-0.109370182,1.698700146,-0.285819385,0.2671005325,1.4690840975,0.9984447765,-0.385966721,1.435000736,-3.7421085785,-1.000715598,0.4708024225,0,0.625124073,0,3.8711573665,0.2754365995,-0.041563574,-0.8689032895,-0.1598834295,-0.6051395455,0.7733964955,0.2928466655,-0.18170306,0.016618023,0.5843535675,-2.236212884,2.7698467655,0.031774807,0.971102554,0.127405793,1.930764068,2.0755726295,1.7915267385,0,-0.775567054,-1.1601919085,-0.5408483905,0.1443439535,-3.0679570095,-0.114131786,0.378828713,0.079294475,-0.258161719,0.2545948645,1.380006254,0.415904194,0.860974957,0.663809201,-1.855546751,-1.0418057855,-1.200018215,2.758326668,-3.62548417,0.5321654855,-0.6169680445,0.6566467325,1.284580826,0.42065397,0.00302761599999998,0.1945668135,-0.210672418,0.736770421,3.982814873,1.632327706,0.170277053,0.06985053,0,-2.8837485395,-2.207924374,-0.240391423,-0.3608892945,-0.8298357705,-1.0266792655,-0.284274343,-0.651379806,-0.517375128,-0.3690777825,-0.155112524,-0.9379412025,-0.350334071,-0.305062937,-0.1754484955,0.12391879,2.0181177475,1.4791741105,0,0.147733009,-1.744437077,-0.214967991,-0.33940896,-0.57565161,1.674996449,1.73507258,-0.019201402,1.9981061835,0.1803925155,-0.5351892195,0,0,0,0.085089202,-0.245442348,0.0874594845,-0.1096345565,0.94514938,1.285595153,0.1835980245,1.221878747,1.239885185,-1.8052387365,-0.074973778,0,-0.0531099555,-0.212892831,0.1000310155,-0.469050748,2.16219242,-0.3919814805,-0.2746225345,0.0655770295000001,-0.327963631,0.3288041055,-1.3314202215,-0.0531099555,-1.4196817595,0,-0.672573289,-0.1223186635,-2.0813790565,0.6980352955,-1.096054487
"set53_988",0.125093028,-0.159631206,0.125093028,-0.181390754,-0.342564299,-0.490583742,-0.490583742,-1.7517496235,-1.37433801,0,-0.098337947,-0.144479809,-1.382841147,-1.332087328,0.8209517755,-0.119976336,-0.320593024,0,0.349401722,0,-0.2820845575,0,0.00387515700000002,0.4697073465,-0.8173606165,-0.7121326005,0.247288982,-0.00383634599999999,-0.00329067100000016,1.676763216,-0.383156538,0,0,-0.223430975,0.0951554619999992,0,-1.0497346755,0.125093028,-0.203146547,-0.5255563975,0.382125933,-0.38195931,-0.049166808,0.161976154,0.463640776,-0.194493849,0.0337571879999999,0.7420423285,-1.356317067,0.448861345,1.696452867,-0.5002943295,-0.1194924525,1.194220056,0.134943692,0,0.199177312,-0.343230513,-0.273613348,-0.2640786105,-0.020491907,-0.957601948,0.2453129025,-0.357854784,-0.17751427,0.272990193999999,0.096318949,-0.4643695755,0,-0.9365251995,0,1.4983724875,0.070516544,-0.300794572,0.379270771,0.095446225,0.123629114,-0.975071337,0.288579906,0.234642785,0.181927561,0.3473402995,-0.3756659315,0.470752974,0,0,-0.1589102255,0.841275461,-0.1866044865,-0.7365465185,0,0.5940301275,-0.964749669,-0.032272182,-0.125093028,-2.043484933,-0.223430975,-0.328785759,0.0134646349999999,0.084895411,-0.34086802,-0.372753734,0.195125947,0.748736611,0.925229955,0,-0.179391163,-1.580387278,-0.4521819045,-0.9093330345,0.782408621,-0.223968612,-1.6644036825,-0.601601781,-0.6118606225,0.358521264,-0.254244806,-0.514439397,-0.209268029,-0.155415471999999,0.920579374,0.1053413995,0.157008143,0,0.223430975,-1.1628268745,-0.088116862,0.0726625815,-0.335141062,-0.191460108,0,-0.221336832,0.1181572765,0.0650560775,-0.00860415349999999,0.256650637,-0.376133467,0,0.348524003,0,0.0291937370000001,-0.016404487,0,0.223430975,-0.4145463555,0.03089051,0.041975105,0.2042320215,0.0464543420000002,0.0340720880000002,0,0.0136930465000002,0,-0.507809712,0,0,0,0,0,-0.225349148,-0.125093028,0.506469235,0.651457431,-1.1781024605,-0.8508483245,-2.123236455,0.363902969,0.726782736,0,-0.029646803,0.312252005,-0.465168155,0.334295552,-0.182548085,-0.198501294,0.198501294,-0.052858525,1.0616182275,0,0.081199582,-0.029646803,0.8149904055,0,-0.264802449,-0.177620896,0.352110575,-0.8757248585,-0.618782509
"set53_986",0.1096345565,-0.267490438,0.1096345565,-0.303531359,0.0597956229999999,-0.094297099,-0.094297099,-1.0880138385,-1.6029212895,0,-0.0165675845,0.1369776425,-0.6263987575,-0.883189834,-0.0464419285,0.005942946,-0.233425417,0,0.341307522,0,-0.0283477844999999,0,-0.105190767,0.2279797865,-0.9667213125,-0.477379361,0.049841381,0.013158423,0.612418457,1.256032994,-0.053987634,0,0,-0.126202141,0.448725279,0,-0.801094078,0.1096345565,-0.137826376,0.2621632935,0.115183546,-0.176775011,0.053272881,0.3446315545,0.0370793739999999,-0.051711771,-0.0748449205000002,0.501963978,-0.6549713755,0.44468607,1.523865136,-0.0819099284999997,-0.503712424,0.750884885,0.237034174,0,0.0446757115,-0.016094863,0.00652791499999994,0.1024891825,0.281223528,-0.8701227335,0.530543245,-0.508054276,0.154814176,-0.126761001,-0.089357192,-0.761403788,0,-0.939812585,0,0.464552080999999,0.067908583,-0.228903268,-0.0844494245,0.21087125,-0.118173595,-0.773137282,0.1789977915,0.283551991,-0.187608503,-0.019101924,-0.0936263874999997,0.42306527,0,0,-0.2054514215,0.9242457475,-0.459142624,-1.1303237655,0,0.7609958715,-0.9793521815,0.133305688,-0.1096345565,-1.948881757,-0.126202141,-0.233424791,-0.5254990865,-0.179334759,-0.163401719,-0.779520608,0.0464034879999999,1.153869817,1.359154275,0,-0.1015894445,-1.2989507055,-0.222276511,-0.6956611995,0.388110897,-0.00267663799999998,-1.7549758215,-0.260802145,-0.9107879625,0.139237616,0.2346124475,-0.171005752,-0.00459774849999983,0.1934778405,1.522136222,0.089694459,0.2613516,0,0.126202141,-1.057561317,-0.218360118,0.131416288,-0.4569910555,0.081994692,0,-0.388632913,0.0156736295,0.0203886005,0.2184082765,0.641728451,-0.615835437,0,0.2358366975,0,0.3824509245,-0.19436967,0,0.126202141,-0.1202768655,-0.126345866,-0.179008306,0.6897877815,0.157490814,-0.0258547759999999,0,-0.4195451715,0,-0.27514344,0,0,0,0,0,-0.1196229295,-0.1096345565,0.290859942,0.348776997,-0.959444354,-0.0781432984999997,-2.098894283,0.4890510545,0.30083704,0,0.1012366935,0.041555743,-0.8600948355,0.277036091,-0.179515014,0.016760526,-0.016760526,-0.031076236,1.0494471415,0,-0.472893963,0.1012366935,0.170479764,0,-0.2298809885,0.2420883295,0.583927845,-1.2079951345,-0.640749981
"set84_370",0.3048143565,0.012814996,1.4711061535,-0.422722192,-0.382511127,1.161576999,0.49639261,-3.3960077165,-0.4493561435,0.137186292,0.5174690985,2.909974922,2.843264341,1.512145795,1.0214616115,0.444619652,-4.30379316,-0.129041858,-1.1663834655,0,-0.387154567,0,-0.638295482,-0.27073117,-0.591059328,3.993973766,0.001464825,-0.244293463,0.567369627,1.8583217075,1.1763484955,-0.652388119,0.247566269,0.157032036,-4.474030114,0,1.098399204,-0.8754066235,-0.041874534,1.700185871,-0.680354969,-0.226598796,-0.466063638,2.91916613,0.591440934,0.07186809,3.3432473825,-0.2535753125,2.645228434,1.141968305,4.05205776,-2.047766454,-1.160202331,0.868586645,0.735134484,0,-0.0636052695,0.0430985739999999,1.322602286,-0.36152659,1.5244609635,1.302742437,1.041963143,-0.566365295,2.9149627145,-3.564531548,-1.044302403,0.4242964025,0,0.687856108,0,2.4123171,-0.081838748,0.527519081,-0.7866195305,-0.350774794,-0.575850734,1.8579840585,0.366753027,1.031376651,0.016618023,0.45091249,-2.22776557,2.082694137,0.062408459,1.026499985,0.224148948,2.2332989175,2.607151052,1.8133386775,0,-0.7659671995,-0.7117835705,0.851620091,0.0575485335,-3.0467293735,-0.171570298,0.461269005,-0.1764651275,-0.184862332,0.254829213,1.269551931,0.40107201,1.027903443,0.52443045,-2.1122346055,-0.9309150955,-0.992911539,2.612321537,-4.283912614,-0.875193172,0.838668879,0.6118341735,1.344603294,0.4852650685,-0.085420731,1.3862713725,-0.289705981,0.6409071685,3.9459690655,1.2450723935,0.1964627215,-0.0654289315,0,-2.832310116,-2.1969468525,-0.290716877,-0.3349918085,-0.8666932415,0.1096975015,-0.17742455,-0.963753601,0.00433557300000004,-0.4298284735,-0.1959927725,0.397188861,-0.488442989,-0.232654406,-0.1381047095,0.210764699,2.0623071155,1.070717925,0,0.566859524,-1.9276661155,-0.433959798,-0.313730962,0.692739396,1.942733728,1.736296599,0.006024805,1.8591145975,0.00172127499999997,-0.8538277835,0,0,0,0.045665383,-0.235104097,-0.0560267135,-0.1096345565,1.0895303775,1.2734819845,0.0622318340000001,2.261912227,1.280264817,-1.500130294,-0.351952142,0,-0.0531099555,-0.204534842,-0.0508707095,-0.43618366,2.07560868,-0.452509911,-0.19387374,0.094734738,-0.1669354535,0.303611353,-0.1280420075,-0.0531099555,-2.97441511,0,-0.6952314345,0.961732344,-1.934840575,0.767745435,-1.156683356
"set84_371",0.2688941825,0.095278527,1.498588011,-0.2104248825,1.3994788865,2.4028578475,1.3397183975,-3.4630552235,-0.6860602455,0.038332284,0.5613474405,3.511301911,4.981712711,2.646869809,1.1249306715,0.442722193,-4.142725698,-0.160562241,-1.2204516085,0,-0.610733678,0,-0.610280139,-0.503121585,-0.5785309395,4.362156763,-0.109868426,-0.271072334,0.468822701,1.813087163,2.026849216,-0.3965862175,0.239857397,0.157866579,-4.557157112,0,1.0935671675,-0.6382208345,-0.182004414,2.2188740865,-0.680781854,-0.28231292,-0.343876813,3.102941311,0.432158301,0.179255925,3.3207724445,-0.8242812355,3.567814339,1.156713064,3.7466894145,-2.010708157,-1.2002358555,0.9442533985,0.7210743305,0,0.011517838,0.032009596,1.754433532,-0.3839137105,2.5599640665,1.441016965,1.060758238,-0.1952884335,3.872333977,-3.7798882905,-1.0096855,0.4492386355,0,0.7188305415,0,1.7604314185,-0.3213513545,0.402763239,-0.6756453975,-0.2767802535,-0.2828642515,2.6819555345,0.478157587,1.414037906,0.016618023,0.5311730665,-2.270329386,1.9613573395,0.062975699,0.963546304,0.3157927235,2.186765108,2.8480986635,1.736539363,0,-0.8333770885,-0.182243334,1.6235970225,0.1782348565,-3.0478218595,-0.284241121,0.430763121,-0.0613648700000001,-0.1500056,0.2441938545,1.200363038,0.258331968,0.792133882,0.472217407,-2.0893878215,-0.9571983595,0.4245133935,2.932318167,-4.2959794975,-1.685462992,1.611422617,0.26336535,1.3588012255,0.4778447735,0.170788247,2.2677240435,-0.207446595,0.7557874655,4.1986391305,1.2922399375,0.124153434,-0.0140351895,0,-2.7938532445,-2.290172821,-0.29769739,-0.251408326,-0.9041352335,0.576565997,-0.098943613,-0.943966799,0.2663235285,-0.50368845,-0.0718360895000001,1.176441229,-0.440405098,-0.200422185,-0.1633944485,0.11209517,2.1596056855,0.7582978475,0,0.393580704,-1.8853846805,-0.427427104,-0.35179635,1.4676184615,2.033980165,1.75072815,-0.021626885,1.537291886,-0.00102641950000004,-1.0552546905,0,0,0,0.117351716,-0.258754666,-0.074248153,-0.1096345565,1.1531047215,1.3062761435,0.184861225,3.49939012,1.266920226,-1.8493484975,-0.400996197,0,-0.0531099555,-0.029827644,-0.0571224844999999,-0.462041602,1.981578986,-0.5180685515,0.1960246835,-0.0220350205,-0.2767510855,0.2237270705,0.743182894,-0.0531099555,-3.6272851155,0,-0.711413546,1.7987191945,-1.8417376195,0.744427881,-1.227043168
"set84_372",0.2455929025,0.124622452,1.1042074465,-0.292295506,-0.756837983,0.023765582,-1.063262485,-3.666652056,-1.3322884635,0.041171656,0.38489204,3.2225873455,0.5946157945,-1.052057121,0.957612076,0.1997348695,-4.2739569705,-0.169485178,-1.109166965,0,-0.218554752,0,-0.850663189,-0.6368093135,-0.4813331065,4.0896064445,-0.133398222,-0.285350675,-0.1147931465,2.1269280595,-0.440899834,-0.091601255,0.119793595,0.0294636615,-4.926576558,0,1.089608523,0.308635977,0.09229698,0.305583337,-0.3826171575,-0.104990906,-0.316485959,3.0464905325,0.658344689,0.023763382,3.1910588365,0.934651871,0.8906030825,1.21236659,5.151832078,-1.6061341495,0.2164853575,0.9859169945,0.4785387705,0,-0.1568756965,-0.444694886,1.777266603,-0.2735009785,0.135353494,1.619117315,0.67681959,0.5042239505,1.211398683,-3.7406015595,-0.903819184,0.663204075,0,0.589437376,0,4.2862542655,0.601066572,-0.130832492,-0.395503226,-0.1872185695,-0.3338115785,0.803262634,0.295603508,0.405721582,0.016618023,0.5626852905,-2.418335174,2.4629802455,-0.269050148,0.801930774,0.165604436,1.7190978605,2.744370956,1.8508764595,0,-0.83503623,-0.1936122305,-0.6936127475,0.1436971125,-1.9680696955,0.0963071875,0.196628483,0.0404888595,-0.250039921,0.2154381365,1.504216813,0.684773935,0.88121167,0.792815842,-1.657171683,-1.2159701175,-0.5216195805,2.6587707975,-3.518568267,0.696255281,-0.705626092,-0.00971170749999994,1.031180121,0.401882838,-0.19044479,0.00236326649999999,-0.300274665,0.842794234,3.998730805,2.373454938,0.2591428455,0.0708308965,0,-2.873049787,-2.3280485035,-0.331777864,-0.2747457325,-0.5764694745,-1.3179459385,-0.169602055,-0.802938433,-0.303363804,0.2378499345,0.075544021,-1.5397379065,-0.117973505,-0.267910266,-0.086449713,0.107603564,1.9492924835,1.2961294365,0,0.2914020715,-1.567903762,0.055782531,-0.477519843,-0.696378191,1.548962916,1.604680288,-0.132673597,2.7158873075,0.1357064325,-1.5787472375,0,0,0,0.037851941,-0.22449405,-0.00226012799999998,-0.1096345565,1.1018008005,1.1953344435,0.434784054,1.1364347865,1.265129527,-1.9792071285,-0.063459198,0,-0.0531099555,0.1404930505,0.2973586555,-0.458738297,1.925116643,-0.2588776375,-0.0088749355,0.0287905740000001,-0.6381571025,0.207466436,-1.3353765185,-0.0531099555,-1.058481407,0,-0.441669668,-0.113396633,-2.050892602,0.5108788095,-0.989236908
