"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set132_150",0.041190248,0.009954366,0.087995216,-0.045711555,-0.339434539,0.00927472199999999,0.00927472199999999,0.0712939655,0.424165555,0,0.093038135,-0.02591981,0.347346095,0.067137277,0.188580165,0.0975922,0.179141981,-0.090267956,-0.0449264535,0,-0.0593928025,0,0.110686337,-0.00829507500000001,0.1126367,0.156438976,0.096719799,0.023882362,0.0508371110000001,-0.2657247455,-0.0275357295,-0.224767738,0,-0.027397839,0.086044204,0,0.062364923,0.02849939,-0.0290634000000001,-0.229447135,-0.025359924,-0.062887971,0.107001792,-0.039701249,0.124659936,0.038380043,0.029709837,-0.015311618,0.188930129,0.253338559,-0.119117134,0.1010013695,0.183739843,-0.037973513,0.063009757,0,0.054580449,0,-0.033522032,-0.32852763,-0.0113521775,0.2573887475,0.0759131405,-0.10369428,0.2686549225,-0.0321647825,-0.048491769,0.0685802305,0,0.076174238,0,-0.04297634,0.0104059445,-0.046528884,0.0648167845,0.146633362,-0.057610873,-0.260395707,0.0650112125,0.0571771475,0,-0.030182216,0.050101814,-0.04544443,0.00191453600000002,0.049749012,0.073516277,-0.023198741,0.0152489725,0.017801218,-0.11207606,-0.0134027505,0.350960692,-0.047197129,-0.070160784,-0.00519742099999999,-0.042680826,0.112924607,0.172452545,0.083844426,-0.0206416945,0,-0.019994654,-0.220644465,0.047889877,-0.076267035,-0.066692733,0.00102452100000015,0.3637387325,0.0105105555,-0.1453905825,0.1286988775,0.09711413,0.086028153,0.0665330505,0.005877424,-0.0897548055000001,0.124870924,0.014749936,-0.171906345,-0.129498369,-0.0853136915,0.0518993875,0.030250977,-0.174924834,0.0029792875,0.017052584,-0.0922154875,0.006774055,0.0626796075,0.056667109,-0.01303707,0.00535027399999996,-0.00511239200000007,0.151391136,-0.0784497795,0,-0.056312155,-0.025359924,0.059461071,0.00257164899999998,0.061628873,0,-0.177735734,-0.012203778,-0.1059301,-0.046895493,-0.132798463,-0.0963922725,-0.1090735355,-0.091006692,-0.00551418699999998,-0.410555285,-0.0583840005,0,0,0,0,0.004394536,0.091757921,-0.187487109,0.1904284995,0.2268689635,0.051374628,-0.016213031,0.091782712,-0.321918672,0.260758066,0,-0.534664996,-0.0243209570000001,0.012709655,0.032888523,-0.0145332619999998,0.0146966384999999,0.0285945445,-0.231235763,-0.092252954,-0.022436425,-0.1139468665,0,0.2578536645,0.032670834,-0.0091459685,-0.0794149185,0.128813078,0.01284245,0.105203996
"set129_244",-0.102000148,0.06254286,-1.0152449525,-1.2285197485,-0.8200787825,-0.4932453775,-0.4932453775,1.9605137955,0.785862148,0,0.8282464955,-1.9977724255,-0.5341373845,0.298436475,-0.240851188,-0.2302464695,-1.5710842315,0.984956547,-0.0484171385,0,0.312468047,0,0.038680724,-0.4792375465,0.025330666,-0.950066991,-0.028030233,0.371797519,1.0746040735,-0.1053141225,-0.0274484125,-1.4736834735,0,0.0221441265,-0.477277389,0,0.1316014835,-0.7603568825,0.946087111,-1.0759081915,-0.0668497535,-0.07375036,-0.050671611,-0.592139598,0.888279447,0.665351113,1.178186159,0.724045515,-0.851005382,0.778719811,-1.1019676245,-0.764535459,0.326132576,0.270846474,-0.229070217,0,-0.8134816825,0,1.837189791,-0.3630506395,-1.241648854,0.541331648,0.1945337875,-1.093143936,-1.0409828695,-0.27920909,-0.26561405,-0.0491797725,0,-0.2131638765,0,0.3105914825,0.3428440425,-0.352707451,-0.5598958825,-0.763679225,-0.1875610465,-1.8359067025,-0.7310512285,-1.799440706,0,-0.5138925005,0.3993948815,-0.354131545,0.098644252,0.094611947,-0.0288285665,0.7167401455,-1.042596435,-0.1643162375,0.633613664,0.2561123585,-0.493300486,-0.253039024,-0.458672308,0.1317019265,0.3492521715,0.573117138,0.1070732025,0.00392984000000002,-0.046979568,0,-0.088688477,0.354599725,0.241515672,1.0425501805,0.193322241,-1.7193788365,-1.041521778,-0.405068069,-1.0843653225,-0.5358711315,0.3240391835,-0.3400953185,0.0441813515,0.135897024,-0.7845463195,0.173210567,0.0353060155,-0.7877578645,0.1753170205,-0.234716923,-0.565969212,-0.15774918,0.6483426595,0.182424814,0.920055611,0.140094089,-0.038106318,-1.3324375835,-0.070645036,0.397114141,-0.959129548,0.440634959,-0.521532572,-1.535130492,0,0.113538494,-0.0668497535,-0.043250856,-0.098495753,-0.049509261,0,-0.0827667015,-1.285764757,-0.737682381,-0.300015788,-0.469355558,-0.373085532,-0.838057721,0.23694542,-0.2237662555,-0.089126409,0.771728784,0,0,0,0,0.639393767,0.208996742,0.616311129,0.380348525,0.100330489,-0.10211342,-0.169194682,-0.005596433,1.284908166,-0.741779512,0,-1.108044989,0.5725425355,-0.436653201,-0.145105868,1.611405771,-0.230537336,0.830397609,0.6213013375,0.848560017,-0.7934293735,-0.0936858565,0,1.257201081,0.376384474,0.198587786,-0.9900129775,-1.0776537125,0.042750853,-0.133468678
"set129_245",-0.081929942,-0.060201324,-0.830955051,-1.0138234225,-1.2174786405,-0.9472081105,-0.9472081105,1.742452422,0.822953958,0,0.7052720585,-2.183367032,-1.330788562,0.556065155,-0.29019562,-0.1625275655,-1.4481942405,0.996986533,-0.1200415245,0,0.4818163905,0,0.012735199,-0.399531216,0.163778867,-1.067405235,0.099056057,0.339879234,1.0574368135,0.059267186,-0.386487653,-1.374201959,0,-0.0509257775,-0.477229581,0,0.026375055,-0.6463988835,1.181048453,-1.50216034,-0.0678377145,-0.081670037,-0.088292514,-0.4675051865,0.863777955,0.541011092,1.302670345,0.464823456,-1.843405436,0.553859414,-0.86814135,-0.782166613,0.250091577,0.1776382705,-0.2549751085,0,-0.599975212,0,1.843659777,-0.417395446,-1.515942055,0.420183166,-0.0668105180000001,-1.0035619915,-1.7449505885,-0.186679085,-0.319385211,-0.0716331655,0,-0.100426568,0,0.7212415995,0.4838813695,-0.234241935,-0.549750986,-0.6846220375,-0.12561568,-2.6116856415,-0.605162352,-1.817558833,0,-0.5335031125,0.38996749,-0.3404697775,0.045492718,0.079485017,-0.0287087895000001,0.6525252075,-1.2552414375,-0.092424011,0.481221762,0.296473677,-0.4754004785,-0.838577894,-0.382924828,0.2985540475,0.3365710165,0.474852831,0.156904193,0.062840812,-0.044108831,0,-0.121006418,0.382951129,0.226301446,1.101078743,0.271884474,-1.9014298815,-1.092383581,-0.5147574925,-0.222628193,-1.064849939,0.216298759,-0.379906851,0.022996548,0.261008768,-1.3873099795,0.133681234,0.112608088,-0.635851764,0.1334495795,-0.2347596405,-0.5693940965,-0.147529811,0.455088711,0.1736621815,1.191946408,0.2112904515,-0.009443297,-1.94490144,-0.06083692,0.618396938,-1.0251384995,0.493998215,-0.567672709,-1.8004976775,0,0.066674792,-0.0678377145,-0.043250856,-0.230731007,-0.0890983005,0,-0.1396754335,-1.4246967,-0.707977989,-0.124697817,-1.140787678,-0.2151108525,-0.7607070355,0.079894236,-0.38911263,0.0698450855,0.7323980665,0,0,0,0,0.611403567,0.2096461715,0.521137443,0.2875350865,-0.0134223565,-0.314915053,-0.5528626865,-0.042224566,1.360288596,-0.73194193,0,-1.16368139,0.5651313405,-0.383552863,-0.062157628,1.431380547,-0.341558819,0.462065179,0.5512154135,0.847014535,-0.9091426095,-0.661436985,0,1.711525004,0.194123598,0.108884791,-1.419681198,-0.7294443645,0.062220509,-0.095484483
"set129_246",-0.172134083,-0.03293211,-0.8770329835,-1.247413718,-1.0232242445,-0.7380044995,-0.7380044995,1.637259863,0.747400762,0,0.7560226405,-2.3199515,-0.74531804,0.369873604,-0.0993919295,-0.1098138995,-1.3955156305,1.187823574,0.0615263395,0,0.3922777265,0,0.075763274,-0.5247410855,0.1034998805,-1.027447086,0.032458982,0.339852455,1.1051678995,-0.2585382855,-0.2539442545,-1.3404256275,0,0.0325823175,-0.462461951,0,0.1508024425,-0.7076807205,1.035217096,-1.254795159,-0.0610810905,-0.051817775,0.080135464,-0.5240977805,0.938376603,0.667703831,1.090053999,0.4338818205,-1.201441995,0.479160943,-1.0999471705,-0.6424193735,0.507273694,0.209150715,-0.195284895,0,-0.6217814445,0,1.747038125,-0.4379014405,-1.4266123405,0.241735232,-0.1277574215,-0.765977685,-1.316859618,-0.152410898,-0.25725506,-0.106514509,0,-0.0871910565,0,0.4629796205,0.3963310945,-0.24258842,-0.5896329175,-0.721280479,-0.10830166,-2.529485356,-0.5358617475,-1.6865890105,0,-0.4273950685,0.463572121,-0.305726825,-0.043634078,0.03426916,0.137190048,-0.200066817,-1.035750078,-0.00455991050000001,0.514901138,0.1731817725,-0.3963419415,-0.5772422545,-0.44259825,0.2217950875,0.2981288765,0.497444062,0.0616768135,0.009667443,0.008596919,0,-0.061151121,0.414842762,0.192538566,1.129343283,0.264902648,-1.989015623,-1.0735306435,-0.3936807945,-0.2851747425,-0.8408960385,0.1324131355,-0.3828589555,0.0138190735,0.099512595,-1.2367545945,0.204712312,0.028749008,-0.731381718,0.134914456,-0.173230583,-0.64456736,-0.208829878,0.5158358275,0.2259633675,1.195076567,0.079717428,-0.016814331,-1.626863754,-0.022564606,0.572004108,-0.920316337,0.461213212,-0.3228652565,-1.5918864005,0,0.059239859,-0.0610810905,-0.043250856,-0.131406239,-0.093568801,0,-0.0766816025,-1.2752033635,-0.779135908,-0.186456623,-0.77223798,-0.485647997,-0.811298168,-0.016533166,-0.2844365715,-0.005348476,0.6923223035,0,0,0,0,0.477491155,0.202484095,0.532829275,0.2751937925,0.2175141145,-0.204163258,-0.6656699735,0.044831985,1.2434322825,-0.549370926,0,-1.063842187,0.6242948275,-0.199366249,-0.177765755,1.410605343,-0.0467888899999999,0.363509819,0.68790434,0.739148861,-1.041892346,-0.459308182,0,1.4982265625,0.032746913,0.138208866,-1.254381716,-1.079036656,0.0606654325,-0.11385033
"set129_249",-0.103532888,0.061411635,-1.31739444,-1.399619667,-0.941326764,-0.305835209,-0.305835209,2.688546712,1.188126337,0,1.311197549,-2.978594538,-0.299608745,0.870769316,-0.5824440825,-0.4600155,-1.66463018,1.254229664,-0.195206208,0,0.1738301155,0,0.070881582,-0.818957393,0.085297884,-1.1112062065,0.035091427,0.332158875,1.423832081,-0.1181752095,0.14871844,-2.4162066185,0,0.053574753,-0.383553807,0,0.29824945,-1.043793968,0.881782618,-1.4734195125,-0.093205101,-0.294983303,0.028960008,-0.7986847675,0.976532338,0.847702091,1.389441538,0.6699312625,-1.485357183,0.927305872,-1.6237763905,-1.0046453495,-0.8499579125,0.4373612615,-0.3050431375,0,-0.9688580375,0,2.111046027,-0.7093397085,-1.159250961,0.661799417,-0.048014735,-1.884432825,-2.0125837815,-0.263419759,-0.374490231,-0.107742176,0,-0.027451781,0,-0.143859457,0.318087708,-0.215691378,-0.9462454925,-0.7579327635,-0.233456952,-2.3628149795,-0.9427890355,-2.044072844,0,-0.3999319675,0.769786372,-0.6583371965,0.073235569,0.21400191,-0.2084718065,0.931722148,-0.938432972,-0.097283599,0.565151877,0.464255508,-0.3545973165,-0.1233125435,-0.643534611,0.5197846635,0.333427894,0.859620854,0.2184116045,0.024835424,-0.030095855,0,0.126624862,0.299237535,0.23379206,1.632751387,0.265167916,-2.024540986,-1.840597709,-0.746768762,-1.498523917,-0.312371077,0.071904147,-0.533634187,0.019317812,0.197397574,-1.3082241075,0.159029218,0.179510469,-1.173651029,0.3750173395,-0.3885780045,-0.691065574,-0.089480184,0.4501379455,0.331745835,1.188571525,0.3501596205,-0.212183582,-1.9033530735,-0.093130726,0.428371828,-0.848105042,0.884910844,-0.8967557685,-1.5309027505,0,-0.002941682,-0.093205101,-0.043250856,0.025905569,-0.0346029095,0,-0.042920844,-1.804749029,-0.758947176,0.218918122,-0.768175774,-0.7972969475,-1.3729127175,0.545187671,-0.752104799,-0.2395464405,0.5843300235,0,0,0,0,0.77607677,0.1397368095,0.473157462,0.2357039485,-0.2065543365,-0.3998481385,-0.1952310795,-0.021556086,2.0624921735,-1.093564437,0,-1.84241196,0.702555553,-0.47043294,-0.144679858,1.673231458,0.130159502,0.666422355,0.645461946,1.1596310605,-1.29510524,0.1214191335,0,1.720709372,0.381324523,0.164907673,-1.2188254995,-1.100458316,0.05633282,-0.094838806
"set129_250",-0.178750298,0.003244199,-1.221993489,-1.6318620475,-0.604386753,-0.326267872,-0.326267872,2.2282080825,1.020881389,0,1.308414385,-2.880704181,-0.28937846,0.563349516,-0.486897304,-0.314799288,-1.612907939,1.164483147,-0.100544063,0,0.2299514825,0,0.084834941,-0.8111755725,-0.054524737,-0.8847909515,-0.007081117,0.3526087,1.424817465,-0.176499065,0.1402953435,-1.846489998,0,0.061782899,-0.43105628,0,0.2897174485,-0.9583272095,0.915041275,-1.3247576575,-0.092402164,-0.176146791,0.039453767,-0.7978632735,0.937541824,0.780520956,1.3737946335,0.6933416325,-1.1254777435,0.86698208,-1.6406023245,-0.859373015,-0.2240121005,0.4157790265,-0.2445855445,0,-0.859558479,0,1.915987055,-0.6532056805,-1.0903015355,0.564186731,-0.0801576830000001,-1.355436612,-1.942953958,-0.2571908275,-0.226407458,-0.063780979,0,-0.0533524325,0,-0.0606116669999999,0.3153944825,-0.201778812,-0.7830772825,-0.7660035335,-0.2011139785,-2.3370898185,-0.802736528,-1.961946951,0,-0.3607253675,0.6961411155,-0.590800039,0.101014887,0.183999912,-0.1511099625,0.8281376025,-0.8849973085,-0.0408576455,0.493929305,0.358964482,-0.4403036715,-0.1279008575,-0.611087165,0.460511058,0.302839032,0.731209004,0.1225053995,0.010908694,-0.0320354955,0,0.198608775,0.342141095,0.192232905,1.529663505,0.244167248,-2.115265895,-1.6224222845,-0.574870967,-1.2766455875,-0.3812339265,-0.1145278425,-0.480945879,0.020877236,0.14735714,-1.203317228,0.144893764,0.120259096,-1.179651354,0.335431063,-0.3214420205,-0.60653312,-0.115354303,0.5459600215,0.296777365,1.171429786,0.2968031355,-0.191938873,-1.8317062715,-0.065246315,0.340915104,-0.8711986745,0.812116887,-0.720284725,-1.41539812,0,0.05901051,-0.092402164,-0.043250856,0.00844505400000001,-0.0259166715,0,-0.013792213,-1.607316517,-0.611957402,-0.18516627,-0.6063484235,-0.7703029875,-1.2332332515,0.368004159,-0.6831445955,-0.4643676305,0.564864412,0,0,0,0,0.723830645,0.166585716,0.58139657,0.203587432,-0.00850831299999993,-0.2912795155,-0.2685288705,-0.022316519,1.8457886145,-1.075460969,0,-1.621984038,0.728624764,-0.383579405,-0.172416095,1.647136241,0.1932467735,0.5210275195,0.6306908485,1.0458224035,-1.2254817385,0.1190292425,0,1.6034095165,0.418846738,0.1974063875,-1.09415225,-1.2444628865,0.0215971885,-0.155726544
"set129_251",-0.227141263,-0.017990673,-0.9575975305,-1.2159984765,-0.665218256,-0.42868333,-0.42868333,2.0208180195,0.815037161,0,1.0196985015,-2.331985381,-0.414985293,0.721961482,-0.486687068,-0.1859374875,-1.8780870305,1.115047301,-0.0850578955,0,0.3122928185,0,0.031785846,-0.5251521785,-0.0130848805,-0.9237610315,0.033715614,0.361937263,1.2258312835,-0.0114729215,-0.0597103810000001,-1.5616093095,0,-0.0938591095,-0.542331865,0,-0.026058499,-0.7883074145,0.910776591,-1.144178331,-0.0788896055,-0.070589206,0.021058208,-0.5336015345,0.81936685,0.514034569,1.426980255,0.312334306,-1.4247480645,0.981313248,-1.538883417,-0.750212202,-0.3496303355,0.325053026,-0.277874992,0,-0.7188338245,0,2.043363861,-0.3767619225,-1.099823961,0.468100673,0.0199721694999999,-1.5962984525,-1.6498022725,-0.171314577,-0.311329128,-0.0594167885,0,-0.118809982,0,0.0781369495000002,0.4416414175,-0.290371749,-0.6828642005,-0.66094801,-0.230793178,-2.219987926,-0.957191975,-1.868388791,0,-0.4202478275,0.5748975515,-0.528167061,0.07248268,0.16105302,-0.2538193845,0.6488763725,-1.0161075685,-0.113473326,0.613305103,0.336688187,-0.299164932,-0.3716475405,-0.480161128,0.5269684255,0.3863887855,0.578474601,0.3264165555,0.00805335400000001,-0.044108831,0,-0.013436402,0.256150326,0.253698986,1.2469083315,0.23271889,-2.15832113,-1.4799718775,-0.622043894,-1.1404107955,-0.7562623675,-0.013050241,-0.3780679015,-0.040117137,0.205158079,-1.2484327485,0.20245869,0.0892237445,-0.7769879935,0.151780664,-0.2410509975,-0.5420425275,-0.0998033859999999,0.4638970325,0.24509622,1.172316548,0.195698277,-0.069611551,-1.860762019,-0.036456942,0.435097821,-0.969528014,0.5545727405,-0.613504033,-1.284469226,0,-0.034873742,-0.0788896055,-0.043250856,-0.063901817,-0.2442773,0,-0.1503847515,-1.358576899,-0.918797191,-0.075306412,-0.707898165,-0.4002591655,-0.9816192765,0.191327067,-0.468568906,0.02574173,0.6217410035,0,0,0,0,0.523640001,0.067116099,0.543777153,0.153659423,-0.00546127099999997,-0.2223027235,-0.1744928715,-0.168451936,1.833713453,-0.810294736,0,-1.260884439,0.6064398755,-0.388994312,-0.149873164,1.479795436,0.011043839,0.488484812,0.5445683705,1.0958469755,-1.0814879745,-0.120057912,0,1.35309348,0.122247502,0.087061047,-0.9622564915,-0.9963573495,-0.050393086,-0.155739011
"set129_252",-0.156759144,-0.008982211,-0.9922675865,-1.18153415,-0.7009288095,-0.4808762565,-0.4808762565,2.064799621,0.825743938,0,1.1017891925,-2.5895059965,-0.5437391165,0.648783402,-0.4116284065,-0.2161926635,-1.8872073125,0.976086238,-0.056211465,0,0.183041806,0,-0.038801983,-0.584916048,-0.036428153,-1.024298496,0.030323936,0.350328082,1.2611304925,-0.0939161954999999,-0.0891517855,-1.5418711885,0,0.0983620705,-0.565151456,0,0.090460232,-0.745398387,0.717489846,-1.295849321,-0.1228102515,-0.153001131,0.020289539,-0.5142707145,0.883051031,0.537614692,1.386737521,0.3717318695,-1.437841913,0.950894918,-1.3838702745,-0.8183167025,-0.00476390500000007,0.3022801855,-0.3297019035,0,-0.74244602,0,1.97463163,-0.3938828085,-1.3095877895,0.5630621935,0.017092347,-1.220341574,-1.69988917,-0.162306277,-0.305343501,-0.1569140925,0,-0.12976136,0,0.1918688325,0.3798945755,-0.28607911,-0.6721636155,-0.6505713715,-0.3096769775,-2.260562655,-0.7818247865,-1.879126774,0,-0.4760006795,0.550571692,-0.501717232,0.214911598,0.180977502,-0.161113856,0.676837512,-1.023697021,-0.132277292,0.700060034,0.378280358,-0.380386007,-0.45828608,-0.492302378,0.438603972,0.4121371345,0.615200349,0.320309289,0.03744457,-0.014836341,0,-0.0921737069999999,0.262395753,0.167833419,1.252790788,0.236994637,-2.2961331195,-1.228560283,-0.604514005,-1.0259340415,-0.7907602205,0.100654159,-0.2800169935,-0.061620924,0.224091841,-1.217529385,0.242622832,0.100475097,-0.777193805,0.3212581275,-0.280082732,-0.475362377,-0.0901034089999999,0.482286712,0.2280478085,1.314594579,0.0983647175,-0.078803573,-1.968910085,-0.098666299,0.335443425,-1.0237763665,0.553259046,-0.6318874255,-1.473806523,0,0.056742557,-0.1228102515,-0.043250856,-0.031515276,-0.2658653205,0,-0.2147637185,-1.5192789805,-0.919602839,-0.129720079,-0.7718408695,-0.4101857725,-0.9694233225,0.157020859,-0.476942384,-0.0262535785,0.6791010495,0,0,0,0,0.648198037,0.0997607315,0.565245843,0.0889592355,-0.1123558755,-0.1829900945,-0.3738281085,-0.15291453,1.619827272,-0.745425887,0,-1.348757996,0.5924931345,-0.469559892,-0.155506734,1.441161111,0.0514455779999999,0.43132921,0.489518238,0.9632952755,-1.045750725,-0.17353197,0,1.47423568,0.095915403,0.081755891,-1.07136191,-0.975984931,-0.0458522565,-0.110848351
"set86_451",-0.1164028145,-0.336697424,-0.288517628,-0.370265597,-0.072258226,-0.203938558,0.067076692,1.1077313455,0.6935110905,0.170425983,0.276908445,-0.4093482825,0.8295712885,1.245047002,0.1835269905,-0.0404564655,-1.1145995625,0.52702341,-0.226031627,0,0.6007060075,0,-0.213351376,-0.063721603,0.550592243,-0.233364534,0.360911666,0.126781081,1.4026792085,-0.9302631475,-0.1177265285,-0.751614248,0.055438694,-0.2959786495,1.446542915,0,0.1071126785,1.147274382,1.159557154,0.1119713455,0.1887572925,-0.079955214,0.268843397,-0.3473890955,1.098229605,0.391999544,-0.4096692635,-0.2240828005,0.456216191,0.745753357,-1.319545726,0.610163888,1.151231978,0.3173501585,0.3846307395,0,-0.4163435785,-0.008268014,1.430293009,-0.2005937585,-0.1266604355,0.873573637,-0.00645577250000003,-0.251050228,0.5543725915,0.064122003,0.000106643,0.1220439135,0,0.2423196825,0,-0.849581582,0.4705546135,-0.293803765,0.1968933555,-0.0170325335,-0.4219126295,-1.357159244,-0.589946206,-1.083997604,-0.087573006,0.7678675275,0.547500444,-0.0172715825,-0.103056317,0.112917084,0.7220573805,0.1067075225,-0.127431284,0.321146844,-0.038111163,0.229879048,0.0158346635,0.575521258,-0.8021241695,0.0534433514999999,0.5388721695,0.675872089,0.2314244205,0.037018314,-0.034599094,-1.748557657,0.087609979,0.068532037,-0.061248265,0.3867260075,0.1536758975,-0.771261492,0.339034248,0.1641684115,-1.28220105,0.363851133,-0.214203365,-0.2489434675,0.270025725,0.257195565,0.1002105685,0.333104137,-0.0540258175,-0.5808472035,-0.1025648885,-0.2436591445,-0.3692345105,-0.610950523,-0.130554527,0.719165749,0.550975041,0.441924846,0.1891975085,0.1988506045,0.092220929,-0.145441493,0.5398876185,1.25534574,0.0447551265,-0.541354763,0.248144554,0.028890209,0.15088504,-0.037600711,0.3516678855,0.1082528945,0,0.1068540385,0.22036131,0.220522756,0.295605764,0.4136645645,0.147954783,-0.189606284,0.37810915,0.414072016,-0.0849229845,-0.1621567165,0,0,0,0.011932227,0.503555818,-0.094933225,0.5602966545,0.8031423825,0.4005151945,0.3005158425,0.020268981,0.093126202,-0.653262103,-0.599431729,0,-1.7396226935,0.6747715655,0.5319986245,-0.162672281,0.084071351,1.186213926,0.219432479,0.238733238,0.119774963,-0.32321244,0.4122985635,0.0172940105,0.485193126,-0.153154472,0.1575243385,-0.0908546074999999,-0.553264847,0.1804667665,0.202465851
"set86_453",-0.0629688855,-0.361316938,-0.3667739075,-0.3057952305,-0.157559239,-0.243915059,0.00990469200000005,1.1900976535,0.640550893,0.064661512,0.3116306,-0.377729142,0.814639914,1.13614768,0.179289456,-0.1611461515,-1.0209907555,0.485580067,-0.2351078975,0,0.6253242015,0,-0.213422268,-0.136705006,0.5317408455,-0.2105155445,0.295326854,0.021676082,1.3198839165,-0.815540851,-0.3025612765,-0.66027706,0,-0.1854111795,1.36555338,0,0.293699954,0.9362733065,1.071473638,0.19404873,0.1725143785,-0.235976801,0.073042022,-0.32677491,0.851738228,0.327906113,-0.3754744115,-0.0257445375,0.1649675215,0.679042385,-1.4386701755,0.4749823275,0.6190699125,0.204089438,0.112765669,0,-0.32565336,-0.007540012,1.295142647,-0.152690545,-0.0824981889999999,0.9464019525,-0.12517732,-0.3674859595,0.5393441225,-0.01591185,0.048360009,0.205217682,0,0.249377612,0,-0.704679781,0.58356614,-0.253490011,0.0393030015,-0.0289568435,-0.3948340445,-1.4647031305,-0.5125911325,-0.9687568535,-0.07013741,0.835770508,0.713119123,-0.0237969375,-0.166348723,0.156819061,0.7085413865,0.18232893,0.00129194900000006,0.1844541335,-0.038111163,0.2126529555,0.1262856455,0.6003297465,-0.7628281025,0.0491825794999999,0.5314874255,0.652444234,0.248916026,0.011816139,-0.060773894,-1.64606678,0.057968284,-0.052651297,-0.053692811,0.435529128,0.044795205,-0.917991021,0.3823458315,0.1293671265,-1.22560541,0.37962331,-0.1866125715,-0.2586491725,0.2332096565,0.145499212,0.0963155525,0.149526574,-0.057164319,-0.596363395,0.0880606305,-0.3412426965,-0.315760173,-0.610950523,-0.1707904465,0.731415891,0.536718909,0.4843447365,0.1599828925,0.0609438320000001,0.066606871,-0.083607505,0.7369152215,1.2792443395,0.032113042,-0.6444632145,0.238121909,0.07080309,0.070449673,-0.106041251,0.00279882099999999,0.103101928,0,0.0633371405,0.3129532845,0.122750507,0.278649681,0.392413425,0.0820377845,-0.2211011975,0.333761111,0.4008518095,-0.073191878,-0.322277849,0,0,0,0.020823867,0.484998899,0.0153532285,0.5453258885,0.9546223345,0.3457773595,0.2187504045,0.00963017800000002,0.133237557,-0.799331614,-0.400283496,0,-1.769798748,0.5867215975,0.4950347325,-0.078895644,0.126269888,1.218010572,0.218283444,0.2156617165,0.0867524125,-0.3342263295,0.297916277,-0.012882044,0.4856876585,-0.153154472,0.175474613,-0.109121042,-0.5833224545,0.2672148495,0.103036011
