"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set129_29",-0.034436225,0.104855441,-0.03170881,0.107096343,-0.0559337095,0.1247572185,0.1247572185,0.2708409645,0.064325263,0,0.245535768,0.1381964205,0.3347623295,-0.097370785,-0.178295305,0.125421237,0.891857898,-0.020003776,-0.3088158995,0,-0.403997027,0,0.047749051,-0.2442064695,-0.250713343,-0.0570235484999998,0.223887847,0.079574016,0.134782093,-0.050964834,0.1049203545,0.0352682855,0,-0.059641756,0.568731573,0,0.1857263065,0.3951718135,-0.405954351,-0.326369587,-0.05620016,-0.054617444,0.270731451,0.0219254825,0.252853444,0.284741085,0.355807897,-0.1737409135,-0.1228891555,-0.211680222,-0.349238704,0.3157309675,-0.8982244525,-0.089857161,-0.316321303,0,0.108000403,0,0.075834543,-0.096831756,0.0815083455,0.196814872,-0.1735716815,-0.3039894915,-0.1619925155,-0.00776779100000002,0.114780899,-0.23242886,0,0.1214315045,0,-0.2073779445,-0.466162349,0.155158748,-0.1669209195,0.114940669,-0.0570851134999999,0.2659375845,-0.1277999755,0.0103893295,0,0.1192523025,0.155244143,0.5759004765,0.235536815,0.127975371,-0.1634136145,0.359718486,0.2487041365,0.2482901825,0.03643337,0.1106094945,0.220187026,0.196446306,-0.405247236,0.2931889,0.000169018999999992,0.11754447,0.222759866,-0.216204253,0.112604686,0,-0.374913873,-0.035006811,-0.136381626,0.412374954,0.050217907,0.0671741235,-0.239140664,0.1957167475,-0.2738364285,0.3923705965,-0.1852037995,-0.050947667,-0.0736087915,0.072766827,-0.1129583535,0.048496874,-0.0348764194999999,-0.0826801144999999,-0.247513909,-0.0106181235,0.0199866655,0.052789815,-0.440488563,0.07426502,-0.00306739700000003,-0.0972399519999999,-0.294235405,0.0206316895,-0.049663391,-0.025790774,-0.202928979,0.0392424400000002,-0.27072607,0.436562779,0,0.178388089,-0.05620016,0,0.196332539,-0.147332601,0,-0.256245554,-0.5736770935,-0.00512494800000018,0.069949424,-0.0332088445,0.0559254795,-0.0421869775,0.125937043,-0.5612738195,0.185402466,-0.30102978,0,0,0,0,-0.014693125,-0.010540375,-0.036936658,-0.01589602,-0.150338155,-0.0136050579999999,0.2599043415,0.077991789,0.172727431,-0.041456656,0,-0.01456313,-0.210565633,0.248392887,0.090301757,0.210411881,-0.112092892,-0.13441819,-0.10689684,-0.190414353,0.04291082,0.1955120515,0,-0.0651472625000001,-0.062280552,-0.026053297,0.040992099,0.135152497,-0.2612717435,0.068505845
"set129_324",-0.144117659,0.107070464,-0.0650175895,-0.528530414,0.3290681575,0.1357629185,0.1357629185,0.6964762905,0.467651287,0,0.6807016545,-0.0958646894999999,0.9492755475,0.234793013,-0.35480424,0.0833100905,0.5628894525,0.266812036,-0.676379775,0,-0.0315034125,0,0.287294078,-0.3947784115,-0.4884258655,-0.2982215705,0.72970928,0.068814129,0.5545841735,-0.2160334305,0.338620514,-0.823292718,0,0.0817938905,1.358640438,0,0.225618504,-0.250023855,0.526860587,-0.7746001325,-0.0850393085,-0.252127353,0.357012611,-0.27844796,0.685809315,0.122304429,0.478172454,-0.015009511,-0.494435566,0.279872263,-1.434376737,-0.0528287905,-1.192655081,0.173383371,-0.203530244,0,-0.1713055145,0,0.235411527,-0.543613,0.2024732095,0.5595755405,-0.202150846,-0.917328132,-0.621213916,-0.057894212,0.126941879,-0.116489235,0,0.295851194,0,-0.2761594245,-0.1500289995,0.205704208,-0.578414772,0.236883451,0.0370055860000001,0.1144191385,-0.570516199,0.2463973165,0,-0.0461543375,0.3757531685,0.3154907725,0.418315703,0.200031885,-0.2997400905,0.29650001,0.401006335,0.459299056,-0.0605619019999999,0.125879846,0.680789285,0.4554993635,-0.934457213,1.0309136235,0.1820222035,0.496013984,0.0254325395,-0.122285271,0.074854516,0,-0.335946391,-0.155681289,0.118692613,0.6229927595,0.142685876,-0.147343553,-0.7902291095,-0.4421805475,-0.912834788,0.625178691,0.040597179,-0.1535271005,0.020480483,0.050523463,-0.3727004485,-0.043636141,0.1399808375,-0.4555139105,0.0240678965,-0.0190598915,-0.1104819115,0.543090902,-0.3702529635,0.146820636,-0.142063061,0.4238890765,-0.395423543,-0.4826435565,-0.040780896,0.34605378,0.1960289625,0.4754940045,-0.479034644,0.339784995,0,0.174192668,-0.0850393085,0,0.296283618,-0.019800807,0,0.0164738635,-0.9941651205,-0.191526035,0.364301971,-0.203362196,-0.3927518345,-0.4532621055,0.423306956,-0.631963893,-0.056711022,-0.491066235,0,0,0,0,0.059124089,-0.072868638,0.183269002,0.2430771745,-0.4232524355,-0.595443236,0.733264953,0.190669998,1.2655712245,-0.236720826,0,-0.285406866,-0.2333286535,0.475534508,0.039638775,0.075108328,-0.509944869,0.014386709,0.07470489,0.206603565,-0.497448084,0.1157747885,0,0.0708058815,-0.013195505,0.074941399,-0.267651312,0.0795638770000001,-0.4964407615,0.131199076
"set129_323",-0.069245082,0.214173134,-0.199650967,-0.390101633,0.435738948,0.210757725,0.210757725,0.9016200285,0.579280625,0,0.8345493255,0.117475983,1.261022883,0.211961169,-0.4647731875,0.1028466085,0.5916258305,0.193676126,-0.9146978755,0,-0.0219395205,0,0.308774972,-0.575314131,-0.3258668115,-0.20798756,0.859051211,0.143156979,0.7539044885,-0.2618504675,0.469898441,-1.040147643,0,0.0446269665,1.500888408,0,0.233754993,-0.199072981,0.612920345,-0.920836394,-0.1295965355,-0.332927147,0.424279425,-0.2621795265,0.818341071,0.142992036,0.640924714,0.1318615135,-0.783004891,0.637805609,-1.6449825105,-0.247477183,-1.4040172495,0.313356529,-0.256831783,0,-0.2714706785,0,0.544259564,-0.5730676635,0.2133748815,1.029548441,-0.2022452115,-1.2512303855,-0.7508121395,-0.201575599,0.063798082,-0.086851114,0,0.325734333,0,-0.2757317095,-0.0551069634999999,0.205303187,-0.634025578,0.340321414,0.0436275140000001,-0.0352117200000001,-0.631046177,0.2534227165,0,-0.00488517399999999,0.475969861,0.2744830435,0.353510022,0.211952076,-0.3177154865,0.549666117,0.5693192145,0.531313835,0.063025018,0.123420446,1.004083386,0.487756149,-1.091593013,1.3867753205,0.3704622845,0.547645718,0.2230043745,-0.061317767,0.066988669,0,-0.253994353,-0.227672466,0.154221499,0.8276675065,0.184471362,-0.1352472735,-0.7943888755,-0.534248875,-1.108070217,0.69399731,0.018209354,-0.166625628,0.039276951,0.293161096,-0.5830385925,-0.084910252,0.2191988985,-0.4412426155,0.289480848,-0.101086812,-0.0263809235,0.641071529,-0.4420130625,0.1674093115,-0.189294037,0.534634867,-0.475977682,-0.51806079,-0.029468818,0.090174481,0.336114246,0.6686640285,-0.5830519795,0.401181393,0,0.279307419,-0.1295965355,0,0.384981562,-0.09081027,0,-0.1165545755,-1.100092817,-0.302892955,0.372005871,-0.4641536745,-0.398864391,-0.54337698,0.633188348,-0.674774283,0.066135697,-0.7005214625,0,0,0,0,0.19602585,-0.032861009,0.15535066,0.4154793485,-0.4256776355,-0.752910511,1.081243411,0.21253124,1.4068626585,-0.190827244,0,-0.518417253,-0.2645239105,0.456662646,0.032363372,0.39602891,-0.623209455,0.167866586,-0.037076577,0.327111306,-0.514197019,0.113787693,0,0.210339432,-0.011721233,0.126323224,-0.306897893,0.335067398,-0.471440182,0.251034819
"set129_322",-0.121817645,0.170994467,-0.346893917,-0.6577257075,0.1556037705,-0.00494519950000005,-0.00494519950000005,0.7660030535,0.601268654,0,0.7945897495,-0.3807272505,0.5558082185,0.228935962,-0.5337140335,0.0693674675,0.4639043335,0.322831637,-0.7086320205,0,-0.176019812,0,0.385552836,-0.740976573,-0.08166553,-0.573978694,0.750274949,0.044464506,0.6223192985,-0.21101533,0.219229558,-0.989906696,0,0.0404578115,1.425211162,0,0.31616504,-0.381678229,0.424212158,-1.228541811,-0.1280816405,-0.364190484,0.443071007,-0.3270130525,0.830038582,0.0797179439999999,0.5134888775,0.185174417,-1.222427613,0.20203138,-1.1835784375,-0.2126589075,-1.703482026,0.201184115,-0.271145703,0,-0.329193101,0,0.397215308,-0.5849314715,-0.1018158415,0.9746293415,-0.4087467055,-1.208300883,-1.1162524795,-0.1620550815,0.111558929,-0.200784835,0,0.247502357,0,-0.0699218135,-0.233060729,0.239626557,-0.5681172305,0.143505389,0.0209143805000001,-0.1558012515,-0.717900826,0.2159127145,0,0.0481143045,0.489065388,0.1521227755,0.323014784,0.198336239,-0.438975085,0.3043517165,0.6368866535,0.527556021,0.026593744,0.2350733195,0.777416469,0.294823941,-1.027920806,1.0456224025,0.1822297575,0.649047802,0.0137329555,-0.134515951,0.1112641525,0,-0.201624942,-0.109502403,0.092818051,0.981934672,0.172960434,-0.1815438555,-1.115632996,-0.586912914,-0.7591987945,0.5102563185,-0.090286214,-0.23078383,-0.0087563465,0.12147131,-0.7015791715,-0.093542424,0.1148232825,-0.6368682845,0.325778656,-0.08374324,-0.114098514,0.587183795,-0.3077229495,0.184147159,-0.159667141,0.282600549,-0.550274687,-0.6183399585,-0.109737004,0.157243365,0.1766879915,0.530291499,-0.6952427055,0.040902714,0,0.294508861,-0.1280816405,0,0.280005281,0.00985768000000001,0,0.00556336950000003,-1.3690461305,-0.243274978,0.314339157,-0.4208418305,-0.518930338,-0.556220654,0.573189502,-0.79980886,-0.190833796,-0.7334501,0,0,0,0,0.162216607,-0.0288602365000001,0.021215027,0.2311048775,-0.4309981215,-0.731583654,0.354834653,0.205015612,1.4284863,-0.278682637,0,-0.46506148,-0.3048837005,0.604676871,0.04069614,0.432095711,-0.5367653585,-0.0478220365,0.2318645045,0.287775417,-0.7133898145,-0.0925154705000001,0,0.551491334,-0.106126583,0.1594968375,-0.4505122155,0.0742003045,-0.246735712,0.097197987
"set129_321",-0.15054074,0.136183948,-0.2853758405,-0.529301485,0.27144904,0.108781571,0.108781571,1.1315588,0.588225927,0,0.9157552925,0.173282327,1.014277869,0.162686605,-0.4962235535,0.0497410965,0.4710480915,0.083452142,-0.701159567,0,-0.131383982,0,0.280358687,-0.496518639,-0.0344748545000001,-0.292741507,0.741815865,-0.043211812,0.6412347765,-0.1291677615,0.19290365,-0.988516478,0,0.0625246785,1.558156797,0,0.2142560345,-0.274978016,0.442350029,-1.0425726795,-0.1187692545,-0.377373639,0.418279753,-0.305981791,0.782470315,0.099451659,0.7022623475,0.415790895,-0.837747061,0.556289479,-1.3119608895,-0.265744822,-1.5052695465,0.266993939,-0.298675421,0,-0.292716738,0,0.58393859,-0.3384075795,-0.08143739,1.3527794525,-0.064433409,-1.3151070555,-0.7905448225,-0.158051258,0.062316757,-0.2047179635,0,0.2541873935,0,-0.0431389855000001,-0.1641389895,0.205169623,-0.618334245,0.204005892,-0.063422677,-0.0941954849999999,-0.311524454,0.2554820675,0,0.0522755075,0.339526037,0.3398147895,0.532591052,0.217319504,-0.396631192,0.378627426,0.6336706695,0.4363913955,0.168364824,0.3114661345,0.9542136025,0.363073928,-1.028996532,1.115348707,0.2351012385,0.684898449,0.0636745635,-0.022783722,0.104677479,0,-0.250118651,-0.073551175,0.052273249,0.8653204615,0.158841404,-0.329077839,-0.824655958,-0.6562206255,-1.2681420835,0.4618724735,-0.1310630325,-0.1743480365,-0.0344019485,0.109066704,-0.6130681325,-0.063442418,0.107564068,-0.504510157,0.321818018,-0.186960353,0.0114046475,0.581833038,-0.2571057195,0.1306807295,-0.159210256,0.3757475595,-0.564916724,-0.482036527,-0.121305188,0.176582882,0.2873602775,0.6067959865,-0.6275006255,0.0974684385,0,0.191881023,-0.1187692545,0,0.291660423,-0.081403181,0,-0.00132645449999998,-1.2341454305,-0.231255608,0.257188382,-0.438796427,-0.227385635,-0.477158098,0.692401948,-0.6739398985,0.029938056,-0.8446217505,0,0,0,0,0.223510781,-0.1601889805,0.064067831,0.398101868,-0.328579405,-0.5678027555,0.9735356755,0.140551061,1.249948226,-0.299156885,0,-0.294929914,-0.2984442955,0.444782227,0.074992877,0.344378408,-0.498268303,-0.114343474,-0.107944521,0.3155377985,-0.457755883,-0.001228428,0,0.291688494,-0.109375852,0.082182742,-0.3202803235,0.172605527,-0.2846487695,0.097186327
"set129_318",-0.049631347,0.039267338,-0.0634984735,-0.353119131,0.2292809265,0.0497126375,0.0497126375,0.2577724255,0.356070261,0,0.5758340455,0.119184529,0.870086456,0.078961436,-0.074405073,0.0998646555,0.9702780515,0.06232949,-0.3670535705,0,-0.045103943,0,0.241579965,-0.3459539735,-0.2995161585,-0.3483823975,0.472844443,0.061092356,0.2886940025,-0.254880243,0.1827382845,-0.2484676895,0,0.0107911435,0.691613194,0,0.114409764,-0.0933497685,0.0782120590000001,-0.142539191,-0.0903142355,-0.099576119,0.38935657,-0.110830035,0.692789383,0.155202828,0.1888230215,-0.3374469405,0.0543675115,0.00452057500000003,-0.586236824,0.0378224255,-0.715590031,0.14748785,-0.205461079,0,-0.199595991,0,0.00286407199999994,-0.123375793,0.0239835275,0.280205,-0.080772209,-0.615196845,0.1702651505,-0.120064988,0.34319231,-0.316040106,0,0.070724951,0,-0.057721972,-0.2451827715,0.154408912,-0.2743862635,0.103580631,-0.0647365175,0.485394466,-0.1506274085,0.609159435,0,0.0412978015,0.153305002,0.408133915,0.469888599,0.181007688,0.058224435,0.178181367,0.425209002,0.361711471,-0.07796004,0.109548471,0.664956307,0.346978492,-0.630761245,0.6652655715,0.0874994735,0.417069367,-0.0356080285,-0.240315956,0.119768118,0,-0.238746005,0.373388049,0.120449709,0.3213610735,0.119986323,0.0765079875,-0.247889883,-0.064048961,-0.744006858,0.510407924,-0.154907883,0.0295933075,-0.078017582,0.033497347,-0.2199117775,-0.219288643,-0.061426546,-0.237979527,0.0174858055,0.185224166,-0.0591049155,0.615401926,-0.1723989385,0.0074694235,-0.029801027,0.00133083300000011,-0.398616895,-0.2817546085,-0.059955574,0.139311486,0.0728184370000001,0.1277559555,-0.310913885,0.3359439225,0,0.162821075,-0.0903142355,0,0.164738385,-0.014873675,0,0.0519497285,-0.537877716,0.142447589,0.141054002,-0.00518154050000001,-0.150202707,-0.117428003,0.446939586,-0.279567733,0.02977478,-0.5362384,0,0,0,0,0.027025954,0.0172188335,0.054420782,0.1928726365,-0.1848090885,-0.4261736345,0.0898486135,0.083501072,0.6013461945,-0.419799309,0,0.198223869,-0.2143883235,0.321623987,-0.063565956,0.254763531,-0.499541237,0.022104021,0.110926464,0.0445670495,-0.0928365499999999,0.1794800515,0,-0.7353571505,-0.080766778,-0.070947543,-0.125516511,0.0867134390000001,-0.301806921,0.229153419
"set129_27",-0.133750421,0.026433231,0.0787295155,0.062740238,-0.291576538,-0.162406968,-0.162406968,0.2090901195,0.112344142,0,0.2347933915,-0.178147108,0.176592741,-0.125935104,-0.1780164355,0.1146217635,0.8330593055,0.0268710679999999,-0.3184534105,0,-0.4144927655,0,0.088414862,-0.161434921,-0.30354541,0.0319278530000001,0.211099705,0.10192492,0.1000946405,-0.154259291,-0.098386352,0.029452393,0,-0.2343050415,0.433154209,0,0.077750478,0.3015125835,-0.413340945,-0.54704093,-0.0353603405,-0.054633362,0.071189328,0.0441646785,0.355857229,0.318836523,0.331781505,-0.061894739,-0.2772638495,-0.187480152,-0.0858084765,0.1397720855,-0.907786103,-0.0419114285,-0.2405962695,0,0.033921941,0,0.0805999330000002,-0.089960428,-0.0909528905,0.0891860574999998,-0.0562336375,-0.3210919585,-0.3815278055,-0.0645107695,0.147515961,-0.2948393465,0,-0.08057566,0,0.0178971695,-0.477625549,0.086888907,-0.1515700395,0.1789651855,-0.0174922209999999,0.1025919825,0.0284530755,0.050947008,0,0.1440719935,0.177386611,0.5494519995,0.234861932,0.137527331,-0.244469984,0.206428586,0.1498676405,0.13406215,-0.060970432,0.1731454435,0.1180426385,-0.0798450205000001,-0.363402863,0.1245049955,-0.0532480225,0.123651739,0.050822086,-0.212526572,0.1073026085,0,-0.604797726,-0.239645603,-0.134096343,0.144321624,0.066392777,0.00150468650000003,-0.3846991705,0.242606637,0.0579518035000001,0.0602943264999999,-0.360093698,0.0122767965,-0.1361804385,0.154952902,-0.333778653,-0.010685848,-0.036898409,0.03305108,-0.366242607,0.0251038295,-0.029431493,0.012048346,-0.16149853,0.099797778,0.049570717,-0.00209505149999997,-0.2291089,-0.1740222355,0.03847271,-0.016879271,-0.0586303704999999,0.0737961060000001,-0.2807290345,-0.025391331,0,0.158977347,-0.0353603405,0,0.193573268,-0.1394048775,0,-0.1369900495,-0.3767280725,-0.012914254,0.065425466,-0.2475377205,0.1690556235,0.0755745605,0.057158856,-0.729578994,0.1025128385,-0.2050950935,0,0,0,0,-0.148285985,0.1076718015,0.030500406,0.0937553044999999,0.0381215735,-0.117752704,0.091495744,-0.05775566,0.274573942,-0.148214856,0,0.0220409029999999,-0.1230916535,0.208653428,0.077335945,0.256067912,-0.1029679215,-0.2143146195,-0.07646262,-0.00713149400000003,-0.0265397939999999,-0.1318027665,0,0.169315721,-0.084251246,-0.0469910375,-0.226679726,0.15512877,-0.242973609,0.082845735
"set129_28",-0.163533679,-0.438913336,-0.2283412695,0.0207127365,-0.5495724375,-0.3543527965,-0.3543527965,0.3309883185,0.229018425,0,0.245057477,-0.686891724,-0.153482166,-0.102746033,-0.284702027,-0.011110842,0.847666827,0.008729125,-0.4249458425,0,-0.467459642,0,0.043019621,-0.3537851225,-0.4673425035,-0.142000346,0.220666366,0.125290608,0.224882769,-0.0229890045,-0.232816345,-0.1854523205,0,-0.147341965,0.550206002,0,0.037722451,0.311034127,-0.400565991,-0.9481436925,-0.064838993,-0.061398875,0.253511493,-0.06364427,0.287373728,0.337785137,0.4407900365,-0.0303560075,-0.909986646,-0.193643572,0.00869234600000005,0.077220698,-1.0983276435,-0.0929875645,-0.3131340195,0,-0.056175865,0,0.073247823,-0.129049812,-0.305280342,0.219734987,-0.1415181285,-0.6003306775,-0.778202184,-0.075093292,0.094591214,-0.2933176505,0,-0.00651944299999997,0,0.2722071585,-0.45239143,0.026040608,-0.3607574925,0.1893756525,-0.0782291339999999,-0.4035050385,-0.190264652,-0.0235085195,0,-0.00995917749999999,0.1936674395,0.3768475635,0.201012196,0.1514673,-0.273452607,0.1301431155,0.1222997525,0.156406803,-0.067631712,0.236627755,0.1759989035,-0.1496139965,-0.456057128,0.2141128555,0.00933371199999998,0.135728713,0.1983734395,-0.218489946,0.102532,0,-0.338309691,-0.191059318,-0.11201421,0.582066036,0.071459836,-0.0577384165,-0.5523767265,-0.099831649,0.005309982,0.00535751999999996,-0.28353675,-0.1349676045,-0.128978331,0.080960579,-0.666932847,0.148994166,-0.00717720899999998,-0.187853336,-0.3035963635,-0.0429464165,-0.001332889,0.103896619,-0.3868095985,0.0967400645,-0.05454809,0.0364522360000001,-0.227258868,-0.49970597,-0.008371545,0.043021826,-0.193481331,0.104816451,-0.408316666,-0.15896652,0,0.230072098,-0.064838993,0,0.14812558,-0.2288148905,0,-0.256514786,-0.8265783635,-0.0261260800000001,0.098465144,-0.4685137985,-0.1754564705,-0.1730163855,0.142535566,-0.861580483,0.0725938995,-0.162835833,0,0,0,0,-0.020155278,0.003928495,0.00844125699999998,0.112021983,-0.15707107,-0.2725167725,-0.1543603465,-0.052892662,0.540032479,-0.278565602,0,-0.121397966,-0.158824664,0.279801469,0.040858102,0.250112371,-0.133784499,0.00734550200000002,-0.1294853115,0.2197576465,-0.0416247094999999,-0.255704741,0,0.623814884,0.018421903,0.066396745,-0.6268393415,0.0908280175,-0.2846931865,0.114637611
"set129_317",-0.186056293,0.116873367,-0.727545413,-0.5311294355,-0.485712774,-0.803401689,-0.803401689,-0.054793971,0.287740903,0,-0.061912191,-2.9225794955,-0.5209633115,-0.976842303,-0.446287366,0.390175526,1.23780747,0.443775525,-0.553945606,0,-0.4461626075,0,0.501263603,-1.0954746525,-0.8103055875,-0.6304773655,0.481746226,0.011611996,0.364744692,-0.3979745895,-0.197368785,-0.7325816285,0,0.00202111800000002,0.040821862,0,0.2337293605,-0.4720425485,-0.105353703,-1.554708738,-0.115763279,0.069347825,0.530077675,-0.378227017,0.82592554,0.465459208,-0.311304738,1.0047527695,-1.815823096,-0.449731511,0.4815972565,0.0513930899999999,-2.5887670195,-0.037881581,-0.217553368,0,-1.239772581,0,-0.404611516,-1.562393472,-0.36572998,-0.90467726,-1.0696470165,-1.058176058,-2.0361745485,-0.365516175,0.240630475,-0.1037080995,0,-1.0908841575,0,0.053177682,-0.564287227,0.467389016,-0.3701718015,-0.502877423,0.4126218675,-0.263238059,0.1078159055,0.9741927945,0,0.0859086695,0.6819437715,-0.8313948045,-0.026108781,0.238279002,-0.3901245565,0.2758734155,0.9433638975,0.6286896065,-0.852914477,-0.3207093165,0.858240135,-0.105455712,-0.741082536,-0.0905155945,-0.179481347,0.520567603,-0.149758202,-0.947593177,0.081591344,0,-0.0172941180000001,-0.547082658,0.161790306,1.0747574145,0.215592757,0.443307635,-1.4207261175,0.106533147,-0.0654417215,0.1993865605,-0.3979498625,-0.339867468,0.0700339465,-0.011278289,-1.940080845,-0.161685267,-0.3468567895,-1.1673558035,-0.3641904135,0.124627072,-0.1982751855,0.543458514,-0.533063607,0.2710215405,0.079603642,-0.6647286315,-0.271310649,-0.844673686,0.034651166,0.615155186,-0.237464974,-0.0311290645,-0.63058877,-0.4779050615,0,-0.37141514,-0.115763279,0,0.354184668,0.909556615,0,-0.102408845,-1.57233561,0.65895847,0.344121541,-1.8410844185,-1.150072659,-1.022313866,0.135459685,-0.7952256775,-0.262985341,-0.9435038585,0,0,0,0,-0.372984903,0.191345767,0.03931221,0.5805197695,0.3199669755,-1.212171652,-2.1579339685,0.303250581,1.672299113,-0.254671945,0,-0.405499682,-0.355100176,0.692832222,0.045809014,-0.826622013,-0.439581061,-0.133952971,0.5267585045,0.692975537,-0.7870545745,-0.408566931,0,1.442642453,0.096146513,0.18816419,-1.5630260675,-0.1710566795,-0.707286955,0.014807988
"set129_316",-0.112750071,0.110794623,-0.2150410885,-0.528318656,-0.01119057,-0.09765437,-0.09765437,0.3904931505,0.470744683,0,0.48672289,-0.163222728,0.534662938,0.096180585,-0.2730900135,0.005789117,0.921044651,0.278430582,-0.5459591005,0,-0.0233456905,0,0.211378061,-0.4900338975,-0.4085040065,-0.5654480115,0.504423504,0.027618555,0.380912538,-0.1859463635,0.140104621,-0.5193533695,0,-0.020879436,0.74652801,0,0.0228199095,-0.0234280075,0.222154656,-0.4773571285,-0.118265367,-0.137620387,0.394520549,-0.094641827,0.668463833,0.053390902,0.2424607045,0.0761190605,-0.6061645265,0.052427315,-0.536663169,-0.1309261375,-1.156855659,0.086723516,-0.23796101,0,-0.1796649235,0,0.246680018,-0.1908677455,-0.2019380705,0.374309597,-0.0773528785,-0.8969576655,-0.388060259,-0.1303161375,0.062567749,-0.2877322655,0,-0.1021642155,0,0.0663831075,-0.2082830575,0.18140152,-0.396630677,0.092285886,0.0109867955,0.128009588,-0.24102964,0.353076101,0,-0.096931658,0.2665365925,0.3399107995,0.372468152,0.225321776,-0.161712572,0.0224216250000001,0.551521983,0.3169317775,-0.070479841,0.240225877,0.500616946,0.2277301365,-0.603538921,0.680680367,0.182403356,0.333923078,0.068573325,-0.227500597,0.1058408495,0,-0.462539607,0.247410453,0.037720811,0.5440618045,0.190659966,-0.0330942529999999,-0.541088278,-0.29174222,-0.757967435,0.392676873,-0.0413910785,-0.0330382815,-0.036392163,0.127476859,-0.3649099655,-0.221124809,0.102579791,-0.234094894,0.093166506,-0.0148550725,-0.166449177,0.675932567,-0.197785049,0.024528536,-0.195237366,0.1021171895,-0.342173888,-0.508425346,-0.098598537,0.235657702,0.0840590510000001,0.3054784085,-0.5640885195,0.0360586605,0,0.250228846,-0.118265367,0,0.125541779,0.15513087,0,-0.021168663,-0.7879017705,0.0929977799999997,0.107079104,-0.234695326,-0.300059723,-0.284385867,0.520268093,-0.4926663215,0.037749176,-0.4002576045,0,0,0,0,0.152636293,0.0214672825,-0.146337296,0.3574656595,-0.1141267115,-0.483377117,0.1927065875,0.138897373,1.02668532,-0.372435316,0,0.0859349170000001,-0.249229476,0.315063999,-0.026845537,0.201902135,-0.3569484915,0.1512508555,-0.026697525,0.120507046,-0.235827009,0.096532494,0,-0.104497221,0.013753868,0.0431210965,-0.507145218,-0.066301837,-0.280941936,0.281331051
