"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set128_225",-0.045959974,0.030356408,-0.457902025,-0.142652132,0.0790080555,0.0846844455,0.0846844455,-0.0386691985,-0.606919734,0,0.0848535,-0.0429991285,0.2970953775,0.035414719,-0.2376284255,0.39318354,-0.0296508989999999,-0.13930539,-0.1980873085,0,0.0482274605,0,0.160210186,-0.5019883135,-0.1978077615,-0.303424204,-0.002937368,0.11086551,0.063064402,-0.227395989,0.4123365535,0.4507673435,0,0.024995486,0.189973878,0,0.127428713,-0.1304560805,0.0529405120000001,0.062950878,-0.063064402,-0.216973967,-0.00213476499999998,-0.0038661005,-0.148754164,0.359560927,0.709788203,0.1737755565,-0.0579131989999999,-0.234062608,-0.475361499,0.147064655,-0.048722372,-0.053421593,0.056480495,0,-0.023142976,0,0.078756965,0.075745719,0.1717790315,0.1344776175,-0.0915331024999999,-0.1301769195,-0.272788932,-0.075754583,0.033477372,-0.0435515535,0,-0.188056332,0,-0.1458481375,0.114529534,-0.026113459,-0.1799760895,-0.057006273,0.0712355355,0.228392472,0.060758432,-0.1922465475,0,0.0651173975,0.2335616425,-0.2647103185,0.00883433700000003,0.316021232,-0.1432122365,0.0939193179999999,0.000541953999999997,0.153352982,0.074701757,0.073377578,0.0450663609999999,0.0517891755,0.0351435880000001,0.400658595,-0.098550552,0.238859774,-0.00391437300000003,-0.127325465,0.05828975,0,-0.235463308,-0.034575862,0.087102478,0.316539001,0.045392639,-0.3971945705,-0.33104752,0.212713937,-0.0421474935,0.1760743675,0.523365703,-0.019761848,-0.039340243,0.213437856,0.032014882,-0.123226517,0.0428704605,-0.0416261955,0.1694243395,-0.1194300265,0.1867955365,0.059241474,-0.0596058939999997,0.1080761375,0.038475113,0.040652964,-0.368754082,-0.261512143,0.05542359,-0.030810468,-0.1761993475,0.315830102,-0.1294715465,0.1547879465,0,-0.443168942,-0.063064402,0.100176363,0.070698831,0.082609812,0,0.028483726,-0.0817605910000001,0.00123895700000001,-0.06374508,0.057778213,0.377514797,-0.017580551,-0.129985973,0.042050296,-0.092993858,-0.1797575665,0,0,0,0,-0.044239208,0.00422278399999998,0.10749969,0.2110948045,0.6053377145,0.0132005755,0.3558396475,0.037899014,0.233266952,0.316422091,0,-0.026223215,-0.218979177,0.0848417320000001,-0.114084496,0.0760214730000001,0.026991902,0.103488468,-0.00923434099999998,0.0966630755,0.128118873,-0.053357597,0,0.1651174065,0.117878139,0.112081412,0.00163798000000004,0.104793761,0.03225198,-0.427337597
"set128_226",-0.072409386,0.082756025,-0.438160841,0.00885535849999998,-0.0353675345,-0.0832944375,-0.0832944375,0.200095581,-0.408361996,0,0.0555467925,-0.531189477,-0.079228065,-0.013125009,-0.343929783,0.2830213625,0.00221002649999995,-0.216795577,-0.0851549285,0,0.107699747,0,-0.046459672,-0.581362311,-0.1124438255,-0.4075305255,0.095487648,0.158469774,0.0235252555,-0.105947986,0.302343042,0.186031418,0,-0.0670237735,-0.239486195,0,0.223252934,-0.1070141635,0.112348483,0.0110817755000001,-0.0235252555,-0.156217599,-0.017259108,-0.0926845825,-0.274865791,0.412203865,0.640294496,0.519562193,-0.320017159,-0.207447387,-0.237662864,0.168806426,-0.1134130315,0.0580375635,0.0952847975,0,-0.685101713,0,0.105336066,0.0357948685,0.0109166875,0.3021083535,-0.1011702535,-0.247016241,-0.5637732815,-0.158467915,0.044439246,-0.0431704635,0,-0.139914648,0,-0.037076437,0.1387232955,-0.067481872,-0.205785853,-0.0374855455,0.0971087185,-0.124236886,0.039903488,-0.270092117,0,0.1438264425,0.162239629,-0.2107795835,0.052816638,0.317874432,-0.3129848645,0.0195506694999998,-0.0316418375,0.087780611,0.041319498,0.167006623,0.087484062,0.0268596895,-0.081329362,0.1160305835,-0.1632720645,0.372250837,-0.078985876,-0.131381112,0.051147863,0,-0.321770099,-0.059370545,0.026453431,0.3838949645,0.055512491,-0.4317163685,-0.4828953775,0.0321606385,0.180202743,0.166933688,0.754430029,-0.13554085,0.00609197899999998,0.194028813,-0.1759597665,-0.037516448,-0.00233393950000001,-0.1652778765,0.1378982865,-0.11057776,0.1338084645,-0.063065116,-0.109600823,0.1075902625,-0.117791295,0.047667949,-0.341822,-0.43418404,0.017483782,0.038090089,-0.163047775,0.2152857875,-0.340158942,0.0234793129999999,0,-0.250445162,-0.0235252555,0.133765687,0.050705467,0.0706819445,0,0.0747593355,-0.201346062,-0.054465137,0.023319966,-0.041576678,0.3162780025,-0.2062551175,-0.055159008,0.043804012,-0.3217662875,-0.0509848895,0,0,0,0,-0.036892455,0.0894772515,0.056571435,0.180927843,0.219755743,0.017372984,0.0706631605000001,0.114479684,0.244368117,0.314792802,0,-0.044480283,-0.2734933135,0.0826250310000001,-0.068878032,0.164348488,0.025812301,0.302687605,-0.0603512505,0.068406081,0.0607611365,-0.060905182,0,0.21200317,0.080020344,0.105246344,-0.297842236,0.0753762455,0.14971911,-0.258641317
"set124_682",-0.035922808,0.039505687,-1.59156509,0.149028564,-1.7383308855,-1.4029909985,-1.4029909985,0.6901543395,-0.52841995,0,0.184558595,-1.7814427045,-2.5386737345,-1.158828491,-0.352915951,0.417870218,-1.290885662,-0.260754556,-0.59910813,0,-0.451013311,0,-0.413488381,-1.839488699,0.0510760285,-0.790903567,0.052857034,0.201252232,-0.635935121,0.2907225555,-0.8951192535,0.177779935,0,0.577415908,0.36268665,0,0.3530341805,0.763196476,-0.86775669,-1.6637230795,-0.01460451,-0.157759257,-0.414557062,-0.8029045165,-0.283262028,-0.324744689,0.455058863,1.911109407,-3.449725725,0.260611903,-2.3284125395,-0.3480003825,-1.290527217,0.284773056,-0.061661102,0,-0.888181926,0,-0.133774928,0.0465986370000001,-1.3392723365,-0.5489248375,-1.7743776285,-0.4600129875,-2.072103127,-0.247559563,-0.00336132700000003,0.333550322,0,-0.1294710015,0,1.525278755,-0.328040991,-0.057494946,-0.173243666,-0.075670995,0.4290477415,-2.8518875015,0.0843300015,-2.1432811985,0,-1.032906276,0.2274357575,0.30288658,-0.574544889,0.938909061,0.984514717,0.476745993,-1.3398943415,0.5332486095,-0.510627102,0.7328326305,-0.439633931,-0.6965777665,0.208799069,1.51905479,0.179358468,1.213124933,0.113445568,-0.387771877,0.031210019,0,-0.224473565,-0.216625516,-0.83492818,3.36357399,0.381471859,-1.151942507,-0.67058456,-0.8973749045,0.9236946215,-0.3768453005,1.3061521795,-1.597569993,0.1480372395,0.170594352,-1.772087601,0.428810895,-0.1603106175,-1.1126562045,0.373460188,-0.2112080025,0.3617048895,-1.331372967,1.45084266,-0.00830881350000001,-0.625256291,0.6053891035,-0.716164564,-2.137515729,-0.00644318199999999,0.097088836,-1.4679042365,1.036617878,0.0805302519999999,-2.2529196035,0,-0.233319539,-0.01460451,-0.580506136,0.173949879,-0.276464945,0,-0.075148462,0.6814903475,-0.109268576,0.362175077,-1.2397293515,0.063820175,-0.753259437,0.073514705,-0.9976343125,-0.788528085,1.153888676,0,0,0,0,1.077683074,0.143926217,0.519684406,1.425060067,0.939529526,-0.1919507895,0.0147579645000001,0.358494517,-0.665519031,0.0864709610000001,0,-0.930600154,0.950458998,0.0233915360000001,-0.082143785,-0.504745145,-0.201376724,1.772574411,-0.631022459,0.2286666605,0.420955314,-1.095977751,0,2.6712691045,0.493221346,-0.00256096800000002,-1.959729749,-0.667926128,0.311591573,-0.516499886
"set124_681",-0.06444936,0.163297078,-1.6764902845,0.5360400985,-1.859757149,-1.379750326,-1.379750326,0.684311947,-0.798444595,0,0.3571747215,-1.6508277815,-2.6333553695,-1.127948626,-0.517360761,0.2745895855,-1.0792148095,-0.632401267,-0.30654604,0,-0.62366257,0,-0.374177105,-1.633243314,0.312004334,-0.988926405,-0.164836054,0.361995945,-1.0919783205,0.462099455,-1.040420303,-0.393690648,0,0.6101419675,0.356778959,0,0.3313621485,0.634723252,-1.036233203,-1.9944700005,0.1045799015,-0.216280637,-0.294059746,-0.8775136515,-0.230686932,-0.320013853,0.0352267740000001,1.9542854045,-3.1768317545,0.368361041,-2.9545221825,-0.300115458,-1.6665490575,0.505020606,0.076125533,0,-1.1075499485,0,-0.011254527,0.232182768,-1.802605492,-0.354488647,-2.068541288,-1.2634319455,-1.9641059695,-0.4338437815,0.0297262,0.4503250965,0,-0.0220798445,0,1.532757477,-0.656431377,-0.138512209,-0.2954927355,0.146022457,0.2121302745,-3.1991014845,-0.0811458805,-1.926678906,0,-1.531125484,0.0612988045,0.4479109275,-0.734281232,0.818605146,0.7429724925,0.5873896435,-1.338646868,0.3638491935,-0.480730663,0.467792048,-0.3113340175,-0.730812084,0.262418827,1.792369905,0.2517919995,1.618370375,-0.0144606955,-0.258895343,0.000212352499999999,0,-0.43619759,-0.193071817,-0.95203719,3.468936141,0.485292768,-0.9914151075,-0.934676169,-1.115521664,0.944714872,-0.361897629,1.3723809175,-1.8402470315,0.205262992,0.282533012,-1.8586506055,0.383647197,-0.1226491175,-1.1586785445,0.215379884,-0.293897656,0.456895189,-1.398614596,1.4168057185,0.0509102055,-0.633091618,0.647455691,-0.956760246,-2.833574306,-0.117643113,-0.089670024,-1.486019385,1.1642969105,-0.0268118470000001,-2.067383634,0,-0.00720855599999998,0.1045799015,-0.947543955,0.147183284,-0.231583859,0,0.1744199975,0.652877512,-0.177708866,0.301687639,-1.394010055,0.2229795015,-0.3691828745,0.380064286,-1.4444242125,-1.021599996,1.314759241,0,0,0,0,0.789170313,-0.140936409,0.452200541,1.524017738,0.916969569,-0.1134321475,0.1049547235,0.410950689,-0.594586113,0.063961984,0,-1.177059978,1.3238107785,0.16504355,-0.074461114,-0.097380013,-0.3208917305,1.7513429085,-0.8400110305,0.2727179965,0.7908681085,-1.315905346,0,2.898241636,0.621971894,0.00950324749999999,-2.1446820235,-0.3419414725,0.3069815055,-0.808369066
"set124_680",-0.032883231,0.323385413,-1.7270547905,0.502358701,-2.183071288,-1.453318679,-1.453318679,0.240032065,0.0800834100000001,0,-0.190539437,-0.3059849975,-2.4301491735,-1.257737569,-0.402105407,0.390439505,-1.287954906,-0.194819978,-0.922474207,0,-0.526990462,0,-0.494436726,-1.5978586225,0.7445617365,-1.462384272,0.321297828,0.616549004,-1.191012394,0.80053625,-1.0349321565,-0.259469763,0,0.468382481,0.071588921,0,0.569022626,0.4934723275,-1.504889958,-1.281203792,0.036066436,-0.191109797,-0.209065084,-0.778891584,0.336426575,-0.390474241,0.3757414975,1.8912339335,-3.4846784845,0.71119785,-3.8053347325,-0.403300019,-1.1639690545,0.3128613025,-0.0790545525,0,-1.226919443,0,0.166616574,0.2867933725,-0.6946540165,-0.342550397,-2.039477952,-0.6257487095,-1.86843354,-0.4988907935,-0.043881202,0.045122121,0,-0.191867304,0,1.942336489,-0.6829018955,0.231122714,-0.3400024925,0.4141286525,0.3386792555,-2.996846423,0.2172139195,-1.9582265725,0,-0.975452986,0.1124503725,0.209227552,-1.131404045,0.674470777,0.334939416,0.785310024,-1.2167335265,0.35765085,-0.464739511,0.7337112115,0.168900672,-0.6584739875,0.187651986,2.348603331,0.02060045,1.118502145,0.1497814245,-0.132989077,0.1253875155,0,-0.583230147,-0.722395554,-1.588813528,3.265741955,0.425031116,-2.2358278895,-0.773293717,-0.940958302,0.5753888795,-0.6483743525,1.454709833,-1.6685102965,0.0288137775,0.398371128,-1.840131346,0.501178973,-0.190058849,-1.062013671,0.1179198935,-0.1439793585,0.203039412,-1.348870339,1.1318270045,-0.170030664,-0.433201264,1.0579334165,-0.426822234,-2.110359887,0.016482685,-0.097777637,-1.1531587945,1.368353532,-0.118713689,-3.005002173,0,-0.258309794,0.036066436,-0.828162928,0.344134246,-0.1562762775,0,0.116241419,1.281976179,-0.451263477,0.156725716,-1.0528936925,0.211706655,-0.412105488,0.655691735,-1.375879359,-1.3320373375,1.044657267,0,0,0,0,1.050979358,0.770650588,0.37798932,2.1997957345,1.4261374775,-0.336360056,1.176321671,0.308402586,-0.573446834,-0.239935075,0,-0.666804456,1.121124611,-0.095404941,-0.090473303,0.180555855,0.0726353865,1.2762103785,-0.658107436,0.383317936,0.304514654,-1.162268553,0,3.140879945,0.486606532,-0.1621619425,-1.7250599775,-1.375952701,0.4528486045,-0.97149918
"set124_679",-0.131665795,0.305140835,-1.601316286,0.6608186155,-1.910271822,-1.326911611,-1.326911611,0.2102135425,0.021557104,0,-0.119981259,-0.051337938,-2.131154579,-1.325078091,-0.376819089,0.385113721,-1.010179765,-0.178970993,-1.0071717915,0,-0.5139117665,0,-0.375487717,-1.2045633265,0.968690129,-1.249303466,0.229688015,0.507799181,-1.293308099,0.7737566085,-0.902026727,-0.00515141200000008,0,0.468469705,0.286180701,0,0.357836813,0.5917778905,-1.484511528,-1.1892306315,0.101585527,-0.140388116,-0.176206387,-0.96617617,0.293242244,-0.412915627,0.38151601,2.0698913585,-3.0498329465,0.746716733,-3.9285544095,-0.4082544565,-1.005528028,0.4202510095,-0.0835813285,0,-1.1650918775,0,-0.048194669,0.430638784,-0.370724515,-0.4355258175,-1.887467542,-0.37323456,-1.776281431,-0.446953494,0.205423292,0.0257640155,0,-0.183575631,0,1.9857678765,-0.685922,0.111581757,-0.432859036,0.4140860465,0.4568949515,-2.9655794605,0.40398881,-1.573593378,0,-0.8090145845,0.0832664565,0.499125793,-1.153696806,0.77460193,0.464858036,0.5650980715,-1.1136001065,0.177716719,-0.383758974,0.554230442,0.5517454125,-0.460380282,0.161755402,2.274330065,0.029417345,1.183325533,-0.0622618315,-0.239424027,0.088354658,0,-0.479236114,-0.672876351,-1.592233961,2.9179076995,0.427150079,-2.2541438375,-0.7266303655,-0.88237532,0.3460568335,-0.1592758465,1.525733294,-1.665827959,0.054279441,0.173809125,-1.6600353,0.442533683,-0.2669898265,-1.2891457825,0.406555693,-0.19628477,0.047739202,-1.670628905,1.3254712115,-0.1755564585,-0.347650006,1.198509451,-0.596287017,-1.7618690475,-0.00366314500000003,-0.208956389,-0.6917179615,1.1841579485,-0.257140624,-2.9644418175,0,-0.084488462,0.101585527,-0.935760114,0.327767587,-0.1435123975,0,0.127071244,1.185959086,-0.38856051,0.086258115,-1.12236121,0.139732703,-0.471456126,0.743549731,-1.620972037,-1.4621147535,0.8989532365,0,0,0,0,1.092167376,0.9118387175,0.393486011,2.2119189045,1.7834955005,-0.181867548,1.241480393,0.285268198,-0.730456145,-0.398947633,0,-0.699395548,1.300725868,-0.129048939,0.006862864,0.330823707,0.119775446,1.368439089,-0.8303535305,0.484082257,0.4727873945,-1.2210429145,0,2.957722466,0.695352904,-0.043638539,-1.53591577,-1.3984562495,0.47118092,-1.104981773
"set124_553",0.073107528,0.315292604,-0.1823050725,0.90090254,-1.279193565,-1.212832484,-1.212832484,0.0196500114999999,-0.673888952,0,-0.5036436025,-0.458955549,-1.55683316,-0.705065913,-0.0420297665,0.3581448785,-0.9539384125,-0.586612648,-1.039075072,0,-0.1845483975,0,-0.472780794,0.0226423835000001,0.951593352,-0.4637817255,-0.130504091,0.483685934,-1.4693844495,0.3043887095,-0.4564620785,0.9403704495,0,0.4996377685,-0.605497597,0,0.127576149,0.88835482,-0.949532861,-0.504945234,0.2172488995,0.290427653,-0.207488113,-0.857375353,0.175112224,-0.375365637,-0.198471457,1.699358596,-2.398053028,0.348209148,-2.066678433,0.1897746895,-0.0638043600000001,-0.0665898375,1.21125000000222e-05,0,-0.737583536,0,-0.623911986,0.1840019995,-0.73794985,-0.4938542795,-0.8052470035,0.5223916815,-1.287342139,-0.279447832,0.035882231,0.088560293,0,0.39315008,0,1.518447947,-0.2281031475,0.121028322,-0.0722019305,0.1598167685,0.53111685,-1.4205204315,0.7342269195,-0.6486929055,0,-1.227672606,-0.903140066,0.337238691,-0.563544301,0.800093326,0.5634718595,0.750617531,-1.301879759,0.386146211,-0.487855141,0.802662852,0.00320294250000008,-0.6393494015,-0.177957981,1.484288497,-0.3888068655,0.403830922,-0.097891456,-0.197085165,0.071898289,0,-0.933612304,-0.369244075,-1.228888638,0.5539848915,0.209445532,-0.7777644665,0.8454308305,0.152816238,1.2445943155,-0.8263287545,1.508122953,-0.8617224025,0.00207085799999998,-0.147655755,-1.392403621,0.743679819,-0.656537204,-0.988642739,0.290455737,-0.0781169325,0.2344451485,-1.200176341,1.364275574,-0.0595024635,-0.04133416,0.292351255,0.227913711,-1.0636878505,0.127174225,-0.085558744,-0.3920513095,0.4801930835,0.2747456815,-2.3152349,0,-0.18565566,0.2172488995,-0.177203342,0.206674845,-0.5820943295,0,-0.2728994415,1.692196547,-0.035043892,-0.0927142440000001,-0.470652249,0.805092643,-0.329470145,-0.32515498,-1.483412591,-0.4450399235,1.0294729595,0,0,0,0,1.19394301,0.1614209365,0.681822701,0.87842609,0.928034943,-0.0962729594999999,0.7064809245,0.147938294,-1.2826341575,-0.586162599,0,-0.299984604,0.9650773975,-0.188654972,-0.014827222,-0.547131101,-0.126307367,0.769988572,-0.891445825,-0.0538161994999999,0.416010294,-0.8006243475,0,2.416721591,0.199960555,-0.283106387,-1.263049752,-0.424896285,0.374685244,-0.890914116
"set124_558",0.101828813,0.401871855,-1.381903757,0.7560551035,-0.6104673485,-0.8159308385,-0.8159308385,0.668695357,-0.614088313,0,-0.302533605,0.1551092215,-0.7731281695,-0.631375831,-0.210249282,0.296285754,-0.950424925,-0.375839251,-0.719960295,0,-0.389955144,0,-0.538757984,-1.2601105905,0.5896216375,-1.745314291,-0.457706957,0.698093422,-1.642640054,0.9363419955,-0.4626452745,0.5814303825,0,0.63899319,-0.225660569,0,0.489967428,0.626510289,-1.156887722,-0.681698525,0.158873909,0.322581963,-0.241646827,-0.994965118,-0.079247607,-0.444873701,0.2344968765,1.5959041315,-2.5328025185,0.399947399,-3.25859872,-0.032783363,-0.456078612,0.4471804635,0.0928817795,0,-0.897614091,0,-0.338086005,0.430242738,-0.0193169989999997,-0.284827861,-2.220670875,0.0278150995000001,-1.1772572755,-0.42355503,0.257246092,0.075922575,0,0.061879252,0,1.164672683,-0.708138108,0.245454808,-0.2623223245,-0.0910742885000001,0.516899077,-2.2662615935,0.781230465,-1.0425471145,0,-0.778833261,-0.5906246865,0.7508052365,-1.186128515,0.873357937,0.2159404295,0.4744969725,-0.823586461,0.238195695,-0.640823505,0.749690075,0.4873475745,-0.148000615,0.164838637,1.531677438,-0.256922071,1.041224314,-0.1728191655,-0.231938598,0.109838105,0,-0.324227865,-0.28371016,-1.222292202,3.279172181,0.365246472,-0.7469887935,-0.570958614,-0.435673214,0.503598131,-0.00054653599999982,1.527463082,-1.978353813,0.042303533,0.15370693,-1.1272569705,0.314257478,-0.557520251,-1.59585631,0.161480697,-0.1367757385,0.1725028635,-1.821058075,1.8342291715,-0.1164726555,-0.549139943,0.4315503175,-0.510504107,-1.4261959915,-0.089131327,-0.088463076,-0.848062393,0.7407332805,0.076665012,-1.6489585645,0,-0.032266197,0.158873909,-0.44827736,0.148846451,-0.4502328745,0,0.168882916,1.848328506,-0.08832123,-0.150476523,-0.1654125265,0.5177096665,-0.1624096675,0.042714584,-1.577440275,-0.7893633995,0.3980983065,0,0,0,0,1.362321547,0.559552827,0.435694472,1.789166312,1.651389866,0.0644731635,1.3762476315,0.304283276,-1.212862333,-0.896066507,0,-0.538582667,1.129265903,0.0623443299999999,-0.239656381,0.399191489,-0.003421274,1.013151224,-0.8046414605,-0.0179987134999999,0.4861090465,-0.3855355955,0,2.535194125,0.673917547,-0.193415751,-0.5951227745,-0.2974794725,0.5295910065,-1.228913424
"set124_557",0.155549998,0.258394764,-1.38285699,0.7437342885,-0.469916091,-0.749066773,-0.749066773,0.213085535,-0.699846848,0,-0.133122562,-0.0601436989999997,-1.135559601,-0.652534799,-0.1739915705,0.430667695,-1.061405409,-0.344636921,-0.5412858115,0,-0.27721309,0,-0.445951619,-1.347093333,0.4342439035,-1.4639611455,-0.288438616,0.530723951,-1.599864003,0.759759526,-0.1084801805,0.7571872,0,0.497420727,-0.387047496,0,0.440701706,0.685654708,-1.055363115,-0.5144010515,0.132554228,-0.065115326,-0.454818221,-1.1099297365,-0.113593315,-0.426741006,0.1909986635,1.5631975275,-2.338876607,0.337154166,-2.927583411,-0.1871341375,-0.458636775,0.318754027,-0.018392068,0,-0.7379524035,0,-0.215768489,0.143125327,0.0678501155000001,-0.462956308,-2.14424916,0.1349257435,-1.272607552,-0.272108829,0.247738379,0.4221872015,0,-0.088758383,0,1.108241899,-0.467102536,0.046005689,0.100098398,-0.00586903000000008,0.4755720735,-2.3073775145,0.8289686005,-0.9075394315,0,-0.666060714,-0.3046977595,0.546579968,-1.082652603,0.831520462,0.080410038,0.3636754665,-1.0570671565,0.498774996,-0.549243414,0.448258542,0.1419704555,-0.0859793229999999,0.335849406,1.3639080485,-0.244927081,0.804987772,-0.106158482,-0.334222846,-0.037518619,0,-0.260655945,-0.416302652,-1.113531298,3.2069316925,0.223354227,-0.5469415395,-0.467706303,-0.501399476,0.25500384,-0.0608548469999999,1.6083757,-1.905637137,0.233087365,-0.049400343,-1.0505913155,0.316730803,-0.6076381365,-1.7455693435,0.3402578325,-0.0517448545,0.19134545,-1.879895007,1.775291084,-0.2274777755,-0.448686171,0.413842388,-0.282367128,-1.084250665,0.147995676,-0.181813188,-0.764839094,0.9190348035,0.1291708645,-1.681064344,0,-0.292035556,0.132554228,-0.496716992,-0.00981009400000001,-0.323142388,0,0.047051658,1.656318035,0.2085535,-0.067166946,-0.1946172365,0.420409752,-0.376154908,-0.149413265,-1.46425546,-0.727710674,0.2547037965,0,0,0,0,1.155987157,0.2188040215,0.630951625,1.735442693,1.245837534,0.00362665099999993,0.9692418845,0.391137492,-1.2442983125,-0.703342845,0,-0.537415823,1.140431423,-0.098524514,-0.169375881,0.092638605,-0.23861441,1.001840382,-0.9526931305,-0.0819795739999999,0.4824330185,-0.184461596,0,2.403060623,0.663592267,-0.296531549,-0.546406455,-0.3407762485,0.4605219645,-1.716810158
"set124_556",0.033358246,0.191238686,-0.890375075,0.212591115,-0.2952928195,-0.8250441145,-0.8250441145,1.0579611835,-0.835193044,0,-0.1184447545,-1.326514491,-1.673906234,-0.600349455,-0.262084753,0.2534151025,-1.0675849665,-0.228331218,-0.482713057,0,0.273072665,0,-0.534103157,-0.528705021,0.4890646535,-0.612827622,-0.556558498,0.51594738,-1.2366935375,0.300920813,-0.5089285545,0.705768974,0,0.5961241005,0.0579344500000001,0,0.239116745,0.8989468935,-0.362730081,-0.2330431905,0.0488156075,0.236899362,-0.52043894,-1.1005226485,-0.229034613,-0.376677667,0.415260616,1.707193044,-1.8841563005,0.432811105,-2.6057283135,0.324517973,0.630384746,0.1682304875,-0.1826263415,0,-1.156584169,0,-0.697887131,0.284557536,-0.715665196,0.185057535,-1.2288969405,0.351799724,-1.528692417,-0.3308967695,0.144172018,0.227489558,0,0.22276319,0,0.658277279,0.197338371,-0.012325626,-0.1216629015,0.0086225795,0.3055522865,-3.116616923,0.5993939715,-1.5508173785,0,-1.2079477945,-0.2441433235,0.5885094655,-0.883732093,0.945258975,0.066633482,0.46569567,-1.635511909,0.307047959,-0.390327121,0.3556786955,-0.1630301555,-0.376086426,0.1290122,1.599475186,-0.2985680415,0.977357329,-0.255894928,-0.189149028,-0.000493750500000001,0,-0.344749547,-0.356048786,-0.944042154,1.783438014,0.156837478,-0.732339935,-0.2336755695,-0.1500091225,0.584580656,-0.351946805,1.410881135,-0.920235054,0.1616046175,0.039845451,-1.6166172175,0.338327167,-0.660926128,-1.64681726,0.5830556945,-0.198950493,0.1307411915,-1.591583256,0.959235854,0.2254173095,-0.715154976,0.188841308,-0.223621782,-1.9427963385,0.027538934,-0.020886206,-1.5046351515,0.8223217435,-0.131302373,-1.6422783435,0,-0.466708167,0.0488156075,-0.279251395,0.018846466,-0.3920568305,0,-0.1343223895,1.8393001975,0.024606104,0.077583059,-0.6496989455,0.225034218,-0.278708767,0.031565401,-0.210109466,-0.6319597115,0.778933408,0,0,0,0,1.229181072,0.3106971015,0.546552282,1.298443018,1.285765519,-0.130599792,0.4446915295,0.322221734,-1.2278383485,-0.736180705,0,-0.409234145,0.4254048965,-0.0753781659999999,-0.27539004,0.28629418,-0.1210094695,0.9607458245,-0.424306932,-0.250332554,0.387228445,-0.4281862865,0,2.269496486,0.640132991,-0.1469444695,-0.936179015,-0.200920244,0.84041637,-0.8844869
