"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set65_73",0.237196604,0.235788661,1.168147777,0.5547465295,0.821108838,0.562698186,0.93015547,-1.620202754,-1.513116158,-0.017617883,-0.6124194555,3.63252467,1.35935623,-0.06385443,-0.0399431075,0.2992671605,0.1243735415,-0.412969965,0.672161804,0,0.4617961035,0,-0.628334647,0.106072321,0.0373712270000001,0.8182925185,-0.412396033,0.148371711,-0.3767813415,0.0381334675,2.4470066625,0.628643857,-0.371156979,0.7877368225,0.0715841609999999,0,0.1131179165,-0.620311045,0.524479329,1.51127465,-0.0823074265,0.541608418,-0.025250689,1.511864069,-1.358609505,0.086783655,-1.82832647,-0.605389541,1.9814239035,-1.533060979,-0.221143842,0.605927889,-1.586470134,0.042197314,0.068237565,0,1.3205922935,0.755001991,0.164164898,1.158248504,1.6891007615,-1.237416872,0.325159757,0.7857748315,1.3288821465,0.1666396485,0.469685304,0.710822807,0,0.0311928705,0,-1.746305997,-1.093341928,0.393905265,0.6889170545,-0.012573118,1.0984357945,1.971046132,1.324825796,-0.144790648,-0.132912131,-0.1852378455,1.3328324435,0.3805061145,-0.139736276,-0.048645435,-0.501879845,0.1226122195,0.1007428315,0.0888044915,0,-0.796972083,-1.020961731,0.3643542055,-0.356382442,-0.958212427,0.1243735415,-0.607613875,1.1991950985,-0.641909579,-0.0979245035,-0.00662895599999996,0.031357085,-0.575250859,-0.657912771,-1.2157145105,-0.067726734,-0.4826552605,-0.516097015,1.1996502655,0.82512273,0.404625699,0.0379689435,0.42468473,-0.129277153,-0.768266088,3.2595138935,0.003437379,0.887701694,1.639136612,-0.8244602705,-1.1106713875,0.2107317555,0,-0.1243735415,-0.0749844595,0.957397925,0.0355297935,0.991207252,1.912799098,0.365119482,-0.608138802,0.122388974,-0.332588279,0.9276187515,2.0555691145,-1.731289304,0.10769515,-0.1029770345,0,-0.197138416,0.554333721,0,-0.1243735415,2.178784203,-0.098582186,-0.875449366,1.483363741,0.873286057,1.55243223,-1.999036777,-1.4545152825,-0.163119219,0.543192501,0,0,0,0.010031409,-0.923873475,0.198559397,-0.124222458,-0.5532714365,0.2967672345,-0.0331629385,3.2759310995,-0.186059175,-0.116848576,2.586246054,0,-0.136795576,-0.9203264845,-0.897541257,-0.12641698,0.688097798,0.0249284715,-1.1549416355,-0.6702391475,-0.9754326805,0.9515423175,0.977365002,-0.136795576,-0.335027791,0,-0.0221469135,2.1255574365,1.2752567365,-0.811662422,-0.92136355
"set65_31",-0.033782626,0.072581154,1.581681606,0.5166374985,1.387014064,1.033678801,1.074461479,-1.831495641,-1.658026707,0.109831601,-0.823743178,4.3938344005,2.1079005465,0.023580343,0.377361896,0.277618473,-0.086950181,-0.170686199,0.484173069,0,0.433881782,0,-0.145541881,0.5912964115,0.893233577,0.412507655,-0.634386407,-0.112151725,-0.477871649,0.0950743845000001,2.5912165675,1.1262497295,-0.428753101,0.620037822,0.053008969,0,-0.0864681455,0.3215020655,0.489036514,1.7698020565,-0.018709907,0.353841116,-0.082905173,1.6713880715,-1.264035822,-0.053732075,-2.0824513025,-0.6879502025,2.794979981,-1.362854477,-0.7821417875,0.949065441,0.296800669,0.005658504,-0.044961259,0,1.5371488635,0.961353193,0.517308674,0.689013195,1.7951581215,-0.642118901,0.279088591,2.275160574,1.8958439795,0.192428378,0.43028385,0.37133921,0,-0.0855883815,0,-1.723582126,-0.837837685,0.533266117,1.0914194095,-0.049683471,0.954023075,2.392633003,1.3188878275,0.46957749,-0.868148128,-0.426541928,0.1498554365,0.6323747545,-0.310994192,-0.116394875,-0.1451655985,0.0933937555,0.9889026765,0.2768282155,0,-0.4710123005,-0.1793645575,0.543911695,-0.638507586,0.0593528315,-0.086950181,-0.811699469,0.626316647,-0.30670934,-0.002820986,0.149465482,0.169176659,-0.317829772,-0.480282897,-1.710961811,-0.154186733,-0.962342892,-0.163851323,1.52938051,0.5598088955,0.4247370165,-0.0788123085,0.22513991,-0.3314885895,-0.836989242,3.3535403095,-0.157004262,0.968105578,1.877780733,-1.0749794255,-1.074662708,-0.147511324,0,0.086950181,-0.3586057745,1.175946849,-0.2272608735,0.698450614,1.93674727,0.181538556,-0.638536422,0.0797227965,-0.475138685,1.279933135,2.3469023495,-1.956116719,-0.041930281,-0.309532706,0,-0.311331423,0.298583507,0,0.086950181,1.9929427595,0.039659531,-0.7942254,1.572873967,0.938457211,1.451590473,-1.733251725,-0.1943666685,0.182754956,0.2065847775,0,0,0,-0.055882729,-1.045054989,-0.1430260435,-0.124222458,-0.498201592,0.220578122,0.322712913,3.6298529765,-0.419621679,-1.4407827995,2.45755014,0,-0.173905929,-0.342072032,-0.742246563,-0.101010736,0.773870202,-0.127415532,-1.250045153,-0.4689813505,-1.282529447,1.1060539035,1.2107311,-0.173905929,-1.3030915935,0,-0.399976497,2.209597759,1.9108712795,-0.1122561655,0.693228975
"set65_30",0.013230446,0.154553908,1.6249933145,0.570214534,1.244198518,0.759289656,1.047891867,-1.940625695,-1.8912293905,0.082669754,-0.8118564655,4.5930135895,2.5092506665,-0.105302911,0.3730818495,0.3344850355,-0.0750634685,-0.279417644,0.4221000075,0,0.3995148285,0,-0.228796167,0.5689387625,1.071481975,0.673824949,-0.669805548,0.00763927,-0.4256258435,0.142093583,2.512712671,1.0861804375,-0.407068673,0.5530865835,-0.205607327,0,-0.045847408,0.3281273615,0.478002316,1.672779784,-0.00580001950000002,0.439219338,-0.15031549,1.675880117,-1.339886845,-0.109880292,-1.9073685115,-0.6984113165,2.8225276765,-1.260527607,-0.9237319605,0.8685916155,0.468802386,0.054667275,0.026680597,0,1.563988023,0.986428515,0.43094072,0.745617087,1.8292481215,-0.5053805455,0.3056089675,2.2536447275,1.890022999,0.2190360045,0.50770376,0.488996863,0,-0.016500112,0,-1.535074422,-0.6234908135,0.520607491,1.084467413,-0.0684084995,0.921276721,2.2865306525,1.432716261,0.5174998125,-0.833504769,-0.2493273625,0.159485741,0.699770608,-0.278256246,-0.13695673,-0.124169336,0.103044077,1.0851099115,0.209377281,0,-0.6558170945,-0.0641548594999999,0.525039718,-0.479282018,0.0491997470000001,-0.0750634685,-0.836435428,0.6026401065,-0.246242075,-0.0359382815,0.171615507,0.232294979,-0.323470646,-0.47626629,-1.602134303,-0.1968408485,-0.894539508,0.00711308750000006,1.375802857,0.6112084905,0.4321046905,-0.00972403899999999,0.171419384,-0.1924668525,-0.840462625,3.350976057,-0.089114025,0.9499604945,1.9049099075,-1.0689904435,-1.0965188445,-0.0907744845,0,0.0750634685,-0.412344111,1.150132248,-0.130087743,0.843327381,1.6508376035,0.145190982,-0.553875302,0.2681776,-0.4680991225,1.2403226735,2.5344094405,-1.979372994,-0.126935507,-0.3040365435,0,-0.2856057905,0.311506503,0,0.0750634685,2.119624935,0.00328942999999998,-0.677080349,1.5559634805,1.1004560995,1.6228105945,-1.851989819,-0.299548263,0.175183809,0.0762161609999999,0,0,0,-0.051579317,-0.994502371,-0.0712438335,-0.124222458,-0.3788105345,0.3210625215,0.433025189,3.9133757205,-0.28144514,-1.5826463115,2.431048393,0,-0.1926309575,-0.2527991545,-0.695888758,-0.061779469,0.801336424,-0.1964376485,-1.2169278575,-0.54118331,-1.4488658715,1.20499138,1.1147331745,-0.1926309575,-1.1035287855,0,-0.311196063,2.3390425025,1.929572927,-0.117372688,0.823410812
"set65_29",0.026210215,0.093947162,1.4408398975,0.5242710015,1.319960869,0.871177747,1.124712756,-1.836796326,-1.9651805475,0.164580898,-0.823454999,4.269698672,2.276243997,-0.041843024,0.3515774055,0.263924505,-0.086662002,-0.156182449,0.5408297155,0,0.4313716855,0,-0.18723718,0.4664526915,1.020294341,0.1783204365,-0.6199218,-0.092223731,-0.389092814,0.115106667,2.479783928,1.1165983045,-0.451670506,0.609260106,-0.0849328330000001,0,-0.080379722,0.3633711305,0.514443777,1.6845400795,-0.009670373,0.339785146,-0.190817945,1.7043656305,-1.280939838,-0.118392625,-1.9323861695,-0.594024103,2.6977694605,-1.021424529,-0.9069599565,0.9248910315,0.3472400875,0.01709329,0.00391770399999999,0,1.4848419575,0.92128902,0.481238416,0.6471650905,1.7557184885,-0.7004579435,0.1622844655,2.1831104265,1.868458337,0.265312705,0.508708732,0.4318108995,0,-0.048870189,0,-1.803241929,-0.7001766075,0.393167057,1.0894577015,-0.0549683475,0.789390475,2.177877146,1.335398123,0.308447445,-0.632141169,-0.356445495,0.0498181685,0.6553011295,-0.317275617,-0.237105675,-0.1447317425,-0.1079269385,0.985166092,0.183780268,0,-0.557071256,-0.0726524359999999,0.507919419,-0.541001958,0.024571674,-0.086662002,-0.779433201,0.573572924,-0.2472168,-0.010510703,0.166286197,0.166036789,-0.309260459,-0.516072717,-1.4224417905,-0.1834386595,-0.886297886,-0.282418456,1.489539044,0.550650999,0.414559577,-0.042094116,0.0877907509999999,-0.219850698,-0.807987154,3.3043455485,-0.174555318,1.0141093935,1.8977320355,-1.1555784705,-1.150634616,-0.195574448,0,0.086662002,-0.3660656385,1.107535963,-0.1867198735,0.768134327,1.6621347185,0.00160522499999999,-0.533902678,0.056511486,-0.566704956,1.2708967705,2.493630872,-1.862756722,-0.064386659,-0.233762004,0,-0.3343449165,0.406633781,0,0.086662002,2.0732071425,0.050549261,-0.771074554,1.461094864,0.961177543,1.42111433,-1.733896114,-0.134400313,0.200206543,0.2680011175,0,0,0,-0.141608524,-0.992618296,-0.1327738675,-0.124222458,-0.473452857,0.203618114,0.411775244,3.6633868565,-0.346185294,-1.366961891,2.630577144,0,-0.1791908055,-0.360082768,-0.66913222,-0.170452975,0.699164702,-0.161217059,-1.242355436,-0.4170769795,-1.3713428025,1.1346110715,1.0906298385,-0.1791908055,-1.2433326455,0,-0.4068280245,2.2109554645,1.8950862575,-0.184754826,0.791535406
"set65_28",0.087506805,0.190571195,1.599282842,0.692806573,0.4145059415,-0.2287109635,0.6933512105,-1.5074940405,-1.5799350065,0.062344392,-0.682117893,3.9383114045,1.2145065295,-0.200623697,-0.0520752445,0.489789825,0.054675104,-0.203701244,0.769178658,0,0.3307009285,0,-0.401704588,0.219377555,0.141237097,0.4035055605,-0.586314646,-0.010600198,-0.207109996,0.310875139,1.979516097,0.769510107,-0.354022203,0.780905751,-0.060299686,0,-0.057351264,0.139715116,0.423774416,1.1854524205,-0.179257178,0.473498197,-0.229363279,1.769202425,-1.346682535,-0.191939557,-1.752462336,-0.4967928015,1.8072964755,-1.417331502,-0.162702123,0.431801389,-0.3902168305,0.030221767,-0.094382574,0,1.561648439,0.866277358,0.504606106,1.0974106435,1.5556067415,-1.373186225,0.32200034,1.532708534,0.9950694065,0.2285476245,0.458667367,0.4848005945,0,-0.027481975,0,-1.4528817735,-0.611822097,0.00391617500000001,0.7588171225,-0.0306476975,0.8146410655,1.504738711,1.142361531,0.3323482235,-0.425662286,-0.1260737015,0.613102722,1.116355944,-0.153362683,-0.084166942,-0.547123319,-0.05918639,1.0490394905,0.253498738,0,-0.5220988745,-0.8661993785,0.1306083355,-0.176303399,-0.8856982055,0.054675104,-0.64220921,0.382498286,-0.469439387,-0.0269583215,0.204461236,0.091949486,-0.280133228,-1.015393247,-1.4222707055,-0.1436765015,-0.9652087585,-0.509850344,1.1300909185,1.258922163,0.0428914890000001,-0.020705902,0.4014450115,-0.2057251345,-0.923881812,3.058679414,-0.0689862,1.040601217,2.000913801,-1.019532323,-1.07651986,0.00430332349999996,0,-0.054675104,-0.3478639585,0.946984333,-0.00790222299999993,0.813048877,1.4425181545,0.074711915,-0.51828145,0.294940744,-0.517904737,0.8646566085,2.238069102,-1.965739827,-0.037404951,-0.414783257,0,-0.2504394995,0.734032872,0,-0.054675104,2.0247522315,-0.084915299,-0.596729566,1.0043867865,1.278523013,1.524481588,-1.651153876,-0.589920934,0.297448866,0.2743277215,0,0,0,-0.096113577,-0.990096149,0.049375005,-0.124222458,-0.4166240055,0.4207604435,0.2287384425,3.4264786005,-0.303408866,-0.069944296,2.540481918,0,-0.1548701555,-0.38077007,-0.792284151,-0.0241059,0.878034288,-0.0211088985,-1.2259078175,-0.427753334,-1.246855387,1.313199823,0.6743956715,-0.1548701555,-0.47505761,0,-0.310712006,2.0023839695,1.971820724,-1.066445285,-0.258061493
"set65_343",0.159811544,0.110112541,-0.505651219,0.1036271925,0.9975056755,0.7665850585,0.7413984365,-0.6636780215,-0.334455017,-0.044302881,-0.7998213145,1.9937137415,1.8883644515,0.465954211,-0.3410558045,-0.4749366255,-0.0630283175,0.078413777,-1.009679571,0,0.169028457,0,0.969313132,-0.892394895,0.4522827165,-0.9919182005,0.225655203,0.037055162,0.2615328585,0.1885117075,2.07433916,0.176551502,0.45243259,0.2605846155,2.077610432,0,0.072809683,0.056249533,-0.028036012,0.9760000025,0.0842744255,-0.286584885,0.03716367,0.529857705,-0.16478595,0.078822159,-1.3993913165,0.212668827,-0.0616327745,-0.591264755,-1.758900148,0.438617239,-1.1576683455,0.086580592,0.053333957,0,0.470188348,0.277949452,0.950744113,0.460438322,1.1707050275,0.5930086465,-0.709739491,-0.372077542,0.5701081315,0.109172992,0.07990752,0.2842723765,0,0.067038561,0,-0.9561791985,-0.5362458235,0.07766729,0.165309131,0.106571194,-0.052040109,2.893328041,0.0497394285,0.2131706505,-0.414264054,-0.800799004,-0.261478293,0.1099625825,-0.1995871,-0.187113791,-0.7963331375,-0.0659851695,0.70220096,-0.010074872,0,-0.047572103,0.543694092,0.708115701,-0.122619397,1.9452212845,-0.0630283175,-0.026553794,0.5094104755,-0.109429192,-0.026408935,-0.510863305,-0.239911014,-0.028451782,-0.033622967,1.2929485855,0.085779634,-0.3816349525,-0.97683872,0.4179259065,-0.831614989,0.783819298,0.073814634,-1.07271981,0.231682084,0.00695083800000007,1.567390825,-0.063388574,0.3214557055,0.2413698725,-0.664673307,-0.4667189805,-0.0671701575,0,0.0630283175,-0.1992969675,0.599174819,-0.0930324609999999,-0.00174978500000005,0.567988775,-0.035171053,-0.02729801,-0.0420989209999999,0.234933143,-0.0122239134999999,1.5891430955,-1.3681116,0.093300925,-0.1489102005,0,0.127693564,-0.015142576,0,0.0630283175,-0.3413238,-0.086371874,-0.181624284,0.9905143345,0.590228284,0.621295796,-0.525852889,-0.530686616,-0.03410867,0.0454069814999999,0,0,0,0.068932239,-0.910554666,-0.0445007365,-0.124222458,0.169780588,-0.169833541,-0.0770996779999999,2.9532538675,-0.114367794,0.5070483815,-0.396617618,0,-0.017651264,0.1459417135,-0.235548634,-0.008190211,-1.039142979,-0.472660925,-1.226457204,-0.1202428845,-0.28430826,-0.2283662455,0.876365362,-0.017651264,-0.4468078995,0,-0.127073542,0.9755770775,0.5986771335,0.3397183655,0.90799912
"set65_344",0.240708028,0.19050686,0.05297083,0.1569663305,1.104040655,0.838393984,0.746482661,-0.372375021,-0.54329589,0.140040678,-0.7787919805,2.248992787,2.152956853,0.434181006,-0.221082679,-0.4314510065,-0.0419989835,0.130667591,-0.793389548,0,0.1188820385,0,1.007804681,-0.570681678,0.441263814,-0.4027289825,0.3060546,0.004264328,0.4860945775,-0.0110048265,2.181710457,0.254811871,0.232005272,0.2549482285,2.170506963,0,0.137470246,0.477604565,-0.170244534,1.1298888695,0.2275538355,-0.248661106,0.086919071,0.6132324725,-0.212850381,0.154744992,-1.1413889575,0.3796453065,0.741371675,-0.631096827,-1.7097322115,0.4360731865,-0.669035745,-0.013445029,0.067110476,0,0.548401574,0.367324599,1.080803385,0.4618944795,1.360396879,0.9135871585,-0.1521263965,-0.10678837,0.9283255065,0.082051723,0.129534836,0.445456496,0,0.119290636,0,-0.913652956,-0.5062380275,0.086780149,0.285244181,0.137307117,-0.0248833685,2.709197956,0.0983499329999999,0.4257341345,-0.466011815,-0.666969289,-0.3028494435,0.2269694735,-0.252289239,-0.203778544,-0.690753126,-0.1396913115,0.642773893,0.087656134,0,0.00973715200000004,0.5877633305,0.880819083,-0.221263036,1.420813722,-0.0419989835,-0.031797995,0.5213642615,-0.057728685,-0.068083616,-0.545915387,-0.211319674,0.01536699,0.00540452600000008,0.4275803795,0.123558782,-0.277545337,-0.239423954,0.417062931,-1.0107758445,0.9274412725,0.126066709,-0.598864689,0.364550523,-0.038829397,1.6341531185,-0.019509332,0.331850207,0.397724906,-0.648816531,-0.5018960805,0.055135072,0,0.0419989835,-0.344094482,0.638035041,0.040439335,0.010481199,0.7607624,-0.078656826,-0.0566050779999999,0.305832434,0.428425745,0.158914577,1.2720210255,-0.883418192,0.122411598,-0.1389643405,0,0.122383276,-0.068642965,0,0.0419989835,-0.3431898295,-0.133579875,-0.063832745,0.996898986,0.795231485,0.601491065,-0.387929534,-0.351856162,0.034850354,-0.2992267015,0,0,0,-0.023591695,-0.939340894,-0.0398668195,-0.124222458,0.533637699,-0.148614765,0.111631204,3.027604116,-0.00986364399999995,0.2590316955,-0.476048001,0,0.013084659,0.0822849505,-0.300278013,-0.190017522,-1.015302984,-0.465839168,-1.184782523,-0.1091507045,-0.451171336,-0.2028527985,0.894006238,0.013084659,-0.729262978,0,0.021421103,1.026881323,0.5455987015,0.5536672,0.92505746
"set65_27",0.040469267,0.19891422,1.5163333435,0.6553832025,0.4937602045,-0.3287335815,0.8284075235,-1.3628764965,-1.5055597785,0.105073299,-0.674294074,3.9375605055,1.5023084965,-0.099701126,-0.0304963275,0.573407257,0.062498923,-0.216576121,0.8220581585,0,0.5184773425,0,-0.324233054,0.05746454,0.2646970695,0.2365069625,-0.638081112,-0.0669881,-0.164587502,0.244066238,2.089737759,0.7598438245,-0.4001641,0.861877752,-0.335321144,0,0.0389450855,0.0306319434999999,0.779375823,1.315695428,-0.105548302,0.487287431,-0.232087144,1.7731825115,-1.184363334,-0.076059136,-1.718602993,-0.6565338215,1.851154189,-0.292340512,-0.447218894,0.5729651245,-0.5534548025,0.061520277,-0.195489642,0,1.587330504,0.836560231,0.547825931,1.1062455865,1.645858222,-1.419255149,0.156848835,1.3572560725,1.2289018335,0.2032990135,0.454091889,0.5390766565,0,0.0084606675,0,-1.6211858485,-0.556243338,0.068726364,0.742779044,0.0147728675,0.6515015955,1.595691152,1.0423130785,0.2152397735,-0.417617482,-0.134509676,0.814756051,1.1984621225,-0.101974069,-0.135497467,-0.489069643,-0.0484184155,0.9791922955,0.3317223225,0,-0.580468966,-0.775454777,0.2533350105,-0.255735316,-0.7748101725,0.062498923,-0.655176472,0.416699835,-0.474619253,-0.0205865255,0.181428335,0.126983567,-0.231194334,-1.096759966,-1.2081112865,-0.0554544345,-0.922241173,-0.542367617,1.0966007275,1.1310737175,0.1102693685,0.0152367405,0.373421095,-0.149341724,-0.648018502,3.2347232235,-0.139869285,1.061873675,1.987601516,-1.0953487005,-1.0815451145,0.1531507625,0,-0.062498923,-0.1698358985,0.911579452,-0.0385338490000001,0.861863037,1.7218164395,0.082538663,-0.506712461,0.1488746595,-0.613470718,0.9483895485,2.2660215345,-2.004352833,-0.078664843,-0.457081415,0,-0.3295226925,0.828024339,0,-0.062498923,2.1390873445,-0.119233999,-0.589737503,1.188891909,1.199153693,1.54714539,-1.593260077,-0.5598572055,0.232544126,0.3917989965,0,0,0,-0.051525203,-0.917146631,0.029004873,-0.124222458,-0.45452915,0.381659584,0.0713403445,3.5840602975,-0.231523581,-0.180579614,2.705496267,0,-0.1094495905,-0.516938593,-0.863113858,0.012117218,0.91275372,-0.0508752425,-1.2322796135,-0.4176767075,-1.226991002,1.3211493335,0.8275143465,-0.1094495905,-0.618585694,0,-0.183145172,2.1173987455,1.9725733345,-1.052523152,-0.240347037
"set65_26",0.052988865,0.192197467,1.7259979895,0.609288716,0.864624821,0.626340745,1.036954784,-1.348004246,-1.7306171775,0.130970018,-0.640702319,4.5420496695,1.5907579265,-0.253924969,0.1527092395,0.510823981,0.096090678,-0.21288249,0.7072081685,0,0.445931602,0,-0.450586204,0.180461516,0.131896834,0.5919398995,-0.698526138,0.032842796,-0.116119968,0.0120643845,2.539537526,0.808198455,-0.356955636,0.842637616,0.00646578099999995,0,0.021541257,0.179134896,0.525365308,1.6455438935,-0.193364757,0.445488495,-0.089062909,1.783133408,-1.270958818,0.08325868,-1.826798313,-0.426778579,2.773754686,-1.330027922,-0.510016384,0.5982459005,-0.2015988585,-0.0495318,-0.097405051,0,1.486120874,0.90847431,0.434312115,1.0498349615,1.748860969,-1.1671432575,0.649887282,1.7417000175,1.5910842475,0.262444353,0.462005721,0.658737051,0,0.078115683,0,-1.7946181265,-0.4419829125,0.112354985,0.841474747,0.0601249245,0.896442694,2.0520316305,1.1813355675,0.2305686815,-0.472292266,-0.1797987225,0.980193472,1.099184662,-0.201572352,-0.205940315,-0.370830021,-0.068867505,0.97836047,0.443558456,0,-0.640974061,-0.6284456095,0.408783355,-0.190387397,-0.5835241465,0.096090678,-0.719843667,0.437997946,-0.390011883,-0.070927598,0.280099862,0.16156832,-0.209789769,-0.803193031,-1.630055672,-0.0664613015,-0.5291317725,-0.2461364185,1.1540204715,0.976366728,0.284769317,0.084891756,0.671609243,-0.090080569,-0.987599259,3.365141592,0.138121624,1.025545498,2.043831486,-0.9919159195,-1.1008206845,0.134671883,0,-0.096090678,-0.263733686,1.081609585,-0.118397235,0.920833336,2.0441647145,0.142927614,-0.54912146,0.24814125,-0.5379478425,1.0302415835,2.591343733,-2.061899043,-0.043868925,-0.509518476,0,-0.1944339195,0.728783049,0,-0.096090678,2.137558611,-0.075496667,-0.578308094,1.3173579135,1.345180464,1.714474107,-1.714198587,-0.218549791,0.31354293,0.3905345905,0,0,0,-0.106779841,-1.047078521,0.112512076,-0.124222458,-0.37854443,0.54151189,0.4434558605,3.8568247445,-0.09221355,-0.502980478,2.778370845,0,-0.0640975335,-0.467437454,-1.035048538,0.119826665,1.124446913,-0.125685941,-1.181938541,-0.483056073,-1.502621044,1.323470928,0.9777613885,-0.0640975335,-0.9632102435,0,-0.0625451045,2.2811339335,2.02481305,-1.083019321,-0.175989241
"set65_25",0.060834331,0.182349173,1.6150798045,0.7044021115,0.524189382,0.271710452,0.895429534,-1.758280801,-1.6090303395,0.160704916,-0.6622311705,4.0660333905,1.2228207565,-0.161183996,0.036379229,0.4846708385,0.0745618265,-0.160938803,0.7493521525,0,0.600907917,0,-0.42277249,0.195868779,-0.0676178524999999,0.739037069,-0.489689447,0.000182698999999995,-0.3664730515,0.200064191,2.246084609,0.700068636,-0.521642785,0.9133261235,-0.126852709,0,-0.0120727245,-0.164687592,0.833805088,1.405992771,-0.1189826705,0.472517261,-0.063125304,1.722254739,-1.241232118,0.074919297,-1.847126524,-0.6501511995,2.2900244835,-0.198391566,-0.4987747535,0.3949228415,-0.518220633,0.003496255,-0.055181964,0,1.5494782335,0.873053033,0.311144262,1.1068831975,1.615064215,-1.404244548,0.5455099385,1.6391922055,1.150960901,0.129113765,0.410234645,0.597681053,0,0.0217312115,0,-1.483072321,-0.620353576,0.071840615,0.722941573,0.0128261505,0.9643999645,1.72709212,1.2583035285,0.0702415135,-0.543349907,-0.2134075475,0.679164234,0.8898360905,-0.189774031,-0.031898962,-0.479882199,-0.1814813395,0.822045823,0.2964727955,0,-0.6533933065,-0.8409932405,0.231725736,-0.153708025,-0.5790418555,0.0745618265,-0.621865949,0.3807041445,-0.438242098,-0.060524243,0.128172581,0.168369102,-0.507377764,-1.023653091,-1.5852311245,-0.0650340045,-0.8010843245,-0.284497094,0.8889384645,1.2234714475,0.2506660805,0.0285072845,0.577490286,-0.1530405375,-0.74667555,3.4021824765,-0.063091168,1.067301967,1.880317679,-1.099241959,-1.0510788615,0.0615950415000001,0,-0.0745618265,-0.3432503115,1.023753634,-0.1554791175,1.025880573,2.233081539,0.055962004,-0.550007971,0.0383654770000001,-0.609071729,0.94618194,2.3844145125,-2.118087627,0.068799248,-0.5382891405,0,-0.3334739285,0.724173986,0,-0.0745618265,2.203740451,0.053518647,-0.686306613,1.335253199,1.1609778325,1.6268254365,-1.818019039,-0.4420033215,0.175627463,0.5469864105,0,0,0,-0.060255832,-1.032522856,0.074653176,-0.124222458,-0.6252000765,0.3107729585,0.275541413,3.664350146,-0.204982493,0.037916619,2.518546321,0,-0.1113963075,-0.4045872275,-0.904878407,-0.048487107,1.063284835,-0.103146836,-1.192341896,-0.5062459465,-1.2204130845,1.1581867125,0.846606523,-0.1113963075,-0.369694063,0,-0.1322008425,2.19299601,1.8965516915,-1.058054583,-0.262643044
