"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set19_168",0.409880153,0.289269785,0.089602071,-0.073508398,0.6888954615,0.7350388885,0.9051176755,-0.6013913095,-0.457903904,0,0.247548447,0.567161154,3.613857499,3.871112246,0.2850986325,0.313180761,-1.497169603,0,-1.3816904795,0,0.043177709,0,-0.659261886,-0.579627558,-0.4782987245,2.9913995495,0.07388334,0.156612557,-0.046871392,-0.271419142,0.1472116845,0,0,-0.571841403,0.182752781,0,0.222366869,0.096019097,0.261755017,2.512521354,0.733777379,-0.309709176,-1.172874311,1.7504510175,-0.168325776,0.406541336,-0.0231425315,-1.924295211,1.678805855,-0.203412134,-0.480827279,-0.0616548295,0.0273745975,0.525204098,-0.07071117,0.341531697,-0.2718001775,0.327453118,0.946248399,-0.0155601075,0.5466362845,0.3663613765,0.4493620495,-0.4752812815,2.3816973615,-5.7781534365,0.056349006,-0.0798171505,0,0.108104303,0,-1.1629253665,0.2331050955,0.015270741,-0.0395838965,0.125407508,0.10625245,2.19344623,-0.783571831,-0.433419233,1.171457466,-0.6543323905,0.097095894,-0.434346409,0,0,-0.2279471535,0.630980378,-1.0406815285,1.575476572,0,-0.4069101945,-0.505018673,0.8613535445,-0.096019097,-0.3580501175,0.15152935,0.732951452,-0.449249086,0.054280235,-0.0071222925,0.269682014,0.074662835,0.069751382,-0.248823346,0,0.329556836,0.243204908,-0.402396013,0.124400737,-0.7062087295,0.7476073735,-0.055066638,0.236428014,-0.0739776385,0.040558084,0.548925365,0.206932004,-0.2106191435,3.3072270135,-1.2749105315,0.0672949295,0.0682284625,0,-0.165910264,0.6135213515,-0.165433698,-0.1883476515,-0.656961593,0.9289978745,0.145708777,0.161353745,-0.4827637535,0.057259936,-0.4284630105,0.5020506635,0.300768608,-0.111043636,-0.055510253,0,0.79180292,0.205231865,0,-0.15152935,0.038593952,-0.903896913,-0.042043053,0.479857821,1.634089988,1.712079668,0,-0.209792406,0,0.6315306285,0,0,0,0,0,-0.4933083795,-0.096019097,-0.239364084,-1.349391731,0.282328508,2.662634089,0.024170412,-0.2652357875,0.319903611,0,-0.403868079,0.469591822,-0.372258486,-0.252329902,1.122252987,0.3138580715,-0.0438317625,0.242765413,-0.012085206,0,0.9496871765,0.029388411,-3.6459932195,0,-0.1497931855,0.6234664245,0.435388539,-0.187994101,-0.573531729
"set38_418",0.036959468,0.012072047,0.036959468,-0.523604674,-1.039743573,-0.512826484,-0.592558539,-0.7570654265,-1.173787452,0,-0.154995926,1.940457394,1.416337792,0.311679996,0.852514675,-0.144934484,-4.498384611,0,-1.922939449,0,-0.00765053550000001,0,-0.738716944,-0.3871312805,0.6015496175,0.9094155395,0.146145644,0.090175287,0.118060669,0.9117011655,-0.7741406935,0,0,-0.408176133,-1.217357792,0,0.4953882035,0.036959468,0.119254486,-0.1476584885,0.162534256,0.522218716,0.091353823,1.131522445,-0.286629992,-0.355057749,1.8602655845,-0.310440459,-0.773718514,0.167860859,0.776906821,-0.5203493345,0.116238599,1.012165582,-0.395008656,0,-0.3511076215,0.0947867,1.710084241,-0.248247692,-0.297403899,-0.1769855565,0.022116854,0.275244411,0.1614093555,-3.452420456,-0.596537922,-0.086192716,0,0.0286606745,0,1.2028402695,-0.220966709,-0.04699082,-0.145863719,0.043808328,-0.05193294,0.6204480965,0.437841357,0.011771904,0.327012899,-0.2743966365,-0.6911634425,1.591675983,-0.08965181,0,0.079465888,0.21017678,0.975712254,0.0784541205000001,0,0.3620424255,0.7333558415,-0.3941931445,0.175923875,0.6520832955,-0.191955394,-0.053198816,-0.94598227,-0.049347199,-0.127795795,0.009870279,0.113498538,0.351967506,-0.074409882,0.1526337105,0.048622266,-0.610569851,-0.1803116865,-0.64249381,0.1077724875,-0.5079393155,-0.2228709505,-0.414021396,-0.3260836915,-0.017725501,0.3263124655,0.230620815,0.5933721955,1.5826879565,-1.854986716,0.168690719,-0.2042731345,0,0.191955394,-0.5867352825,-0.143557176,0.356005365,-0.177358767,-0.507760812,0,-0.431185178,-0.255164314,0.1439942345,0.141037679,-0.874673761,0.45115778,0,0.228914862,0,2.536911086,0.035311453,0,0.191955394,0.617750194,-0.72177434,0.129051921,0.3592441525,0.669348671,1.0706482,0,0.6399921505,0,-0.0376360565,0,0,0,0,0,-0.1468677505,-0.036959468,0.3537753505,0.3541508665,-0.2303612515,1.9965685635,-0.016597587,-0.5673684295,0.00175030999999998,0,0.00684886,0.251089433,-0.252670845,0.031129111,1.603804436,0.072819643,-0.072819643,0.242765413,0.0082987935,0,-0.48707151,0.00684886,-0.388115294,0,0.045534818,-0.042804959,-0.208063919,-0.3146817525,-0.362024432
"set65_466",-0.023673496,0.089065023,-0.0203628445,0.119982939,-0.269217006,-0.443830762,-0.086651085,-0.2727517885,-1.805428253,0.055708266,-0.0610276455,2.8742049385,2.9460424265,0.469727488,0.496165461,-0.0387618075,0.5857108245,-0.006759714,-0.859280227,0,-0.097831078,0,-1.169844899,-1.5006978305,1.891450386,2.4562599765,0.015207809,-0.031190321,0.8940779675,0.201931034,-0.0861750695,1.052583459,-0.107304323,-0.1399757715,-0.877140999,0,0.3259968365,1.569200117,-0.03582339,0.974138793,0.0130692345,0.71645767,0.115888992,1.819825078,0.04629953,0.020086336,2.066258903,-0.3142532265,1.3363901935,0.203077896,-0.14292732,0.795651095,1.558220672,-0.096016752,0.024210557,0,-0.3414954395,0.166581583,2.586224387,-0.6718733495,0.776256259,1.6143045815,-0.001597023,1.352679411,1.357410628,-3.853408632,-0.506081774,0.0669969695,0,0.0103874715,0,-0.283222924,-0.2555690705,-0.062508145,1.059517125,0.219904903,0.9275054275,1.2095214375,0.6824585195,-0.8204230955,0.585081182,-0.0127041365,-0.560880997,2.4236440275,-0.068799886,-0.196510871,0.253150243,0.770909731,0.2530665855,-0.0300905965,0,-0.0970646895,0.2414815465,0.075727541,0.4285075,-0.3959804725,-0.1570467425,-0.177407609,-1.0221672805,-0.027784496,-0.053639855,0.406507078,0.61025136,0.461054058,-0.038148916,1.1792022705,0.213334767,-0.677955259,-0.6676302095,-0.573278338,0.0752842715,0.1005887595,-0.5369358775,-0.8164412595,0.0971164425,0.043275515,0.739907567,-0.045421636,0.5789183845,2.6564376065,-2.2061058535,0.5468634315,-0.3221710545,0,0.1570467425,-0.1079547655,-0.536955233,0.9862428895,0.230788167,0.902730785,0.277311379,-0.538821706,-0.6794751115,0.0878033175,0.326839132,-0.6357176325,1.759913817,-0.255024339,1.2671218755,0,0.510513989,0.101020789,0,0.1570467425,1.002326331,-0.177527637,-0.014323876,0.039701746,1.140878181,1.001836598,0.653594206,-0.7330861465,0.072164081,0.2516051765,0,0,0,0.031897596,0.057573814,-0.172641903,-0.096019097,0.605656617,0.957728494,1.2626104535,2.9802462735,-0.171263251,-3.1723979245,-0.602515315,0,0.123885806,0.3266830935,-0.129554439,0.190471161,0.787041055,0.313092246,0.0026858,0.267060842,-0.7520731275,-0.029555632,0.005857745,0.123885806,-0.784721785,0,0.147589004,0.6696708545,0.158724677,1.6046655195,-0.954206705
"set65_481",0.115434076,0.178463373,-0.2275735165,-0.395880026,0.1640619385,-0.2432384105,0.2744930715,-0.266187538,-0.917421024,0.064306894,-0.154817557,3.143878398,2.580141737,-0.000680931999999967,0.613122752,-0.418550324,0.491920913,0.088990168,-0.7345258645,0,-0.033856422,0,-1.263862324,-1.3763669595,0.3145144075,3.0074918925,0.021499067,0.014133335,0.897800818,0.185977326,0.2059563125,0.619150329,-0.130516734,-0.45577133,-0.966757408,0,0.4200847385,1.145100698,0.184974254,1.1213575815,0.127771093,0.734078836,-0.04931102,1.65030897,-0.082078611,0.239135399,2.2774300345,0.303235752,1.0790573205,0.450950536,-0.5584620485,0.333069255,2.4231535345,-0.210841213,-0.199440487,0,-0.6695409685,-0.044373836,2.651699168,-0.796155295,0.999685967,-0.0910647645,-0.046341807,1.3318205835,1.91587926,-4.556243499,-0.788599058,0.0422834055,0,-0.0048439205,0,-0.2839077565,0.212719193,-0.395816673,0.62693655,0.212558352,0.7294430385,0.5740972005,0.358105914,-1.3702618475,1.183971491,0.102330518,-0.983938379,2.328379223,-0.086479926,-0.209377425,0.389527469,0.788538264,-0.2369746875,0.0420081955000001,0,-0.1158390425,0.0613587919999999,0.4778060975,0.606342871,-0.876075505,-0.250836654,0.030342632,-1.539248709,0.125188914,-0.05449241,0.3621052,0.807551642,0.227101511,-0.08032722,1.2784513735,0.077351422,-0.8782576795,-0.641260655,-1.2021125595,-0.4388321025,0.4798355475,-0.5521672695,-1.0693032815,0.0282832525,0.203803713,0.908880386,0.08295876,0.4825766135,2.4137471615,-2.1934486405,0.665752818,-0.298310576,0,0.250836654,-0.271303334,-0.733578653,1.078593727,0.4167713,1.7030488065,0.193609489,-0.265467886,-0.6933684185,0.239732873,0.421421859,-0.5117748455,1.462342121,-0.086821625,1.557964657,0,0.484818022,0.328987598,0,0.250836654,0.76036187,0.085274756,0.075542374,0.630752272,1.003335908,1.246738755,0.740664639,-0.0228204415,-0.327868359,0.5110910045,0,0,0,0.040732235,0.096413684,-0.2437699865,-0.096019097,0.951902864,1.054418047,0.8739722115,2.9992264455,-0.201726035,-1.215858795,-0.753063087,0,0.116539255,0.650088143,0.0172557720000001,0.109637244,0.647669734,0.379244105,0.003538355,0.369276432,0.00647473949999999,-0.264719722,0.3545895415,0.116539255,-0.5940364075,0,0.048075413,0.8545737185,-0.290059379,-0.065951817,-0.894342728
"set38_677",-0.001596771,0.028269616,-0.001596771,-0.513118084,0.3842749965,0.6111318205,0.4461401585,-0.908339737,-1.0392282685,0,-0.114619199,1.661539242,3.983163463,1.420889574,0.8463809505,0.052601475,-4.245952781,0,-1.737629645,0,0.0879753265,0,-0.287585376,-0.5146667665,0.640586228,0.9470641055,0.429298769,0.030588201,0.459679296,0.809984409,0.4700741205,0,0,-0.422169512,-1.291700284,0,0.3162184505,-0.001596771,0.229700091,1.0927999665,0.433115235,0.630492851,0.200768326,1.052130315,0.45011788,-0.319373241,1.5580759365,-0.808484595,0.718727629,0.694979314,-0.2846453835,-0.857117241,-0.118118114,0.881226469,-0.600420484,0,-0.2621365195,0.122919084,1.7313288,0.1456570615,1.024989113,0.013571784,-0.2680986125,0.359446806,1.283978794,-3.298390307,-0.183332942,-0.378667812,0,0.0464437045,0,-0.0210737834999999,-0.2686384915,0.035280139,-0.213248661,-0.0258706035,-0.139361246,1.539968039,0.4741636685,0.7291923735,0.327012899,-0.3152441695,-0.7503533775,1.358196387,1.254026946,0,0.1402338095,-0.084153734,1.299311167,0.1598666345,0,-0.0996486975,0.8467858115,0.859881692,0.284991697,0.330425398,-0.113022428,0.163053857,-1.035350127,0.095312806,0.08756323,-0.041033794,0.288218109,0.351967506,-0.039593556,0.111346519,-0.0435054045,-0.7774403135,0.0275064355000001,-0.3558233295,-1.035106939,0.746135521,-0.1330347285,-0.2487219175,-0.1017000765,0.210228276,1.4176991015,0.133719625,0.579322114,1.482087302,-0.299894778,0.16115637,-0.0734656755,0,0.113022428,-0.6792660435,-0.303612135,0.310576639,-0.080791265,0.6951668105,0,-0.337714905,0.0298537685,0.1400957325,-0.1910073835,0.4180614125,0.342563493,0,0.111425657,0,2.3606674695,-1.064507713,0,0.113022428,0.5181018695,-0.599063747,0.099256062,0.7079809335,0.537843273,0.611761708,0,0.7456319795,0,-0.395144631,0,0,0,0,0,-0.0977283275,0.001596771,0.4771196195,0.2996811955,-0.270366203,2.7987736705,0.096080951,-0.5777043035,-0.127546486,0,-0.0242738325,0.247627234,0.023972781,-0.126811994,1.508270098,0.12974546,-0.12974546,0.242765413,-0.0480404755,0,0.7158561125,-0.0242738325,-1.6840885755,0,-0.2157144535,1.006438726,-0.444084269,-0.3638309465,0.311066292
"set65_483",-0.116900075,0.016655368,-0.0399003695,-0.409953739,0.089740103,-0.487425967,0.221837918,-0.015288772,-0.8009703125,0.010960678,-0.054898647,3.0843201065,2.7223165625,0.160831164,0.491091048,-0.143725587,0.591839823,-0.032929676,-1.109458519,0,0.003110033,0,-1.21899684,-1.516672434,0.3368857175,3.136570269,0.051394736,0.125905547,1.183591338,-0.031773665,0.2518599365,0.6347877705,-0.002219838,-0.233568366,-0.851383506,0,0.1820419715,1.2175588605,0.121799432,1.194985059,-0.00533785400000003,0.841342261,0.132684395,1.702982808,-0.104580655,-0.083357892,2.8225880345,0.03547677,1.128844781,0.260785603,-0.522953607,0.535412463,2.377499704,-0.058143104,-0.011904854,0,-0.6038424715,0.083610661,2.84855882,-0.443681026,0.976951647,0.3221317445,0.0325032215,1.178357419,1.7118454915,-4.8168184135,-0.908251303,0.2832703315,0,0.0056794045,0,-0.360811115,0.498396962,-0.463275434,0.755777276,0.2458263365,0.7515628395,0.8134583215,0.3442394485,-1.227460336,1.104822537,0.1820323985,-0.4541088485,2.4004482945,-0.065011463,-0.207006287,0.3514712665,0.820487288,-0.0743378765,-0.1220197255,0,-0.327879805,0.226721278,0.4292813815,0.52743095,-0.4181481685,-0.150917744,-0.043429238,-1.237332034,-0.019378353,-0.1676956945,0.305346777,0.807500611,0.154504415,0.011004075,1.1891629125,0.2117718675,-0.5065956805,-0.494598893,-0.9252533585,-0.3162816615,0.4635947885,-0.5416439445,-0.809618451,0.160886163,0.006183881,0.7786327365,0.10510041,0.5124403525,2.4892310985,-1.865070911,0.7194124835,-0.095737841,0,0.150917744,-0.230327181,-0.658448818,0.966088159,0.224291504,0.718292471,0.205234227,-0.171692361,-0.561579475,0.336318453,0.307504219,-0.364152434,1.511049304,-0.049485781,1.194502231,0,0.5886162915,0.556627966,0,0.150917744,0.822691916,-0.063085401,0.267056479,0.51352423,1.10062313,1.341240652,0.722866032,-0.1131070305,-0.242324468,0.31818645,0,0,0,0.0638618,0.264364687,-0.0879649705,-0.096019097,0.885909658,0.922347564,0.8215534325,3.1461861615,-0.180679385,-1.4863983155,-0.728598517,0,0.1498072395,0.52171932,-0.109362161,0.239495444,0.659510476,0.1285063675,0.1167416395,0.19510284,-0.27731717,-0.152103721,0.352795151,0.1498072395,-0.873619835,0,0.388045925,0.787003959,-0.208909837,0.0310152275,-0.907861556
"set38_678",-0.051514763,0.024242534,-0.051514763,-0.541641374,0.4730466925,0.8172769715,0.8461519455,-0.973978211,-0.9080959515,0,-0.161774849,0.221106369,3.564922978,2.252327296,0.7279220085,-0.162116659,-4.350461661,0,-0.93788867,0,0.00222657899999998,0,-0.390770952,-0.3356569885,0.148952993,0.710089575,0.248545812,0.101571864,0.015341277,1.095647506,0.6167574465,0,0,-0.450266327,-1.451928726,0,0.2215378245,-0.051514763,-0.012629717,1.331749703,0.223334199,0.432423269,0.392002912,0.8025398765,0.312451016,-0.242315751,1.284510526,-1.164540545,0.5695347415,0.333147848,0.0974293445000001,-0.458155376,-0.458054114,0.702311087,-0.600229932,0,-0.539785992,-0.160508133,1.387940361,-0.2362356205,0.9269783175,-0.395812905,-0.4414539295,0.0049483625,1.197590911,-3.167243959,0.009910154,-0.595599593,0,-0.1716096185,0,-0.3323511705,-0.2585866675,-0.098485434,-0.313188654,-0.0447792935,-0.182422024,1.122282647,0.2336047385,0.137805047,0.327012899,-0.4566179795,-1.0173259375,1.301816591,1.394310155,0,0.0222372625,-0.172032081,0.600853506,-0.2944579145,0,0.3184458775,0.0152353289999999,1.0165716275,0.528603754,-0.593747135,-0.110260086,0.095254054,-0.861318783,-0.015711869,0.038425368,0.128775866,-0.027845446,0.351967506,-0.200740257,0.239059564,-0.1510140025,-0.8807880285,-0.7530840065,-0.591104519,-1.1104204395,0.9028254565,-0.4302158015,-0.1622699395,-0.2658732255,0.238626035,1.4168485345,-0.077176614,0.509421698,1.199628991,-0.5638852545,0.1102618865,-0.5145386535,0,0.110260086,-0.6313496935,-0.369477634,0.0765265425,-0.218860079,0.9695631815,0,-0.33007727,-0.6498787925,-0.004035612,-0.4115535345,0.3851539815,0.361143825,0,0.058745323,0,2.2153813555,-0.90016689,0,0.110260086,0.246623356,-0.601754493,-0.026869994,1.2445390885,0.2947654545,0.4578846815,0,0.0977622825,0,-0.0529149295,0,0,0,0,0,-0.059474154,0.051514763,0.229107389,0.242604567,-0.469954233,2.1432353855,-0.240189711,-0.2793089655,-0.061740502,0,0.0067354695,0.326084071,0.031513511,-0.124149739,1.460239218,0.103547288,-0.103547288,0.242765413,0.1200948555,0,0.9902524835,0.0067354695,-1.5507306355,0,-0.1238672345,1.012291163,-0.725447961,-0.6478088505,0.0373969510000001
"set38_680",-0.005730186,0.122284569,-0.005730186,-0.525543021,0.3183655945,0.5217319815,0.6462159965,-0.775652604,-0.8345512205,0,-0.198360433,0.253292566,2.856432636,1.370110092,0.7405735575,-0.303808887,-4.359410157,0,-1.177642544,0,-0.0122477035,0,-0.26407971,-0.433671772,0.356808019,0.940870982,0.282561456,0.042410274,-0.042821691,0.799216104,0.3258498195,0,0,-0.460487198,-1.42334588,0,0.375633588,-0.005730186,0.049557935,0.726707934,0.242795074,0.548707382,0.451703057,0.7048168495,0.421126533,-0.32992062,1.298685593,-0.527751005,0.136161426,0.705586038,0.283470836,-0.639794113,-0.073818938,0.736877035,-0.568879072,0,-0.549685514,-0.066883154,1.702346615,-0.2574393105,0.4991978765,-0.361037851,-0.338925332,0.1677570575,0.752919723,-2.866422235,-0.051647726,-0.314580533,0,-0.0269764,0,-0.1627812115,-0.2356919285,-0.069148825,-0.191428021,-0.0394815665,-0.0576280105,1.0406144985,0.2559322755,0.1469577785,0.327012899,-0.4339801945,-0.8228559135,1.404101106,1.34847082,0,0.0655350545,-0.158255564,0.81126557,-0.12657824,0,0.098233773,0.235511542,0.637817036,0.389287476,-0.2699856935,-0.192630247,0.218677767,-1.190454754,0.054280235,0.073965663,0.216296304,-0.102052952,0.351967506,-0.088628109,0.1650465875,-0.1418471715,-0.523216696,-0.776111179,-0.453095364,-0.71179831,0.524070865,-0.247707291,-0.4132816885,-0.19359799,0.311533439,1.09028628,0.106819917,0.4510189565,0.8432563525,-0.7784578565,0.0740883825,-0.175486094,0,0.192630247,-0.5154344585,-0.466053618,-0.0350178765,-0.111236941,0.604642578,0,-0.290242982,-0.4478412525,-0.035965109,-0.4953527515,0.1738614135,0.459972638,0,0.186900061,0,2.3528887385,-0.838177465,0,0.192630247,0.224279569,-0.618322351,0.003206405,0.7827986885,0.228848858,0.502715895,0,0.361121799,0,-0.030300503,0,0,0,0,0,-0.17142511,0.005730186,0.176093504,0.11811285,-0.3841235955,1.739069657,-0.042492428,-0.508777166,-0.122566324,0,-0.0337513805,0.367606152,-0.054414659,-0.127894011,1.518724264,0.003580115,-0.003580115,0.242765413,0.021246214,0,0.62533188,-0.0337513805,-0.988483039,0,0.00687079350000001,0.738295112,-0.530900374,-0.199367643,0.175252005
"set38_679",-0.0113222535,0.092169541,-0.0113222535,-0.584241962,0.3541290895,0.7112693555,0.5183648465,-0.851014928,-0.9683308215,0,-0.185787794,1.045533107,3.543722298,1.648088751,0.754870702,-0.2069285105,-4.3524286605,0,-1.3083300775,0,0.0710932025,0,-0.331663468,-0.311538982,0.41995175,0.8469061255,0.404282559,0.147557091,0.2475369275,0.8641880015,0.5359040415,0,0,-0.4607351265,-1.311590822,0,0.1698104545,-0.0113222535,0.239967623,1.099955152,0.2257040525,0.579130135,0.517227353,0.9119749505,0.278727284,-0.31302198,1.392902837,-0.8267967995,0.4153303845,0.371405159,-0.04462973,-0.7414211975,-0.0604067325,0.726043276,-0.629893195,0,-0.4437324825,0.00230755199999999,1.667659733,-0.1239223135,0.845390858,-0.364460714,-0.3691111625,0.1604139425,1.186056725,-3.155859243,-0.065544218,-0.4049643025,0,-0.1107574535,0,-0.2072396195,-0.2716024295,0.028615518,-0.1991997055,-0.054859027,-0.081425114,1.3347253725,0.3793363985,0.3434197735,0.327012899,-0.404076937,-0.7306952405,1.3609188955,1.452898794,0,0.045585497,-0.0820395705,0.8469240865,-0.108524421,0,0.042398583,0.405415535,0.820523592,0.4005121975,-0.1646029345,-0.1744655405,0.209453667,-1.183570138,0.094029557,0.1598829,0.071257664,0.098074844,0.351967506,-0.160715901,0.141992289,-0.1218312775,-0.7765090575,-0.52102658,-0.453305167,-0.847966177,0.706777421,-0.389322811,-0.381145601,-0.262186439,0.208060363,1.3882725855,0.136390852,0.483632238,1.295819975,-0.551488928,0.09972545,-0.4387884765,0,0.1744655405,-0.6817818395,-0.39230588,0.0793972515,-0.4001052795,0.7916425015,0,-0.340320809,-0.3105482275,-0.0160122605,-0.373716753,0.2990020865,0.440447088,0,0.163143287,0,2.2335929905,-0.970335979,0,0.1744655405,0.347779579,-0.736466967,-0.031877223,0.998269522,0.479279304,0.698254253,0,0.267352878,0,-0.1392802605,0,0,0,0,0,-0.100686995,0.0113222535,0.212085765,0.163998258,-0.4745633095,2.430694867,-0.1988704,-0.2432466665,-0.10752018,0,-0.0435367735,0.3893852725,0.0474129705,-0.16453811,1.429984833,0.042277862,-0.042277862,0.242765413,0.0994352,0,0.8123318035,-0.0435367735,-1.607338,0,-0.1327601015,1.038503825,-0.597714986,-0.448436988,0.123475324
"set38_193",0.041288028,0.604151887,0.041288028,-0.575704492,-1.959976788,-0.708938494,-0.624848927,-0.5677054995,-0.7122001865,0,0.053009395,0.899082338,0.693564764,-0.14141186,0.85206914,-0.34195489,-4.251199998,0,-1.034246248,0,-0.08924563,0,-1.119538457,-0.7585148995,0.8796803585,0.7683156885,0.19005169,0.131818851,0.182327269,0.440326359,-1.160019106,0,0,-0.243160517,-1.08801139,0,0.5790489635,0.041288028,-0.149088765,-0.247765898,-0.088259248,0.625725961,0.075216537,1.161922125,-0.135939909,-0.733016619,1.6979064935,0.0634594085,-0.673211329,-0.522846697,1.558623492,-0.7319610165,-0.6551785095,0.397263688,-0.212550657,0,-0.3304927615,-0.240580497,1.975521908,-0.246604046,-1.400034497,0.3749371445,0.13224223,-0.1523243645,-0.4836044,-3.1782096865,-0.015694946,-0.350109236,0,0.0415505255,0,0.828770593,-0.00920035599999997,0.119805981,-0.2758883845,0.0924041035,-0.2264442165,-0.0278549709999999,0.1301906975,-0.889624625,0.327012899,0.027401449,-0.0127549635,1.133241511,0.010174919,0,0.009379131,0.258813004,1.0287209675,-0.0786088695,0,0.611208639,0.069988122,-0.976837017,0.455944669,0.2059713335,0.011721367,0.421505491,-1.091041842,0.097912515,-0.1184222905,-0.076593071,0.074662835,0.351967506,-0.354506946,0.341899697,-0.1751207045,-0.2836662005,-0.8419593005,-0.219254936,0.555155018,-1.090583188,-0.0570113075,0.0332707815000001,-0.108712788,0.068172653,-0.0175584575,0.694988351,0.5540577895,1.5260774595,-2.5124414575,-0.0203892955,-0.1687063415,0,-0.011721367,0.08043298,-0.244043341,-0.334796474,0.746718747,-0.704373238,0,-0.044211479,-1.0184026495,-0.3117422235,-0.320637086,-1.200993446,0.058536717,0,0.029566661,0,2.4437753525,0.338091977,0,-0.011721367,0.6341914955,-0.609728661,0.070899937,-0.242655072,0.606978788,0.774350174,0,-0.3116684135,0,0.2541460655,0,0,0,0,0,0.0776307925,-0.041288028,-0.3945678975,0.3760448615,0.023205909,1.1028369135,0.000524995,-0.506478647,0.155036801,0,0.0511160755,-0.092043039,0.452369326,-0.043060247,1.665324085,0.1133258265,-0.1133258265,0.242765413,-0.0002624975,0,-0.683683936,0.0511160755,-0.0862285575000001,0,0.129509888,-0.457999176,-0.700259495,-0.5616468065,-0.552569836
