"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set19_428",-0.132411534,0.174771524,0.126979329,0.621311873,0.260105568,0.235586131,0.795988805,-1.25041949,0.034581536,0,0.0692763024999999,0.3295190815,0.7255623835,1.169136554,0.404521462,0.3388131245,0.1984132735,0,0.195558197,0,0.000944280500000005,0,-0.542932695,-0.2264574325,0.1840827365,0.133438483,0.294873591,0,0.0951568024999999,-0.5789277155,0.287649475,0,0,0.2423288825,0.396389436,0,-0.618335019,0,0,0.2342473935,-0.5025009685,0.141493357,0.149118991,0.0951727335,0.234387345,-0.049566618,0.0692763024999999,-0.584568277,0.47989012,-0.156144119,-0.443110986,0.0941890245,0.1147964885,-0.033057809,0.233252844,0.128918629,0,0,0.429360872,-0.0913223435,0.162618911,0.37848919,0.1993065995,0.215971375,0.3561916765,0.549797406,0,0.1277552,0,0,0,-0.237807626,0.0692763024999999,-0.174334421,0,0,0.048692529,0.2323588325,-0.016507691,0.025432812,1.786648855,0.13273367,0.2327416295,-0.0692763024999999,0,0,0.160598646,-0.15495879,0.091799647,0.126395943,0,-0.015123612,0.196781868,0.162618911,0,0.1313593135,0.0692763024999999,0.014444596,0.0692763024999999,0,0,0.157669974,0,-0.129697401,-1.004513009,0,0.097385058,0.163465327,0.2428573505,0.163465327,-0.162618911,0.162618911,0.265343551,0.138552605,0,0,0.235586131,0.051421752,0,0.190345467,-1.577495354,0.005315454,0.1970315025,0,0.2143597935,0.480083583,0,0.025432812,0.034994679,0.137186099,0.11876482,-0.197775537,0.03154489,-0.133221977,0.416109046,0.562776442,-0.124727964,-0.208613757,-0.0692763024999999,0,-0.393216185,0,0,-0.0692763024999999,0.4427148005,0.210892367,0,0.258747916,0.1935727655,0.3093723395,0,0,0,-0.091799647,0,0,0,0,0,-1.7447929715,0,0.050865624,0.645619256,0.113149475,0.4611738975,0,-0.153335806,0,0,0.125291716,-0.3493136845,0.024024921,0.212327711,-0.863645424,-0.317309578,0,0,0,0,0.137186099,0,-0.461766558,0,0.226309127,0.333986163,0,0,-0.577248878
"set19_403",-0.083601288,0.038540453,-0.00140421499999999,0.279892189,0.5986437275,0.3923110505,0.8457330015,-0.87281525,0.028580942,0,0.0396942299999999,-0.198772543,1.541736041,2.121067832,0.392607468,0.2151483,0.209464807,0,0.102357287,0,0.0440246235,0,-0.088209689,-0.0762263569999999,0.0431895775,-0.2181163745,0.140163763,0,-0.0169231700000001,-0.360008529,0.435350933,0,0,0.288839007,0.753065981,0,0.327763356,0,0,0.5395792305,-0.225126105,0.0382232140000001,-0.312927064,0.0789254955,0.349603527,-0.251289079,0.0396942299999999,-1.060533916,0.5675781365,-0.163497367,-0.545517185,0.167514592,-0.2883665585,-0.132127354,0.127293621,0.016296615,0,0,0.393409715,-0.15312816,0.456964996,0.1883402355,0.000867773500000009,0.1679421795,0.555597054,0.546770488,0,0.13190815,0,0,0,-0.397295006,0.0396942299999999,-0.050254341,0,0,-0.0163820745,0.4515299835,-0.027146129,0.084360508,0.671455779,0.267188551,0.246903052,-0.0396942299999999,0,0,0.19282239,-0.358728197,0.2179547835,-0.00704413399999998,0,0.00673228100000001,0.200245203,0.456964996,0,0.110675551,0.0396942299999999,0.027394754,0.0396942299999999,0,0,0.144748974,0,-0.248626226,-0.302369881,0,-0.032764149,0.207208822,0.1408338735,0.207208822,-0.456964996,0.456964996,0.22933816,0.0793884599999999,0,0,0.3923110505,-0.08431595,0,0.157850991,-0.620842295,0.107660669,0.17160238,0,0.438367569,0.409541933,0,0.084360508,0.0051738830000001,0.372604488,-0.023213833,-0.095855115,0.1259302845,-0.0273705535,0.45663869,0.4896049745,-0.067600361,-0.00095119199999999,-0.0396942299999999,0,-0.497228034,0,0,-0.0396942299999999,0.234795753,0.254626848,0,0.370810507,0.098632058,0.15358665,0,0,0,-0.2179547835,0,0,0,0,0,-0.152004871,0,0.168721016,0.695132639,-0.035589513,0.5378874735,0,-0.195781868,0,0,-0.0750974210000001,-0.115429629,0.069774683,0.082083766,-0.520784484,-0.223462123,0,0,0,0,0.372604488,0,-0.708130183,0,0.389727126,0.412017613,0,0,-0.242543743
"set19_476",-0.024914129,0.09639568,0.130866793,0.185279055,0.1745036985,0.3932371435,0.3266428735,-1.0144568065,0.211981126,0,0.292447981,-0.0435086395000002,2.9095825995,2.382086836,0.595081524,0.307766632,0.461030912,0,-0.5950920995,0,0.037642905,0,-0.471324728,-0.538173491,-0.0468801589999999,0.60385917,0.337657462,0,0.682971825,-0.7525917485,0.6351235535,0,0,0.341216944,0.30810111,0,-0.385113186,0,0,0.514594414,-0.731159839,0.107008895,0.291154175,0.1304005925,-0.074749485,0.176787161,0.292447981,-1.191043418,1.112601406,0.255153103,-0.612941483,-0.0911485394999999,-2.1151358475,-0.032039537,0.069208591,0.027651366,0,0,0.619960388,0.0822231259999999,0.522191719,0.810674998,0.31306294,-0.923499939,0.7369214435,-0.307610212999999,0,0.19606236,0,0,0,-0.5168238545,0.292447981,0.065174918,0,0,0.1261615525,0.439308604,-0.436829502,0.2132837075,0.16819236,0.593457375,0.4937474225,-0.292447981,0,0,0.210224855,0.00841745899999999,0.510012395,0.237943494,0,0.088369158,0.909399244,0.522191719,0,0.6503134615,0.292447981,0.214522391,0.292447981,0,0,-0.031123309,0,0.046461793,-0.70154766,0,0.252323105,0.2012994415,0.623597307,0.2012994415,-0.522191719,0.522191719,-0.158489932,0.584895962,0,0,0.3932371435,0.113750316,0,0.260801185,-0.343986014,0.060151376,0.488510341,0,-0.263136232,0.4098259035,0,0.2132837075,-0.258651351,0.3089080115,0.034666916,-0.067316726,0.474241003,0.0931831835,0.602349575,0.3278330025,-0.177851246,-0.100793258,-0.292447981,0,1.178694615,0,0,-0.292447981,0.1999754905,0.130012253,0,-0.2455252825,0.2147297245,-0.1752143835,0,0,0,-0.510012395,0,0,0,0,0,-1.31441631,0,0.426567415,0.657280695,0.43808717,1.1363082925,0,-0.675122139,0,0,0.044839007,-0.705762088,0.620235019,-0.315962726,-0.716881684,-0.240201048,0,0,0,0,0.3089080115,0,-0.774350539,0,0.19468304,0.4775662755,0,0,-0.678341893
"set19_478",-0.01828256,0.282734876,-0.021332051,0.00360502200000001,-0.308258017,-0.283923594,-0.310792734,-0.659788951,0.092682451,0,-0.021659133,0.9192525995,-0.4667566495,-1.069093414,0.1970391165,-0.164772388,0.274892491,0,-0.237633124,0,0.1763048255,0,-0.131205686,-0.002965052,0.2833990885,0.2174769885,0.031813408,0,0.033240032,-0.3818047445,-0.1035163075,0,0,0.253992337,0.59514929,0,0.490234563,0,0,-0.00961145649999995,0.751724886,0.051534666,0.123635051,-0.00534125499999999,0.0578893610000001,0.316981006,-0.021659133,0.534546707,0.0643069295,0.15842236,0.1661640355,0.324039834,-0.000857531000000022,-0.089474578,0.0704503479999999,0.017547312,0,0,0.126789934,-0.0424672225,-0.3204728975,0.464589313,0.239751042,-0.1996572775,-0.252857894,-0.335900155999999,0,0.175833988,0,0,0,-0.0198153675,-0.021659133,0.143124268,0,0,0.270496682,-0.3622211075,-0.197754474,0.036406955,0.111175027,0.349313162,0.280721568,0.021659133,0,0,0.0208080895,0.169854161,0.211063536,0.20726338,0,-0.00179241699999999,0.515512824,-0.3204728975,0,0.5171610685,-0.021659133,0.206382987,-0.021659133,0,0,-0.0670417,0,-0.055429484,0.108964195,0,0.540993364,0.302380701,0.1430989255,0.302380701,0.3204728975,-0.3204728975,0.037528113,-0.043318266,0,0,-0.283923594,0.238776887,0,-0.01068251,-0.142655618,0.072029444,0.154174855,0,0.190303049,0.461805124,0,0.036406955,-0.0944583209999998,-0.3568798525,0.079479351,0.143781867,0.2333379025,-0.014274937,0.3724760655,-0.160457857,-0.0203240880000001,-0.129275245,0.021659133,0,1.436564201,0,0,0.021659133,0.2676435145,0.062744414,0,-0.3578329985,0.0676150035,-0.0339790535,0,0,0,-0.211063536,0,0,0,0,0,-1.167081299,0,0.07281391,0.465798112,0.30128987,0.051591394,0,-0.0641262205,0,0,0.102539062,0.04950744,0.466950638,-0.268089384,-0.272759279,-0.101363784,0,0,0,0,-0.3568798525,0,-0.348852646,0,0.228066182,-0.2109673355,0,0,-0.509060506
"set19_479",-0.043066678,-0.016308704,-0.076619003,0.083738782,0.215836577,0.327638682,0.334537691,-0.1103069445,0.309321071,0,0.0353780724999999,-0.968088558,2.263404551,2.863593105,0.296302414,0.0997703144999999,0.3117730595,0,0.0478325304999999,0,0.0795402805,0,-0.231473684,-0.1274369615,0.315481934,0.3424202425,0.15685358,0,0.2764489795,-0.534258915,0.2926610525,0,0,-0.0801655735000001,0.385219085,0,0.147308376,0,0,0.4826931365,0.6558881445,0.0888999920000001,0.580162505,0.103752044,-0.05965595,0.170390027,0.0353780724999999,-1.4317965525,0.44169852,0.280965799,-0.434694113,0.468664905,-0.17489056,0.137113114,0.100618276,-0.107040927,0,0,0.338682128,-0.0261005365,0.344164187,0.2592249155,0.104918081,-0.0474464030000001,0.5556943815,0.490104431,0,0.056527235,0,0,0,-0.4010458865,0.0353780724999999,-0.022278098,0,0,0.1336242945,0.3236125755,-0.084800545,0.1243036555,0.767657267,0.192732969,0.53942105,-0.0353780724999999,0,0,0.061478609,-0.435984368,0.22067014,0.155674954,0,-0.016439003,0.2162672705,0.344164187,0,0.1994410665,0.0353780724999999,0.242876446,0.0353780724999999,0,0,-0.104946859,0,0.156718421,0.030107235,0,0.267248589,0.5040429775,-0.2170347665,0.5040429775,-0.344164187,0.344164187,-0.0421825649999999,0.0707561449999998,0,0,0.327638682,0.134766153,0,0.207504088,-0.0974955275,0.112055782,0.0919053074999999,0,0.1925403915,0.5692111575,0,0.1243036555,-0.269834692,0.2198605315,-0.024647465,-0.245053095,0.2763546825,0.0722100475,0.174533079,0.422797792,-0.124469022,0.136232784,-0.0353780724999999,0,0.521032598,0,0,-0.0353780724999999,0.1454914955,-0.090800767,0,0.1689078645,0.2115301945,0.0370800405,0,0,0,-0.22067014,0,0,0,0,0,-0.4848829325,0,0.248607311,1.055927154,-0.033724978,0.551291512,0,-0.184976399,0,0,-0.089987971,-0.2166121095,0.347200048,-0.061501302,-0.0389833869999999,-0.104187216,0,0,0,0,0.2198605315,0,-0.464159825,0,0.8269006,0.4354168325,0,0,-0.285718712
"set19_480",-0.33087638,0.015944135,-0.212475158,0.145766634,-0.0507575645,0.2813441905,0.1914689515,-0.8858258465,0.453584865,0,0.0890202285,-0.1740638915,2.2168273885,2.334085518,0.36146171,-0.2929399945,0.3452326545,0,-0.3071240035,0,0.091542874,0,-0.456457112,-0.2611920305,0.470940805,0.0906742805,0.469721029,0,0.2857413255,-0.526698824,0.47541787,0,0,0.1036104045,0.702154752,0,-0.136566546,0,0,0.3193634365,-0.0846079845,0.0283380010000001,0.121187059,0.0821238445,-0.11819107,0.274779268,0.0890202285,-1.167042759,0.050512366,0.444664735,-0.2471396285,0.391148805,-1.3056282405,-0.026132115,0.155553109,-0.052719136,0,0,0.465206665,-0.0328833635,0.1875157315,-0.0421222824999999,-0.388020095,-0.380454895,0.4968299225,0.360690879000001,0,0.1529886325,0,0,0,-0.52193516,0.0890202285,0.154608717,0,0,0.209081282,0.1362776885,-0.387754114,0.1333618875,0.247788829,0.394453613,0.569189262,-0.0890202285,0,0,0.121903592,0.038720252,0.330588694,0.226737336,0,0.040137617,0.6579137135,0.1875157315,0,0.552229781,0.0890202285,0.526287772,0.0890202285,0,0,-0.256018366,0,-0.1005777,-0.769632036,0,0.418162564,0.4801690335,0.0928247015,0.4801690335,-0.1875157315,0.1875157315,-0.111490945,0.178040457,0,0,0.2813441905,0.192751503,0,0.164247689,-0.4811529945,0.153283427,0.242008861,0,-0.2584672675,0.6502806185,0,0.1333618875,-0.484379296,0.054153844,0.030977631,-0.109204927,0.516236574,0.091819421,0.427880857,0.3031077615,-0.059477491,-0.000496876999999951,-0.0890202285,0,2.054074098,0,0,-0.0890202285,0.02216192,-0.079005369,0,-0.062237863,0.309314191,0.024205404,0,0,0,-0.330588694,0,0,0,0,0,-1.4766877575,0,0.266723775,0.15617861,-0.807155544,0.824154942,0,-0.52412533,0,0,-0.015426971,-0.4145010215,0.5102515,-0.369714383,0.27213518,-0.083084933,0,0,0,0,0.054153844,0,-1.5286424435,0,0.492556751,0.508534537,0,0,-0.568852559
"set19_402",-0.209104151,-0.016061729,0.098897996,0.283939377,0.300817344,0.082022943,0.298437102,-0.705543784,0.055523211,0,0.035525567,0.419774061,0.314925361,-0.138429415,0.3957683215,0.198988672,0.0133094819999998,0,0.0577402675,0,0.124830002,0,-0.019394403,-0.035595343,0.175947684,-0.3517625085,0.222375982,0,0.076113628,-0.7034898135,0.0837049960000001,0,0,0.154166772,0.962468578,0,-0.51133475,0,0,0.2816091055,-0.405831841,0.079147414,0.209810756,0.0678426825,0.336044957,-0.274233038,0.035525567,0.0692147075,0.11709819,-0.176823199,-0.1758366305,0.366266794,-0.1134305845,0.016091962,-0.012811549,-0.140472397,0,0,0.544545997,-0.1712371975,0.1149043835,0.207211661,0.085622289,0.2809317495,0.30066359,0.541992184,0,0.1448985935,0,0,0,-0.00895552900000007,0.035525567,-0.064171231,0,0,-0.0573179155,0.0319491015000001,0.190790135,0.1507979645,-0.247552774,0.16137965,0.437317928,-0.035525567,0,0,0.2067627645,-0.082180734,0.2314877895,0.031762895,0,0.128648682,0.2174840855,0.1149043835,0,0.2616242625,0.035525567,-0.05818917,0.035525567,0,0,0.115729819,0,-0.19628306,-0.504647487,0,-0.114635831,0.401792361,-0.0719233515000001,0.401792361,-0.1149043835,0.1149043835,0.28412778,0.071051134,0,0,0.082022943,-0.050277669,0,0.135685365,-0.255969363,0.003739774,0.1804241605,0,0.327698939,0.638723395,0,0.1507979645,-0.100126489,-0.035893581,-0.060067141,-0.208192814,0.2237262175,0.0251198685,0.4965599515,0.0453324900000002,-0.152916512,0.042272084,-0.035525567,0,-0.549137612,0,0,-0.035525567,0.3583716945,0.200393445,0,-0.0411270159999999,0.1857592065,0.1900370205,0,0,0,-0.2314877895,0,0,0,0,0,-0.979355602,0,0.301595929,0.72913312,0.064691392,0.286659886,0,0.0635791805000001,0,0,-0.223348838,-0.268048173,0.132759468,0.184696598,-1.048230837,-0.251356192,0,0,0,0,-0.035893581,0,-0.3538876065,0,0.758735612,0.199939467,0,0,-0.118241975
"set19_475",-0.115088574,0.060107718,0.131962982,0.236099917,0.5097347225,0.5865184715,0.6129557155,-1.2403106765,0.076323515,0,0.121313988,-0.441194997,3.287066634,2.884003627,0.3710820795,0.317781739,0.16631789,0,-0.3321855925,0,0.182818068,0,-0.308599943,-0.19513618,0.194161756,0.0800669445,0.327571987,0,0.397717494,-0.589719244,0.5958344895,0,0,0.286161144,0.331867205,0,-0.022283963,0,0,0.983885778,-0.573111463,0.134442321,0.251899409,0.1785766455,0.078131038,0.121208828,0.121313988,-1.4420018135,0.8466920785,0.012686998,-0.829830829,0.0230887215000001,-0.8822176455,0.087246406,0.086624288,-0.070872748,0,0,0.488913223,-0.0850245995000001,0.724568327,0.446643719,0.137872754,-0.1241430045,1.0499904475,0.0570008240000002,0,0.1964131935,0,0,0,-0.4048535525,0.121313988,-0.065594915,0,0,0.048104593,0.618249642,-0.258241774,0.2848953305,0.737755061,0.437176485,0.2657166975,-0.121313988,0,0,0.2063385875,-0.263579115,0.503483573,0.17739033,0,0.011800515,0.6578407015,0.724568327,0,0.622070527,0.121313988,0.018461447,0.121313988,0,0,0.024566957,0,0.105567042,-0.125347245,0,0.096209186,0.1444027095,0.4277676525,0.1444027095,-0.724568327,0.724568327,0.128516754,0.242627976,0,0,0.5865184715,0.042003879,0,0.357153291,0.1175483685,0.13352299,0.3177271815,0,-0.149143137,0.3002879375,0,0.2848953305,-0.300704779,0.4396729965,-0.200365276,-0.177125536,0.5424400715,0.177006354,0.5991649745,0.6147947625,-0.120422705,0.136860076,-0.121313988,0,-0.235567632,0,0,-0.121313988,0.4281173745,0.004102406,0,0.2001194245,0.3254221205,0.1996092805,0,0,0,-0.503483573,0,0,0,0,0,-0.092019913,0,0.569790661,0.633290219,0.074324342,1.204347576,0,-0.3566655465,0,0,-0.122640494,-0.440037435,0.502382184,0.010128856,-0.537787354,-0.215777953,0,0,0,0,0.4396729965,0,-1.121558011,0,0.323624863,0.7333639465,0,0,-0.309251009
"set19_456",-0.063137918,0.250015385,-0.251394059,0.287044551,-0.096101337,0.083991817,0.158711871,0.199202664,0.333390338,0,0.129292876,-0.573810747,1.175320569,1.97256201,0.253270796,0.337944291,0.742208262,0,0.091891567,0,0.0131162985,0,-0.485690682,-0.280647979,0.32185683,0.332072934,0.190450881,0,-0.121517316,-0.909948815,-0.294124337,0,0,0.221208019,0.651094514,0,-0.391668155,0,0,-0.029595061,0.364504074,0.070297236,0.541409521,0.045540188,0.059417555,-0.105685278,0.129292876,-0.986281005,0.598560003,0.242707109,-0.215933581,0.493166844,-0.838875344,-0.482023255,-0.0911519050000001,0.113818271,0,0,0.079786173,-0.034349111,-0.012742534,0.516820097,0.302481559,-0.3990434335,0.218157317,0.771958279,0,0.1025936505,0,0,0,-0.69025375,0.129292876,0.25599572,0,0,0.245802646,-0.055827658,-0.521968466,0.088625312,1.245311905,0.309792443,0.751752596,-0.129292876,0,0,0.163641987,-0.157295013,0.2435215335,0.051115574,0,-0.066541622,0.171222906,-0.012742534,0,0.029442983,0.129292876,0.595101369,0.129292876,0,0,-0.083966642,0,-0.173892969,-0.679585657,0,0.491605292,0.62245972,0.0188714395,0.62245972,0.012742534,-0.012742534,0.070682328,0.258585752,0,0,0.083991817,0.218012109,0,0.0910803760000001,-1.086032659,-0.054923882,0.2318865265,0,-0.272883144,0.971116711,0,0.088625312,-0.078348603,-0.101367846,0.152830618,0.2924565,0.3497152825,0.00945939799999999,0.368829288,0.283391217,-0.154283698,0.209026368,-0.129292876,0,-0.0933528719999999,0,0,-0.129292876,-0.327626914,-0.131141589,0,-0.325407492,0.230899851,0.00922043300000006,0,0,0,-0.2435215335,0,0,0,0,0,-1.563692562,0,0.177250624,0.546488723,0.255839058,0.1458586895,0,-0.496426289,0,0,0.12595998,-0.33974985,0.478048543,0.036149027,0.372391918,-0.158331828,0,0,0,0,-0.101367846,0,-0.0448423735,0,0.453297844,0.26935148,0,0,-0.592860678
"set19_455",-0.018358415,-0.000679190999999999,-0.157464773,0.20909176,0.0619090834999999,0.1117518405,0.2415977455,-0.3859139475,0.29164057,0,-0.00616317249999998,-1.471100708,1.562993313,2.60631171,0.12852545,0.1625528015,0.7407512615,0,0.359481439,0,0.0660891105,0,-0.230375373,-0.0517439125,0.2237447425,0.1492278055,0.283483736,0,-0.2037808455,-0.620148561,-0.1365093975,0,0,0.2394124935,0.275041411,0,0.424141879,0,0,0.2523473235,-0.4165814965,0.0286148500000001,0.126895285,0.00712928400000001,0.106699076,-0.03951292,-0.00616317249999998,-1.303155855,0.2972979285,0.044782208,-0.3130095535,0.53955634,-0.509607654,0.023222649,-0.033756327,0.04530839,0,0,-0.00661754800000014,-0.0695350225,0.1323333905,0.191684855,0.1042687695,-0.2354264315,0.1381746965,0.719176743,0,0.1183869375,0,0,0,-0.5745465925,-0.00616317249999998,0.023838406,0,0,0.146520932,0.1201691025,-0.313766621,0.019293572,1.105786088,0.263191276,0.527229995,0.00616317249999998,0,0,0.06337185,-0.233523858,0.15088921,0.054527058,0,-0.046436916,-0.0729348219999999,0.1323333905,0,-0.1384413495,-0.00616317249999998,0.399781784,-0.00616317249999998,0,0,0.049579153,0,-0.087140281,-0.487787005,0,0.293041864,0.5333931675,-0.2112766205,0.5333931675,-0.1323333905,0.1323333905,0.090225153,-0.012326345,0,0,0.1117518405,0.067554448,0,0.014258568,-0.587147822,-0.116641685,0.112223765,0,-0.00511492950000003,0.8190778085,0,0.019293572,0.10063109,0.1130398185,0.095059569,0.003796534,0.1034399965,-0.0268676635,0.300145725,0.2686175805,-0.066092053,0.100243169,0.00616317249999998,0,-0.498423833,0,0,0.00616317249999998,0.165868582,0.033106114,0,-0.0501331535000001,0.00584130600000002,-0.148528109,0,0,0,-0.15088921,0,0,0,0,0,-0.6565594455,0,0.038587144,0.532089303,-0.085379915,-0.0856493355,0,0.071026937,0,0,0.0895399149999999,-0.00523840950000004,0.357766531,-0.000406860999999981,0.174327392,-0.092322471,0,0,0,0,0.1130398185,0,-0.398552108,0,0.605279561,0.1104638625,0,0,-0.378443199
