"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set110_336",0.06508289,-0.45409605,-0.2659854335,-0.264223562,2.8312254225,2.8451074645,1.9702777255,-1.1479751175,-0.566578255,-0.225979216,-0.7409564145,2.9313758195,3.8908220935,0.223960404,0.3980964325,0.4798748725,-0.6598979515,0.441635862,-0.205465617,-0.037785637,0.4781015605,0,0.3107396,-0.1895293455,0.144114118,-2.9029445095,-0.022162943,-1.498293307,-0.0600170915,0.6053882945,1.3535220495,-0.125888297,0,-0.5393040875,2.997336788,-0.027750375,-0.7545209825,-0.604017006,1.634701066,0.8086515805,0.1174248615,0.698716275,0.085614564,0.082490054,0.175626915,-3.298917316,-0.952771507,0.0573987454999999,-0.511400271,-0.421439115,-4.1734454265,-0.0728542639999999,0.632154784,0.627190018,-0.645983972,-0.041908534,1.3024583405,-0.627243378,-0.362072638,-0.3344535095,0.962735454,-0.565189738,-0.638136166,0.322148125,2.2782432825,-0.416594358,-0.111389677,-0.2081780855,0,-0.4676520635,0,-0.2911356405,1.0267713335,-0.343358809,-0.418778798,1.444858622,-0.9074126945,4.981924106,-0.986118581,1.0235755,0,-0.7596326385,-0.522364019,1.0506710155,0.089112017,-0.533532716,-0.3807279225,0.025076303,-0.360069743,-0.3932747465,0.064105972,0.2516116015,1.984486983,0.747148367,0.863772204,0.86204731,0.7513530705,-0.963047721,-0.5314987365,-0.440928785,0.308929055,-0.821524984,0.202055506,0.718950219,0.844907514,0.277777112,-0.162356335,-1.297859627,0.793402497,-0.932535486,-1.559157159,0.249995493,0.1892798175,-0.2647570385,-0.3275799225,0.290248794,2.099482831,-0.211948784,-0.2377784615,-0.3356301925,1.6691887085,0.19637446,0.1216571095,0.984899307,0.2532732825,-1.0771283405,0.882040502,-1.4633999865,-0.165157849,1.245207407,0.071390082,-1.053408818,-0.106319934,-0.7761458095,1.0606593345,1.4216306145,-0.247381606,0.122328045,-0.0111935895,1.200337046,0.794792172,-2.713565158,0,-0.3349752875,2.0647209575,-0.300105117,-0.630308865,1.8634009455,1.359386774,-0.243048925,0.925107456,1.8858541955,2.417728789,-0.8432443965,0,0,0,0,-0.417112318,-0.499712343,-0.64906752,-1.0646295245,-0.1954590375,0.1381642415,1.483514587,-0.205660309,-0.3662407255,0.325544404,0,-0.144076286,0.0564953445,-0.702648155,0.370220892,-1.066516155,-0.839513773,0.484099087,0.047197659,0.4969663265,0.16943311,1.879228158,0,-1.532989024,-1.146536234,-0.218762526,3.0513828555,1.573941423,-0.4456683,0.625498366
"set110_357",0.26498045,0.089289721,0.135450171,-0.0132522775,3.8545622185,3.8140183845,2.7433810945,-0.6516136935,-0.81807233,0.107270067,-0.20020754,3.865419784,7.149045987,1.885495722,0.484984861,0.701302608,-0.035433889,0.185116175,-0.189572353,-0.037785637,-0.2816378355,0,0.17066426,-0.3866693125,0.4330468225,-2.607035004,0.164068998,-0.915643868,0.121965247,0.178222112,2.5990893855,0.3568479575,0,-0.003635849,3.253856475,-0.027750375,-0.5758274445,-0.3648239885,-0.004548004,1.481666453,0.03745032,0.955235962,0.143826034,0.1961954335,0.620047119,-2.455674703,-0.322210891,-0.375149325,1.602627614,-1.032471227,-5.276225003,0.5298779395,-1.4732433835,0.872809521,-0.063089352,-0.041908534,1.380703903,-0.158112556,-0.105552952,0.3661848645,2.478215439,-0.0764499955,-0.291148942,-0.319480972,3.278447054,-0.4519774645,-0.111389677,-0.11720132,0,-0.1176512385,0,-1.2927043605,-0.4308437945,-0.555420125,0.12278501,0.409495014,-0.6250608215,6.1156039295,-0.4932652845,2.196313344,0,-0.292289848,0.6040759245,1.3613542515,0.356915847,-0.378058017,-0.2108222305,0.2186035375,0.322297232,-0.4228494705,0.139800327,0.128248789,2.8167921995,1.468122715,0.85326635,0.3783523845,0.337583727,-1.08869886,0.263610572,-0.160541482,0.1663740565,-0.565005297,-0.211042083,1.014630714,1.107811183,-0.3840893195,-0.424058416,-0.870737505,0.702049527,-0.3889162995,-2.7734615485,1.6141290925,0.4476310435,0.200535581,-0.195263589,0.396276865,3.1892287345,0.178616339,-0.1132907895,-0.2892415805,1.805671286,-0.040753117,0.286062161,-0.291794337,-0.022309121,-0.934806281,1.023635271,-1.1804311345,0.036173126,1.6413452615,0.182873498,-1.600597663,1.7201929355,-0.2135329695,0.914933598,2.419484595,-0.583186418,0.323482214,-0.16364588,0.787710074,0.74678242,-0.639911418,0,-0.220648432,3.550147638,-0.303555998,-0.360009094,2.517495489,0.7552275465,0.3242012445,-0.556128506,-0.1828326795,1.513287259,-1.594412077,0,0,0,0,-0.454403651,0.222833306,-0.876373434,-0.469724998,0.085685968,0.232821991,3.366456254,-0.361312607,-0.896838686,0.21537077,0,0.319838434,-1.32785715,-1.226478305,0.541220178,-0.809996469,-0.1517977135,-0.1952743665,0.4318846105,0.202209885,-0.3879264075,1.9812313085,0,-2.1898256105,-0.337607054,-0.0480830945,4.0665625325,0.4494066225,-0.00496012699999998,-0.160612271
"set110_456",-0.071466717,-0.378059633,0.6127230375,-0.0662248805,2.9064023165,3.1375820235,1.9965860175,-1.8459959095,-0.699981722,-0.534030647,-0.817205785,4.0779710955,4.8974112125,0.0728091350000001,0.404057792,1.705207599,-0.33383839,0.667137383,-0.570791424,-0.037785637,0.6562227945,0,0.354270327,0.1559229905,0.260925246,-2.7335472715,0.182954372,-1.34243123,-0.392074295,0.431353776,1.849303045,0.1466299615,0,-0.391536901,2.771835267,-0.027750375,-0.914178016,-0.62448852,1.753571625,1.2786141285,0.241231837,0.691875181,0.158729931,0.414120634,0.405633379,-3.174777225,-0.7111987465,0.418853792,-0.0443668534999998,0.043832824,-4.021179617,-0.0296796895000001,1.128675276,0.4186971735,-0.4601986595,-0.041908534,1.405479757,-0.328236341,-0.587574159,0.116103985,2.2140589275,-0.5427805915,-0.2789043615,0.4555922155,2.5181118765,-0.306364987,-0.111389677,-0.0362446509999999,0,-0.449742975,0,-0.4435443345,1.435333922,-0.287366394,-0.2654868475,1.3827563845,-1.206846688,5.9767640385,-0.7116832715,1.315499995,0,-0.4852976125,-0.409990467,1.3308795905,0.10738915,-0.471510138,-0.3023096125,0.0992317185,0.253455032,-0.178768373,0.071509113,0.068329792,2.0901688825,0.8749636905,0.901879224,0.9730693875,0.580984579,-1.136144529,-0.3224072565,-0.344177421,0.291720072,-1.047026505,0.559489059,0.646690203,0.815464871,-0.772573999,-0.344639246,-0.668157806,1.223402465,-0.5130107495,-1.9058938205,0.5595124775,0.31931446,0.2168339985,-0.445912134,0.864907674,2.680627059,-0.093528887,-0.0990622554999999,0.0294942025,1.29341405,0.253473309,0.2196553885,1.135949941,0.4243761185,-1.028591668,0.900005425,-1.1145552195,0.043760239,1.4822032595,0.444169051,-1.173954124,0.0590062935000002,-0.3472361705,1.441670784,1.2786673445,-0.21956626,0.137788093,-0.034417584,1.487771951,0.733634195,-2.8076016545,0,-0.420548663,2.325077323,-0.102958556,-0.637996107,2.2727505975,1.6968183205,0.4121710325,-0.002360943,2.066747428,2.4172524425,-1.5133865695,0,0,0,0,-0.318291727,-0.00630333599999999,-0.815581992,-0.3508129275,0.3872844085,-0.0244330065,2.6688513435,-0.305679462,-0.00563737349999993,0.409259269,0,-0.022788158,-0.079271124,-0.805224439,0.433890652,-1.292017676,-0.907999953,0.66593929,-0.1881685015,0.7084175675,0.0481831815,2.4295874535,0,-1.9553799885,-1.030061483,0.080924138,3.7507650975,1.6902265885,-0.572476728,0.671536857
"set110_576",0.008432475,-0.455854145,-0.0757820215,0.1100126935,2.5962157205,2.7202360335,1.6361935215,-1.043521893,-0.501780208,-0.978018611,-0.4156073935,3.309622626,3.567019067,-0.650007321,0.3352382335,0.4080733425,-0.5932654145,0.382189459,-0.296437691,-0.037785637,0.5205723655,0,0.341900077,-0.390434749,0.257362535,-3.254361756,0.130822464,-1.237853266,-0.1357783135,0.3011948275,1.3244067595,-0.0741313225,0,-0.7333733015,3.056783191,-0.027750375,-0.7034541165,-0.604280457,1.680574267,0.5088906685,0.0854056335,0.758162678,0.103354503,0.1823518495,0.094040549,-3.210709685,-0.442215697,0.7223147485,-0.3733368205,-0.538479849,-3.7921713035,-0.2009523635,0.7449945325,0.7062643225,-0.5040609005,-0.041908534,1.14586238,-0.641077626,-0.302626235,-0.3502941725,1.108731127,-0.6219542055,-0.565634761,0.4347622935,1.7607415985,-0.2959234895,-0.111389677,-0.3563490615,0,-0.5748018245,0,-0.101551227,1.307158681,0.254599684,-0.405932109,1.1851005815,-0.972656069,4.780687123,-0.9210719655,0.888985722,0,-0.447182868,-0.5621758265,1.509200818,-0.121439974,-0.315977028,-0.35905616,-0.0488934735,-0.2569638895,-0.4818604395,0.118567796,0.156037995,1.8204280555,0.416329874,0.602918533,0.725683816,0.5630879825,-0.966028426,-0.702265196,-0.488474052,0.3989207235,-0.762078581,0.124318311,0.633471449,0.799006791,0.1616118135,-0.231752553,-1.3366636075,0.7867649795,-0.665655459,-1.2359509935,0.1010738765,0.5250326875,-0.0758688325,-0.42232587,0.24396126,1.8421203265,-0.146613052,-0.1662765795,-0.2540650195,1.7429043215,0.2161079885,0.259518834,1.163805326,0.254152787,-1.0629579915,0.895042675,-1.2440106815,-0.332989692,0.9987332645,0.001404053,-1.009358026,-0.0517544710000001,-0.16711657,1.0781849315,1.186360769,0.07385712,0.105100181,-0.0791402145,1.188699284,0.68754194,-2.5606717775,0,-0.1463768475,2.074645447,-0.234104399,-0.61828624,1.454180046,1.635698573,0.129078489,0.870755984,1.9503964105,2.4484529845,-1.3427414955,0,0,0,0,-0.315343261,-0.3334202515,-0.784468123,-0.5132104855,0.2167419115,0.024132201,1.7338568265,-0.222419383,-0.234045583,-0.012865898,0,-0.215243426,0.0077879185,-0.704951696,0.360594378,-1.007069752,-0.6604493365,0.4530702885,0.1303067335,0.418673318,-0.0695830055,1.0613101705,0,-1.0520336205,-1.135400458,-0.3398598995,3.0254793725,1.7441539245,-0.435607252,0.376098428
"set110_597",0.186279233,-0.056786425,0.0720965645,0.0291896995,3.7451882255,3.7375467835,2.7137637955,-0.939243778,-0.363771598,-0.256612546,-0.462175876,3.671654797,6.408543213,1.639169818,0.4746879065,0.260343339,-0.354633664,0.140377765,0.1093132265,-0.037785637,-0.1441747285,0,0.044248759,0.1085835815,-0.1779689075,-2.6467760805,-0.059882638,-0.938009803,-0.175020147,0.2170005725,2.610877867,0.1729962785,0,-0.339678712,3.298594885,-0.027750375,-0.620261214,-0.4226585175,0.2256398,1.5266718855,0.13691287,0.999974372,-0.07743143,0.1494946855,0.100393007,-2.851657196,-0.3306162755,-0.6708226825,0.8583275235,-0.948496569,-4.832800345,0.2089238505,-1.2107222405,0.886990849,-0.202288203,-0.041908534,1.2146484435,-0.248046145,-0.060814542,-0.157873576,1.9318336675,-0.2968948745,-0.3861356405,-0.43430236,3.158142988,-0.1468870785,-0.111389677,-0.41855224,0,-0.471378456,0,-1.390212985,0.0186358345,-0.563649433,-0.129724024,0.166734574,-0.733487606,5.749226249,-0.4940889345,1.8118705035,0,-0.41147079,-0.2649782335,0.8964671355,0.05483925,-0.468845568,-0.4263416655,0.2857111525,0.00559791999999992,-0.692397163,0.312316942,0.2948932435,2.496291958,1.449936428,0.852561071,0.4672683765,1.315292645,-0.841365249,-0.05904748,-0.352263691,0.2766472855,-0.520266887,-0.46816656,0.781449854,0.997304349,-0.1638176875,-0.481585891,-0.9587616275,0.704842546,-0.784497778,-2.559127071,1.282497418,0.323912434,0.0085408525,-0.4936044375,0.451418514,3.114630049,-0.324218547,-0.0352978965,-0.3104526275,1.6763492875,0.1255691705,0.2291134755,-0.257583049,-0.02321342,-1.079972706,0.792054562,-1.262222424,-0.0771822209999999,1.735952664,0.37322633,-1.419362239,0.811723757,-0.555861097,0.9213720785,2.4479378795,-0.222695594,0.227029964,-0.075960272,1.005719766,0.716681983,-0.857292214,0,-0.220665818,3.120179668,-0.299851307,-0.387510939,2.414505674,1.1550738165,0.00834629350000005,-0.282132648,0.510961854,1.820866776,-1.41128692,0,0,0,0,-0.423243318,-0.1259540225,-1.228056006,-0.768539305,-0.165097149,-0.0536534725,2.756182345,-0.539656966,-0.6796466335,0.050209712,0,0.072114855,-0.696174192,-1.182672479,0.367661412,-0.765258059,-0.9075044165,-0.0336880125,0.3088605465,0.3930680905,-0.1541582205,2.027181258,0,-2.043407722,-0.729531664,-0.4934275835,3.8869434685,0.9556045345,-0.34644434,-0.399746566
"set110_596",0.030248828,-0.307597645,-0.08109599,-0.03037711,4.130962711,4.178808628,3.165961435,-0.8153303505,-0.237013786,-0.125614313,-0.5821462055,4.0420584135,7.9253949425,2.684918648,0.2903511885,0.5759897985,-0.5986558415,0.38901599,-0.6055298455,-0.037785637,-0.1819361055,0,0.416316532,-0.481891232,-0.083766585,-3.3657803435,-0.00115381599999997,-0.909032345,0.0103581975,0.2468978355,2.9467066605,0.094691877,0,-0.3093171045,3.04995666,-0.027750375,-0.7899164465,-0.628266538,0.398755271,1.7968141445,-0.2573170975,0.751336147,-0.00181746199999999,0.2357772175,0.578645643,-2.353432118,-0.695590713,-1.1901785115,1.27004422,-0.897531183,-5.687651752,0.441014775,-1.413260569,0.668855741,-0.585187425,-0.041908534,1.0275605785,-0.50935235,-0.26960216,-0.2886347005,2.783650642,-0.8248928145,-0.512603298,-0.590720186,3.333231345,-0.422509372,-0.111389677,-0.232115021,0,-0.4347807715,0,-2.119233418,0.1012052605,-0.135200575,-0.354438053,0.488018023,-0.902978082,6.357871978,-0.794458072,1.7212658545,0,-0.4231066625,1.380764179,1.4212116535,0.714941062,-0.429575079,-0.6831234315,0.174783107,0.7483754465,-0.4749723495,0.210911605,0.2733352785,2.7925699755,1.952573439,0.648374241,1.7101890865,0.2926034525,-0.887194759,-0.0895101295,-0.310935223,0.250824507,-0.768905112,0.068872966,0.779890438,1.111024197,0.137674749,-0.37493595,-0.242864357,0.2544669385,-0.737811086,-2.832151937,1.695378355,0.1740528115,-0.081760668,-0.3433855805,0.415378142,3.6526794345,-0.222524797,0.1134341905,-0.1676721615,1.781283044,0.2263101375,0.16521908,0.310027696,0.1749440465,-0.9000899035,0.845663815,-0.925391866,-0.148336248,3.2044901305,0.15662422,-1.099300622,0.879861844,0.239724326,0.8486526995,2.67389683,-0.304766942,-0.02400964,-0.0805763195,1.113325848,0.668147617,-1.713922333,0,-0.3170112875,2.7563297655,-0.345914628,-0.636149164,2.869613007,0.994387092,0.070027528,0.205253931,0.0593341875,1.646904288,-1.602709149,0,0,0,0,-0.625044818,0.250914365,-1.682377585,-0.542295607,0.181041565,-0.1850468925,3.8502101745,-0.381690981,-0.1084469235,0.656961612,0,-0.030811089,-0.3515808075,-1.024751597,0.426084981,-1.013896284,-0.156042498,-0.03220629,0.217543242,0.5771575685,-0.466599067,2.5862700235,0,-2.5195237075,-0.248177642,-0.225844996,4.4937009235,0.329029772,-0.621354988,0.327237124
"set110_477",-0.084307474,0.003160164,0.6400960605,0.3631792545,3.5167551775,3.8217478145,2.6079703185,-2.0383416595,-0.730048658,-0.153110438,-0.2317096085,4.097235278,6.699509531,1.638240176,0.4013358385,0.6458579755,0.1044143075,-0.065485721,0.2152625215,-0.037785637,-0.5178709975,0,0.073524158,0.1407925975,0.1937207875,-1.925383826,-0.087203361,-1.011296448,-0.3249807795,0.0987728100000001,2.3733194945,0.5063833105,0,-0.0747742205,3.504458371,-0.027750375,-0.3251397245,-0.216701877,-0.727616225,1.85472445,-0.2090892605,1.205837858,-0.135561344,-0.016118048,-0.062485434,-2.327174768,-0.046521883,-0.527772693,1.4414127955,-1.168908338,-4.792894869,0.258079523,-2.370788537,0.9771145285,0.0787059955,-0.041908534,1.541793424,-0.136455829,0.145048945,0.435873391,2.5360399775,0.3313302235,0.017656447,-0.6923209625,3.1008981165,-0.1094308235,-0.111389677,-0.2029736295,0,-0.4849247855,0,-1.58521306,-0.389740436,-0.340332881,-0.211617908,0.0138631005,-0.4712096835,6.018644,0.0692192435,2.165810689,0,0.0234362255,0.0791069639999999,1.360421943,0.038759142,-0.474996512,-0.384255915,0.5945063815,0.236937246,-0.5842119695,0.145650089,0.022707311,2.4185298005,1.661006108,0.960634309,0.117914982,-0.00183564850000001,-1.002737196,0.205396628,-0.16454722,0.1920607505,-0.314403401,-0.332059474,0.932618163,0.784193975,-1.0870319225,-0.537930088,-0.119833035,1.2663065095,-0.8799794545,-2.760002275,1.349937982,0.4644004805,0.7360760455,-0.539795279,0.318052547,3.135422591,-0.442202335,-0.2647608275,-0.5724758025,1.368942038,0.1805747065,0.438313754,-0.051719563,-0.322868397,-0.967361571,0.544955107,-1.120839053,-0.144808684,2.0802853495,0.34293966,-1.696547236,1.5390451555,0.043607119,0.7623150845,2.6775861605,-0.403643485,0.176984364,-0.2250812705,0.914167274,0.410587011,-0.1396132795,0,-0.2591277995,4.1444210215,-0.367909291,-0.181647452,2.4824018885,0.83002731,0.0970738619999999,-0.571612526,-0.7964278445,1.9313276445,-2.082544806,0,0,0,0,-0.216888727,0.2791987995,-1.247376914,-0.291404098,0.41435904,-0.158598046,3.0434363065,-0.361140959,-1.107372696,0.094545768,0,0.45949182,-1.0875763065,-1.210621161,0.327284282,-0.559394572,0.0258936125,0.0296408355,-0.0153751665,0.042523938,-0.0422273905,2.4598871545,0,-2.431420461,-0.830348217,-0.3894822655,4.1614897805,0.5350653525,-0.199234521,-0.433954714
"set110_595",0.128092881,-0.494089226,-0.249961182,-0.0209671425,2.4913214905,2.5017079715,1.4916631405,-0.8703940035,-0.440278945,-0.209028787,-0.589778447,2.7454564245,3.3814848845,-0.721713378,0.365757437,0.724635787,-0.506713672,0.323168855,0.0988536685,-0.037785637,-0.019174806,0,0.355687888,-0.5619675985,0.1717084365,-3.3880757915,0.078941826,-0.864138691,-0.100076296,0.209813595,1.051267357,-0.0521488125,0,-0.344978941,3.115803795,-0.027750375,-0.716002458,-0.5079149335,0.658430734,0.2534326545,-0.251156344,0.817183282,0.126034705,0.1286900385,0.029441533,-2.325635887,-0.7030853115,0.302985834,-0.5280791515,-0.817151732,-3.6714349615,0.0744498305,-1.1487962805,0.677098134,-0.651523058,-0.041908534,1.0867075235,-0.573786615,-0.243605631,-0.2815716995,1.507924204,-0.6436615385,-0.6690327995,-0.4341895325,1.7810386545,-0.228425735,-0.111389677,-0.1568071675,0,-0.356567538,0,0.052718939,0.272451521,-0.274818794,-0.4237853125,0.742098878,-0.73698732,4.255799965,-0.8258801755,0.7540244025,0,-0.145285792,0.094765906,1.4749290345,-0.228706785,-0.284056012,-0.4757103405,0.2077211655,-0.4737706975,-0.092592257,0.078129164,0.101187897,1.373414086,0.353046722,0.469305389,0.0829322475000002,-0.096115108,-0.902506017,0.059197539,-0.374923384,0.253678557,-0.703057977,0.073938282,0.685631019,0.35036671,0.4153623135,-0.168940596,-0.953951234,0.6129811875,-0.789229803,-1.1557531355,0.0659281625,0.46775663,-0.168041433,-0.305164561,0.336870176,1.8325531295,-0.033277482,-0.1035280355,-0.2297947205,0.6103387445,0.362150798,0.297186781,0.043776384,-0.038881717,-0.971975321,0.871809969,-0.691206815,-0.040003652,0.674374445,0.101908186,-1.01464538,0.552843771,-0.124513751,1.069957148,1.164846962,-0.272349167,0.10556085,-0.106671353,1.103649767,0.886980032,-1.768817556,0,-0.586873509,2.8719728375,-0.694151713,-0.570302028,1.2944410595,1.089658368,0.295880197,-0.334111312,0.136582551,1.747927471,-0.7496392705,0,0,0,0,-0.655489639,0.0145488075,-0.90629137,-0.3150254785,0.3942055385,-0.1976630215,1.77342589,-0.365557274,-0.3897185045,0.520278651,0,-0.037357455,-0.330666008,-0.929770594,0.434350687,-0.948049148,-0.149306804,-0.079722796,0.1354560485,0.5590229655,-0.4668638535,0.882254784,0,-0.9469951685,-0.662955157,-0.071672996,2.9541167785,0.9275814525,-0.5876557275,0.176735657
"set32_657",0,0,0,0.020081672,0.684667794,0.648001833,0.747973884,0.0500616960000001,-0.286646657,0,-0.0156900515,0.6000928905,1.5648826775,0.086427088,0.0457489855,-0.2149213505,1.0091368845,0,-0.3029396385,-0.027571902,0.182383924,0,0,-0.020337171,-0.0133928385,-0.141388811,0.104672063,0.029754519,0.0307199025,-0.239794206,0.865142313,0,0,-0.0156900515,0.0540819940000001,0.171424366,-0.2568902725,0,0.21214874,0.565864024,-0.2239040405,0.056282191,0.116379554,-0.295762655,-1.09875836,0.811165146,-0.35963127,0.044004977,0.6257659465,0.226461972,-0.833338803,0.4675259965,0.41451462,0.411770901,0.180317959,-0.195709578,0.0759934625,0,-0.132261204,0.107617769,0.757285012,0.185939692,0.033031765,0.1948059265,0.5186096275,-0.5875318115,0.021419106,-0.0835972755,0,-0.0277913135,0,-0.499337388,0.075995579,0.423703986,0.1253564775,0,0.114240699,0.5751684685,0,0.2994153615,0,0.163190113,0.629048221,0.0156900515,0,0,0.1400477415,0.201158334,-0.1063741375,0.0760329214999999,0,0.009640393,0.4419723065,0.5975640815,0,0.352681608,-0.0156900515,-0.092826706,-0.1885879475,0.00863341900000003,-0.1665273145,0.124113722,-0.052723513,0,0,-0.1703424465,0.045110137,0.009674997,-0.104361667,0.0395389555,-1.0511139425,0.6041724795,-0.0619932745,-0.031380103,0.035152534,0.227593581,0.837322578,0.173232315,0.066250029,-0.315605098,0.757776338,0,-0.2548672745,0,0.0156900515,-0.109822407,0.194862298,0.333555284,0.33902922,0.6041724795,0,0.233948203,0.5712719215,-0.00930392749999999,-0.4326054605,0.469672468,0.169495963,0,0.0156900515,-0.00332375200000001,0.573842206,-0.085172782,0,0.0156900515,0.2206129525,-0.167995763,0,0.6357446965,-0.108374157,0.104824361,0,0.1792427575,0,-0.1190127305,0,0,0,0,0,-0.000812792000000007,0,-0.031426262,-0.031426262,-0.0277913135,0.9650805565,-0.055582627,-0.269290865,-0.148201624,0,0,0.3252093325,-0.033802175,0.149824471,0,-0.3612185065,0.0916856305,0,-0.0712348785,0,0.6041724795,0,-0.704477858,0,-0.0167530095,0.7447515875,-0.224104912,-0.0277913135,0.138801556
"set110_476",0.073224263,-0.039277918,0.7757573055,-0.196234276,4.25087086,4.189297224,3.071805607,-0.74018015,-0.16571148,0.05737628,-0.285114827,2.8320686605,7.0775075675,2.919107391,0.379285285,0.42176352,-0.344416988,0.726261928,0.1731503255,-0.037785637,-0.060842633,0,0.461714599,0.4315602575,0.156884889,-2.709835923,0.109879763,-0.926148681,-0.070466973,0.5377768735,2.814120263,0.1510559165,0,-0.030513561,2.67467293,-0.027750375,-1.0904186845,-0.4563255835,0.754957727,1.7070131665,0.037309882,0.799291146,-0.043659936,0.233354302,0.481019137,-1.840471251,-0.3385256865,-0.9720316855,1.8800638715,-1.18612704,-4.4288452735,-0.075385442,-0.5038990825,0.473039265,-0.432516403,-0.041908534,1.1103239285,-0.464362288,-0.684736497,0.3214501665,3.524608232,-0.6797861205,0.1270658905,-0.278187896,3.4842526825,-0.4636568765,-0.111389677,-0.0792035665,0,0.0377699505,0,-1.3565402045,0.5541167765,-0.387476223,-0.417804746,0.743783442,-0.944170621,5.5800566665,-0.643238721,1.8477695735,0,-0.521536133,1.187813184,1.3139347865,0.79180173,-0.347175978,-0.4600489775,-0.038102639,-0.0960269399999999,-0.00470566749999997,0.135568248,0.045252831,2.287058676,1.96435447,0.580239823,-0.508381585,0.59358359,-0.798732942,0.434713547,-0.084049046,0.1677167045,-1.139340854,0.32683886,0.865745928,1.251469279,-1.208013519,-0.500789265,-0.2367683145,1.1625286525,-0.9847824845,-3.062388378,1.59317211,0.3045498325,0.5807240115,-0.246190262,0.19890916,3.4673536775,-0.076550273,-0.0789596425,-0.2954796165,1.9721039505,-0.041326299,-0.06164234,0.627370714,0.513786234,-1.1847365525,0.607074274,-0.9440333765,0.326542112,3.5281250855,0.200294268,-1.053082926,0.701862157,-0.4928326185,0.761415511,2.360656845,-0.249310871,0.032247626,-0.110423511,0.69255985,0.670706428,-2.07678102,0,-0.360047179,2.6496944955,-0.168663713,-0.320102152,2.7672546075,0.387593791,0.016199072,0.192621771,0.4315877225,1.281765131,-1.449641811,0,0,0,0,-0.344839003,0.5004637755,-1.455157597,-0.370838637,0.446584349,0.109543288,3.05407373,-0.232127997,0.195239474,0.617979071,0,0.053297481,-0.662151245,-1.167920209,0.485999366,-1.389180014,-0.2283218445,-0.2023229885,0.355549514,0.608313169,-0.379558324,2.9464577965,0,-2.720285867,-0.603635383,0.00786796150000001,4.4694888515,0.237917397,-0.5795199555,0.506695795
