"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set132_197",-0.122592767,0.055516966,-0.3308551675,0.218945049,0.291676379,0.250382092,0.250382092,0.255861412,-0.488303596,0,0.8945441945,1.271659156,1.674847563,-0.233160376,0.0908792835,-0.1114611315,0.9016431395,-0.320006374,0.0448387235,0,-0.5342396875,0,-0.102856359,-0.3087888535,0.3891874235,0.0384101264999999,0.01005758,0.221857243,-0.3006858705,-0.5149479405,0.5699888305,0.00721155849999996,0,0.1715297055,0.102404997,0,0.4038398075,0.200229166,-0.771497725,-0.08229963,-0.0703868255,-0.467155735,0.5391567,0.1898862775,-0.018556402,0.177326847,-0.6925566495,-0.137935754,0.638788204,-0.002572375,-1.613880533,0.7991603555,-0.322229344,-0.1179120705,-0.0815243515,0,0.0064745185,0,0.337777669,-0.480095035,0.8784563305,0.7473078525,-0.0601972135,-0.5701950155,0.5243435645,0.51831542,0.198101552,0.1888872535,0,-0.0109285295,0,-1.2390604965,-0.3063718295,-0.075778979,-0.2690640975,0.6149948005,-0.3735755265,1.219328672,0.3149719375,0.7624613165,0,-0.0135924155,0.342855332,-0.537358359,0.114044997,0.171377083,-0.167370587,0.444412929,0.4627792765,0.2231655095,0.391405828,0.1352178155,1.65867267,0.238518222,0.155645893,0.7245715015,-0.00343018049999999,0.139600047,-0.135818795,-0.021794058,0.101857882,0,-0.336811436,0.354345286,0.428939567,0.382141743,-0.071863651,0.353916099,-0.025979134,0.6830618395,-0.3208005795,0.5759406245,-0.1038784685,-0.0770373885,0.1025024125,-0.192486603,-0.24488597,0.090722526,0.0410201845,0.1171979095,0.919684335,-0.098237204,0.4186327355,-0.750607353,-1.251353866,0.4231694595,0.260494787,0.075646108,-0.485360293,-0.6008259785,0.157126947,0.046245399,-1.3378808755,-1.792956764,0.4673647295,1.6930473985,0.791604452,-0.080130659,-0.0703868255,-0.3786335,0.039144534,-0.2818438695,0,-0.1329366105,0.6485901795,0.53333209,-0.176938235,-0.195464283,-0.2018750235,0.0738528605,0.183634419,-0.0665117455000001,0.0557939655,-0.405427815,0,0,0,0,-0.188428031,0.394691506,-1.966361254,0.538142662,0.0434060889999999,-0.056748325,1.1545013105,0.408720589,-0.4510578725,0.903408446,0,-0.237796777,-0.2759351715,-0.074819869,0.096548513,-0.837960421,-3.004073219,0.35863788,-0.243827405,0.091424904,0.397449621,-0.1233614145,0,-0.600580439,-0.003284639,-0.166188887,0.13235715,-0.192267338,0.218864503,-0.181604852
"set132_173",-0.149448958,0.059040118,-0.211602332,0.1232904505,0.185332484,0.186133179,0.186133179,0.3314624895,-0.142458158,0,0.729902813,1.1650100945,1.5330021485,-0.222639509,0.07762887,-0.116840204,0.854315462,-0.331493445,0.075765446,0,-0.1933105525,0,-0.081566072,-0.1720258715,-0.00530042900000001,0.1817368125,-0.015169649,0.170722421,-0.385740008,-0.4077453605,0.557741381,-0.0472986645,0,0.207182864,0.0624964539999999,0,0.378260289,0.129480664,-0.179116032,-0.059193717,-0.05209729,-0.464028217,0.500644784,0.1724790305,0.030713797,0.239858915,-0.747160647,-0.1227043095,0.5090219835,0.002904265,-1.6124722345,0.681375187,0.362437061,-0.1516912305,-0.1084657555,0,0.0349613305,0,0.365257847,-0.510833999,0.4727316865,0.691866538,0.1057453375,-0.3936216175,0.426063424,0.561922606,0.196022412,0.116323628,0,-0.033078145,0,-1.1007877385,0.175146567,-0.146653435,-0.2810011185,0.4948645405,-0.4886340245,1.211301279,0.2890050055,0.6510113255,0,-0.1864289435,0.2132308835,-0.6324562835,0.168328422,0.15762054,-0.164498952,0.4269597575,0.372320529,0.228144662,0.57459034,0.137527131,1.652241012,0.146149678,0.081816879,0.911794696,0.036349911,0.087515376,-0.1375116905,0.109083229,0.122988988,0,-0.258727268,0.069044308,0.523897334,0.1670632165,-0.148191587,0.2080102235,0.049103625,0.6191775175,-0.74775845,0.472545624,-0.204469168,-0.000556854000000037,0.080323467,-0.210232831,-0.319994794,-0.006893914,0.001712295,0.051328007,0.9104320405,-0.1155415865,0.3768331615,-0.752488902,-1.2350209165,0.3771170075,0.29392215,-0.1893921915,-0.448891722,-1.282850044,0.135986877,0.011206733,-1.389287105,-1.64369422,0.395607168,1.615861151,0.791604452,-0.043878087,-0.05209729,-0.373006688,0.017567657,-0.2047705855,0,-0.096071887,0.6596335375,0.418700686,-0.165098902,-0.259057645,-0.2360929575,0.0533815535,0.268103256,0.320487426,0.00716263549999998,-0.450317653,0,0,0,0,-0.14938785,0.2880664075,-2.062622248,0.3133700805,-0.1049680475,-0.0249433985,0.944140728,0.40662491,-0.3637513515,0.823459376,0,-0.664048956,-0.296909246,-0.225617337,0.064246396,-0.772082352,-2.77482779,0.44698563,-0.2722323935,0.0675665955,0.4190965315,-0.120280635,0,-0.5529401965,-0.079113807,-0.198368037,0.0431881200000001,-0.2768631685,0.186211864,-0.117357453
"set132_172",-0.079359636,0.10685561,-0.1045423795,0.042801444,-0.1690732025,0.1003658535,0.1003658535,0.337471219,0.0821297950000001,0,0.397009196,0.874441274,1.214631125,-0.189781763,-0.0537712935,-0.121096342,0.88132884,-0.205687652,0.2322722625,0,-0.3340375015,0,-0.149918232,-0.01105643,0.1105149325,-0.110719624,-0.014106413,0.230660231,-0.709674754,-0.2346403,0.433395917,-0.171054442,0,0.150710788,-0.042509684,0,0.3359580645,0.1622268445,-0.424569818,-0.252042503,-0.047700588,-0.332270871,0.412358249,0.050815692,0.00619251299999998,0.086025672,-0.641654258,-0.0986866895,0.1012421585,-0.06108052,-1.672044023,0.3135625635,-0.248670336,-0.1244974135,-0.1500727295,0,-0.0503619155,0,0.247126815,-0.476412476,0.419799058,0.506168951,-0.13156346,-0.64899264,-0.0703307415,0.6267731865,0.140206131,0.0543474455,0,-0.0345033045,0,-1.123534668,0.2361594085,-0.119908905,-0.2146659875,0.3195901895,-0.470403014,0.69925454,0.3379672195,0.6264105455,0,-0.139258773,0.339532052,-0.704068225,0.113295477,0.172472994,-0.268037898,0.184938007,0.3857180525,0.2234527895,0.332178689,0.109717986,1.578087888,0.082607612,0.172056636,0.87663668,-0.101754374,0.241532712,-0.2321304565,0.041214839,0.0859439885,0,-0.300450821,0.00220964699999998,0.367744502,-0.041284225,-0.180993629,0.3562767805,-0.2514032575,0.602290227,-0.321491114,0.268031235,0.1633463075,0.0864806475,0.130008566,-0.216148598,-0.508482035,0.074698121,0.0133212315,-0.1497779755,0.763259133,-0.1027976905,0.160827282,-0.735015294,-1.2358986645,0.4250669065,0.221612623,-0.1366288795,-0.219232854,-0.7223637965,0.174910108,0.053991498,-1.3844054765,-1.63954976,-0.0332055575,1.5146321045,0.791604452,-0.106240714,-0.047700588,-0.447324377,0.00711884399999999,-0.3051252165,0,-0.181868403,0.745992228,0.638931193,-0.136010423,-0.3073117015,-0.556855816,-0.105162738,-0.06647557,0.1326960385,-0.0994395925,-0.5574346745,0,0,0,0,-0.234022917,0.2617718465,-1.982586103,0.2055210375,-0.1403230185,-0.3717816705,0.6662105995,0.431905109,-0.2222249005,0.662354202,0,-0.68021145,-0.309618569,-0.083799875,-0.028083801,-0.715288312,-2.8930683555,0.4972992825,-0.071827217,0.0648713095,0.25882525,-0.1729070195,0,-0.2281952545,0.057671674,-0.1539672625,-0.02998879,-0.428136762,0.2473305105,-0.228592123
"set117_817",-0.362910116,0.061083791,-1.5937997625,-0.00181461249999998,-1.6643466955,-0.9201145775,-0.9201145775,0.192653297,1.344230095,0,-0.3104229355,-1.112422097,-1.727268886,-0.183679181,-0.471253907,-0.1425482185,0.0535552175000001,-0.555730047,-0.132889742,0,-0.554174876,0,-0.313943125,-1.4100117805,-0.1621300365,-0.0964258865,-0.205626886,-0.00704469699999999,-0.9709191255,-0.1545928255,-0.613943162,-0.928338185,0,0.1815775015,0.201109073,0,0.8046814745,-0.002475061,-0.949480458,-1.0560799305,-0.0906927605,-0.064016134,0.370620666,-0.2032408925,-0.285806829,0.271253831,0.283024015,-0.1156938265,-2.2252972315,-0.488705212,0.292053239,-0.7073307985,-1.374526447,-0.028604509,-0.230272015,0,0.2246323505,0,0.510572117,-0.2234588695,-1.2841354395,0.41489619,-0.6051963145,-1.2240280185,-1.891624548,-0.319328689,0.402607689,-0.0271094,0,0.1638322615,0,-0.25757744,0.0216714615,0.450689509,-0.731282644,0.160378533,0.0732040705,-1.775093564,-0.3070679045,-0.391903131,0,-0.5436163105,0.6358678245,-1.3011949125,-0.082310426,0.060000774,-0.288569039,0.8575084285,0.044069567,0.3686620195,0.294579648,0.1150326345,-0.6008664305,-0.4825461475,0.148522728,0.8443516365,-0.3171904265,0.679464328,-0.0971415595,-0.247688481,0.068215272,0,-0.669119057,-0.587721152,-0.798779899,1.717187482,0.185626559,1.0307872845,-1.071276078,-0.1209279525,0.7876013605,-0.0824955175000001,-0.3118401085,-0.6216755855,0.1514140235,-0.054561538,-1.208551772,0.405749079,0.3899537185,-0.1959180235,-0.019423145,0.0243659635,0.2582496325,-1.318622697,-0.3296576785,0.411959486,-0.492169031,0.3793595215,-0.735181575,-0.9572494165,0.027368953,0.252561693,-0.511059451,0.5159371725,-0.69187021,-0.9153637075,0.169651628,0.158550354,-0.0906927605,-0.785727063,0.390922747,-0.029479029,0,-0.1817660825,-0.5708225465,-0.621626492,0.044764031,-0.945845657,-1.032044547,-0.447677023,-0.10195222,-0.9762196695,-0.25480696,0.3075471605,0,0,0,0,-0.002460894,0.090591404,-0.400707141,-0.2707171385,-0.4689299575,-0.3934518065,-0.810284867,0.439258591,0.1217661355,-0.307220928,0,-1.719966835,0.3664713005,0.313883392,0.214250777,0.534557141,-0.128143172,0.561836785,-0.4113699675,0.4213505195,0.1884353355,-0.9030955415,0,1.1479189855,0.019065659,-0.016453527,-1.818370464,0.0700260015,0.359428504,-0.18349355
"set117_818",-0.312266684,0.017324806,-1.469298274,-0.2667149195,-1.6626605585,-0.8212182225,-0.8212182225,0.626521073,1.664260447,0,-0.2161954665,-1.0640864165,-1.3811852905,-0.147095425,-0.5723318625,-0.0992824455,0.3817895255,-0.751734555,-0.0242112375,0,-0.9149425325,0,-0.231044403,-1.6723057715,-0.017577774,-0.0749114540000001,-0.2046762,0.0743985,-0.6362724385,-0.5954315295,-0.775914751,-1.2704033545,0,0.3197233945,0.375599486,0,1.1123374195,-0.2017360795,-1.453081677,-1.5683020235,-0.1634766615,-0.265224762,0.516344456,-0.1953129955,-0.069406974,0.401514008,0.3711673145,-0.0988441805,-2.934266187,-0.526485088,0.239558373,-0.6645351915,-2.220396069,-0.17728637,-0.402842702,0,0.303290848,0,0.720808588,-0.534687868,-1.729486042,0.381956673,-0.662510309,-1.6452311995,-2.2578557565,-0.288594714,0.816395863,0.1386456115,0,0.1946343765,0,-0.554708049,-0.1205717195,0.626677902,-0.7982993765,-0.333809433,0.2913937765,-2.6430342955,-0.42676991,-0.271315611,0,-0.4635442055,1.202952867,-1.693012729,0.005078415,0.145194604,-0.16628155,1.1575260735,0.4667053775,0.5116892965,-0.089148204,0.2311630725,-0.204064255,-0.647329119,0.248494464,1.2233910825,-0.0461975315,1.071228249,0.2414019175,-0.294347227,0.025767838,0,-1.266971661,-0.846075752,-0.941824705,2.109785297,0.324475173,1.638040655,-1.0169889795,-0.055384046,0.75186913,-0.530192818,-0.1067819685,-0.593082874,0.2621767365,0.143326122,-1.525428389,0.47319014,0.4346865515,-0.3009175275,0.211034138,-0.1735986105,0.441580652,-1.634445863,-0.6230367075,0.6749569415,-0.605753446,0.2584853205,-1.041029573,-1.285675244,0.023428802,0.303291677,-0.872155848,0.245015089,-0.7678584365,-0.8933285455,0.162981647,0.335157257,-0.1634766615,-0.811512501,0.28051358,-0.123929033,0,-0.3794038775,-0.636461378,-0.59040628,-0.012139306,-1.3570897935,-0.8896629475,-0.2184328285,-0.328557826,-1.8374041765,-0.307392845,-0.2475829255,0,0,0,0,0.301219201,0.2086436485,-0.422927004,-0.195514984,-0.416747135,-0.512698766,-0.7585769655,0.575889149,-0.0357829535,-0.106874579,0,-2.117776044,0.2175316335,0.109384847,0.358982876,0.687670924,-1.178321097,0.445108966,-0.7271896455,0.454702938,0.2727158065,-1.069949299,0,1.7661825785,-0.066062261,0.118230444,-1.73371376,-0.1626915715,0.436867585,-0.130357238
"set117_147",-0.12875434,-0.039219263,-0.211031204,0.20012597,0.032385852,0.236699788,0.236699788,-0.3228284,0.332233249,0,-0.035986058,0.368832662,0.456244238,-0.029459011,-0.232753885,-0.011344226,0.177779668,-0.193311542,0.049248609,0,0.1157287465,0,-0.02176159,0.00764117049999995,0.4601241235,-0.1392997575,0.113235633,0.124964023,-0.215745899,0.3688194355,-0.011991568,-0.1670422365,0,-0.019216521,0.124987456,0,0.2997949885,0.1929947225,0.317177704,-0.012228528,0.035588881,0.103976997,0.351098618,-0.0427178415,-0.023931479,-0.04598873,0.0197887845,-0.010898457,-0.576093634,-0.24846492,-0.6792840805,-0.278606171,0.0521650155000001,0.014948085,-0.146023409,0,-0.1423103195,0,-0.097478507,0.00463366549999999,0.028665479,0.1433414235,-0.304773932,-0.1066256285,0.0102392690000001,0.27034521,-0.039494867,0.0435955065,0,0.0637928185,0,0.1541950545,0.175159734,0.208316782,-0.0993737515,0.250513567,-0.026497493,-0.648686666,0.325129279,9.34170000000123e-05,0,0.0528344655,-0.1014635915,-0.1131835765,0.018377105,-0.004419236,-0.0590094495,0.12342705,0.1922782125,-0.0651806855,0.108758078,0.0686961125,0.252468413,0.2217499165,-0.019142224,0.3787613015,-0.043312629,0.078844371,0.011913497,-0.228802122,0.020891152,0,-0.245283416,-0.242295828,-0.115477559,0.3196280495,-0.04226939,-0.0710892000000001,0.0660360894999999,-0.1219919745,-0.2500882895,0.2790796505,0.0751883095,-0.206141934,0.0621369355,-0.207177515,0.161892798,0.197424087,0.010205386,-0.021048328,0.3368348375,-0.018025859,0.063416613,-0.043597521,0.055544692,-0.1285539845,0.04248843,0.149510524,0.136804757,-0.23159012,-0.041294716,0.105739565,-1.0420298305,-1.152377438,-0.228054439,0.264657333,-0.061531864,-0.101573915,0.035588881,-0.218429158,0.004752953,0.139877836,0,-0.079058745,0.368420572,-0.270052223,0.158580357,0.0326335795,0.129153092,0.267218851,0.00523754099999999,0.0483532704999999,-0.200475807,-0.230031066,0,0,0,0,0.245132687,-0.0720893605,-0.096921523,0.0743329515,-0.3262386195,-0.197522592,0.4585179015,0.166056175,0.046745525,-0.34180578,0,-0.0214805650000001,0.122198241,0.273294257,0.008554797,0.115250348,-2.583012572,0.181192102,-0.120944449,-0.013177296,0.238674473,-0.00138619100000001,0,0.0316047125,0.155472037,-0.061776511,0.396298664,0.17369861,0.0955466395,-0.144951706
"set117_148",-0.016585875,-0.05371215,-0.234893264,0.214266041,-0.0798822965,0.0960700965,0.0960700965,-0.2562878965,0.282418429,0,-0.035782745,-0.1392573415,-0.0455851564999999,-0.054880971,-0.1980245505,0.044072399,0.2571179,-0.218768046,0.1649084995,0,0.1367497325,0,-0.047350478,-0.136645544,0.2226120125,-0.3462489515,0.073382849,0.196839639,-0.181146832,0.2834347025,-0.033246159,-0.09974574,0,-0.083116075,0.134074751,0,0.295683723,0.0570596225,0.378803813,-0.0554768245,-0.016839012,0.083386182,0.242594842,-0.071818974,-0.037102952,-0.015480486,0.05044364,-0.151355859,-0.4912549515,-0.203463293,-0.180634881,-0.246572843,0.1035727125,0.0475679645,-0.2083718555,0,-0.2029574885,0,-0.088360527,0.131044714,-0.0164692034999999,0.2687762415,-0.359697853,-0.133464179,-0.2161882795,0.263767797,0.118268323,0.0154818195,0,0.384712735,0,0.1097029695,0.21891731,0.069608723,-0.092599058,0.2674089505,-0.37806642,-0.729205117,-0.109455425,-0.146830792,0,0.0940905775,-0.020166882,-0.056207364,0.028534556,-0.041530327,-0.051962474,0.150263087,0.040805463,0.00318418299999998,0.133491053,0.078794392,-0.0791761105,0.179891634,0.011926346,0.1127104705,0.02423386,0.144231813,0.0870870915,-0.187288768,0.04392271,0,-0.254994017,-0.291051511,-0.241708126,0.3954264445,-0.0836264,0.010622863,0.0917642809999999,-0.000715728499999957,-0.173889334,0.275429786,0.12159843,-0.136282939,0.063061658,-0.242877683,-0.0122446714999999,0.075430456,0.025653063,-0.012033349,0.4236745015,0.037677744,0.1225659065,0.00901979799999997,-0.2318831815,-0.077533509,0.060665372,0.219356566,0.01898605,-0.2093345935,-0.040453415,0.122403182,-1.262698455,-1.3099689845,-0.2053388075,0.1386824145,-0.0638276830000001,-0.098333578,-0.016839012,-0.097334945,0.015224089,0.1404540525,0,-0.172423845,0.3034922125,-0.342257251,0.129892708,-0.019619345,-0.1273787255,0.2055309385,0.048627006,0.093412948,-0.1631560475,-0.062525782,0,0,0,0,0.233373589,0.000960091499999982,-0.078884003,-0.20579279,-0.597440497,-0.173880492,0.0229411065000001,0.213968736,-0.1352715085,-0.23337657,0,0.160731875,0.020440176,0.202416308,0.019969078,0.09770983,-2.719844367,0.243174869,-0.112345426,-0.094479648,0.253265304,-0.0183368595,0,-0.0446378035,0.257784905,-0.073591797,0.127366821,0.121076295,0.1153540065,-0.125870577
"set117_464",-0.13327749,-0.068265902,-0.865033638,-0.344311506,0.07614758,0.287821451,0.287821451,-0.1806874895,0.743384587,0,-0.0946220875,-0.34704203,1.199373359,0.56715022,-0.302882402,0.1114281245,-0.0963143315,-0.390445552,0.157353333,0,-0.35554849,0,0.28776147,0.147322994,0.594795966,0.037968724,-0.012875455,0.28010665,-0.7049668425,0.3467734865,0.1435671215,-0.209780586,0,0.1117095405,-0.0872273010000001,0,0.38279737,0.272681255,-0.215870186,-0.285539255,0.0922818785,-0.024841995,0.261825163,-0.208558122,0.335454441,0.134331975,0.0713167645,-0.3918702075,-0.6643048,0.058633404,-1.7054889625,0.0598936035,-0.920280566,-0.211829385,-0.261776184,0,0.079624198,0,-0.286371498,0.080176553,0.00404279550000003,0.0301247545,-0.284697445,-0.2096946065,-0.497984754,1.0042713375,0.416650918,0.1383536295,0,0.51318557,0,-0.194421986,-0.516203188,0.04832644,-0.3217190925,0.350610468,-0.1172260595,-0.6847756165,0.588844527,0.263704997,0,-0.1302060185,-0.205382985,-0.6389350425,0.026629502,-0.082472813,-0.3421802555,-0.035024862,0.012519474,0.041616735,0.071616517,0.1261123035,0.338918712,0.3596985175,0.24955758,0.506056614,-0.0522792875,0.3193274,-0.2712569705,-0.132859752,0.0164028095,0,-0.484583298,-0.28915599,-0.539011765,0.679356171,-0.242078204,0.2493286425,-0.3634030785,0.088137366,-0.2060442945,0.4977748575,-0.150583354,-0.521965449,0.1785423595,-0.045668407,-0.158572167,0.273075171,-0.153888717,-0.244070398,0.262647074,-0.079434801,0.079154977,0.108351251,-0.5131342565,0.00981926299999999,-0.348676676,-0.0430243735,-0.451067494,-0.8118520025,-0.069055681,0.066311721,-0.86365341,-0.9942410175,-0.350454243,0.304721105,-0.350094382,-0.045043569,0.0922818785,-0.372687654,-0.092109251,-0.109951661,0,0.0838932585,0.4020974555,1.335847561,-0.151992615,0.100076102,-0.0491234725,0.3704997995,-0.331692423,-0.272634075,-0.434086392,-0.2945593445,0,0,0,0,0.258889849,-0.0784032275,-0.480495617,-0.4120328565,-0.8248551025,-0.09468695,0.607199944,0.389890338,-0.296798192,-0.37894746,0,-0.17997111,0.0747524505,0.281298253,0.031458619,0.148845127,-2.2218089865,-0.2486330225,-0.128688493,-0.070293106,0.217795018,0.2874012505,0,0.172560556,0.207405923,-0.0998751715,0.1362643585,0.725700615,0.270469524,-0.08978327
"set117_463",-0.180758534,-0.110560832,-0.105954027,-0.468544399,0.1067592365,0.3775120305,0.3775120305,-0.2713389,0.719568804,0,0.022395331,-0.467818856,1.310741302,0.559579217,-0.3747104425,0.175187981,-0.14275715,-0.304070662,0.1462770585,0,-0.3849578095,0,0.336059305,0.1638700685,0.6563579895,-0.0504601055000001,0.016305383,0.518433542,-0.699642331,0.411563462,0.303578643,-0.11814632,0,0.093780391,-0.467142559,0,0.36784511,0.245722804,-0.254601665,-0.2165517005,0.061946004,-0.082122148,0.34024252,-0.209997895,0.286598624,0.146211901,0.023021158,-0.4580972745,-0.2399019375,-0.244971134,-1.8053882445,-0.0384381355,-0.855637162,0.00610111,-0.279520177,0,-0.029642905,0,-0.331027799,-0.067863939,0.168326673,-0.0278175155,-0.1465633585,-0.39315615,-0.5376001195,0.5720308175,0.28411579,0.2181409625,0,0.140335514,0,-0.1685465505,-0.4378548355,0.070899413,-0.3136154605,0.390383102,-0.285911038,-0.6426188895,0.492544477,0.263397256,0,-0.1845951695,-0.171594734,-0.343472319,0.115792037,-0.037028846,-0.480820508,-0.105180629,-0.06229221,0.124529973,0.095634057,-0.0866496665,0.345051034,0.4318762955,0.267171899,0.4718549325,0.007347409,0.201296777,-0.273835416,-0.116080528,-0.0123726405,0,-0.442785921,-0.156869608,-0.155112135,0.5383835935,-0.214667449,0.232946486,-0.3001188945,0.1052977655,-0.2807077025,0.6938541835,0.119884673,-0.414378428,0.2059230695,-0.150548414,-0.0917757634999999,0.169522866,-0.132417542,-0.233086099,0.3001289655,-0.1308565415,0.0899345795,0.090263905,-0.540104263,-0.0441168815,-0.269751248,-0.020078765,-0.530615197,-0.631687025,-0.013277612,0.077639985,-0.8443969235,-1.131101656,-0.3750199375,0.3689495445,-0.433121195,-0.032942559,0.061946004,-0.444578619,0.067306305,-0.188257945,0,0.020207138,0.366988639,0.219292484,0.036777752,0.184942649,-0.1054612475,0.1199254125,-0.312208763,-0.203263473,-0.38259014,-0.124996277,0,0,0,0,0.247880739,0.130732177,-0.401202916,-0.326072833,-0.773294969,-0.100789638,0.7492756395,0.387100858,-0.1859687945,-0.468911086,0,-0.21972672,0.037022829,0.220617903,0.00211006100000001,0.14126232,-2.2420649285,-0.1232610465,-0.118897871,-0.012076854,0.186630002,0.423687677,0,0.1015319095,0.319881865,-0.0549747575,0.1239792855,0.731378611,0.277282725,-0.191323703
"set117_152",0.554719676,-0.217507132,0.186502765,0.257466001,0.1849647395,0.0414144445,0.0414144445,-0.0958303225,0.37527435,0,-0.1563202335,1.268818029,1.487584932,-0.041589834,-0.0920384735,0.2412737235,0.0515463965,-0.103562648,-0.1466294195,0,0.064599053,0,-0.085464013,0.042820693,0.180021903,0.328142879,0.52045711,0.036199827,0.1018212405,-0.1898027245,0.1864486865,-0.1633413805,0,0.0015531805,0.230507668,0,-0.106321207,-0.091019095,0.554833338,0.1075138615,-0.0277438445,-0.175707808,0.019426384,0.4698944225,0.132276128,0.271613177,0.2446366785,-0.277308479,0.2994234225,-0.531333753,-1.213515231,-0.1680760785,0.548343596,0.7716809285,-0.3209190685,0,0.0118730495,0,-0.218436603,1.2601408155,0.295173725,0.299639044,-0.093345758,0.0196133315000001,0.3430994485,0.621693617,-0.13173556,0.201143831,0,0.870617936,0,-0.107681009,-0.1719275685,-0.107478109,-0.0416273725,0.2789284575,0.0135623645,-0.0073603579999999,-0.0744920130000001,0.3588021375,0,0.4463831595,0.0922916,-0.444648106,0.362260756,0.30793344,-0.1190263105,0.122753648,0.2686908895,-0.128185772,0.031042601,-0.418055323,0.8013533505,0.1720152605,-0.466532495,0.576254629,0.1216945155,-0.026403877,-0.095311218,0.344378786,0.015062817,0,-0.062054502,-0.186072523,0.934534634,0.1239158765,0.552682463,-0.0862495125,0.1681087975,0.3365470895,0.0811527485,-0.0225730785,-0.057931254,-0.06516149,0.06656107,-0.208003303,0.212337866,-0.09200772,0.1955719735,1.1658457995,0.43554276,0.1409231585,0.2291707465,-0.078270367,0.200243725,0.0910665055,0.51309767,0.5543229645,-0.325034791,-0.5653451925,0.43913229,-0.188843916,-0.399712202,-1.1401597945,0.2072526825,0.0530203745000001,-0.287349719,-0.225281792,-0.0277438445,-0.135473718,0.051445574,0.0926615985,0,0.1788501885,0.4626848845,-0.042290033,0.091667881,0.0298849395000001,0.2897471755,0.5522360035,0.050976637,-0.040434724,-0.4659709025,-0.205986182,0,0,0,0,-0.023951786,-0.028811225,0.061943558,-0.535546036,-0.968747409,-0.00165194350000002,1.167713754,0.163247774,0.290277366,-0.16770227,0,-0.549413264,0.1365339745,-0.027496592,0.164899121,-0.303382005,-2.488651768,0.346487879,-0.181940548,-0.1432792955,0.11507901,0.3846904975,0,-0.4454908915,0.080338221,0.092158875,0.0730022890000001,0.16473583,0.0051783505,-0.076092899
