"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set128_386",0.097022534,-0.101398467,0.731431887,-0.085896648,-0.3510402015,-0.1771128145,-0.1771128145,-0.3315477555,1.148808677,0,-0.654460608,-0.3406189895,-0.2561373675,-0.278150171,0.3736832985,-0.687243003,-0.355563508,0.236607464,0.00169941149999997,0,-0.726509358,0,0.061514302,0.734469603,0.4610744385,-0.0283787105,0.225958646,0.281306147,-0.159518347,0.1041539115,-0.6719499625,-1.044006286,0,-0.528736508,-0.794568744,0,-0.7152039025,-0.289329649,-0.866783749,-0.426376941,0.159518347,-0.00585013099999998,-0.375795155,-0.1505026755,-0.081064693,-1.199937006,-0.6411070485,-0.534328613,0.973323536,-0.117110574,1.392537745,-0.633301532,0.648806124,-0.325721831,-0.65074662,0,0.3967983385,0,-0.137423272,0.0184361590000001,-0.1925386105,-0.7184477755,0.049423632,0.053570341,0.603046555,0.293929591,-0.090834557,-0.110707827,0,-0.1196307995,0,0.2157997835,-0.15592385,0.046132034,0.11086833,0.204625767,-0.2674477115,0.1281033845,-0.165189471,0.260786758,0,-0.2606263985,-0.376043583,0.00493307600000004,0.119032678,-0.314649914,0.249581614,-0.228606016,-0.179880571,-0.2925108815,0.046363933,-0.0827857215,-1.2374024375,-0.135576655,0.080415534,-1.5710387155,0.020915794,-0.315981995,0.042408373,-0.109729093,0.092381954,0,0.398346952,0.063242825,0.010619605,-0.913315658,0.040100613,0.0259183265,0.2611688645,0.1884568075,0.1684474645,-0.8856203595,-0.1106702565,0.05770823,-0.1494281405,-0.110764813,0.19911645,-0.065026222,-0.280556243,-0.055039943,-0.613064677,0.511114799,-0.1467198115,-0.288876646,-0.338511511,0.000677844999999998,0.485458328,-0.1353568895,0.188694837,0.559058557,0.201779002,-0.138983415,0.3699894865,-0.3961216555,0.6358878335,0.123759717,0,0.213179378,0.159518347,0.108176863,-0.190727796,-0.065130937,0,0.067886707,-0.6831436885,0.144589202,-0.075348083,0.3536817885,-0.5257906315,0.2150770115,0.405154523,-0.6087387255,0.463043031,0.411232513,0,0,0,0,-0.701363283,0.4131974195,0.306174889,-0.1895002495,-0.9184990355,-0.2816012335,-0.732953624,-0.114092373,0.365420636,-1.152227968,0,0.012764689,-0.029188037,0.0649804970000001,0.133193618,-0.543237338,0.339108924,0.027258008,-0.000860627000000003,-0.2339457755,0.016870579,0.0806672980000001,0,0.0303797404999999,0.571641664,-0.09138743,0.586054747,0.318208989,-0.2207861495,0.005480907
"set85_466",0.206707001,-0.013769894,-0.2050269075,0.553628837,-1.663190048,-2.025023718,-1.583463197,-0.126358522,-0.603607841,-0.133468079,0.8862108205,-0.668743874,-2.319342974,-0.824211848,0.113453028,-0.1807401095,1.8164801625,-1.302222834,0.5157725635,0,-0.3171160075,0,-0.090315298,-0.9435948645,0.1436482005,0.00417636200000004,-0.368650256,0.28411586,0.4444684625,-0.1663720475,-1.1585667545,0.1351231275,0.147342573,0.2654979705,0.951724747,0,0.1877072355,1.084473182,-0.471342685,-1.244444112,-0.2963712355,-0.080561522,-0.000608938000000003,0.1094386205,0.919647075,-0.46040537,0.260740116,0.67310001,-1.355801901,2.202764504,2.5661260265,-0.275193938,-0.5849627685,0.0179966815,-1.3759960245,0,0.087141335,-0.360994802,-0.282642015,-0.1845913125,-1.633441784,-1.2570993685,-1.2354373855,-0.296319051,-0.90848227,0.08588182,-0.021289488,-0.3127654215,0,-0.0674656165,0,1.3082477285,-0.5774941855,0.367560858,0.2903734925,0.3424225915,-0.378364051,-0.5907004735,-0.308523016,-1.918185951,0,-0.2386080865,-1.5348740665,0.00808019000000004,0.035261197,-0.207003008,0.383457374,0.843695357,-1.0964947555,0.7829438555,-0.153003921,0.7305277165,-1.187186492,-1.646088673,-0.323993901,-0.628623932,-0.1392246015,-0.053774494,-0.467892783,0.725498975,0.270514756,-0.282046841,-0.292391528,0.053787373,-0.357076139,1.850942226,0.230373022,1.0650125355,0.699482022,-0.1644937605,0.96723394,-1.69745123,0.2271503425,-0.6913559425,-0.0525357865,0.390279308,-0.476569354,0.135335401,-0.10594143,0.241329106,0.2998469875,-0.121808324,0.8197073875,-0.267246036,-0.010806296,0.178333333,0.674253723,-0.3400994125,-0.072138501,-0.764894126,0.231521532,-0.162113114,-1.8176136155,-0.031443873,0.283297058,-1.972781432,0.038896261,0.543382344,-0.0836739555,-0.162869501,0.332173924,0.3055200655,0,-0.2386536945,-2.035012626,-0.061561841,-0.955674932,-0.672937844,1.1689083105,0.7705636115,0.384559451,-1.2616442235,1.0122716045,0.5242641865,0,0,0,-0.074429822,0.483011598,0.0497929035,0.544714545,0.0383894345,0.8739928185,0.378793191,-0.869447778,0.286684151,-2.561873144,-0.876188981,0,-0.071262299,0.1835200965,-0.37469264,-0.025115105,-0.00106568699999998,0.213116091,0.249994542,-0.657455033,2.960348831,1.028463985,-1.491234421,0,0.956376061,0.03018086,-0.451085957,-0.8830913195,0.0611129010000001,-0.14178224,-0.41805849
"set85_371",0.182628699,-0.057193809,-0.6113072575,-0.5561836875,-1.910942394,-2.343534969,-1.877098591,-0.864799571,-0.186302524,-0.182195997,1.0539924595,-1.828185848,-2.863267514,-0.821971378,0.0307600295,-0.3989821355,1.1146414545,0.319188273,-0.0272643995,0,-0.2015948845,0,-0.275200699,-0.927355935,0.2387785605,-0.318784674,-0.21824628,0.221821404,0.7644647335,-0.3029284435,-2.2323762285,-0.6755924935,0.282263657,0.1323480475,0.392296222,0,0.270682669,1.2321668065,-0.352558012,-1.5827807045,-0.1920082915,-0.473769609,0.019327614,-0.114581338,1.379551831,-0.440144425,0.2223549035,0.984513837,-1.798192149,2.401450672,2.0258581215,-0.2424490995,-0.247762133,-0.011651415,-1.343768239,0,-0.216270602,-0.304301417,0.26995455,-0.2740347135,-2.092673878,-1.5318434805,-1.0997355055,-0.2908201855,-1.224236011,-0.014928429,-0.135768292,-0.2815461935,0,0.012231945,0,1.4406567355,-0.6352176565,-0.042084917,0.2908184415,0.388606842,-0.3533569035,-0.952167018,-0.465703973,-1.5371037235,0,-0.396586747,-1.591082965,0.028504093,0.087686406,-0.113691373,0.261977984,0.1514917075,-0.7537803715,0.758658941,-0.153003921,0.90884831,-1.2876248665,-1.6357675665,-0.766060788,-0.6286299515,-0.2279785575,0.465584356,-0.4482280915,-0.154643404,0.277390359,-0.412691866,-0.650652201,-0.143289753,-0.254474703,1.975871465,0.453502811,-0.5415248745,-0.0442399319999999,-0.228040955,0.626108368,-1.610357298,0.189779152,-0.7344733515,0.1581339,0.411730123,-0.8504258465,0.255902249,-0.159482707,-0.153169534,0.7799894975,-0.209828694,0.000772191500000005,-0.267246036,-0.6233476835,0.2577009915,0.163088724,-0.2885659465,-0.108154944,-1.87425563,0.295702127,-0.344632877,-1.408409889,0.387888952,0.1740109505,-2.1903782015,-0.215946667,0.839499868,-0.0887408675,-0.483943077,0.402012009,-0.17941194,0,-0.3360891075,-2.299856396,-0.034554273,-0.983971176,-0.839943183,0.967553505,0.652434167,0.525410752,-1.276470531,0.595049506,0.2898020015,0,0,0,0.105256776,0.405438815,-0.1942843445,0.544714545,0.3697995525,0.8489046225,0.3642648375,-1.7495831575,0.403218128,-1.452489183,-0.972240165,0,-0.071262299,0.1150540215,-0.268086248,-0.047710675,0.034898024,0.421635647,0.428589463,0.0127711105,3.0956041615,-0.0788552795,-1.668138149,0,1.428280386,0.03018086,-0.547378179,-1.474140988,-1.3898822335,-0.1860925985,-0.098331378
"set32_1048",-0.037750414,0.11030463,0.3685524455,-0.387410168,-1.18794665,-0.976855499,-1.619108955,0.5364509745,-0.05207725,0,-0.0507634255,-1.6559453025,-1.3543977765,-0.21726364,0.1077441485,-0.7240023215,4.0387271615,0.183980546,1.113404359,0.024049728,-0.237506685,0,0.045318709,-0.559645107,1.8557526385,1.49994832,-0.128364007,0.021539701,-0.1085794365,0.092654515,-1.805413534,0.6060801625,0,0.0307876275,0.883102785,0.205214567,1.0245525565,0.4367318735,-0.663884481,-0.499508961,0.1622164765,-0.109843038,0.288568904,0.279809897,-0.068460644,-0.591575149,0.448591588,0.0693682135,0.1902097765,1.99006974,1.184140832,-0.120170287,-0.0503505065000001,0.220462197,-1.562166546,-0.037868803,-0.5098751425,0,0.946328835,-0.789765842,-1.991500673,-1.446268811,-0.5351490725,-0.1227429155,-0.8500430985,-0.079550601,-0.044421858,1.009845982,0,0.6052618635,0,0.426955164,-0.2101589755,0.231643408,0.6689354485,0.286790205,0.0542448815,-0.4895887705,0.30425955,-1.302139936,0,-0.7543259685,-0.6249505505,0.777407229,0.040599626,-0.292328719,0.351776894,0.483975026,-0.3915241405,1.2602385625,-0.153003921,-0.7108490105,-1.2913877645,-1.093762988,-0.344148077,-0.559038389,-0.1242609755,0.235759545,-0.4034574055,-0.421612794,-0.154420949,-0.043965246,0.169730449,-0.031490745,-0.106644754,1.06252064,-0.046989233,0.7775300825,0.5671030655,0.073216405,0.508674725,-1.248469739,0.9251320995,-0.6893834435,1.0382140145,0.650195067,-0.126777778,0.254347367,0.480416879,0.496752005,0.2700812665,0.0669547695,-0.191660905,-0.267246036,0.7072783755,0.496877589,-0.883920906,-0.3052357035,0.00964827500000001,-0.391313648,0.342554118,-0.109343702,-1.3801732495,-0.1088963465,0.1823188375,-1.740702866,0.516597498,0.129418932,0.1369579765,-0.427186169,0.259244606,-0.119426536,0,0.0932430105,-1.1889911315,-1.14378786,-0.769094658,-0.4951044675,0.0138543895,-0.2246438525,0.025777494,-0.3566913225,0.484683301,0.857140334,0,0,0,0,0.226666655,-0.186572934,0.544714545,-0.854398355,-0.099588239,1.164156605,-1.212566424,1.939143043,-2.2781099675,0.566257482,0,-0.071262299,-0.3215784095,0.571060342,-0.424930081,0.517026317,0.174069085,-0.545657473,0.042271783,1.767038735,0.241276333,-0.858407711,0,0.4784563125,0.03018086,-0.140019225,-0.950651997,-1.232302301,0.9880753405,-0.373267323
"set32_1024",-0.037750414,0.11030463,0.3685524455,-0.543754739,-1.3478758925,-1.0722048785,-1.8768544565,0.669300481,0.019891066,0,-0.00787447200000001,-1.8881325135,-1.6771123925,-0.632413531,0.0436900575,-0.699304509,3.84276884,0.183980546,1.090569703,-0.001579384,-0.3267018365,0,0.045318709,-0.5740327195,1.8237763255,1.378462312,-0.348603994,0.011691474,0.248097369,-0.115248398,-1.8560942385,0.6060801625,0,0.073676581,0.97969032,0.151404501,1.351131273,0.4367318735,-0.917224454,-0.588975192,0.141015549,-0.456357616,0.249914894,0.2378837565,-0.731149213,-0.526646299,0.683149486,0.2683457825,0.3214461505,1.696280877,1.2028946225,-0.132085904,-0.8822009045,0.263575777,-1.744865979,-0.143721181,-0.391097233,0,1.299522353,-0.6158852465,-2.235008756,-1.1125326385,-0.506535226,-0.6894391885,-1.0814814315,0.0166246365,-0.064376864,1.11393388,0,0.738629965,0,0.4112081145,-0.1421826945,0.269281099,0.632450805,0.286790205,0.1399350235,-0.6356190645,0.30425955,-1.4803970595,0,-0.568876115,-0.557197861,0.7345182755,0.040599626,-0.292328719,0.246966467,0.639096345,-0.1956084585,1.236325543,-0.153003921,-0.8553950235,-1.4338128735,-1.2618124555,-0.344148077,-0.614822244,-0.081372022,0.341756644,-0.539050891,-0.415053755,-0.1225228045,-0.382990536,-0.128757875,-0.031490745,-0.106644754,1.0886155125,0.074216396,1.022992788,0.552917945,0.274450646,-0.1274042155,-1.3018410945,1.034429756,-0.6036055365,1.1868032955,0.559920385,-0.33084447,0.191277091,0.4217883825,0.2160344175,0.1685400565,0.0669547695,-0.22822681,-0.267246036,0.664389422,0.4136892345,-0.95193101,-0.642750434,-0.29718238,-0.4446850035,0.342554118,0.077381809,-1.5299549385,-0.0831639705,-0.0406449705,-1.8103481285,0.314043785,0.129418932,0.094069023,-0.699974267,0.293948866,-0.156410424,0,0.050354057,-1.4552439425,-1.035608452,-0.769094658,-0.822573722,-0.0947123075,-0.3626433325,0.025777494,-0.699594322,0.484683301,0.812006716,0,0,0,0,0.226666655,-0.148608094,0.544714545,-0.866919002,-0.112108886,1.2975247065,-1.519057756,2.205879246,-2.313707168,0.464089458,0,-0.071262299,-0.593894259,0.399536368,-0.270130271,0.517026317,0.1779391905,-0.5205701455,0.042271783,1.6885029665,0.241276333,-0.9117790665,0,0.0813773585000001,0.03018086,0.0590826555,-1.195044736,-1.298754992,1.121443442,-0.190620319
"set32_1000",-0.037750414,0.11030463,0.3685524455,-0.248258564,-0.6396205095,-0.7162885075,-1.3088813105,0.520376171,-0.162079971,0,0.018178314,-1.3880924955,-1.2179259155,-0.500313591,0.0946229415,-0.551761326,3.615034439,0.183980546,1.198531538,-0.006236824,-0.2772295435,0,0.045318709,-0.502475439,1.5054616495,1.2950619775,-0.566624263,0.045696131,0.0399688,0.101039372,-1.2512884965,0.6060801625,0,0.099729367,0.715927176,0.131530224,1.248547594,0.4367318735,-0.743330198,-0.1349118375,0.220242203,-0.153859162,0.110556742,0.319825574,-0.472530984,-0.562152614,0.5812593425,0.1617941185,0.624177514,2.207064917,1.070498552,-0.17919447,0.2899948345,0.165296915,-1.720760245,-0.164672025,-0.4437112335,0,1.07537837,-0.5357713795,-1.581368014,-1.399596788,-0.5454231305,-0.0132961075000001,-0.3799611405,-0.043618774,-0.077584152,0.916918696,0,0.621915077,0,0.1739274085,-0.147750605,0.371079114,0.6124460405,0.286790205,0.1345288285,0.039836313,0.30425955,-1.360403909,0,-0.8537572285,-0.4794363745,0.7084654895,0.040599626,-0.292328719,0.222303385,0.611518405,-0.536771697,1.244256337,-0.153003921,-0.68934192,-1.386139726,-0.862250968,-0.344148077,-0.696905742,-0.055319236,0.172678103,-0.404730758,-0.364848302,-0.081948139,0.037966038,-0.00607028799999998,-0.031490745,-0.106644754,1.088442464,0.126645399,0.8262095825,0.4688825805,0.2579985205,0.219224461,-0.959665138,0.929919976,-0.5514999645,1.048096629,0.518984908,0.1711974045,0.047117735,0.250380182,0.418300353,0.285488054,0.0669547695,-0.219232927,-0.267246036,0.638336636,0.4646586615,-0.605048067,-0.6201304655,-0.115888773,-0.102509047,0.342554118,-0.012055747,-1.758165319,-0.2480639225,-0.0238298925000001,-1.6933520315,0.751496742,0.129418932,0.068016237,-0.414055003,0.019614547,0.086032725,0,0.024301271,-1.381031956,-0.891362083,-0.769094658,-0.2540876185,0.223153777,0.0664669860000001,0.025777494,-0.125907006,0.484683301,0.8581925375,0,0,0,0,0.226666655,-0.1055529795,0.544714545,-0.7527513835,0.00205873249999997,1.1808098185,-0.917978973,1.97244947,-2.425986019,0.386594921,0,-0.071262299,-0.383328776,0.441848681,-0.242916622,0.517026317,0.178698883,-0.552190842,0.042271783,1.8466374635,0.241276333,-0.56960311,0,-0.060717182,0.03018086,-0.069433283,-0.51097523,-1.048124878,1.004728554,-0.516927186
"set32_976",-0.037750414,0.11030463,0.3685524455,-0.13919832,-0.3777262665,-0.2215487455,-0.5839915795,-0.806942595,-0.621728076,0,0.5070715175,5.90131904,3.677336383,-0.866820018,0.379258156,0.3883930835,-0.1664749025,0.183980546,-0.8432844065,0.460182158,-0.410421235,0,0.045318709,-2.2325662535,0.405304896,0.482251342,-0.372786397,0.120041719,0.6670609215,-0.884557575,-0.414052233,0.6060801625,0,0.5886225705,2.242996335,-0.099684822,0.1020619265,0.4367318735,-0.647935757,1.904275745,-0.5336711775,-0.075277178,-0.223674443,3.434943183,-0.632500371,-0.111108707,2.918737389,-0.1138944185,0.3237261345,0.258879391,0.981385695,0.4276190285,0.343540235,1.275219397,-0.973944009,-0.063104901,0.6883793675,0,2.598763767,0.00753502450000004,-0.121701216,-2.5231492505,-0.884072719,0.776892414,2.3464923885,-5.42779133,-1.678448387,0.042936923,0,-0.4679302885,0,-1.421711739,0.0907216685,-0.311446142,0.3849674135,0.286790205,-0.236920376,3.135537624,0.30425955,0.2288975635,0,0.035652217,-0.200645297,0.219572286,0.040599626,-0.292328719,0.6979389975,1.630637376,2.958947416,1.4207239515,-0.153003921,0.5016638975,0.3814380105,-0.3071192445,-0.344148077,0.3790594925,0.4335739675,-0.432359152,0.4374107175,-0.888049207,0.196880643,0.328497172,-0.059576394,-0.031490745,-0.106644754,0.8521296835,-0.11541115,-0.468512926,1.012136147,0.3892679945,0.2900370325,-0.5189216655,0.2716183525,0.4262864425,-0.4461758155,-0.150044491,2.6346944145,0.190366751,1.676153764,5.764517803,1.717728433,0.0669547695,0.986365729,-0.267246036,0.1494434325,-0.3510079635,-0.773190342,0.312930621,-0.137977679,0.3382344255,0.342554118,-1.075051628,0.062996457,-0.0259705085,1.694216227,-0.6756147275,-0.101121801,0.129418932,-0.4208769665,-0.055486582,4.256372382,-0.381315448,0,-0.4645919325,0.9729997,-1.453502374,-0.769094658,0.295020173,2.435413794,2.168768292,0.025777494,-1.0075468345,0.484683301,-0.385209128,0,0,0,0,0.226666655,0.420513018,0.544714545,-0.4348961505,0.3199139655,0.090964453,3.910161923,-0.207241261,-0.504030233,-0.94843618,0,-0.071262299,-0.5037393255,-0.890026115,0.041162918,0.517026317,0.625350985,-0.802611772,0.042271783,3.282324254,0.241276333,-0.1288596375,0,-2.0076051035,0.03018086,-0.228766639,0.700557927,-1.114261366,-0.0851168115,-0.221568449
"set32_1047",-0.037750414,0.11030463,0.3685524455,-0.434364581,-1.15138446,-1.263038466,-1.698077699,0.3332508865,0.013201932,0,-0.2209270855,-1.3612108125,-1.9637908835,0.233842836,0.0701023045,-0.9930491695,4.0226446695,0.183980546,1.146930513,0.078892199,-0.3557414825,0,0.045318709,-0.349891078,2.133165661,1.3108759515,-0.350532947,-0.165028971,-0.2599138885,0.329962614,-1.856210131,0.6060801625,0,-0.1393760325,1.079502246,0.122457023,1.3291270335,0.4367318735,-0.900354076,-0.784422786,0.4005985115,-0.380737247,0.147603133,0.3572612615,0.035636139,-0.602713459,0.252999226,-0.038759997,-0.369155444,1.254251716,1.6570613335,0.109788244,0.3443345175,0.077737135,-1.862185475,-0.077841921,-0.4020173485,0,0.888057446,-0.798581139,-2.10925777,-1.2590457715,-0.463599526,0.0381988855,-0.993890483,0.0152620785,-0.001213412,0.942119514,0,0.6750323305,0,0.6872617595,-0.378100625,0.570108472,0.571538969,0.286790205,0.035855561,-0.6140708685,0.30425955,-1.6088088795,0,-0.7394590005,-0.833716943,0.947570889,0.040599626,-0.292328719,0.262482042,0.416113977,-0.4703963145,1.2634816075,-0.153003921,-0.665791783,-1.410881774,-1.7754456945,-0.344148077,-0.584227949,-0.2944246355,0.075040841,-0.4906621555,-0.463444444,-0.1331145755,-0.321818404,-0.114090581,-0.031490745,-0.106644754,1.0636171485,-0.088211895,0.811815806,0.1387773315,0.243685975,0.7949729205,-1.5598056315,1.1721295705,-1.0297107635,1.091959856,0.534419912,-0.186481834,0.331017175,0.47506876,0.544248021,-0.1099838645,0.0669547695,-0.503765521,-0.267246036,0.8774420355,0.242104251,-0.761330082,-0.3206528835,-0.382794916,-0.7026495405,0.342554118,0.02496146,-1.5235229415,-0.0161365295,-0.1392049185,-2.06446204,0.48668326,0.129418932,0.3071216365,-0.419301085,0.326364997,-0.251294082,0,0.2634066705,-1.2907527035,-1.176115855,-0.769094658,-0.986983857,0.2138668265,0.1193235465,0.025777494,-0.2288442345,0.484683301,0.9213003125,0,0,0,0,0.226666655,-0.45002093,0.544714545,-0.724536774,0.030273342,1.233927072,-1.1043246265,2.078683977,-2.2658638465,0.00922176400000008,0,-0.071262299,-0.1982320625,0.386432907,-0.274408143,0.517026317,0.3400258245,-0.5434354625,0.042271783,1.667510356,0.241276333,-1.1697436035,0,0.8924881005,0.03018086,-0.2132107225,-0.9984308715,-1.339405519,1.0578458075,0.382233969
"set32_1023",-0.037750414,0.11030463,0.3685524455,-0.402377474,-1.4723469075,-1.1641837315,-1.9775546965,0.564121016,-0.09672688,0,-0.0804598925,-1.8605123025,-2.0361165255,-0.671998003,-0.00796066999999998,-0.8374767245,3.9107861365,0.183980546,1.0658291715,0.011234444,-0.4146644015,0,0.045318709,-0.6553549215,2.0105619115,1.6552897675,-0.333155331,-0.237960514,0.0989064965,0.06898852,-1.8829106065,0.6060801625,0,0.00109116049999999,1.082388256,0.160123192,1.528669481,0.4367318735,-1.01452412,-0.750284768,0.2168599565,-0.661114553,0.092704887,0.268797938,-0.669294248,-0.510324574,0.5078021945,0.455566869,0.0231096515000002,1.310045491,1.421576198,-0.0285850405,-1.2454207045,0.130118327,-1.716901885,-0.116084928,-0.359927204,0,1.087563191,-0.5357094605,-2.355231908,-0.925663752,-0.497317561,-0.9029501715,-1.1316719265,0.0962373005,-0.090023893,1.2887894065,0,0.816501997,0,0.517311691,-0.171789595,0.143964041,0.64903537,0.286790205,0.164393336,-0.7020582,0.30425955,-1.6329668765,0,-0.666126806,-0.5471263895,0.807103696,0.040599626,-0.292328719,0.1592106505,0.517735969,-0.299077257,1.356093624,-0.153003921,-0.9684416255,-1.514183398,-1.6555725635,-0.344148077,-0.643744473,-0.1539574425,0.288632846,-0.6500152685,-0.389313975,-0.1585800955,-0.627722368,-0.242508516,-0.031490745,-0.106644754,1.1106359795,0.037175981,1.100215283,0.27873614,0.382431683,0.0227805464999999,-1.4116920295,1.148985502,-0.7487763775,1.2994719745,0.456686698,-0.408896218,0.403994586,0.4064724175,0.2550520985,-0.5691146455,0.0669547695,-0.289785776,-0.267246036,0.7369748425,0.4387908125,-0.653442299,-0.675052956,-0.432568948,-0.5545359385,0.342554118,0.173821509,-1.69111259,-0.065750005,-0.070242789,-1.8857677595,0.264789396,0.129418932,0.1666544435,-0.584806802,0.195193799,0.036210699,0,0.1229394775,-1.3635606585,-1.160608645,-0.769094658,-0.91844492,-0.0172565265,-0.3308211545,0.025777494,-1.140706683,0.484683301,0.905199333,0,0,0,0,0.226666655,-0.3460195085,0.544714545,-0.843299536,-0.08848942,1.3753967385,-1.558719969,2.36162331,-2.3390133335,0.115378709,0,-0.071262299,-0.5404697295,0.451201755,-0.212669666,0.517026317,0.1367338845,-0.4775916255,0.042271783,1.5353419325,0.241276333,-1.0216300015,0,0.4525359785,0.03018086,0.0148050615,-1.248705847,-1.426882974,1.199315474,-0.123701226
"set32_999",-0.037750414,0.11030463,0.3685524455,-0.373275663,-1.2674762965,-1.1960342065,-1.8392056255,0.874485378,0.108237146,0,-0.0523718215,-1.9503599335,-2.2169154835,-0.807556337,0.0727272715,-0.7253133685,3.6224901595,0.183980546,1.273521378,0.130214322,-0.27824106,0,0.045318709,-0.5225979955,1.652348629,1.151387226,-0.56747582,-0.157275494,-0.0306725365,-0.00664394049999999,-1.73399427,0.6060801625,0,0.0291792315,0.845984167,0.097077428,1.414772905,0.4367318735,-0.825097673,-0.5730133005,0.2176879415,-0.251752714,0.004642565,0.289968483,-0.503335538,-0.484337076,0.6379704185,0.5189902275,-0.0421622114999999,1.96523202,1.4671406,0.0456354545,-0.2417529765,0.287993366,-1.660343417,-0.016354044,-0.447120783,0,1.27404999,-0.658084538,-2.118305969,-1.2208793155,-0.5251739935,-0.2270071865,-1.007925193,0.0396075465,0.021603988,0.926298692,0,0.659594867,0,0.5369596065,-0.222651921,-0.176697442,0.592780141,0.286790205,0.045752841,-0.5257895305,0.30425955,-1.736616037,0,-0.7299780675,-0.5618680785,0.779015625,0.040599626,-0.292328719,0.287925402,0.291089532,-0.547798976,1.223779661,-0.153003921,-0.6800486545,-1.617799532,-1.529330498,-0.344148077,-0.7759763445,-0.1258693715,0.192204871,-0.6671638435,-0.465556969,-0.0123210365,-0.224664671,-0.048021466,-0.031490745,-0.106644754,1.104098275,-0.042204215,0.924035236,0.334412335,0.407469483,0.84440289,-1.385175644,1.063821281,-0.6926002355,1.0832436705,0.573157983,-0.3744173575,0.154716511,0.296277028,0.279526401,-0.1955149995,0.0669547695,-0.3093804955,-0.267246036,0.7088867715,0.3597773985,-0.606148058,-0.7011792085,-0.325895974,-0.528019553,0.342554118,0.031665645,-1.910700803,-0.0900128159999999,-0.0849204285000001,-1.8362675865,0.34454378,0.129418932,0.1385663725,-0.492858114,-0.01578963,-0.025128661,0,0.0948514065,-1.45393393,-0.882926321,-0.769094658,-0.753513658,0.0859972840000001,-0.112795589,0.025777494,-0.432031556,0.484683301,0.9352269715,0,0,0,0,0.226666655,-0.2775889275,0.544714545,-0.735340149,0.019469967,1.2184896085,-1.5839126705,2.04780905,-2.241499843,0.157619683,0,-0.071262299,-0.4205859935,0.3757238,-0.318774104,0.517026317,0.2711269865,-0.5565420225,0.042271783,1.7560361435,0.241276333,-0.995113616,0,0.213604225,0.03018086,0.0552096245,-1.1487248955,-1.214861111,1.042408344,-0.408292931
