"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set41_801",-0.280312007,-0.076425258,-0.280312007,-0.152454975,-0.0341940475,-0.2367769545,-0.0260700805,-1.4901583445,-1.0420547915,0,0.106772332,3.7166180755,1.8461206155,-1.00653814,-0.1980409125,0.602234723,-1.851485334,0,-1.1229830935,0,-0.41529537,0,-0.034576046,-1.1682248675,-0.897574525,0.9249506025,-0.297521541,-0.013261734,0.677827752,1.0275865325,0.2166982525,0,0,0.230561545,-1.261378928,0,-0.2575471825,-0.280312007,-0.210050559,0.968659486,-0.630273229,0.117815649,-0.564467836,2.1496363305,0.116871645,-0.086360268,1.992774557,0.1693715325,0.151446409,0.174060733,0.325129915,-1.4674433495,-0.3940746285,0.664033462,-0.392975831,0,0.389328774,-0.444021704,1.348339289,0.7578434625,0.801698455,-0.1248187725,-0.438796162,-0.244599916,1.7481904345,-3.8934153905,-1.214689031,-0.38062464,0,-0.0438896175,0,2.2219252295,-0.039916616,0.25480272,-0.4756186985,-0.3138756865,-0.0089262385,0.399295873,0.0862360815,0.3797721025,0.058183771,0.2882237385,-0.7039526015,1.178410646,2.636353471,0,-0.1326432565,0.440369827,1.704022549,1.8915536235,0,-0.540340257,0.8088736825,0.2009307385,0.280312007,-0.185165824,0.387084339,-0.191812219,0.610004631,-0.159258315,0.1531058705,0.725065876,0.796310713,0.518265748,0.702455297,0,0.1748343805,-1.7369963365,2.034003631,-1.9073346765,-0.22195483,0.434659772,0.7309176525,1.0209170055,0.048624772,-0.018240786,0.6583741085,-0.764759638,1.0180361275,4.2304970235,1.4800490665,-0.159139308,0.5400765245,0,-0.387084339,-1.606141247,-1.022236642,0.229493323,-1.179297418,-0.017030781,0,-0.020156175,0.0224569075,0.1319677505,-0.2912424035,-0.861019069,0.391224209,0,-0.667396346,0,1.8297386635,0.101236062,0,-0.387084339,-0.2752170055,0.190943507,0.187253384,-0.0768333055,1.3135306625,1.5154715615,0,0.7320514875,0,-0.4601486255,0,0,0,0,0,2.08790745,0.280312007,0.544852655,-0.0255272890000001,-0.277419418,2.582180623,0.472844779,0.7056215415,-0.169178092,0,-0.0335636795,0.00182881200000001,1.606900062,0.114968704,-1.06415619,0.1131252685,-0.1131252685,0.108146831,-0.2364223895,0,0.504763565,-0.0335636795,-1.3471277405,0,0.069399855,-0.368979558,-1.386381999,0.0876629915,1.268415008
"set41_802",-0.275842968,-0.048256458,-0.275842968,-0.08709418,0.0232520015,-0.1782313035,-0.0861123425,-1.15885639,-1.129419248,0,0.022590135,3.2862386385,1.5065548255,-1.271219345,-0.109439316,0.342103425,-1.891246561,0,-0.9459818925,0,-0.540453004,0,-0.034576046,-1.1039729865,-0.5647976635,1.061526384,-0.34564246,0.073267215,0.186202854,0.8918777,0.0799953755,0,0,0.072515593,-2.102221853,0,-0.115679903,-0.275842968,-0.35162487,0.680353242,-0.698978891,0.00915116900000001,-0.507897786,1.954531153,-0.517218978,0.160751635,1.9886899175,0.3312558855,-0.0359449464999999,0.16862891,0.511884284,-1.151478432,-0.2926910355,0.632911475,-0.366876893,0,0.2428839075,-0.503557138,1.239662867,0.557504694,0.649115942,0.519112757,-0.510733262,-0.1917252075,1.541816385,-3.9456456575,-1.232304035,-0.3314914965,0,0.008170501,0,2.073277349,-0.1039035425,0.236810448,-0.4269206095,-0.309251959,-0.0358140405,0.0663396295000001,0.169318773,0.2842208695,0.103389647,0.2623346035,-0.6568756545,1.308890826,2.438847896,0,-0.152093599,0.402488051,1.4582796405,1.813039101,0,-0.5084473705,0.6356298735,0.073999104,0.275842968,-0.4156423705,0.298433103,-0.147186186,0.475597746,-0.13154571,0.0930767415,0.785510619,0.822805981,0.587171696,0.692263507,0,0.081132301,-1.4405462235,1.6832123475,-1.6650755225,0.080934318,0.267809619,0.731784748,0.839300183,0.0325245375,0.011612459,0.441823243,-0.725711042,0.8884161715,3.9353152105,1.522614743,-0.129829804,0.4609861235,0,-0.298433103,-1.389710736,-1.095712379,0.189764609,-1.187151363,-0.1138151395,0,-0.00645169699999998,0.0113991615,0.0934628455,-0.36265125,-0.8930761705,0.482262935,0,-0.574276071,0,1.989981453,0.091743175,0,-0.298433103,-0.419039591,0.226503071,0.147971756,-0.246887366,1.274006766,1.462723442,0,0.832783545,0,-0.398530728,0,0,0,0,0,2.0284124325,0.275842968,0.5023009375,0.1595109775,-0.228859894,2.272374031,0.568026938,0.618309748,-0.142413302,0,-0.033408991,0.143542829,1.570148702,0.148762838,-1.1504043,0.0930846865,-0.0930846865,0.108146831,-0.284013469,0,0.4079792065,-0.033408991,-1.054807005,0,0.1712900075,-0.3387124495,-1.37388972,0.137632858,1.229669148
"set41_803",-0.230736115,0.058309439,-0.230736115,-0.058059932,-0.198225067,-0.5959583,-0.0538633890000001,-0.952414647,-0.991195537,0,0.204570541,3.5677564875,1.8880142325,-1.216520578,-0.2898793175,0.684631428,-1.724474576,0,-1.2482748,0,-0.681658685,0,-0.034576046,-1.217358403,-0.644717029,1.174270964,-0.178935022,0.046052072,0.565200374,0.5199836665,-0.0253657635000001,0,0,0.293599468,-1.259826335,0,-0.0916404115,-0.230736115,-0.54562305,0.493709228,-0.893337487,-0.06256478,-0.481291749,2.0549670345,0.106275909,0.15958385,2.084930103,0.3817097575,0.0555458469999999,0.118060908,0.2227429835,-0.930522963,-1.638570465,0.653593961,-0.296173972,0,0.278293025,-0.519723838,1.227795397,0.7349729835,0.6324107785,0.80197562,-0.5851090025,-1.047749462,1.6696957745,-4.180340973,-1.376355224,-0.4033612375,0,-0.0144854985,0,1.6947520105,0.040237748,0.374001088,-0.530609198,-0.25116818,-0.0177490685,0.26350819,-0.116242808,0.305112009,0.236596998,-0.0520157615000006,-1.152138858,1.307379419,2.288383727,0,-0.1889704685,0.410688415,1.5202888485,1.7646170595,0,-0.2476786205,0.7797633425,0.0912672064999999,0.230736115,-0.0448013829999999,0.435306656,-0.073824145,0.610810311,-0.297628601,0.13976099,0.628782916,0.533044673,0.427041382,0.548070145,0,0.231871254,-1.2332818925,1.6677681855,-1.260179731,0.1163424155,0.2735784335,0.4868475265,1.080917362,-0.0182013645,-0.191002237,0.498224529,-0.672510528,0.923330289,3.961491366,1.7021089905,-0.1558787445,0.668652006,0,-0.435306656,-1.004921329,-1.011150611,0.3303034955,-1.514417737,-0.2076769905,0,0.01688084,0.0837860734999997,0.22491576,-0.3451884925,-0.941321172,0.611820629,0,-0.666042771,0,2.077114107,0.325303705,0,-0.435306656,-0.39078339,0.139049139,0.26254268,-0.3623039645,1.396117341,1.43202499,0,-0.0225588664999999,0,-0.339295826,0,0,0,0,0,1.89308511,0.230736115,0.750872084,0.217433039,-0.2353314485,2.8908317225,0.432501233,0.732980623,-0.367994238,0,-0.020432065,0.262261428,1.543950095,0.164561079,-1.102121793,0.143900728,-0.143900728,0.108146831,-0.2162506165,0,0.3141173555,-0.020432065,-1.059629389,0,0.211173751,-0.179721641,-1.325201809,0.1303632075,1.198796494
"set41_804",-0.238331668,0.043871382,-0.238331668,-0.138961335,-0.4370538015,-0.5603703765,-0.2022080585,-0.510217941,-1.111316686,0,0.206680649,3.5543862095,1.6949046795,-1.543151575,-0.26015093,0.650954965,-1.673074812,0,-1.290557733,0,-0.660447198,0,-0.034576046,-1.412661326,-0.8859218685,1.411251976,-0.246899215,0.114057786,0.228247947,0.282600844,-0.00151438650000002,0,0,0.360659591,-2.041647903,0,-0.040422896,-0.238331668,-0.561594202,0.5560329785,-0.875278612,0.072699683,-0.589921677,2.082954229,-0.197071527,0.154591955,2.199292325,0.495630842,0.236561243,0.091857641,0.1616708915,-0.50594348,-1.570429334,0.691726175,-0.273810974,0,0.274835524,-0.500276878,1.088498898,0.772554672,0.6624280065,0.6317770325,-0.4681675785,-1.0844121605,1.57993039,-3.910748948,-1.315851495,-0.3124270035,0,0.00545379999999998,0,1.0484436915,0.164572612,0.329758028,-0.431216088,-0.200733847,0.0215540855,0.243187122,-0.105631044,0.204421733,0.250957501,-0.045802719,-0.834859139,1.250148614,2.321038544,0,-0.217980036,0.390376852,1.488068948,1.753028944,0,-0.345446372,0.8159455835,0.098295918,0.238331668,0.0696053495000002,0.445012317,-0.102475904,0.738218875,-0.230196043,0.083252303,0.614210511,0.519067227,0.389525736,0.509609182,0,0.240117708,-0.781286176,1.254323332,-0.988371583,0.0460085095,0.3164812965,0.550588495,1.165954123,0.063925536,-0.195843257,0.3783385995,-0.629502557,0.9405123805,4.0105782555,1.65341817,-0.1916934565,0.7025970855,0,-0.445012317,-0.721193866,-1.007094778,0.322824544,-1.487658182,-0.219699765,0,-0.049714908,-0.132945248,0.233923436,-0.463458145,-1.051804229,0.556860785,0,-0.683343985,0,2.039236446,0.309546714,0,-0.445012317,-0.3080778935,0.231710917,0.375531434,-0.351475226,1.2634490935,1.3008949775,0,0.04859713,0,-0.298302104,0,0,0,0,0,1.957042903,0.238331668,0.782472799,0.312222427,-0.151922035,2.885697157,0.487570936,0.580506007,-0.407385197,0,0.037597821,0.274520603,1.573225012,0.050806274,-1.382632573,0.079705858,-0.079705858,0.108146831,-0.243785468,0,0.302094581,0.037597821,-1.0576904285,0,0.321956639,-0.519003926,-1.298722514,0.171178252,1.198000272
"set41_806",-0.2303387385,0.077596737,-0.2303387385,0.0512147,-0.8159381435,-1.0803784555,-0.4545142535,-0.64708743,-0.989166316,0,0.3220457915,3.162106794,1.28164914,-0.92465226,-0.3841389535,0.775652326,-1.651430152,0,-1.6766641985,0,-0.694925174,0,-0.034576046,-1.433442357,-0.954324459,1.231243178,-0.157887448,0.048128641,0.214529016,0.260790402,-0.260552515,0,0,0.515012414,-2.103119657,0,-0.0408931085,-0.2303387385,-0.60903,0.3398868025,-0.86376856,0.121046896,-0.391414952,2.0246102235,0.626063376,0.263018806,2.3202563825,0.2176136165,-0.132871374,-0.021294275,0.4282506655,-0.858154001,-2.392577877,0.68584167,-0.525089927,0,0.3335195395,-0.616977001,1.159694981,0.6976405685,0.411823912,1.1580769335,-0.8798527935,-1.513079375,1.302356274,-3.9634663365,-1.272959919,-0.146463579,0,0.0447709395,0,1.312957869,0.271296589,0.360592766,-0.39132854,-0.2227354745,0.058101673,0.238979067,-0.202971572,-0.151369235,0.613847009,-0.2621103525,-2.331759338,1.476060581,1.375716664,0,-0.1878246635,0.5294420645,1.1314076875,1.945811062,0,-0.2791737425,0.5580354655,-0.0808627650000001,0.2303387385,0.0944217555000001,0.55238453,-0.013013777,0.6697656535,-0.302381039,0.1210795915,0.542537588,0.406724836,0.268653356,0.117483706,0,0.240511543,-0.759734768,2.0693925,-1.18474035,0.409023402,0.0604856369999999,0.493854669,1.3427110625,0.0353188445,-0.132611226,0.1385374535,-0.798292866,0.907951493,3.953167628,1.536717349,-0.1204202705,0.8790725895,0,-0.55238453,-0.68511354,-1.078623892,0.3872510095,-1.5336573455,-0.401900917,0,0.056893631,-0.382745165,0.266310012,-0.3368838345,-1.3439794735,0.676527049,0,-0.7827232685,0,2.022872578,0.530366747,0,-0.55238453,-0.6038262875,0.150951604,0.361619968,-0.598905496,1.241870637,1.239754823,0,-0.56718423,0,-0.0206857195,0,0,0,0,0,1.2026914375,0.2303387385,0.79681731,0.239619258,-0.229970049,2.696797568,0.550219356,0.6804134545,-0.803544336,0,0.007603264,0.344152918,1.7618570365,0.392596308,-1.30182702,0.0583524665,-0.0583524665,0.108146831,-0.275109678,0,0.119893429,0.007603264,-0.9131642895,0,0.3154743725,-0.7009309485,-1.305352103,0.263344645,1.050702238
"set90_734",-0.0700763555,-0.131042762,-0.440758379,0.2339481885,0.3294988735,-0.1998179315,-0.0252422435000001,-0.482555551,-0.9866390145,-0.085898804,0.2951147085,2.0753433525,0.5982070875,-2.205430955,0.685390012,0.355761652,-0.731587545,-0.206770857,-1.607035358,0,-0.3420090505,0,-0.050171979,-0.5535415865,0.139540318,2.7327457325,-0.50210026,-0.178287267,2.43658619,0.0226496879999999,0.0670018265,1.199472564,0.127897695,0.476239026,-1.021216707,0,-0.0692028515,1.5861178125,-0.260609266,1.42453785,-0.553836441,0.039115822,-0.502804273,1.8036658005,-0.109166577,0.025176103,0.9903942205,1.048775223,1.0413931165,0.069221115,0.2656270835,0.856693375,2.0148213165,-0.394979201,-1.375902919,0,0.2195948225,-0.278017929,2.51743378,0.247207084,0.51703133,-0.7510601875,-0.525494116,1.834661893,2.478757489,-3.944826543,-1.1714887,0.2949836435,0,0.2657610605,0,0.6783786515,0.052259065,0.157584024,0.6163448925,0.733622519,0.749962087,0.6281560995,0.490492156,-0.053008501,-0.043769443,-2.815306593,1.15432896,1.223946212,0.228970043,-0.089899095,0.600197037,0.867800533,-0.33922984,2.097856723,0,-0.657946945,-0.724485203,0.5463005995,0.6613337995,0.0206696240000001,0.42639062,-0.339166615,1.2320595095,0.022143103,0.195616677,0.774919138,1.013228171,0.776712938,0.448351164,-0.370098627,-0.1629998385,-0.4376726415,3.2231616775,-0.469500452,-0.428965037,0.517636236,1.11847249,0.9070770465,0.467425512,0.114293806,0.588544253,-0.970287598,0.522016247,3.724741964,1.618034193,-0.0051979115,0.5083621445,0,-0.847371013,-1.0526851685,-0.919213219,0.250814001,-0.5595195625,-0.0183678255,0.041877305,0.180167323,-1.6232393315,-0.0366780655,0.408786185,-0.30030993,0.507353987,0.119315114,-0.4511247925,0.099682416,1.6709131345,-0.631276089,0,-2.132695418,-0.422159175,-0.76221755,-0.11829448,0.6729388755,1.5939022935,1.4215482605,0.465480073,1.50768968,1.118821848,1.46454938,0,0,0,0.027548306,0.566958436,0.7422203645,0.1757113345,0.8347569065,-0.2191340105,1.4687270465,2.58394473,0.952080294,-2.2319785665,-0.200501505,0,-0.0193071265,0.403170034,1.1828390915,0.24151023,-0.987089306,0.000759884999999995,0.40769395,0.1368845425,-1.516045004,0.1028436885,0.7165090235,-0.0193071265,-1.4313918855,0,-0.1550636505,-0.2536722155,-1.2773169275,0.9022749405,0.338933209
"set90_733",-0.1965609085,-0.150400971,-0.352443323,0.150073026,0.3693839845,-0.0863597275,-0.0518917745,-0.666802114,-1.1007832325,0.016231092,0.2720901705,2.1851163075,0.9090479185,-1.426049082,0.779235079,0.57108686,-0.710361544,-0.264461472,-1.7223944975,0,-0.204185415,0,-0.013984336,-0.5823464405,-0.0786834015,2.5362863045,-0.434042105,-0.232396044,2.462928688,-0.0732019515,0.0289351895,1.2699552035,0.015352275,0.324560972,-1.144017664,0,-0.177867981,1.606935185,-0.19292388,1.551792076,-0.593474418,-0.132593217,-0.508037714,1.735489622,-0.04460662,-0.015874325,1.096569445,0.579527119,1.016075799,0.431856188,0.2025784795,0.615487082,2.473479165,-0.524611858,-1.399742299,0,0.290816936,-0.260540236,2.309416196,0.2812930535,0.7259209585,-0.7899971735,-0.5632813595,2.0648763325,2.4938785415,-3.479965391,-1.121812739,0.1205770315,0,0.121551578,0,0.863176218,0.326158347,0.143782356,0.517806236,0.794887655,0.8208917295,0.557966972,0.5758868435,0.16107839,-0.043769443,-2.6450122835,0.9018231515,1.2219978135,0.304071205,0,0.5250029645,0.9864683795,-0.153320698,2.0328311075,0,-0.4621224865,-0.507213457,0.559372196,0.5588955965,0.2250753,0.474095364,-0.274697406,1.4017222145,0.027311144,0.217865308,0.721086968,1.007040258,0.64127458,0.543501092,-0.3858269875,-0.1141779335,-0.4417228555,3.178947446,-0.5929518115,-0.345957646,0.572326564,0.9552618045,1.0044642585,0.2385440955,0.170148568,0.591106537,-0.912593453,0.5371932425,3.5732126115,1.595957753,0.0774552735,0.5760637435,0,-0.903736829,-1.124361341,-1.012895212,0.35183304,-0.5339815615,0.1096421965,0.042984784,0.18575638,-1.4475848165,0.00695066850000001,0.476487335,-0.4012576705,0.389535189,0.206792096,-0.5030530425,0.001510747,1.6567840065,-0.785639013,0,-2.30715394,-0.404263721,-0.836004654,-0.052248672,0.7216677435,1.458537549,1.352074745,0.433273122,1.5704124975,1.12726325,1.302136441,0,0,0,-0.022799939,0.228880157,0.840444726,0.1757113345,0.972660646,-0.025803637,1.2666714695,2.619874331,0.718405511,-2.2471811225,-0.416636173,0,-0.0193071265,0.355238819,1.2508360825,0.331917239,-0.87296551,0.014622865,0.510136538,-0.013053582,-1.155983403,0.093608783,0.6896416905,-0.0193071265,-1.492895502,0,-0.0268581155,-0.20164292,-1.227098993,0.7482545365,0.537633313
"set90_732",-0.2267041985,-0.047917728,-0.4879349175,0.050958062,0.2408352645,-0.1720860205,0.0739654245,-0.483983692,-0.9848942135,-0.08129553,0.1978928415,1.9884258625,0.6445484805,-1.120070909,0.598382456,0.37841261,-0.672700933,-0.126266498,-1.5694977025,0,-0.262469399,0,-0.027404664,-0.555799709,0.0337509739999999,2.367237304,-0.443929908,-0.140782129,2.520496035,0.0812919495,-0.1276595275,1.0596957975,0.055565757,0.47968569,-0.943194276,0,-0.1081178285,1.5951950345,-0.251002082,1.4896301895,-0.585923978,-0.020552837,-0.40497419,1.7141888985,-0.086229885,0.010546209,1.118893663,0.503110163,0.713338425,0.147806514,0.1457032485,0.738862027,2.0151261745,-0.3061959035,-1.3825825445,0,0.1850892945,-0.239370357,2.421706338,0.3004406945,0.492161101,-0.7561934945,-0.6579211905,1.6238454965,2.400932564,-3.9962287265,-1.058224941,0.196635339,0,0.2241959385,0,0.633132093,0.3174736265,0.193233205,0.4732863625,0.7265828805,0.702282954,0.6038395485,0.4396602215,-0.0348856625,-0.043769443,-2.867816108,1.168612227,1.1281862615,0.240603296,0.022925249,0.4835922585,0.8879710595,-0.2266092895,2.093038387,0,-0.5228305115,-0.767363388,0.554793067,0.5867984395,0.111096347,0.436659108,-0.269703582,1.359560691,-0.032826288,0.1899327815,0.784641302,0.966635267,0.586304298,0.367345161,-0.3414214935,-0.1580123735,-0.4578463635,2.935478611,-0.484102741,-0.3409671775,0.6091072505,0.984502785,0.967538069,0.2879153295,0.127311523,0.717430423,-0.953772331,0.554026673,3.513777734,1.613110956,-0.025437056,0.4619018115,0,-1.1122994095,-0.934689263,-1.038805705,0.220051493,-0.5161117915,0.049090819,-0.060547041,0.278438182,-1.589071979,0.0101133,0.250262616,-0.450606913,0.57706068,0.13753997,-0.4806746455,0.060240286,1.6155352745,-0.6224716815,0,-2.148165994,-0.432832501,-0.756562286,-0.07733728,0.731958741,1.381272962,1.374630734,0.318459658,1.502418778,1.1300298645,1.4269850535,0,0,0,0.0530946,0.507763991,0.8215806995,0.1757113345,0.7671013405,-0.2344630675,1.181409388,2.5709615,0.804164116,-1.9537505305,-0.385018888,0,-0.0193071265,0.332085222,1.2556039575,0.248720425,-1.487358397,0.0989279335,0.4584394965,0.185123605,-1.3074949845,-0.073586226,0.76796438,-0.0193071265,-1.3989787615,0,-0.00501149200000001,-0.0826479845,-1.230898926,0.886445788,0.456587322
"set90_730",-0.1438527365,-0.038201056,-0.4147665695,0.0294348045,0.162800415,-0.299116824,0.049449356,-0.558060159,-1.1698287555,-0.077659,0.264151775,2.14438777,0.914503193,-1.079813742,0.6270321035,0.2467924525,-0.6375895335,-0.193803647,-1.7015017505,0,-0.408327471,0,-0.071666967,-0.6448429175,-0.0341911515,2.647180498,-0.512238664,-0.130135885,2.4822209885,-0.00018070300000006,0.105122995,1.100566777,0.012333339,0.4130312575,-0.978351294,0,0.039454973,1.568619015,-0.32461647,1.348957267,-0.5796652545,0.060480066,-0.452311694,1.8222185515,-0.041589502,-0.056863447,0.8641904315,0.5300642105,1.223359533,-0.06270987,-0.0528870315,0.7838146725,1.9122743835,-0.2298544565,-1.2439688455,0,0.1902084685,-0.214315888,2.512130485,0.283664724,0.6249007765,-0.6465628225,-0.5608963065,1.681675935,2.4396391995,-4.0417764815,-1.088553226,0.3742630925,0,0.254148339,0,0.4775406075,0.014645772,0.271016231,0.546429711,0.6697234225,0.8303528725,0.821907554,0.548248696,-0.0768945445,-0.043769443,-2.7542654005,1.534477412,1.0083209515,0.271539415,0.003456098,0.3472854015,0.89071586,-0.1525647,2.1596692045,0,-0.615687313,-0.5870035185,0.6108558565,0.5491198285,0.0978936315000001,0.4488740585,-0.282201867,1.2572442175,0.044781957,0.1608572895,0.794545578,0.913274595,0.792987702,0.385631523,-0.3668140905,-0.1426920385,-0.2874563015,2.889533488,-0.307197862,-0.723259989,0.754361848,1.2043169765,0.967327875,0.479026356,0.026202106,0.7314334425,-0.923363179,0.627644019,3.656219694,1.5750704785,-0.058665858,0.5467066285,0,-0.918679512,-0.8623707485,-1.040477079,0.2352261485,-0.8317141035,0.1771834435,-0.016214909,0.18169679,-1.6068556365,-0.000991767999999976,0.3752303195,-0.4525301445,0.567372963,0.170268354,-0.48355186,0.017272432,1.6151909345,-0.4613662945,0,-2.0373242925,-0.281781306,-0.682225415,-0.111925831,0.6930152375,1.397601345,1.313128307,0.494037926,1.4863635475,1.0706076065,1.4998609285,0,0,0,0.101911041,0.177850982,0.863844991,0.1757113345,0.8460615105,-0.1700284965,1.346478899,2.8515034455,0.946799599,-1.934185792,-0.241076306,0,-0.0193071265,0.4438360985,1.2065074115,0.251570398,-0.911425069,0.0451216075,0.2638033675,0.1331157165,-1.4398062545,0.0650022505,0.7789101795,-0.0193071265,-1.383983278,0,0.05511665,-0.3026386255,-1.4449580485,0.870877849,0.401482152
"set90_713",-0.1549039305,-0.100312602,-0.3399742145,0.00491934050000001,0.2403465845,-0.1529847255,-0.0621616405,-0.834418756,-1.2087036675,-0.018119076,0.258761793,2.1999640535,0.9706736295,-1.460986537,0.77013925,0.4222788615,-0.6428958495,-0.190612475,-1.7218445165,0,-0.204623695,0,-0.095587893,-0.6586751485,-0.3722965705,2.5332122645,-0.493157523,-0.191178269,2.2033089645,0.00788144699999999,0.0649045315,1.293346982,0.034450628,0.3584936765,-1.035281391,0,-0.223645405,1.616520295,-0.186843745,1.533277364,-0.5852777635,-0.054539549,-0.491389705,1.7332299415,-0.097729857,-0.014031868,0.8858060705,0.624242878,1.103815626,0.184042171,0.1848344725,0.649048958,2.484543628,-0.4349052765,-1.4059246025,0,0.1792836355,-0.220529602,2.388124857,0.317280291,0.7352445805,-0.9607711545,-0.551347824,2.123048139,2.388999928,-3.5304049005,-1.104409823,0.128020343,0,0.06432663,0,0.8777244395,0.329974345,0.186357792,0.505380099,0.7873928705,0.870338935,0.597924328,0.5292145265,0.1991410495,-0.043769443,-2.64686079,1.2385508995,1.1129758245,0.214825994,-0.010977063,0.4390485195,0.946184662,-0.235139972,2.0554437205,0,-0.36497668,-0.4475168035,0.5055998795,0.5457923875,0.234895502,0.5501980005,-0.324429504,1.3771495105,0.029497925,0.1980259185,0.696409707,1.070195812,0.667183248,0.522175159,-0.397550909,-0.1253237295,-0.393907635,3.049238754,-0.5984893605,-0.2818158915,0.5313134835,0.9748603675,1.042655164,0.282069013,0.067038144,0.562496829,-0.867707485,0.5283314635,3.5775550295,1.3475913105,0.083586874,0.570942979,0,-0.938703766,-1.136806833,-0.969245572,0.3391618865,-0.5118445785,0.059474797,0.030885069,0.173903651,-1.4255674155,0.033308455,0.494802139,-0.5762703255,0.509033417,0.206496668,-0.52115146,0.055975632,1.6523710355,-0.8212217455,0,-2.3102627885,-0.289955596,-0.665011737,-0.07006609,0.661184161,1.4798087,1.281459897,0.446379494,1.4187509095,1.1494079715,1.30987648,0,0,0,-0.002582168,0.075162925,0.816722125,0.1757113345,0.9074876465,-0.1415017075,1.255036763,2.722379999,0.626523943,-2.026859385,-0.253448865,0,-0.0193071265,0.3367435005,1.2184407525,0.238541765,-1.418895999,0.0411256585,0.4637775685,0.1113385025,-1.1534358825,0.00891286650000001,0.689217425,-0.0193071265,-1.4410750925,0,-0.036036455,-0.212993237,-1.3123583375,0.6253333615,0.447148282
