"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set101_538",-0.00224335000000001,-0.034065038,0.1085603225,0.082905247,-0.03327748,-0.05237629,-0.202355182,0.1879704995,-0.157196287,0.167778738,0.06776656,-0.4178998345,-0.7542278085,-0.308075119,0.018181649,0.205880566,-0.082538677,-0.005699644,0.1918945785,-0.009124919,-0.080541317,0,0.222553509,-0.1689910185,-0.00271850999999999,0.0753980315000001,-0.085771488,-0.058163579,0.153736707,-0.208641669,-0.165064874,-0.0214669405,0,-0.113366908,0.203795657,0,-0.0905210175,0.0285274755,-0.154678715,-0.1070098705,-0.057180509,-0.117290352,-0.093479847,0.049108135,-0.083574153,-0.146216928,0.1131330205,0.1707328345,-0.160241272,-0.640837518,0.5892302405,0.0357625145,-0.0577779615,-0.098685495,-0.059582724,0,0.0203455734999999,0.046999477,0.025992573,0.0727090725,-0.162885748,0.00806701599999996,0.0999821650000001,-0.213802945,0.0415638795,-0.006045028,0,-0.1131526985,0,0.0477688705,0,-0.1552041135,0.054281544,0.076973235,0.1594444365,-0.564382719,-0.1260095705,-0.2885283455,-0.047220783,-0.0563908805,0,-0.262698594,-0.05621872,-0.0902699515,0.02936343,-0.011466252,0.1790890295,0.201802119,-0.4605650325,0.0283843565,0.040357018,0.1577037925,-0.4674300825,-0.192793497,-0.24215741,-0.680968201,-0.194232863,-0.137653772,-0.729370327,0.109328813,0.027712382,0.055235408,0.126396421,0.271518583,0.097336742,-0.1835142995,-0.174622141,-0.1236410825,-0.189852071,0.252855254,0.1866505975,-0.2271442315,-0.0696757155000001,0.0915589465,-0.0214890565,-0.049116414,-0.2545606665,-0.059127083,-0.079194882,0.0855977310000001,-0.1568650725,0.040731532,-0.043470226,-1.052644403,-0.0122827679999999,0.196537727,0.094342315,-0.0785209099999999,0.058442333,-0.544145405,0.120762909,-0.192334847,-0.1610576655,-0.0374894089999999,-0.079625067,-0.1673222605,0.0713896039999999,0.046921645,-0.00258331,0.077908008,0.036785217,0.0428984120000001,0,0.020950624,-0.046043621,-0.015143197,-0.291936546,-0.256591159,0.134707534,0.049817699,0.015265654,-0.4370612435,0.032659311,0.2097890255,0,0,0,0,-0.029095583,-0.1608118275,-0.020615926,0.047119411,0.094873571,0.105785222,-0.4773532755,-0.017649153,0.18668629,-0.006203914,0,0.024314296,0.037951555,0.017389802,-0.00620692,0.0364940280000001,0.101913049,-0.053440845,-0.01348479,0.102472128,0.015050656,-0.194481715,0,0.273351036,-0.044068929,-0.142196095,-0.163537354,-0.090356823,0.0149534425,-0.44653912
"set101_537",0.010464759,-0.055645003,0.0746673855,0.219162515,-0.0547293055,-0.0735582375,-0.2830771775,0.3321611615,-0.126377953,0.119108006,0.0629103215,-0.4194261435,-1.0465398445,-0.390015187,0.0097485005,0.3123115875,-0.0477448625,-0.024313174,0.188814251,-0.039435068,-0.042446938,0,0.344111473,-0.119012188,-0.029580836,0.0153422585,-0.118435803,-0.032052903,0.1608856045,-0.222914042,-0.207439225,0.0327512755,0,-0.0345711115,0.231797704,0,-0.072043018,0.1222733685,-0.122753571,-0.1292954395,-0.0561387915,-0.00944645299999999,-0.092698803,-0.0381572045,-0.08454634,-0.072044485,0.103419415,0.209587657,-0.1260753815,-0.634432291,0.568044343,0.120177648,0.00465668549999999,-0.155584326,-0.128436796,0,0.0491621275,-0.00578924500000003,0.153747493,0.0817749655,-0.1896636815,-0.0475324850000001,0.090322202,-0.1170502585,-0.081732996,0.1136115355,0,-0.134021421,0,0.000504374999999987,0,-0.178545455,0.004224745,-0.06793417,0.229566357,-0.516575389,-0.17760991,-0.2503233135,-0.0547862965,-0.0241941645,0,-0.308665255,-0.107871009,-0.00600993399999997,-0.056669041,0.01586625,0.194667027,0.183305023,-0.5167293005,-0.00411788900000003,0.095358574,0.2055294265,-0.5378826545,-0.192292227,-0.301948304,-0.6429724585,-0.1584151005,-0.158259039,-0.7693096565,0.119263948,0.0609358045,0.02626378,0.200622255,0.258180266,0.150501253,-0.27309539,-0.154633101,-0.1762053285,-0.1226085895,0.264772984,0.1896126475,-0.2446196485,0.010403287,0.1412182575,-0.1447497125,-0.003101378,-0.3367383345,0.010740521,-0.0952781345,-0.0117742765,-0.0700432315,0.047586383,0.0386653935,-1.035484271,0.0171042395000001,0.200640646,0.20593227,-0.00553053449999989,-0.164137629,-0.5360816405,0.101253421,-0.229606352,-0.1270266335,0.0336402560000001,0.0445654205,-0.316608288,-0.0281871980000001,0.067944233,-0.0091003465,0.079498019,-0.014046076,-0.012161892,0,-0.0320613145,-0.071484987,0.015647938,-0.028451282,-0.2861388125,0.0673901065,-0.0122276005,0.067389027,-0.328784574,0.074986578,0.19398411,0,0,0,0,-0.055554539,-0.12737726,-0.060332359,0.092310283,0.07432033,0.2055517255,-0.601494556,-0.059116544,0.115794951,0.069905917,0,0.00555472899999998,-0.0255662365,-0.208749827,-0.012813024,0.0753365419999998,0.1463832435,0.0938627405,-0.0848656,0.0625872505,-0.00265009600000002,-0.2018125435,0,0.347640269,-0.110550355,-0.1865605765,-0.2757500045,-0.060668458,-0.032944912,-0.474211424
"set107_106",-0.05445212,0.032814383,0.9916244565,-0.1186823915,-0.380582189,-0.036514543,-0.263914616,0.7722024485,-0.015131079,0.203542475,0.055925614,-0.7021232185,-1.0692950455,-0.300572067,-0.0020784465,0.336849873,0.299571559,0.221711811,0.2530481125,-0.022205791,-0.024886562,0,0.355478238,0.6390902135,0.075492985,0.7293403135,-0.147157588,-0.031350912,0.00283274500000003,-0.5107143935,-0.213960429,0.032197029,0,-0.216370517,0.635780025,0,-0.356520218,0.0575958325,-0.102948836,-0.0727433815,-0.135552451,0.162077537,-0.259259878,0.017495422,-0.173313566,-0.167254265,-0.0986394815,0.2683240025,0.428186984,-0.750918209,0.550452535,0.393985192,-0.1025186905,-0.5037067495,-0.2679365045,0,-0.065143185,0.30919907,-0.271298388,0.142823211,-0.495075381,-0.0325376035,0.739184875,-0.0169465465,-0.1158792165,-0.2733080615,0,0.0687903175,0,0.055999162,0,-0.5274196805,-0.0787917985,-0.306099887,0.2661794375,-0.5751910335,0.120103154,-0.7894520645,0.346741825,-0.0628483705,0,-0.143264938,0.2897745595,0.06973484,0.252807944,0.055835908,0.196426959,0.5809529505,-0.446097771,-0.035184718,0.044652505,-0.3104554985,-0.609922629,-0.230184873,0.056519376,-0.9767091805,-0.282534687,-0.214308986,-1.1098090955,-0.045917092,0.0277132955,-0.116778101,0.072924619,0.40398392,0.100835686,-1.791843812,-0.077061277,0.4905794075,0.5536058715,0.474441225,0.327418643,-0.57678627,-0.09301461,0.8397501935,-0.3000931445,-0.038643335,-0.5111795525,0.165073515,-0.3164735515,-0.1343005895,-0.154322165,0.155970539,0.062431015,-1.310939082,0.1107860895,0.409429956,-0.236035527,-0.6502455125,0.168410361,-0.6064136915,-0.048125448,-0.213382579,0.017761,-0.103471098,0.3299997965,-0.351400413,0.261175487,0.061773917,-0.007247799,0.020828132,-0.01275053,-0.0154141614999999,0,-0.322563624,0.6050888485,-0.017063832,-0.183410164,-0.2734698235,0.436226207,0.132183455,0.788399861,-0.836972538,0.2058900935,0.130920874,0,0,0,0,0.068967725,-0.374396159,0.326909719,-0.2099364515,-0.2666184005,0.120125083,-0.9789822995,-0.083644426,0.238359916,0.051845066,0,0.283665649,-0.053950932,-0.192823426,-0.06875236,1.08392161,0.0795605365,0.3261805685,0.0591489165,-0.027505611,0.0837193265,-0.3658759555,0,-0.2377441635,-0.103487483,0.0418508225,-0.196048115,-0.2883786735,0.2661699865,-0.415257629
"set101_556",-0.055290539,-0.035443598,0.214277694,-0.0899721785,-1.702787717,-1.306656306,-0.727075358,0.3666980235,-0.082549394,-0.078861169,0.055445771,-0.0992211354999999,-1.3389370305,-0.167096528,0.036275751,0.081717056,0.068279053,0.308435511,-0.148399639,-0.05217475,-0.207061544,0,0.00686574400000001,-0.0348273365,0.07279878,0.358305719,0.013251261,0.324925723,0.190145747,-0.4288071275,-0.648388151,-0.123878556,0,0.024034562,0.106771429,0,0.0938178085,0.0910583595,-0.240607745,-0.7741553855,-0.027182057,0.169417226,-0.231188655,0.051132174,0.004507417,0.07766333,0.218405499,-0.059654937,-0.106695808,0.078257957,0.298684812,0.0879223325,0.2863984325,0.1054567755,-0.0994360635,0,-0.0694648745000001,0.047969055,0.177427609,0.031247786,-0.4568931395,0.0722838915,0.095188451,0.0264768725,-0.5529270655,0.003395585,0,0.137635631,0,0.1315617095,0,0.3744271645,0.181435237,-0.174648536,0.283626158,0.0261790365,0.1085749005,-0.8588430405,0.0821338495,-0.0434265915,0,0.060670504,0.2176502955,-0.161776494,0.036504689,0.05539111,0.120989209,-0.0107775125,-0.0337214805,0.0855122235,0.090479078,-0.2896414395,-0.187567335,-0.606497548,-0.188011173,-0.290418502,0.053548199,-0.011939703,0.1447976625,0.162835371,-0.050746014,0.006301743,0.167318589,0.234958892,-0.067452483,-0.466846522,-0.015360437,-0.823159543,-0.047293805,0.117097822,0.7550429855,-0.7212453705,-0.00302767050000007,0.294579813,0.0533226955,-0.029909542,-0.660903372,-0.105882177,0.0519340845000001,0.1622180405,-0.6582451645,0.000992016499999998,-0.148349975,-0.00661169699999986,-0.2072579425,0.4915433675,0.066928796,0.2234599625,0.300870771,-0.6104103695,0.042950878,-0.214762531,0.109175075,0.0435518790000001,-0.032778682,-0.7661141855,-0.0103640790000001,-0.00514865,-0.040394997,-0.01932568,-0.024653649,0.2001752725,0,-0.115829444,-0.22306678,-0.080539149,-0.125023181,-0.6210105905,0.063213835,0.020410822,0.0891721,-0.0202323215,0.1891236165,0.163864393,0,0,0,0,-0.018212366,0.2134945775,0.048596374,0.178518019,0.087051445,0.1145752905,-0.5769251335,0.141341639,-0.058888431,0.024737518,0,-0.0907356309999999,0.059424481,-0.143830237,0.085227781,0.0756244200000002,0.047785907,-0.00945367600000002,0.0912731865,-0.2138495835,-0.1398902405,-0.5932580915,0,0.927205387,-0.045239007,0.246603437,-0.818547622,-0.4169229745,0.087615041,-0.238650792
"set103_41",-0.032502391,-0.00583971600000001,-0.4322318375,-0.3002142165,-1.7546874565,-1.8665613345,-1.0990260925,0.4003817715,1.219244176,0.064227656,0.231896582,-3.495595296,-3.035977956,-0.405835616,-0.7715820445,-0.081337461,1.18557711,-0.298695893,-0.154324897,-0.022205791,0.218481966,0,-0.08586416,-0.254026069,-0.143525632,1.061358427,-0.199703433,-0.103285551,0.409120613,0.9087956905,-1.0477659665,-1.3767613975,0,-0.107793934,0.105513813,0,0.259118613,0.056689112,0.312764934,-0.990579723,-0.357181976,0.303456656,-0.34570162,-0.3854078065,0.041335281,0.155595277,0.135396372,0.713027089,-2.157430237,-0.169817127,0.487826186,-0.4501440505,1.33607288,-0.7544066625,0.2167021135,0,-0.8204352445,-0.44001669,0.131657091,0.108219235,-1.5044997375,0.748713693,-0.0260530705,0.1754892955,-2.085023452,-0.6019177315,0,-0.00633359499999997,0,0.024375923,0,0.8293626945,0.9104979245,0.057643188,-0.189358466,-0.5101172865,0.311926141,-3.1590776175,-0.203717755,-0.9924513935,0,-0.3092378855,-0.4822603785,-0.4975038215,-0.10844448,0.060344073,-0.571421639,0.6508610005,-0.772558953,0.166241075,0.174514646,-0.3402155025,-1.518111907,-0.6487345795,-0.144246955,-0.728733812,0.007244902,-0.338188599,-0.8289879035,0.145000674,-0.1210875635,0.37384656,0.562026148,-0.374812429,-0.421115282,0.375835576,0.079066351,-1.4648601435,-0.630615377,-0.475700631,0.7144941005,-0.6902731965,-0.717360358,-0.0529815605,-0.0896236995,0.026629959,-1.361479909,0.314297396,-0.3483091285,-0.6717428265,-0.0757988549999999,0.00162735999999999,-0.1833940585,-1.201486326,-0.4069387865,-0.057128363,-0.622579301,-0.256134343,0.164569537,-1.701952695,-0.049788354,0.285159779,-0.590878854,-0.0771596209999999,-1.4982726525,-1.1788766185,-1.321415424,-0.146568609,-0.030603299,0.193289586,0.405328801,0.6880204465,0,-0.317786978,0.229977407,-0.151248302,0.491102971,-0.794364498,-0.168827253,-0.219917503,0.947934836,-0.07828531,-0.8596802485,1.330577016,0,0,0,0,0.235638369,-0.3054393335,0.13870231,-0.135985478,-0.814685299,-0.0992217285,-1.6715612365,0.229673164,0.4730169725,-0.181048842,0,-0.527002274,-0.332186584,1.008225979,-0.206949284,-0.323014699,0.1951233575,0.6922013455,0.1256392535,-0.0931266445,-0.7006056805,-0.971319452,0,2.433069318,0.014421718,-0.2718387775,-1.8023408865,-0.3258301005,0.9031364745,-0.850322918
"set101_555",-0.035247384,0.009500447,0.078513494,0.1086811355,-1.6306759295,-1.3358257625,-0.6797332235,0.5557562335,-0.13763806,-0.011226636,0.0417589035,-0.334743929,-1.327581048,-0.235874994,-0.0078882665,0.1574418485,-0.0388051495,0.092686499,-0.0547052895,0.034177575,-0.1962819215,0,0.112517953,-0.156641093,0.1640695575,0.2988387705,-0.00884981100000001,0.327899861,0.2258178065,-0.474423655,-0.651221931,-0.034570061,0,-0.0217536125,0.204014687,0,0.018054645,0.1402914645,-0.208998679,-0.75893622,0.0311367895,0.137048958,-0.135324661,0.0630528355,-0.021577028,0.008268003,0.1302906285,-0.0971459275,-0.2799796625,0.015882323,0.194196064,0.3053306825,0.490017227,0.1404414565,-0.1143293395,0,-0.1007909965,-0.00753852800000002,0.057515168,0.00945213100000001,-0.6229910325,0.109902622,0.1052431485,0.129544894,-0.6052527885,0.011365766,0,0.063247924,0,0.087873147,0,0.1623054525,0.1518975425,0.014805356,0.484539058,0.0016647155,0.111716739,-0.8724248455,0.063938333,0.00247871649999997,0,-0.1387727385,0.1948960595,-0.0686124575,0.018735191,0.02676643,0.268109881,0.2183628075,-0.0905962335,0.087054131,0.025704862,-0.207164998,-0.3044846895,-0.616160013,-0.252688964,-0.2528169835,0.0104728345,-0.040338133,0.166628002,0.116424417,-0.030018061,0.051172537,0.059366212,0.310144178,0.057034665,-0.21764343,0.007920576,-0.745086843,-0.1059681195,0.6488462555,0.7402005085,-0.7248386545,0.0226937489999999,0.156643785,0.052021943,-0.098016437,-0.6415725905,-0.00454158,0.0373192585,0.1734844535,-0.40893009,0.002920355,-0.044749754,-0.00228761499999997,-0.0782624059999999,0.477272034,0.199238085,0.116694892,0.259101161,-0.6496019505,0.138418256,-0.329337405,-0.032912479,-0.050275408,-0.0448253125,-0.74373718,-0.0544439630000002,0.046307041,-0.0200620185,0.049797137,0.020866406,0.2484647125,0,-0.1410541115,-0.1489903125,-0.146162734,-0.105987799,-0.6162229515,0.092021238,0.07443331,0.00834009000000002,-0.0653336239999999,0.1331982195,0.366610853,0,0,0,0,0.162836103,0.289070922,-0.022476209,0.0136671985,-0.0257702595,0.129528457,-0.5706765455,0.04336065,-0.131002647,-0.004251952,0,-0.165823981,0.1831517765,-0.080950653,0.03382476,0.0229103420000001,0.050227121,-0.042157897,0.0260772475,0.035067709,-0.0105697785,-0.5936093465,0,0.897696694,0.032437852,0.218649214,-0.869667494,-0.3516299365,0.0084648635,-0.207585882
"set103_42",0.034050804,-0.018845712,-0.2236279835,-0.2908880385,-1.6449429955,-1.8067164525,-1.0771122875,0.5831145865,1.270883332,0.058008847,0.2083997185,-3.3451010285,-3.0101485515,-0.600220676,-0.7414939605,0.0233349775,1.3523328155,-0.282461535,-0.242646798,-0.022205791,0.286535754,0,-0.224798814,-0.221629813,-0.0609731695,1.223948445,-0.114420039,-0.105499349,0.3757487475,0.5597995085,-1.140741409,-1.378017956,0,0.0560875875,0.164403043,0,0.2476131985,0.0460989465,0.447171382,-1.04172302,-0.3699652965,0.382190318,-0.401022653,-0.301162142,0.066219062,0.057427985,0.1103294605,0.6559534815,-1.999272196,-0.156766399,0.3753447475,-0.293196902,1.388041888,-0.6148862465,0.3408498515,0,-0.6051028015,-0.298540348,0.068221866,0.2389300955,-1.410828904,0.7658203225,0.00304446050000005,0.333321273,-2.033816178,-0.647761517,0,-0.1772277365,0,0.1696007685,0,0.788759497,0.8165275875,0.049556672,-0.022737764,-0.5458248045,0.379376372,-3.2165332375,-0.1371474775,-1.065188006,0,-0.296352601,0.042824803,-0.5655203935,-0.00468508899999998,0.063513545,-0.5490948135,0.7086570345,-0.7691794325,0.1596216025,0.17227783,-0.3525444105,-1.477063298,-0.6683059525,-0.037091187,-0.595537167,0.1524096885,-0.209818366,-0.778140663,0.077998111,-0.103918607,0.431818692,0.64361683,-0.329242811,-0.373292247,0.240525588,0.060606416,-1.231771458,-0.9366595635,-0.224305158,0.67568483,-0.691227871,-0.5715502965,0.1141866015,-0.0333514745,0.087911568,-1.306099597,0.310329932,-0.269358266,-0.576716553,0.069222771,-0.0178420255,-0.293273043,-1.203371045,-0.378222152,0.1828284445,-0.779477559,-0.195801154,0.200301602,-1.7829809745,-0.056068405,0.300274251,-0.5174447125,-0.061787985,-1.7915636485,-1.403135086,-1.372614765,-0.15746717,-0.0905310335,0.052359305,0.317907375,0.4686605045,0,-0.3012725025,0.265726106,-0.104442227,0.607466493,-0.9335983055,-0.167932981,-0.141422057,0.905267221,-0.0771346955,-1.1562480115,1.3028382355,0,0,0,0,0.213055548,-0.15339979,0.137194286,-0.172830499,-0.854128028,-0.0684163835,-1.547970648,0.279939787,0.44221067,-0.277086273,0,-0.430037826,-0.5056685965,0.99854622,-0.214797964,-0.26918043,0.189075019,0.645614504,0.0684772385,-0.2177290355,-0.5713477785,-1.0322015825,0,1.31749121,0.050620165,0.165628512,-1.718306757,-0.5339053355,1.0583084535,-0.599881456
"set107_107",0.070181576,0.07251443,0.635665021,-0.1914176925,-0.6036797555,-0.2566308965,-0.2906892685,0.520956764,0.269150987,0.099703301,0.1153508075,-1.1390405615,-1.1971510685,-0.30429223,-0.1143161025,0.3548505125,0.3185182995,0.105370589,0.2328881745,-0.022205791,-0.1100153155,0,0.379704246,0.342332168,0.046347683,0.903926271,-0.156906647,-0.027764811,0.2241303825,-0.507997537,-0.1107646855,-0.0222852955,0,-0.0979789565,0.598023745,0,-0.208086792,-0.140586524,-0.252089762,-0.1784409025,-0.0813528635,0.109851747,-0.187301712,0.105988066,-0.099227159,-0.037769429,0.0765341975,0.419555053,0.125429919,-0.606452461,0.75659617,0.044014678,-0.39738931,-0.5413528265,-0.0940114745,0,-0.3300962425,0.324948978,-0.280012323,0.1696350375,-0.605255884,0.125606484,0.602488268,-0.265651001,-0.481647663,-0.2268112015,0,0.016980637,0,0.129750221,0,-0.3408017235,0.033997895,-0.175782565,0.172216228,-0.6382095905,0.08109671,-1.02737365,0.2931818245,-0.361553415,0,-0.1815885415,0.390224306,-0.16700833,0.201999546,0.096377126,0.0459415095,0.5327754025,-0.475059631,-0.028457098,0.002227528,-0.3495144215,-0.5389253195,-0.3633037755,-0.022270721,-0.802649209,-0.1069219915,-0.176318759,-0.955557439,-0.038959683,0.0527825805,-0.206494854,0.028422398,0.128585593,-0.134172908,-1.335113563,-0.035665125,0.4779032995,0.4664560085,0.275158766,0.280551811,-0.594012371,-0.239096166,0.806140018,-0.1390337955,0.067198019,-0.70718842,0.109585237,-0.231965467,-0.044600619,-0.0678043235,0.0418992755,0.142260594,-1.250383464,0.038838506,0.317620283,-0.318895782,-0.6806860715,-0.029025594,-0.4798734035,0.123016013,-0.28089882,-0.260811675,-0.0957074349999999,0.1090554175,-0.334871464,0.212038383,0.100941006,-0.0832601285,0.048010072,0.10675623,0.1051567255,0,-0.3450157995,0.558590658,-0.129597724,-0.164383214,-0.439112094,0.3458066795,0.0377898185,0.834818968,-0.815037729,0.0884511905,0.306015772,0,0,0,0,0.053933976,-0.266967856,0.195750093,-0.333609958,-0.170048094,0.0109656985,-0.9941643535,0.021720076,0.465127922,0.165515785,0,0.11913087,-0.3488640055,-0.083037438,0.002819462,0.86789866,0.2307715295,0.0749288355,0.0428832705,0.1543207165,-0.00515873950000001,-0.3489050015,0,0.049513547,-0.099055581,0.0184999665,-0.427922445,-0.2288685695,0.165978539,-0.341107928
"set107_183",0.00375714299999999,0.131803314,0.669556784,-0.048460279,-1.9365219735,-1.1300849625,-0.5729174235,0.881540228,0.198972187,0.044498544,0.170433551,-1.0168620645,-1.6581649655,-0.012386898,-0.390165355,0.420633547,0.449135982,0.06727424,-0.21232956,-0.022205791,-1.1517081755,0,0.061128249,0.0820994385,-0.07604117,0.47847883,-0.177592505,0.226883129,0.163293169,-0.25071866,-0.3697822865,-0.254010192,0,-0.031138105,0.702115029,0,-0.053744294,-0.2343736795,-1.864454114,-0.8900951355,-0.341064975,0.194006123,-0.249199665,0.118639326,-0.0779481,-0.145060149,0.592627422,-0.00782092899999998,-0.279123127,-0.345366897,-0.0122024085,0.101948811,-2.5508431655,-0.1535107215,-0.1464252265,0,-0.0539287665,0.413397114,0.081277737,0.477592408,-0.318447668,-0.139863935,0.2997914265,-0.987328087,-1.097625618,-0.3323451385,0,0.1081221185,0,0.128983206,0,-0.3878280795,-0.6293502065,-1.152128072,0.0236527515,-0.8329445545,0.108126529,-0.8755663765,0.1938118795,0.197202261,0,-0.09443085,0.6173503405,0.236743072,0.278233952,0.015719719,-0.181263022,0.370466146,-0.134168533,0.109957031,-0.01674147,-0.2661465305,-0.8498039455,-0.4343686975,0.010794604,-1.060961246,-0.234561207,-0.06555466,-1.1076200515,-0.103187375,0.0326574065,-0.121472909,-0.092337707,0.338619769,-0.257414081,-1.183218085,-0.052698203,-0.6522617935,-0.1367082455,0.4279553825,0.475298288,-0.659006689,0.0356649009999999,0.754776245,-0.2050760285,0.07985011,-0.707757496,0.007246819,-0.204172871,-0.038804761,-0.515660219,0.107509512,0.2594483175,-1.573824199,0.1979183495,0.3756365,-0.394411854,-0.400609778,0.075344031,-1.3180595025,0.117766361,-0.286273951,0.0672949715,-0.3411525245,-0.064676308,-0.660242251,0.376664914,0.182891281,-0.130340914,0.026697516,0.047426186,0.4122104275,0,0.118366303,0.45396679,0.019359689,-0.032817196,-0.560481371,0.4268509315,0.1179604625,0.745753667,-2.15493494,0.0613653675,0.492676035,0,0,0,0,0.099842874,0.000844172500000018,0.143659868,-0.238768784,-0.435041603,-0.175622448,-0.673071171,0.021384816,0.848387285,0.243072423,0,0.124952432,-0.412854954,-0.107065869,0.018217704,1.063718385,-0.1604140395,0.1252554205,-0.097913551,0.179053246,0.078559746,-0.7889571345,0,0.306576796,-0.098639887,-0.0983536485,-0.7821609085,-0.133262641,0.0356699505,-0.376218985
"set107_182",0.066978851,0.066674103,0.668408784,0.06693489,-2.3133526465,-1.1709215075,-0.5672425965,0.7845434645,0.239270307,0.139472177,0.1390655345,-1.453657006,-2.081807085,0.00191680399999999,-0.398371807,0.2808392695,0.3917273125,0.083322834,0.046016344,-0.022205791,-1.149915966,0,-0.055763035,0.0321419090000001,-0.0149994655,0.477180245,-0.269551601,0.167474847,0.0475374855,-0.1851859465,-0.5413537925,-0.360819404,0,-0.0983694265,0.581977967,0,-0.0888522955,-0.2744111215,-1.868148367,-0.847976557,-0.3119506575,0.223388255,-0.193029205,0.0331269915,-0.029806265,-0.216796057,0.3502369615,-0.021676163,-0.367027576,-0.300979969,0.3482760045,0.0534871985,-2.676244304,-0.1210650605,-0.0834980595,0,-0.0420428235000001,0.299182409,0.030505953,0.382384677,-0.370353509,-0.2341909915,0.2072291405,-0.8359188465,-1.337150583,-0.277261423,0,0.0656155925,0,0.1420802845,0,-0.3588600695,-0.7591217845,-1.406082069,-0.111899945,-0.8244121645,0.212527478,-1.1799315015,0.322852991,0.128309916,0,-0.053843422,0.3252117435,0.2271047185,0.184347927,-0.020823822,-0.1504039825,0.425127347,-0.215491627,0.1162232745,0.041934404,-0.3463297115,-1.2378143905,-0.4202378685,-0.012757377,-1.478632635,-0.3050952935,-0.135110145,-1.200207077,-0.094063847,0.026714874,-0.172576544,-0.068414418,0.26833992,-0.222705571,-0.951299908,-0.079954768,-0.7082414045,-0.268162313,0.2289326805,0.533032602,-0.549365343,0.0685608055,0.541347009,-0.2468409465,0.065764247,-0.851894867,-0.126500339,-0.289979315,-0.157747096,-0.680165044,0.130086097,0.1324407235,-1.566281712,0.239662049,0.288363607,-0.393680329,-0.453147414,0.164444268,-1.2324035155,0.053152993,-0.375884647,-0.0514621705,-0.492792866,-0.187499701,-0.50806994,0.344597222,0.152504946,-0.0686660875,-0.052565705,-0.006901795,0.3456855945,0,0.1826618455,0.368799655,-0.039839839,-0.07317453,-0.6023506645,0.1901422385,-0.0699870965,0.517526079,-2.1964956765,-0.0429876435,0.528878006,0,0,0,0,0.137019733,-0.208971871,0.193551614,-0.3890099225,-0.5037454705,-0.2396091515,-1.0311748455,0.027218575,0.836351945,0.083289383,0,0.201982671,-0.3726754235,-0.035425699,-0.064259683,1.048526411,-0.141767532,0.106385473,-0.024237171,0.1317747485,-0.014894057,-0.7619645835,0,0.3301020035,0.065443988,-0.255525429,-0.7671197945,-0.155572564,0.0924093195,-0.443646633
