"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set14_507",-0.170616992,0,-1.278660293,0.388513966,-2.5843712995,-2.5645240935,-2.9482246725,-1.8038369745,-0.325123429,0,0.405372532,-0.285267375,-4.464780054,-1.653896777,0.0007293005,0.707604587,-2.068016941,0,-0.6378074975,0.097432589,-0.0236934295,0,0,-0.262849718,-1.824597139,0.492806396,-0.053319151,0.305732486,-1.003899728,-0.375940271,0.428436028,0,0.066153752,0.405372532,-2.763579514,-0.098824819,-0.084300614,0,0.294696837,-1.245133505,-1.037219495,1.754216789,-0.926176104,-0.0560057755,-0.058446565,-0.123768177,0.067614284,0.8886422215,0.6953817425,-0.558840472,0.959226359,-0.7038149355,-0.9718332555,0.082956874,-1.323986185,0.016382053,0.20629042,0,-0.9876554,0.9981688385,-0.635862492,0.393039303,2.732177669,-0.966446797,-2.368799865,4.5104560485,0.329848946,0.3586552355,0.06506603,0.153749394,0,1.1677274455,0.4738464895,0.650935188,-0.0221644515,0,0.0191522405,-0.4738606475,0.136055124,0.9857956985,0,-2.043647202,5.357054122,-0.405372532,0,0,-0.3224722955,-1.072175839,-1.054188941,-0.364177703,0,-0.8505950275,-0.0905751385000002,-0.5866399425,0,0.3708972795,0.405372532,-0.082003687,0.788041512,0,0.2562098645,0.583853772,0.120312567,0.704469902,0,-0.2214456855,-0.098643434,0.13110316,0.0975930405000001,0.1070492195,1.0657143465,-1.0073857395,-0.480301019,0.810745064,0.2066625325,0.024816223,-2.5861919655,0.512606953,-0.204444468,0.00422739299999997,-0.1513163715,-1.274292587,0.4733304585,0,-0.405372532,0.1619957515,0.773327642,-0.013166743,0.895011596,-1.0073857395,0.116526911,0.02383548,-1.9008829525,0.2359174595,0.1366451535,-2.0714231905,1.286939295,0,-0.405372532,0.796910347,-0.818245059,0.090546789,0,-0.405372532,0.6288386135,-0.535025769,0,-1.2645501915,-1.1887214035,-1.5316879905,0,0.234710487,0,0.429436482,0,0,0,0,0,0.558238775,0,0.247731503,0.247731503,1.746632589,-1.761331026,0.307498788,0.0359797895,2.821159867,0,0.823798832,-2.144500914,-0.227130973,0.229381319,0,-0.1992044025,0.0684739575,0,-0.098436514,0,-1.0073857395,0,0.41820431,0,-0.1137664255,-3.9552353685,-0.204981287,0.153749394,-0.462793395
"set14_488",0.05665301,0,-1.331068275,0.288858604,-1.8513089495,-2.0264871495,-2.1405210325,-1.674993958,-0.325123429,0,0.4076919055,0.2029088245,-3.0208195475,-1.492144841,0.0007293005,0.6493216785,-2.0656975675,0,-0.9997668845,0.097432589,-0.1246919515,0,0,-0.2651690915,-1.6462418805,0.8612316705,-0.053319151,0.305732486,-0.7417831435,-0.507102661,0.9630445295,0,-0.334220398,0.4076919055,-3.49470802,-0.098824819,-0.04506424,0,0.294696837,-0.993845433,-0.6294365685,1.525970197,-1.056945904,-0.137329161,-0.281480673,-0.040721631,0.0699336575,0.8077662535,1.007395358,-0.603469229,0.1017714465,-0.5772912925,-0.746252556,0.082956874,-0.959830689,0.016382053,0.20629042,0,-0.53219942,1.000488212,-0.1012539905,-0.5006474505,2.904336189,-0.9224374635,-1.9120863065,4.5104560485,0.12072647,0.381579799,-0.761279586,0.153749394,0,0.633118944,0.476165863,0.336242328,-0.0221644515,0,0.083320909,-0.0205755315,-0.15292276,0.9857956985,0,-1.709743411,4.746107514,-0.4076919055,0,0,-0.3224722955,-0.660988027,-0.8872370455,-0.223644598,0,-0.4097722095,0.418779656,-0.546715631,0,0.6123016565,0.4076919055,-0.016163646,0.7903608855,0,-0.0982825145,0.427095394,0.120312567,0.61193329,0,-0.2214456855,0.029693903,0.2599461765,0.0581626295000001,0.235892236,0.531105845,-0.472777238,-0.907512052,0.815383811,0.2066625325,0.024816223,-2.0481550215,-0.167713347,-0.204444468,-0.158419378,-0.00133716900000003,-1.043034043,0.4985743955,0,-0.4076919055,0.528072227,0.773327642,-0.013166743,0.402809528,-0.472777238,0.400656677,-0.07155921,-1.4622697185,0.5041503555,0.1824942805,-2.2022298705,0.894187373,0,-0.4076919055,0.796910347,-0.786719626,0.090546789,0,-0.4076919055,0.982291665,-1.872939564,0,-1.018652786,-1.2666163465,-1.4341845125,0,0.234710487,0,0.2624845865,0,0,0,0,0,0.5605581485,0,0.247731503,0.247731503,1.609289551,-0.9622145685,0.307498788,-0.00540197450000002,2.623354135,0,1.595823022,-1.4221399905,0.114680662,-0.060487714,0,0.3372613895,0.0684739575,0,-0.098436514,0,-0.472777238,0,0.709103026,0,0.1439196075,-3.413769982,-0.204981287,0.153749394,-0.462793395
"set14_483",0.228240578,0,-1.597632278,0.149471937,-1.720983049,-1.845119279,-2.157489695,-1.7325372955,-0.325123429,0,0.258262195,0.735920951,-3.025879214,-1.382327699,0.0007293005,0.588988562,-2.215127278,0,-0.8312837765,0.097432589,-0.19007823,0,0,-0.115739381,-1.510584293,0.599641213,-0.053319151,0.305732486,-0.667743157,-0.300129613,1.016093137,0,0.095219419,0.258262195,-3.581952123,-0.098824819,-0.058399602,0,0.294696837,-0.9479147035,-0.687052446,1.270942274,-1.076726534,-0.013674482,-0.221604764,-0.216852232,-0.079496053,0.7528576825,0.9204913375,-0.438755347,-0.0809951249999999,-0.4854049195,-1.32734092,0.082956874,-0.897021186,0.016382053,0.20629042,0,-0.416998841,0.8510585015,-0.0482053830000001,-0.48706668,3.437967175,-1.116433804,-1.607063757,4.5104560485,0.300594672,0.448869564,-0.093642173,0.153749394,0,0.5800703365,0.3267361525,0.169749417,-0.0221644515,0,0.081282455,0.156127755,-0.067432951,0.9857956985,0,-1.753070906,5.212025949,-0.258262195,0,0,-0.3224722955,-0.531473541,-0.908900793,-0.284405737,0,-0.5785197505,0.3777333365,-0.2968660335,0,0.527532806,0.258262195,-0.087147089,0.640931175,0,0.1859002575,0.344656985,0.120312567,0.757812518,0,-0.2214456855,0.025616995,0.202402839,0.0315275675000001,0.1783488985,0.4780572375,-0.4197286305,-0.689946676,0.51652439,0.2066625325,0.024816223,-1.866787151,0.339683397,-0.204444468,0.08888998,-0.2925792025,-1.053058898,0.41643445,0,-0.258262195,0.3488127665,0.773327642,-0.013166743,0.355085031,-0.4197286305,0.164258687,0.159508677,-1.4109467135,0.448817845,0.3170738105,-1.87090281,1.197726021,0,-0.258262195,0.796910347,-0.569296015,0.090546789,0,-0.258262195,0.730899238,-1.888556559,0,-0.6201897015,-1.0146424045,-1.2549988745,0,0.234710487,0,0.284148334,0,0,0,0,0,0.411128438,0,0.247731503,0.247731503,1.463573083,-0.676574591,0.307498788,0.1663678825,3.28508222,0,1.683467861,-1.901102912,0.00804067799999997,0.33669675,0,0.2265963685,0.0684739575,0,-0.098436514,0,-0.4197286305,0,0.409606898,0,0.0288329325,-3.1040828485,-0.204981287,0.153749394,-0.462793395
"set14_482",0.323599548,0,-1.487436212,0.262770868,-1.90009435,-1.790556858,-2.103403232,-1.6358759095,-0.325123429,0,0.184355592,0.641859287,-3.077422239,-1.258179994,0.0007293005,0.351527221,-2.289033881,0,-0.6392002895,0.097432589,-0.181916112,0,0,-0.041832778,-1.356521465,0.34050923,-0.053319151,0.305732486,-0.884990818,-0.322884396,1.0107504775,0,0.118474877,0.184355592,-3.612473829,-0.098824819,-0.195551095,0,0.294696837,-0.914800393,-0.590834878,1.315065434,-1.102703675,0.00845825199999997,-0.405402984,-0.241479549,-0.153402656,0.69078383,0.760123462,-0.430358078,-0.0984376145,-0.3148369305,-1.467125188,0.082956874,-0.967188686,0.016382053,0.20629042,0,-0.354942188,0.7771518985,-0.0535480425,-0.857858302,3.127461904,-1.098890776,-1.530368602,4.5104560485,0.258801808,0.4484186045,0.580809186,0.153749394,0,0.585412996,0.2528295495,0.406174364,-0.0221644515,0,0.118976034,0.1729178295,-0.12548954,0.9857956985,0,-1.882767567,5.300067437,-0.184355592,0,0,-0.3224722955,-0.29975616,-0.9737491235,-0.597552222,0,-0.6873073525,0.228235837,-0.496816579,0,0.451045755,0.184355592,0.030879681,0.567024572,0,0.1453979685,0.360312021,0.120312567,0.76929014,0,-0.2214456855,0.101004153,0.299064225,-0.101797802,0.2750102845,0.483399897,-0.42507129,-0.657743272,0.368711184,0.2066625325,0.024816223,-1.81222473,0.430823472,-0.204444468,0.133155448,-0.1025394245,-0.972994193,0.3420768875,0,-0.184355592,0.2570602985,0.773327642,-0.013166743,0.476298046,-0.42507129,0.085542867,0.193089207,-1.541738042,0.3229697665,0.3161718915,-1.775787759,1.004649653,0,-0.184355592,0.796910347,-0.329379074,0.090546789,0,-0.184355592,0.7087547855,-1.792521237,0,-0.547123429,-0.93260459,-1.239516832,0,0.234710487,0,0.3489966645,0,0,0,0,0,0.337221835,0,0.247731503,0.247731503,1.117161097,-0.684528605,0.307498788,0.5352453375,2.888018342,0,1.586676237,-1.937406921,0.168171281,0.346767759,0,-0.0250997885,0.0684739575,0,-0.098436514,0,-0.42507129,0,0.6198298365,0,0.2221557045,-2.989615347,-0.204981287,0.153749394,-0.462793395
"set14_506",0.192808922,0,-1.179627912,0.271251325,-2.815050153,-2.547090715,-2.964635807,-1.6399642025,-0.325123429,0,0.358178197,-0.700972929,-4.761613138,-1.483645589,0.0007293005,0.624969529,-2.115211276,0,-0.2409914925,0.097432589,-0.0995482095,0,0,-0.215655383,-1.711003814,0.482633662,-0.053319151,0.305732486,-0.809828221,-0.492618708,0.406108084,0,0.207180627,0.358178197,-2.899229499,-0.098824819,-0.603712031,0,0.294696837,-1.4526075295,-0.808862524,1.483604584,-1.051145341,-0.089442296,-0.260642644,-0.214435191,0.020419949,0.8035166275,0.7721870375,-0.735378855,1.013857995,-0.4927478285,-0.8176074925,0.082956874,-1.411988213,0.016382053,0.20629042,0,-0.805009752,0.9509745035,-0.658190436,0.1789488565,2.6422277375,-0.956023773,-2.384803007,4.5104560485,0.357220083,0.2633749105,0.759740519,0.153749394,0,1.1900553895,0.4266521545,0.845791239,-0.0221644515,0,0.153196387,-0.529625112,-0.150603547,0.9857956985,0,-2.295059859,5.5079567,-0.358178197,0,0,-0.3224722955,-0.876258068,-1.1798952695,-0.46437615,0,-0.9243538675,-0.4308413155,-0.5110564895,0,0.0804826509999999,0.358178197,-0.120565204,0.740847177,0,0.2029345295,0.155664521,0.120312567,0.786927464,0,-0.2214456855,0.169444859,0.294975932,-0.074710245,0.2709219915,1.0880422905,-1.0297136835,-0.696663628,0.716356394,0.2066625325,0.024816223,-2.568758587,0.597830906,-0.204444468,-0.062645648,-0.06064793,-0.923294829,0.3308557985,0,-0.358178197,0.0466761835,0.773327642,-0.013166743,0.726892714,-1.0297136835,0.164390033,0.170219212,-1.801420964,0.421324454,-0.0539154965,-2.013563433,1.23382881,0,-0.358178197,0.796910347,-0.381924665,0.090546789,0,-0.358178197,0.434605687,-0.475657447,0,-1.3810919905,-1.1823966015,-2.1160770905,0,0.234710487,0,0.5551428105,0,0,0,0,0,0.51104444,0,0.247731503,0.247731503,1.697440604,-1.9918940165,0.307498788,-0.2762915305,2.781887756,0,0.955126813,-2.324395003,-0.563398079,0.309761366,0,0.1716095865,0.0684739575,0,-0.098436514,0,-1.0297136835,0,0.4983909965,0,0.2139791185,-3.8980406675,-0.204981287,0.153749394,-0.462793395
"set14_508",-0.041591717,0,-1.344657509,0.334006874,-2.412939588,-2.518560792,-2.854414549,-1.708072588,-0.325123429,0,0.4617959255,-0.2928699945,-4.2532718705,-1.553126062,0.0007293005,0.6813689355,-2.0115935475,0,-0.4367803305,0.097432589,0.045888161,0,0,-0.3192731115,-1.822386064,-0.0407117175000002,-0.053319151,0.305732486,-0.9710007725,-0.528128051,0.4336884055,0,0.09723087,0.4617959255,-2.445651538,-0.098824819,-0.153370639,0,0.294696837,-1.1187144315,-0.9696191865,1.712055175,-0.895338948,-0.0740022605,0.070913016,0.00101372799999999,0.1240376775,0.838256864,0.1040141525,-0.737064317,0.8522476535,-0.6644739425,-1.022141713,0.082956874,-1.247367856,0.016382053,0.20629042,0,-0.81670137,1.054592232,-0.6306101145,0.1138897105,2.444942673,-0.98009104,-2.3408330485,4.5104560485,0.373203892,0.390325877,0.070476403,0.153749394,0,1.162475068,0.530269883,0.755926749,-0.0221644515,0,-0.0013877675,-0.486604755,0.218423911,0.9857956985,0,-1.796374432,5.490974949,-0.4617959255,0,0,-0.3224722955,-1.055674757,-0.930552556,-0.241531869,0,0.1035879385,-0.0165891730000002,-0.555649955,0,0.3908284505,0.4617959255,0.017268469,0.8444649055,0,0.2203627755,0.378910363,0.120312567,0.670777422,0,-0.2214456855,-0.13972345,0.2268675465,0.069382681,0.202813606,1.060461969,-1.002133362,-0.571305383,0.923591851,0.2066625325,0.024816223,-2.540228664,0.483607668,-0.204444468,-0.031765577,0.2019358105,-1.312964575,0.5614244935,0,-0.4617959255,0.340308468,0.773327642,-0.013166743,0.800884705,-1.002133362,0.422390724,-0.12621478,-1.622002245,0.350450858,0.1999864365,-2.03247807,0.728233301,0,-0.4617959255,0.796910347,-0.758944868,0.090546789,0,-0.4617959255,0.923848221,-0.576424223,0,-1.297217544,-1.1660069645,-1.5449899735,0,0.234710487,0,0.305800097,0,0,0,0,0,0.6146621685,0,0.247731503,0.247731503,1.435808849,-1.783014629,0.307498788,-0.0112357795,2.891532395,0,0.983157931,-2.2816930035,-0.227692029,0.236624732,0,0.0298623945,0.0684739575,0,-0.098436514,0,-1.002133362,0,0.417643929,0,0.0777623475,-3.868561143,-0.204981287,0.153749394,-0.462793395
"set85_560",0.029445124,-0.13851719,0.3755451825,0.236545153,-0.905577779,-1.042343071,-0.320052202,-1.753284759,-1.083067669,0.128799987,0.5062089305,2.702446567,-0.171406341,-1.569807458,-0.0268724085,0.9470722165,-2.6657209745,-0.300160602,-1.1762200845,0.097432589,0.122513682,0,0.00221182,0.366205656,-0.3108869335,0.822659394,0.091982193,0.397433801,0.0917119675,-0.117183781,-0.00262790550000014,-1.3880524445,0.106605145,0.0378933775,-1.675234268,-0.098824819,-0.2599107075,-0.072463696,-0.080024136,-0.4118552825,-0.4954889895,0.922720295,0.016663603,-0.2540616995,0.703207302,-0.275576716,-1.6561212095,1.2382086055,-1.0370757305,0.582258903,-0.5045667405,-1.050929605,0.3728380385,-0.4960446495,-0.0407766995,0.016382053,0.1581896485,0.050635225,-2.794009157,0.711173001,0.221085566,-2.2609406635,0.4618258225,-0.4344884965,-0.5224586565,3.7686523155,0.425727725,1.0770984535,0,0.4458157615,0,1.133648392,-0.000101212999999989,0.200370826,-0.109449398,0.4999093185,0.319981232,-0.407633569,0.0475594205,0.361021976,0,1.514852693,2.652975753,-1.163401082,-0.159009319,0.049558513,-0.3943311935,0.115621183,0.5219288715,0.2129321955,0,-0.00861616199999998,1.818589572,-0.550095117,-0.132319535,1.044904674,0.1744701585,-0.140115877,0.934027203,0.406457961,-0.3397727605,0.154778131,0.439729286,0.044099448,-0.007010144,-1.083936536,-0.037953463,0.581959935,0.9087672065,-0.963786065,-0.0323753899999999,-0.527783221,0.6745640855,0.5856540665,0.518278121,0.134171694,-1.089053539,-0.223201524,-0.385449391,-0.210879532,0.2235149515,-0.118997025,0.4803953015,0,-1.385007749,0.311071947,1.401663998,0.567604551,0.315974247,-1.535949743,0.339041747,-0.569093405,1.115319225,0.191114626,0.4561009815,-1.160655468,0.34331796,0.393423928,-0.0888283055,0.32991796,-0.151509688,-0.6609126165,0,-1.0886469425,1.991582807,0.056278289,-0.059815427,-0.573790018,0.480711954,-0.128974502,0.322900439,1.0194888445,0.7781715255,-1.098786389,0,0,0,0.072326873,-0.088514378,-0.019875328,0,1.169061824,0.280075971,-0.330243862,1.074289089,0.171674043,0.1406509055,-0.336302439,0,0,0.1337930265,-0.086220247,0.301408874,-0.451932137,-0.8039998715,0.3511629175,0.21569154,0.0493403029999999,0.438139352,-0.878883271,0,-0.2452965275,0,0.2218262415,-0.8088737445,-0.637029071,0.276908903,-0.344365074
"set14_510",-0.284307231,0,-1.496653177,0.132718196,-2.575393374,-2.461245982,-2.57238468,-1.6376620365,-0.325123429,0,0.523314139,-0.377677055,-4.289921345,-1.62923701,0.0007293005,1.004392231,-1.950075334,0,-0.5450790165,0.097432589,-0.177141579,0,0,-0.380791325,-2.0783345185,0.755402151,-0.053319151,0.305732486,-0.536616056,-0.660056816,0.5701480315,0,0.244282078,0.523314139,-1.833810921,-0.098824819,0.178229077,0,0.294696837,-1.4822975985,-0.954287832,1.44685864,-0.913894309,-0.1279855735,-0.046979716,-0.361706942,0.185555891,0.876312338,0.961600978,-0.389240819,0.7917267405,-0.6555816045,-0.380302083,0.082956874,-1.152938991,0.016382053,0.20629042,0,-0.997202607,1.1161104455,-0.4941504885,0.864808472,2.619853959,-0.848718269,-2.3375015515,4.5104560485,0.441483426,0.313604268,-0.13799814,0.153749394,0,1.026015442,0.5917880965,0.545428195,-0.0221644515,0,-0.00356493999999999,-0.404128442,0.150820974,0.9857956985,0,-1.956853934,5.14608565,-0.523314139,0,0,-0.3224722955,-0.687971327,-1.010792307,-0.513046354,0,-0.6977411325,-0.0806489375000001,-0.398767745,0,0.183978697,0.523314139,-0.196299577,0.905983119,0,0.4509336255,0.248733978,0.120312567,0.727675282,0,-0.2214456855,-0.144077795,0.297278098,-0.0184084385,0.2732241575,0.924002343,-0.865673736,-0.273251332,1.046628278,0.2066625325,0.024816223,-2.482913854,0.386704481,-0.204444468,-0.139732203,0.4696053075,-1.203105193,0.546221098,0,-0.523314139,0.5518621355,0.773327642,-0.013166743,0.391515222,-0.865673736,0.662689999,0.200205266,-1.6698572395,0.4619804305,0.0465432185,-2.041379731,1.322223458,0,-0.523314139,0.796910347,-0.555668481,0.090546789,0,-0.523314139,0.159546858,-0.178989308,0,-1.056066592,-1.2991350935,-1.7285846605,0,0.234710487,0,0.386039848,0,0,0,0,0,0.676180382,0,0.247731503,0.247731503,1.958052095,-1.7635031455,0.307498788,-0.5183348955,3.330143388,0,1.319838611,-2.378073714,-0.297565814,0.294737957,0,0.2529215395,0.0684739575,0,-0.098436514,0,-0.865673736,0,0.594591112,0,0.2185834505,-3.890391149,-0.204981287,0.153749394,-0.462793395
"set14_530",0.148913952,0,-0.479321167,0.371300996,-1.7136895665,-2.2673046135,-2.8603986595,-1.7978586625,-0.325123429,0,0.3776831985,-0.236724729,-4.572607047,-1.525367315,0.0007293005,0.7197150845,-2.0957062745,0,-0.4322640625,0.097432589,-0.054598299,0,0,-0.2351603845,-1.4502548715,-0.2181877965,-0.053319151,0.305732486,-0.3467294405,-0.3542292495,0.4230203905,0,0.21675664,0.3776831985,-0.744734112000001,-0.098824819,-0.949237358,0,0.294696837,-1.2540434725,-0.8353713305,1.302775068,-1.113518891,0.00230963349999999,0.837471242,-0.486441848,0.0399249505000001,0.8243774905,0.520757235,0.065174655,0.9142641775,-0.67014729,-1.4901486135,0.082956874,-0.625317184,0.016382053,0.20629042,0,-1.014317702,0.970479505,-0.6412781295,-1.2105076655,3.118831237,-1.145734384,-2.013264976,4.5104560485,0.074369207,0.2553227465,0.690852956,0.153749394,0,1.173143083,0.446157156,0.578497511,-0.0221644515,0,0.150411703,-0.420960876,-0.209485662,0.9857956985,0,-2.658835711,2.9032886995,-0.3776831985,0,0,-0.3224722955,-1.056639274,-1.3617831955,-0.244025828,0,-0.8141397655,-0.475752201,-1.160225109,0,0.262409602,0.3776831985,-0.295953252,0.7603521785,0,0.1681742315,0.251785921,0.120312567,0.334573253,0,-0.2214456855,0.163875491,0.137081472,0.0918523685,0.1130275315,1.071129984,-1.012801377,-0.201992369,0.755366397,0.2066625325,0.024816223,-2.2889724855,0.363801797,-0.204444468,0.120858211,-0.0159962955000001,-0.809000351,0.342308636,0,-0.3776831985,-0.6586129225,0.773327642,-0.013166743,0.496650015,-1.012801377,0.043630354,-0.201356869,-2.033288327,0.108471222,-0.0700198245,-1.9518717455,0.942887127,0,-0.3776831985,0.796910347,-0.512917932,0.090546789,0,-0.3776831985,0.395460168,-1.089446568,0,-1.054517322,-0.827770877,-1.689661063,0,0.234710487,0,0.7370307365,0,0,0,0,0,0.5305494415,0,0.247731503,0.247731503,1.237529853,-1.483378945,0.307498788,0.3941198375,3.293912086,0,2.766188904,-1.1790827295,0.288158782,0.565392007,0,-0.4540968775,0.0684739575,0,-0.098436514,0,-1.012801377,0,-0.538855823,0,-0.1018098015,-3.355380771,-0.204981287,0.153749394,-0.462793395
"set85_603",-0.117385495,-0.245259907,0.333545397,-0.307948804,-0.6559856295,-1.3348311775,-0.2718602665,-1.3468531155,-1.728374337,0.14625113,0.4745533575,1.8817095315,-0.0702511235000001,-1.556977918,0.116249754,1.0886994225,-2.4417927825,-0.234690364,-0.7676383645,0.097432589,0.1129456235,0,-0.205827153,0.3303619975,-0.225751186,0.449720265,-0.045414123,0.470001679,0.4791214625,-0.240833827,0.1282230315,-1.170289799,-0.042965534,0.1023551685,-1.538109189,-0.098824819,-0.5064780585,-0.214185979,0.121143551,-0.4922371155,-0.6750753075,0.776726316,-0.032255681,-0.195070143,-0.426868674,-0.270155585,-1.245344521,1.0779942785,-0.480249161,0.522127452,0.738081556,-0.420325834,0.0501052325,-0.3794682,0.174835535,0.016382053,0.0333682205,0.381750286,-0.141988614,0.3547484395,0.4864812865,-2.4998759685,0.4560478725,-0.1823577505,-0.446323188,1.5183593235,0.047903991,0.802867348,0,0.1205921795,0,1.0981891295,-0.342025764,0.496560814,0.00297754050000001,0.440044736,0.1521090255,-0.3223721585,0.128812188,-0.190255938,0,2.4598692155,3.6277566755,-0.7055237815,-0.046736298,0.786010098,-0.277461639,-0.155371857,0.454123272,0.2683579915,0,0.35745521,1.343105826,-0.594888745,-0.380562595,0.043700729,0.0119988935,0.212616896,1.8268193755,0.137198895,-0.1492024215,-0.128532725,0.448946211,0.262158628,0.173106464,-1.0274471715,-0.108581468,0.7215489065,0.835982764,-0.814190465,0.119522144,-0.375601074,0.3609454565,0.501578094,0.50610969,0.38591887,-0.9698956415,-0.384498488,-0.354217552,-0.124128258,0.117706626,0.033308773,0.542946698,0,0.1009596995,0.2642153765,0.687338369,0.576865389,0.146933115,-1.2122977635,0.092651429,-0.242547925,1.160180457,0.2205091285,0.836882449,-0.6327587965,-0.112763666,0.162143671,-0.0652851685,0.275538128,-0.465082315,-0.504878189,0,-0.9453746405,1.246879784,-0.053988139,0.005375971,-0.4633840255,0.7533176795,-0.0684065795,0.282182815,0.1594135775,0.650425091,-1.398904575,0,0,0,0.00313149,-0.141019594,0.384016814,0,1.18988566,0.798959603,0.0602464055,0.2531081285,0.147833883,-1.2313801515,-0.280731298,0,0,0.00623195149999999,-0.291099429,0.274510926,-0.220174533,-0.5982707835,0.2200233235,0.397173133,-0.1381093115,0.509208834,-0.6921209075,0,-0.1962397715,0,0.2862294095,-0.491934062,-0.088820121,0.5570762605,-0.883142656
