"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set129_126",-0.4467866355,0.000429058,-0.6375876515,0.423074318,0.1156664075,0.1628971525,0.1628971525,0.880085134,-0.14802372,0,0.060269844,4.2920498285,3.7740066995,0.36154706,-0.07043367,0.4416653305,-1.4895441275,-0.363584754,-0.624001569,0,-0.754273605,0,0.272633818,-1.2346262005,0.065706276,1.5708494455,-0.828105232,0.289708068,0.5215851655,-0.3465335255,0.1364404035,0.4487884335,0,0.0588207595,-2.92426706,0,0.00145792649999998,1.1277945115,-1.212270988,1.2367498305,-0.4398680065,0.017695927,-0.530316133,1.1641808135,-0.631222298,-0.132905571,0.574992001,-0.5985001,-0.0744962099999999,0.338047203,-1.239540764,0.2469080415,-0.970287933,-1.1828744585,-1.5988470145,0,0.166983491,-0.713274209,4.237275635,-0.022088987,0.9293163175,-0.1699933175,-0.45429156,-0.1263692895,1.9498211235,-4.1766496405,-0.789952224,0.3202618995,0,-0.4325978375,0,-0.478083303,-0.6481610375,0.279957921,0.2388401405,-0.147556854,0.530728953,3.117966715,0.50014455,0.9076449955,0,-0.4984506555,0.781817942,1.492661641,0.138849193,-0.270528481,0.1568881085,0.2400619745,1.096854497,1.893635015,-0.032783913,-0.5442738885,1.5441797275,0.0651773875,1.2313152135,1.492998255,0.1263057865,-0.107891043,1.8136052255,-0.622987236,-0.0783148815,0.449154552,0.302760023,0.068631754,-0.367802217,0.1039961265,-0.076011042,0.9521836015,2.054866894,0.2614135415,0.257164159,0.364835515,1.044431835,1.0975449545,0.5443334605,0.058653807,1.068001505,0.295341446,0.984629954,3.916465388,0.2565490285,0.036227997,0.5425683725,-0.289248379,-0.791132893,0.0149780325,-0.75030398,1.0786369375,-0.8226768865,1.9069482865,0.193196179,-0.410130877,0.861316621,0.9622674365,0.535326439,-0.92200457,-0.251318529,-0.168703963,-0.802419598,0,2.86451282,-1.2003411835,0,-2.8630485975,0.2890056755,-2.381105897,-0.171815528,-0.0524357585,1.6044679565,1.3933434565,0.081162454,-0.792522235,0.9573562905,-0.59885149,0,0,0,0,-0.026998509,0.6889558385,0.2749105675,0.6227391335,0.4026193755,1.0580885845,3.617482378,0.703301474,-2.140931066,0.20508296,0,1.305137664,-0.2558656035,0.8016950215,0.017095945,-0.493319327,0.6017818925,1.8523005795,-0.226008254,-0.5655767935,0.077531435,-0.0550209535,0.037789159,-2.3371637055,-0.031863539,0.4701474655,0.636564913,-0.995195311,-0.151908441,-0.302585688
"set129_129",-0.4929988575,-0.004272676,-0.8484363305,0.368496667,0.1084072065,0.0837110235000001,0.0837110235000001,0.846370362,-0.095406475,0,0.1356258685,3.9096417835,3.3669566785,0.308579316,-0.2371572425,0.448234218,-1.441133465,-0.442353406,-0.734383324,0,-0.239639565,0,0.360604486,-1.397160888,0.0712932044999999,1.485758629,-0.776533239,0.236095643,0.715420244,-0.2741614735,-0.0317580524999999,0.400745569,0,0.030458222,-2.938655849,0,-0.00181297500000002,1.0897433215,-0.735260429,1.578517458,-0.427647153,-0.019337881,-0.566603858,1.0177136125,-0.235325641,-0.012042414,0.8686404205,-0.614183605,-0.5469354625,0.326985785,-1.13049241,0.2890303525,-0.662575607,-1.24395191,-1.597229154,0,0.2353903555,-0.713274209,4.255269578,-0.3397371485,0.9881340985,-0.19738125,-0.6798651095,-0.149756874,1.4814246735,-4.30472448,-0.880699373,0.330228134,0,-0.418932987,0,-0.3896186705,-0.0346094655,0.245942163,0.2065044195,0.2062094485,0.554814006,3.0872983495,0.4781641785,0.741305594,0,-0.36718524,0.74043047,1.176847627,0.396249819,-0.281510641,-0.049734472,0.1913645825,1.202275981,2.0226732705,-0.114239523,-0.5015253025,1.390102052,0.0527957135000001,1.3389986775,1.813442286,0.093042897,-0.066101172,1.7837770055,-0.616694694,-0.084095083,0.449154552,0.34618535,-0.069638999,-0.318201165,0.458745232,-0.092787689,1.0755400295,1.7117869045,0.5692121645,0.0157395574999999,0.3813950165,0.9916596405,0.9426918585,0.5545900775,0.144348148,0.8307830045,-0.0743692960000001,0.933965067,3.567054734,0.3030880345,0.0420320685,0.563661261,-0.357292605,-0.866473928,0.0392563245,-0.833001029,1.111359243,-0.9516733985,1.9340619375,0.230205021,-0.310595516,0.6086688935,0.907980829,0.3564616985,-1.0409823755,-0.251318529,0.016544663,-0.7901987445,0,2.815346926,-1.329893269,0,-2.965797547,0.3495942955,-2.644814434,-0.173865042,-0.11931493,1.389043245,1.200312836,0.109552373,0.1012799945,0.883265745,-0.57836319,0,0,0,0,-0.219663745,0.5874657225,0.2009409815,0.7280084905,0.4962104515,0.8930007955,3.4590867845,0.712254305,-2.020271082,0.179198971,0,1.006246614,-0.326378231,0.7591397825,-0.028761459,-0.601898568,0.558970485,1.891561588,-0.246433136,-0.4835462085,0.095503308,-0.1641382035,0.037789159,-2.5825719355,-0.052239491,0.554737556,0.525313236,-1.101225687,-0.1879520195,-0.326893808
"set129_130",-0.5182197945,-0.071639783,-0.8149143855,0.348880307,0.0172732255,0.1058341295,0.1058341295,0.807298022,-0.078044972,0,0.1931333995,3.9749362635,3.4332584535,0.36965234,-0.230880205,0.437833066,-1.497755239,-0.429475336,-0.6866274375,0,-0.2741161035,0,0.331055761,-1.3113385885,0.1336566325,1.689777404,-0.76409901,0.141166201,0.696215959,-0.269948777,0.0397655705,0.416532452,0,0.045101423,-2.904865555,0,0.0325126685,1.2344448835,-0.820925213,1.643262991,-0.419131426,0.012898367,-0.599939541,1.0418282575,-0.251115744,-0.144733881,0.7205525535,-0.547615614,-0.5905794225,0.321381695,-1.1782857575,0.3084602215,-0.6858228135,-1.348679261,-1.663906915,0,0.2549216555,-0.713274209,4.213996541,-0.360577247,0.97077272,-0.1654807455,-0.6344737775,-0.1561343865,1.5769778235,-4.3698814555,-0.853114722,0.389134667,0,-0.3772000995,0,-0.4186599345,-0.01966782,0.26439687,0.217490469,0.3253744935,0.6020456675,3.1444892815,0.4879169855,0.694405623,0,-0.325197986,0.7764784085,1.207292376,0.365740965,-0.282011881,-0.0297710775,0.1202110805,1.128795657,2.022610272,-0.159215006,-0.5204622635,1.3900852975,0.0611280335,1.2558897625,1.756595095,0.088459656,-0.086234705,1.8597748325,-0.545668485,-0.1080167265,0.449154552,0.322837416,-0.0095751,-0.35868251,0.4220969405,-0.075106937,1.0674600745,1.835686701,0.4534961465,0.00101110950000007,0.4207524765,0.788880164,0.9267972525,0.5934808025,0.064579316,0.8948750115,-0.144176646,0.938031698,3.629097018,0.2538173095,0.0387173635,0.5448006635,-0.292583378,-0.974630124,0.0279501475,-0.781247261,1.0857553675,-1.0213805375,1.88634673,0.233696905,-0.321732772,0.657521921,0.914029874,0.354927065,-1.0099012455,-0.251318529,-0.077871495,-0.7816830175,0,3.137452933,-1.384507474,0,-3.125328862,0.3786536315,-2.629831291,-0.116611603,-0.0362867425,1.450402686,1.221311495,0.083338086,0.113165268,0.99928186,-0.5692839765,0,0,0,0,-0.187249039,0.5738699295,0.1657047305,0.6806190705,0.1712791915,0.904441144,3.505346239,0.742192468,-2.172731314,0.18829944,0,1.00393865,-0.310459197,0.7411074835,-0.022691206,-0.524906479,0.4993965435,1.8331823055,-0.271069751,-0.584771924,0.079682021,-0.150984194,0.037789159,-2.621415169,-0.026220446,0.5411783995,0.5429132775,-1.172875257,-0.126620943,-0.314055034
"set129_131",-0.4256460665,-0.070096731,-0.6021259315,0.501145594,0.224939944,0.277307193,0.277307193,0.8497946365,-0.208536553,0,0.099142052,4.550017815,4.043362712,0.374937415,-0.1148988725,0.4447462045,-1.5249586525,-0.54549983,-0.6894345765,0,-0.5553587045,0,0.283324764,-1.1251714805,0.1400508555,1.6359106415,-0.724976478,0.249308654,0.7495860015,-0.308608754,0.1976613355,0.534732297,0,0.00269597549999995,-2.907732645,0,-0.030943444,1.5102973845,-1.139668159,1.5952314205,-0.4168133825,-0.051840527,-0.447842668,1.168547433,-0.497655239,-0.069935574,0.5764287035,-0.7123245115,-0.472801061,0.351432977,-1.092054369,0.379335698,-0.7787829755,-1.590105494,-1.913143432,0,0.316504559,-0.713274209,4.628524915,-0.2792023445,1.2811292665,-0.264654361,-0.554762359,-0.0370552,1.99631571,-4.3402669455,-0.866911347,0.33559575,0,-0.478518398,0,-0.5115521505,-0.1951593725,0.374495377,0.375792964,0.5099882165,0.482692578,3.381050948,0.4208347905,0.974958246,0,-0.3193036785,0.738174156,1.3512223065,0.483543891,-0.283910233,0.1001446285,0.1665700025,1.2668689435,1.9482031985,0.112529266,-0.49250181,1.6775700795,0.179864374,1.2757897355,1.7912330865,0.1372039365,-0.152479878,2.152604501,-0.643697604,-0.0861297835,0.449154552,0.290713049,-0.015451629,-0.28468519,0.0495034055,-0.167090678,1.581930281,2.388932712,0.564033509,0.089227147,0.491490614,0.9835793205,1.0979303565,0.50776407,0.067514528,1.1382730725,-0.111722929,0.9766895555,3.8739343915,0.2851316945,0.0524700465,0.6545596255,-0.357907715,-1.1557475035,-0.00860952950000001,-0.987404798,1.221588583,-0.9878200215,2.2488491115,0.175307273,-0.484320387,0.872210685,0.9230013845,0.5790379145,-0.783012506,-0.251318529,-0.046499997,-0.779364974,0,3.144748734,-1.793976849,0,-3.5621886645,0.445436425,-2.755818346,-0.126727498,0.038339041,1.7090225225,1.3204524585,0.047880411,-0.1655097165,1.203536594,-0.7611858635,0,0,0,0,-0.176429868,0.5360024475,0.1864055805,0.833229982,0.460426559,0.9277302265,3.910422872,0.614532889,-2.518531119,0.183603108,0,1.100751889,-0.3059829445,0.6272937115,0.035725563,-0.483350861,0.4893193985,1.9185760995,-0.372421263,-0.5823580835,0.266354023,-0.0959297755,0.037789159,-2.8180403785,-0.05943223,0.4695302315,0.898940738,-0.982451716,-0.2425181835,-0.318139822
"set129_132",-0.4019994925,-0.009600495,-0.735803362,0.4186834375,0.1174112955,0.2601992235,0.2601992235,0.932557502,-0.217787285,0,0.086628962,4.2895603585,3.9600029945,0.391732621,-0.264876948,0.4571963855,-1.4951834255,-0.460143379,-0.6632367335,0,-0.476409841,0,0.292691814,-1.13234189,0.188447534,1.7456014085,-0.747829521,0.275250651,0.7119086055,-0.2283601275,0.109541598,0.4441862025,0,0.0416424525,-2.836595803,0,0.053976423,1.3972882895,-1.115002834,1.6701312045,-0.4207479585,0.00527140500000001,-0.498570554,1.147166938,-0.375657663,-0.037702418,0.6855784465,-0.7042868685,-0.5877704125,0.334254908,-1.138563426,0.2630170155,-0.805942555,-1.4748921515,-1.7968577445,0,0.2615793485,-0.713274209,4.352546126,-0.3572134105,1.202469228,-0.1224024705,-0.5784678735,-0.1966122845,1.7186124255,-4.3351660315,-0.987378049,0.453834724,0,-0.345823139,0,-0.5605744605,-0.1294168045,0.260953272,0.2913795595,0.473392267,0.6202425635,3.332767894,0.4243672205,0.9611609875,0,-0.278693279,0.8941004,1.28318005,0.392528813,-0.279485506,-0.0705379655,0.206452224,1.318683978,2.0170145515,-0.038509625,-0.584737247,1.56633303,0.173058799,1.2810008885,1.8236369865,0.1063292995,-0.112285806,2.0381246155,-0.576203851,-0.1225795925,0.449154552,0.319614184,-0.134694106,-0.328996209,0.3451490405,-0.092842241,1.546283939,2.000176346,0.500573476,0.1444057305,0.5987554185,1.0960588305,0.967922373,0.604566537,0.105482415,1.102042616,-0.307656792,1.00465142,3.803185021,0.1710988925,0.033857045,0.600802674,-0.292229884,-1.140371871,0.0372590535,-0.877775867,1.19011761,-0.9331352435,2.115851543,0.283860207,-0.361053457,0.815065088,0.9677018875,0.399033235,-0.764573385,-0.251318529,-0.021696654,-0.78329955,0,3.265919057,-1.6351744055,0,-3.4125996175,0.360805914,-2.632167713,-0.146890573,0.0450863755,1.560194359,1.254984785,0.057127201,-0.1457961575,1.1588707215,-0.862741169,0,0,0,0,-0.220411239,0.622171307,0.1418714075,0.6940101765,0.3768539335,0.914461141,3.8026061865,0.735238205,-2.331699236,0.137980268,0,0.899774351,-0.3593557335,0.7191535725,-0.005259967,-0.596143904,0.3824778235,1.7204070525,-0.3200402645,-0.560202148,0.1625740915,-0.075666289,0.037789159,-2.7633607315,-0.008169321,0.5676930185,0.8281153005,-1.1467175045,-0.1609957525,-0.337486139
"set129_125",-0.4071750705,-0.017774104,-0.719202578,0.3861947555,0.1635620715,0.2139345045,0.2139345045,0.842835081,-0.09699188,0,0.1236292055,4.450331656,3.715701476,0.407674594,-0.0158841225,0.479476791,-1.445608834,-0.337480477,-0.6048131415,0,-0.8049325875,0,0.331855443,-1.329918485,0.0818263254999999,1.506840587,-0.761319938,0.201147232,0.607671593,-0.46781453,0.264577511,0.4190517875,0,0.066855974,-2.903782738,0,-0.0389919455,1.013493547,-1.1695024,1.1949197095,-0.450958157,-0.046100737,-0.52872872,1.1786374115,-0.479630265,-0.042206188,0.610442796,-0.5620124205,0.2107872175,0.431122711,-1.4834484895,0.2884339435,-0.9713951775,-1.134587957,-1.504698338,0,0.167546876,-0.713274209,4.521780402,-0.285273004,1.046129715,-0.118919241,-0.5262031465,-0.109746022,2.078589807,-4.214691978,-0.652185534,0.246819729,0,-0.4341479785,0,-0.576683969,-0.6985620405,0.33208023,0.291714682,0.0448694835,0.4733385015,3.1549732255,0.4003064455,0.8067713725,0,-0.4848519885,0.7376958835,1.5633836415,0.109758497,-0.281784982,0.1930780245,0.184543321,1.087234417,1.903486352,0.092436586,-0.540905254,1.5636125825,0.1857548465,1.1885717745,1.501461219,0.190330496,-0.04609027,1.8286459835,-0.66514199,-0.055372198,0.449154552,0.346381489,0.039547871,-0.302125575,0.196560959,-0.022559688,0.9022413875,1.953914263,0.380701876,-0.046979879,0.449187107,1.095772514,1.095803799,0.518926332,0.082808594,0.9947666785,0.403848931,0.9714942625,3.9467376815,0.4055636605,0.047351685,0.515514026,-0.309038896,-0.758820382,0.026101386,-0.792330844,1.132142708,-0.8897140725,2.21212449,0.142808158,-0.466512124,0.7591791725,1.0577500645,0.5396912695,-0.899421873,-0.251318529,-0.155629608,-0.8135097485,0,3.020611577,-1.244254664,0,-2.691587565,0.1684900885,-2.365960649,0.027708949,-0.0276139835,1.6934906355,1.3353992735,0.110040399,-0.781073656,0.869374364,-0.5534454305,0,0,0,0,-0.079775834,0.583827494,0.3154397105,0.8054651425,0.5909683675,1.1190700415,3.714666227,0.698372584,-2.0934796,0.228098372,0,1.34551642,-0.258700264,0.7673117615,0.026128758,-0.382331884,0.678815824,1.831350922,-0.2722754815,-0.5789161065,0.0742390815,0.058942156,0.037789159,-2.379088323,-0.015014551,0.444155868,0.5938755215,-0.9962337775,-0.1745043715,-0.264875546
"set129_124",-0.4756499085,-0.015538807,-0.7612351335,0.306477646,0.10158626,0.067020452,0.067020452,0.7449754665,-0.183834877,0,-0.1221704815,4.00417957,3.489683115,0.310792581,-0.1890387045,0.425130472,-1.676066105,-0.227017198,-0.719427834,0,-0.6344758045,0,0.272320642,-1.245800326,0.0280817855,1.5878635035,-0.870584292,0.316746117,0.394832935,-0.2303452315,0.1589194885,0.427657388,0,-0.009190435,-2.969954098,0,0.0300096155,0.997552487,-1.215973965,1.39942681,-0.413221662,0.100810265,-0.722171906,1.083174025,-0.631567623,-0.196880684,0.766499981,-0.5824255165,-0.1355170045,0.300451694,-1.197152892,0.1424563495,-1.0886259385,-1.1818980165,-1.5824357935,0,0.1489094075,-0.713274209,4.134378817,-0.0938499965,0.947481148,-0.610055173,-0.4680720865,-0.261316932,1.6608299555,-4.165134645,-0.827795674,0.3837486285,0,-0.4925799725,0,-0.405278974,-0.6798488475,0.214259109,0.1463080375,0.093421554,0.5544692845,3.1396834905,0.502202162,0.853437091,0,-0.4665550415,0.905424705,1.335841312,0.176076825,-0.251260331,-0.1191084515,0.0969318975,0.9435506265,1.900763741,-0.13500812,-0.630806987,1.3670849095,0.010526152,1.2672033085,1.4493694925,0.090246581,-0.10074817,1.675092996,-0.585818617,-0.101877943,0.449154552,0.314219669,0.013533245,-0.379746629,0.1157311465,-0.088594402,0.791498825,1.5819438725,0.3825700545,0.3770103405,0.3552439325,0.943715667,1.0084414745,0.585212488,0.058194072,0.941179035,0.202995579,0.9259432175,3.7544032825,0.190166949,0.101581099,0.44668289,-0.254973875,-0.6767494965,0.0349870645,-0.701787119,1.015167137,-0.7541450845,1.9078370505,0.228667878,-0.400217901,0.878204708,0.9673284035,0.4148106845,-1.1883086755,-0.251318529,-0.104779128,-0.7757732535,0,2.674684122,-1.0296733875,0,-2.691721323,0.24474771,-2.406182472,-0.291636117,-0.114195721,1.456748536,1.294293275,0.053387343,-0.486052569,0.8464564525,-0.537622981,0,0,0,0,-0.309591514,0.7588885745,0.1667611525,0.5517746825,0.4502136265,0.913873953,3.4240936825,0.737933406,-1.9059604885,0.356427469,0,1.243182742,-0.375932563,0.8048864335,-0.03649007,-0.788644586,0.635896419,1.758866788,-0.117666792,-0.55234745,-0.104725178,-0.0725607145,0.037789159,-2.248850589,0.118302364,0.548279902,0.5540872345,-1.112437605,-0.1343978205,-0.294386321
"set129_123",-0.4458799405,-0.084791071,-0.6544296065,0.4315421095,0.204175539,0.118476287,0.118476287,0.8851255705,-0.195525477,0,0.061230061,4.388822483,3.724540498,0.324183949,-0.112300991,0.4336484275,-1.6792314705,-0.335960095,-0.871739441,0,-0.6465388475,0,0.271286397,-1.130071989,0.064246476,1.7295897885,-0.786563507,0.242117519,0.5048742625,-0.41250902,0.1522002585,0.519776627,0,0.0558617125,-2.951794839,0,0.0558206415,1.090448831,-1.198023738,1.3765382075,-0.4396423345,0.053562015,-0.694142464,1.1866382455,-0.610716207,-0.252014938,0.6758915005,-0.6086455605,0.0324455095000002,0.307976707,-1.345379778,0.1890437105,-0.926353329,-1.2394467665,-1.6119165775,0,0.2074598295,-0.713274209,4.356224041,-0.253702081,0.9733376585,-0.2188418325,-0.4122331785,-0.13862634,1.8546510375,-4.233597888,-0.871443253,0.391566404,0,-0.4099985235,0,-0.452873829,-0.581866395,0.162070057,0.2689997395,0.0675649329999999,0.495834226,3.184777894,0.3943479825,0.889547011,0,-0.491316517,0.86559628,1.3898309785,0.21959398,-0.217406814,0.0205466355,0.108501779,1.0358262185,1.875799333,0.019385114,-0.598677379,1.629995735,0.0337004,1.2615000185,1.699312331,0.1866655105,-0.037930077,1.8241387245,-0.70301796,-0.100407844,0.449154552,0.316585894,0.009650933,-0.335776443,-0.0130085285,-0.098936699,0.7675898765,1.8933683,0.447595187,0.327726014,0.3852546,1.027704844,1.1568939665,0.575708403,0.067414934,0.9444897415,0.359792004,0.9732611545,3.9106195405,0.2707126795,0.0701206915,0.5463669705,-0.335947214,-0.748000409,0.06059511,-0.765818955,1.0871302895,-0.7961778325,1.9611430745,0.240848288,-0.457915619,0.8674642965,1.0745903715,0.529132317,-1.281515605,-0.251318529,-0.114903681,-0.802193926,0,2.760055353,-1.2688425105,0,-2.8283106335,0.426526914,-2.476429745,-0.236663286,-0.1673465095,1.572375977,1.424076237,0.104688244,-0.497070385,0.9659643535,-0.6597431935,0,0,0,0,-0.263350819,0.702863227,0.2425485245,0.6871587465,0.4072090275,1.076272648,3.681179359,0.721865434,-2.118905342,0.322122621,0,1.323380301,-0.3960987915,0.6998309885,0.039403016,-0.612402683,0.643073747,1.967846903,-0.2120241645,-0.619657107,-0.0170545885,-0.1189639725,0.037789159,-2.291662674,0.023834981,0.564184649,0.630169745,-1.0149370325,-0.17968703,-0.242528498
"set36_482",-0.4869994495,0.349717515,-0.4869994495,0.317962066,-1.2867639315,0.0272640285,-0.1242548205,0.594487874,0.198246441,0,0.2565771955,3.2431230225,3.2988533825,2.323257071,-0.1203766495,0.61135623,-3.149701435,0,-1.6703758065,0,-0.590872294,0,0.349410896,-2.2369802145,-1.1227886565,0.782546885,-0.578151006,-0.214038432,1.429598607,-0.399986523,0.675868047,0,0,0.041335421,-2.928522652,0,0.5278438055,-0.4869994495,-0.904456195,1.9523432485,-1.087450471,0.323190385,-0.346583438,2.0196852825,-0.553684196,0.726899886,4.462148472,-1.0681341305,0.260510364,0.24081429,-0.237387038,-1.03633076,-4.1541081385,-0.20678459,-0.523628213,0,-0.084484837,-0.231776794,3.487348162,0.4409331335,1.3458684485,-0.898514398,-1.323349232,-2.0811856685,1.7105360105,-32.02513573,-0.694754211,-0.110465629,0,-0.2802386365,0,-0.496817494,0.2930741975,0.14293883,-0.3548088095,-0.5044901225,0.003727139,3.150564222,-0.144984862,-0.168441111,0,0.4189573095,0.0812705045,0.096163391,1.106533957,0,-0.1102014175,-1.0885620385,2.775634899,1.796506663,0,-0.618420271,1.2256218335,0.8150019255,0.4869994495,0.6745742245,0.743576645,0.87994341,0.1748160575,-0.552290899,-0.399108406,0.073245541,0.769643795,-0.143910295,-0.277820753,0.1479128365,-0.118011745,-0.6242652465,0.2922143625,-0.8677367665,-0.291470305,0.9018746,0.460816352,1.9566620665,0.06411756,0.104587056,0.7194971,-0.458258093,1.15178828,4.439714975,-0.0555395940000001,-0.113558134,1.3675598275,0,-0.743576645,-0.15898237,-1.277381407,0.122054406,-1.1317900695,0.585668294,0,-0.164264641,-0.984181695,0.0240336174999999,0.0133938975,-0.217588955,1.038864913,0,-1.2305760945,0,10.362383682,0.472722158,0,-0.743576645,-0.2730503085,0.056518742,-0.567082527,0.411531111,0.8086614105,0.3993286745,0,-1.559313265,0,-0.477492274,0,0,0,0,0,0.636557429,0.4869994495,0.759203685,0.328156198,-0.510798921,3.114214122,0.413521626,0.2112395665,0.308086126,0,-0.017490673,-0.580381711,1.3327126505,0.065010578,2.633646462,-0.053987675,0.053987675,-0.370149279,-0.206760813,0,0.578020461,-0.017490673,-2.518497893,0,0.714021412,-0.6063247005,-1.956454508,-0.072228339,-1.270618117
"set36_481",-0.5162739905,0.411265108,-0.5162739905,0.215421489,-1.2012584715,0.1262036135,0.0122680345,1.276688925,0.2326683095,0,0.275647622,3.387150446,3.653035777,2.520410012,0.275162158,0.6404712565,-3.2194175285,0,-1.7417374145,0,-0.6402635625,0,0.349410896,-2.326551498,-0.834227061,0.680740272,-0.446185656,0.174832818,0.9989870955,-0.6656647065,0.532989962,0,0,0.1495919645,-2.907775725,0,0.6704554105,-0.5162739905,-0.986859572,1.8493716365,-1.0969677545,0.227462397,-0.346583438,1.9169837905,-0.530017418,0.745614544,4.7974189705,-1.2655533625,0.97100596,0.310098672,-0.5217338015,-0.8351021465,-3.641372393,-0.164925301,-0.454404636,0,-0.340482232,-0.144879433,3.644831972,0.2462204375,1.551180018,-0.441443376,-1.1957672165,-1.5467776515,1.823570395,-30.885236196,-0.636397939,-0.158074927,0,-0.2834499285,0,-0.746139975,0.3860707005,0.00655669299999997,-0.4477136775,-0.444691483,0.0458047675,3.028942074,0.0163025405,-0.048077674,0,0.455654502,0.1501687225,2.2403876265,1.076148388,0,0.134120768,-1.0495426355,2.961997768,1.730934314,0,-0.596535969,1.443632167,0.8745032245,0.5162739905,0.76410907,0.7919216125,0.836533107,0.307730882,-0.577095345,-0.438929398,0.118129054,0.75203483,-0.143910295,-0.277820753,0.135767132,0.0855109005,-0.4885755665,0.529923168,-0.5863831205,-0.236793958,0.983430504,0.378380576,2.171699723,0.106511298,-0.030654811,0.904270241,-0.36691569,1.207135299,4.325765169,0.126297979,-0.139891271,1.267571895,0,-0.7919216125,-0.2030504685,-1.210892106,0.291061363,-1.1711486885,0.5837242545,0,-0.196776569,-0.757850701,0.1223845775,0.229508487,-0.000221477000000081,0.928439229,0,-1.308195603,0,10.5511576525,0.549947606,0,-0.7919216125,-0.2843175145,-0.050375796,-0.118426383,0.460108049,0.840139891,0.398023378,0,-1.47319115,0,-0.6459353355,0,0,0,0,0,0.8793380215,0.5162739905,1.0083416895,0.4102943155,-0.3619735265,3.337508031,0.465648124,-0.0751053345000001,0.402131127,0,0.0715825075,-0.6576393815,1.4482273725,0.114904068,2.573117586,-0.038840571,0.038840571,-0.370149279,-0.232824062,0,0.5760764215,0.0715825075,-2.307198817,0,0.7071267615,-0.335453242,-1.841898958,-0.211645109,-1.322878594
