"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set32_430",0,0,0,-0.130899488,-0.0798402609999999,-0.00984916899999991,-0.312003866,0.568920323,-0.801364331,0,0.014536826,0.3032496165,0.2727625785,-0.57028292,0.035821345,-0.749016101,0.381691379,0,0.104404911,-0.555210548,-0.354324692,0,0,0.252648573,-0.091817734,-0.559707706,0.056228228,0.454251388,-0.172412055,0.036127635,0.55170451,0,0,0.014536826,-0.425004632,-0.068691104,-0.208663359,0,-0.707823833,0.222532234,-0.10891987,0.480847158,0.079574779,0.063324282,-1.131897067,0.018207143,0.933285747,-0.02693792,-0.2206124035,-0.187341477,-0.274147745,0.042952817,0.159101697,-0.065232337,-0.06014745,0.011425367,0.186220358,0,0.112522926,0.552763663,0.4332073195,0.1045051185,-0.0218937495,0.091583851,0.1763592485,0.3672548855,0.363239614,-0.461380291,0,-0.066343018,0,-0.174626491,-0.0054482965,-0.344935921,-0.2168519215,0,-0.1218339145,0.6122288195,0,0.4132175985,0,-0.171381384,0.1196485965,-0.014536826,0,0,0.024917818,-0.126628508,0.1617690195,-0.033193415,0,0.9412645775,0.0357728870000001,0.624062527,0,0.031171146,0.014536826,-0.53069006,0.00546159900000004,-0.028324838,0.1437093385,0.0200335700000001,0.481219898,0,0,-0.1769752405,-0.203697584,-0.0997018915,-0.665050463,0.482971549,-0.284144191,0.167329997,0.155176488,0.029073652,-0.1820731155,-0.046842045,0.196862676,0.286142589,-0.053649414,0.058406162,-1.24203189,0,-0.340530202,0,-0.014536826,0.419950203,-0.0834961779999999,-0.077440775,0.27194639,0.167329997,0,-0.121319832,0.00444893000000007,-0.2930391525,-0.674312711,0.014180655,0.138672564,0,-0.014536826,0.100473552,-0.302746333,0.0603166119999999,0,-0.014536826,0.3051907915,-0.070565829,0,0.2416095595,-0.046226649,0.052713713,0,-0.017871541,0,0.000599892999999893,0,0,0,0,0,0.24166252,0,-0.0108048595,-0.0108048595,-0.066343018,0.2559073815,-0.132686036,-0.02696252,0.324959355,0,0,0.259009514,-0.12414152,0.161415382,0,-0.2231777645,-0.0199851225,0,0.2661562,0,0.167329997,0,0.0157293424999999,0,-0.0467326245,-0.0123966644999999,0.168427902,-0.066343018,0.033393192
"set32_380",0,0,0,0.127804779,0.437318687,0.292275629,0.136496071,0.5480597885,-0.529013347,0,0.4172830195,1.4468193465,1.3520696315,-1.298009683,0.1834184445,-0.1131718265,0.2228169155,0,-0.6004172695,0.385876692,-0.3053239695,0,0,-0.1608016775,-0.3003487135,-1.6087237895,-0.141850329,0.536697219,0.1860996615,-0.5627015225,1.1551926825,0,0,0.4172830195,0.364660651,-0.147268097,0.0759647085,0,-0.698924848,0.824194843,-0.5368890845,0.824885963,-0.115421523,0.3195692485,-1.720602703,-0.085565671,0.347820848,0.360364024,0.6672431165,0.346272032,-0.54839802,-0.582647075,0.470668886,-0.105537899,0.214701206,-0.080107216,0.0975264425,0,-0.321426765,0.837170737,0.823932192,0.6748452025,0.0080745535,0.381828384,0.7820662045,0.04163157,0.093998673,-0.323114384,0,0.1441436715,0,-0.3610544555,0.4307204995,-0.725839072,0.089135812,0,-0.0191557115,1.0859889635,0,0.2951617745,0,0.00222729450000003,0.380605593,-0.4172830195,0,0,0.2182431605,-0.678109814,-0.0131638924999999,0.2913880355,0,1.1393813315,0.6365071435,0.3991399655,0,0.425830569,0.4172830195,-0.350493587,0.4252767975,0.133155832,0.143332632,0.102221927,0.251927565,0,0,-0.1704321645,-0.065186383,0.168050114,0.228249355,0.371045866,-0.3333016845,0.3887015705,0.4667618625,0.834566039,0.0342765125,-0.223864304,0.375069961,-0.108848008,-0.202354092,0.492078635,0.3909691675,0,-0.076849996,0,-0.4172830195,0.1300106985,0.091775103,-0.2170147255,0.283047081,0.3887015705,0,-0.249259544,0.0457548925000001,-0.211536026,-0.8048475865,0.205991121,0.280540995,0,-0.4172830195,-0.023826023,0.062736299,-0.473721715,0,-0.4172830195,0.9025604745,0.599187908,0,0.7157075785,0.3855777875,0.6544127575,0,0.2335239385,0,-0.12189122,0,0,0,0,0,0.685631629,0,0.124612382,0.124612382,0.1441436715,1.4102402045,0.288287343,-0.706902678,0.111457527,0,0,-0.6114925425,-0.571851395,0.08786803,0,-0.055948192,0.01343748,0,-0.0458072255,0,0.3887015705,0,-1.2116700675,0,0.034375405,0.470823128,0.559252307,0.1441436715,0.210562374
"set32_455",0,0,0,-0.00950659199999999,-0.0791042304999999,0.0372424635,-0.4816700075,1.473713641,-0.333958186,0,-0.038764567,0.707375001,0.299329646,-0.428892559,0.168699764,-1.28621175,0.429176785,0,-0.163772564,0.202409645,-0.413286127,0,0,0.898031336,0.4394700355,-0.451933945,0.127310347,0.228124707,0.483577692,-0.2349935,-0.0115689969999999,0,0,-0.038764567,0.573564136,0.074272215,0.015868028,0,-0.957018608,0.167572722,0.31047644,-0.084040622,0.335998355,0.0381096655,-1.216332454,0.039684265,-0.2936121185,0.023487455,-0.0416697554999999,0.149110163,-0.4022103125,0.481316871,-0.0331198129999999,-0.224514064,-0.324253982,0.034664032,-0.3198873825,0,0.166771786,-0.108187222,0.0040662935000001,-0.331964577,0.035437747,0.1960085105,-0.1371133845,0.3469191985,0.529791758,-0.654780517,0,-0.089357959,0,-0.0482408445,-0.1804158485,0.059247625,0.0467529925,0,-0.0685376425,-0.1282928915,0,0.306710138,0,0.075171773,0.2709052735,0.038764567,0,0,0.504048105,-0.142817059,0.4723106545,0.183874806,0,0.9212484805,0.787242726,0.4163081285,0,0.6868436685,-0.038764567,-0.625602767,0.10105528,0.179906715,0.0595476125,-0.150791773,0.636011455,0,0,0.100047074,0.146227278,-0.2703069195,-0.359445373,0.4492404625,-0.5290580855,0.0236287735,0.327525993,-0.077529134,-0.1977490135,-0.00314326400000001,-0.3380047605,0.31895641,0.000459660999999983,0.0274548500000001,-1.675386082,0,-0.320884562,0,0.038764567,-0.458129227,0.123987435,-0.00806252299999999,-0.149836397,0.0236287735,0,0.117499234,-0.0757538649999999,-0.269640574,-0.395540226,0.2051501715,-0.405709101,0,0.038764567,0.023589648,0.059410642,-0.184755268,0,0.038764567,-0.062176212,0.169285579,0,-0.014739521,-0.2405040695,-0.3765292315,0,-0.434195709,0,-0.1813237295,0,0,0,0,0,0.0752977865,0,-0.0395196145,-0.0395196145,-0.089357959,0.3179467265,-0.178715918,-0.312227995,0.063863755,0,0,0.227631914,0.338379485,-0.054675106,0,-0.0302774005,-0.1416512815,0,0.064584435,0,0.0236287735,0,-0.200097484,0,-0.2202466395,-0.0967549919999999,0.43299641,-0.089357959,0.171291032
"set32_431",0,0,0,0.048016573,-0.0193272645,0.0126833685000001,-0.2825939265,0.7135350075,-0.846381796,0,0.03306977,0.7900141975,0.4221604965,-0.496121395,0.1176368205,-1.317889821,0.289829631,0,-0.073920334,0.494120712,-0.5164257695,0,0,0.833033949,-0.105660769,-0.514669332,-0.135192898,0.501948444,-0.125038741,-0.245202778,0.6581125165,0,0,0.03306977,0.371383165,0.00186611999999997,-0.148057941,0,-0.940931229,0.0711950555,0.320389349,0.0682511220000001,0.027387497,0.203723598,-1.279169815,0.41849069,-0.0670002280000001,0.0917032355,-0.0676282364999999,-0.013551658,-0.2637208955,0.2730203565,-0.0564692695,-0.08369617,-0.280847964,-0.119475612,-0.205688554,0,0.059641164,0.2304168065,0.266788111,-0.2580639815,0.0135894645,0.04797289,0.0239661090000001,0.212940376,0.363710269,-0.5596874825,0,-0.104785925,0,-0.2409381115,-0.030234584,-0.46439662,-0.119018185,0,-0.0640682745,0.361345269,0,0.2489181095,0,0.010351992,0.3279845115,-0.03306977,0,0,0.2369224475,-0.492221715,0.476371214,0.081360695,0,1.036840941,0.396262935,0.1241527945,0,0.317353215,0.03306977,-0.449387734,0.00829714400000003,0.142457179,0.146329364,-0.266297526,0.42777943,0,0,-0.1031695315,-0.00152784100000003,-0.1918160945,-0.420987861,0.3917840515,-0.4844009635,0.1001649395,0.259604709,0.06613954,-0.254366832,-0.289276355,0.0448839395000001,-0.046042691,0.135535942,0.261436794,-1.185278242,0,-0.2952230795,0,-0.03306977,-0.0097194575,0.174895637,0.0212523600000001,-0.284899853,0.1001649395,0,-0.18974238,0.1667988345,0.0139345925,-0.5389488785,0.0981902655,-0.029997609,0,-0.03306977,-0.151695972,0.244566932,-0.322292515,0,-0.03306977,0.0777884175000001,0.180380016,0,0.122360537,-0.062108768,-0.099328135,0,-0.265694504,0,-0.1080037575,0,0,0,0,0,0.284043992,0,0.0458168825,0.0458168825,-0.104785925,0.5574899365,-0.20957185,-0.0327029125,0.253822054,0,0,-0.020433536,-0.336828661,0.103115156,0,0.045287749,-0.063304354,0,0.059934405,0,0.1001649395,0,0.2774500895,0,-0.110755985,-0.0947390679999999,0.250102225,-0.104785925,0.164651473
"set32_407",0,0,0,-0.480279989,-0.6373489005,-0.4655006935,-0.8491418835,0.976900364,-0.28815567,0,-0.0294297345,-0.7604641765,-0.7213769425,-0.442789984,0.0247163475,-1.6079807865,0.1050406865,0,0.1950937255,0.501803158,-0.4339862815,0,0,0.285209126,-0.0623129985,-0.3205701085,0.001738133,0.00415349899999995,0.0824146575000001,0.359570197,-0.143492165,0,0,-0.0294297345,0.5565122,0.051708981,0.1303094165,0,-0.83673015,-0.5389299765,0.0246403305,-0.195848836,-0.032415038,-0.046278687,-1.016240822,0.162851222,-0.311499215,0.3389203705,-0.754503805,0.165107228,0.3504335375,0.4572044035,-0.5353927565,-0.208204438,-0.453067433,0.054016388,-0.2170312155,0,0.064682161,-0.104722573,-0.543849687,0.1041084605,0.0341280925,-0.22405871,-0.7594336765,0.0656741665,0.10974799,-0.4251781445,0,-0.0170145435,0,0.2701820975,-0.113370367,-0.189467381,-0.0268571545,0,-0.049331136,-0.5697604625,0,-0.0974147799999999,0,-0.032551953,0.179359458,0.0294297345,0,0,0.2264449775,-0.351053051,0.267763562,0.1086579675,0,0.962959888,-0.01808474,-0.696409832,0,0.0796539445,-0.0294297345,-0.128286209,0.0123355595,0.192068826,0.1497426965,-0.484418359,0.056759151,0,0,0.076653948,0.069218993,-0.107269414,-0.197653557,0.1426510085,-0.108999679,-0.365795487,0.4967815225,-0.058859469,-0.114539916,-0.24225536,-0.748414352,0.052229317,0.0211681545,-0.2626159985,-0.9243516215,0,-0.2697120705,0,0.0294297345,-0.058995804,0.128058733,-0.199590596,-0.218571348,-0.365795487,0,-0.01701923,-0.3962182965,0.0356588215,-0.4558483245,-0.4937750075,0.00624933199999989,0,0.0294297345,-0.337207205,-0.31644852,-0.640966551,0,0.0294297345,-0.355385786,0.205863866,0,-0.3307091825,-0.3048593465,-0.3413784575,0,-0.1395333825,0,-0.0367723875,0,0,0,0,0,-0.027352985,0,0.038078717,0.038078717,-0.0170145435,-0.7054861375,-0.034029087,-0.304079389,-0.00466051200000006,0,0,0.1643510715,-0.0323439780000001,-0.111760817,0,-0.0509666265,-0.0839406325,0,-0.2094919715,0,-0.365795487,0,0.929164105,0,-0.0965691085,-0.7679469325,0.0388997759999999,-0.0170145435,0.157251639
"set32_383",0,0,0,-0.122900185,-0.2753337365,-0.1388870345,-0.4112809345,0.9527876665,-0.169408567,0,-0.0033940705,-0.3960680625,-0.2783709815,-0.958549239,0.066671154,-1.8579634615,0.1803851725,0,0.2047197025,0.25767433,-0.329403085,0,0,0.255987996,0.0510321655,-0.4915545135,-0.031352533,0.324321676,0.2195442785,-0.252225126,-0.0203989539999998,0,0,-0.0033940705,1.008186294,0.00111583999999998,0.1057420015,0,-0.767198738,-0.0707478854999999,-0.0186577045,-0.160975161,0.072456343,-0.000120544499999958,-1.768435433,0.04864549,0.0477219725,0.3683871515,-0.501845266,0.225462805,0.223033643,0.40953753,0.394408427,-0.256409001,-0.364786997,0.008087868,-0.439605325,0,0.098454514,-0.1427026005,-0.208287074,-0.0160212765,-0.00519341149999999,0.2869533735,-0.315710517,-0.06354803,0.025839473,-0.583661547,0,-0.0103918215,0,0.0407728599999999,-0.0716605715,-0.505665778,-0.044629057,0,-0.1364522845,-0.3378720925,0,-0.1312997955,0,0.0874875405,0.171621926,0.0033940705,0,0,0.29962057,-0.536739044,0.195326176,0.0713101215,0,1.0825765475,0.0911210545000001,-0.2631450675,0,0.069648548,-0.0033940705,-0.163036166,0.0761853775,0.034137842,0.064244818,-0.297098855,0.210123162,0,0,0.0723637365,-0.136371567,-0.092109489,-0.1576297255,0.2510005415,-0.3373448595,-0.1098963845,0.4482442845,-0.006788141,-0.1419716705,-0.286476561,-0.307675129,0.096607657,0.0463707325,-0.0921174054999999,-0.5369476565,0,-0.440130794,0,0.0033940705,-0.1251856685,0.236806831,-0.0585190605000001,-0.122405666,-0.1098963845,0,-0.047997268,-0.2752853625,-0.1525199925,-0.806802293,-0.0692258155000001,-0.17197859,0,0.0033940705,-0.246540613,0.039504486,-0.271824797,0,0.0033940705,-0.4198558265,0.237011054,0,0.0234946050000001,-0.2208992695,-0.1830100615,0,-0.0557373875,0,0.00731613449999995,0,0,0,0,0,0.1587667675,0,-0.0280986135,-0.0280986135,-0.0103918215,-0.3631954125,-0.020783643,-0.1694221155,0.0959106789999999,0,0,0.0657948185,0.047734892,-0.277290458,0,-0.130927352,-0.068266501,0,-0.0965768925,0,-0.1098963845,0,0.4188728455,0,-0.095168834,-0.2884705745,0.05885368,-0.0103918215,0.157884598
"set32_454",0,0,0,-0.023011821,-0.169744783,-0.212307899,-0.523560121,-0.0646602905000001,-0.336821351,0,-0.0649554795,0.366715913,0.820575289,0.240513477,-0.1138332445,-0.6849399255,0.1735969475,0,-0.5322083455,-0.708114546,-0.1865143055,0,0,0.653553936,0.102750277,2.033630034,0.264153496,-0.244137685,-0.5837496795,0.4465400245,0.476511837,0,0,-0.0649554795,0.114957946,0.636724503,0.7991551965,0,-0.500167335,0.0824619195,0.0926941405,0.08794857,0.325499079,0.06058684,-0.278400516,0.548936791,-0.519401229,0.430483552,0.729760563,-0.048397128,-0.5187452975,0.350127578,-0.501655081,-0.018702773,-0.429277283,0.414007945,-0.3147172595,0,0.237152769,-0.109539828,-0.249591193,0.226435624,0.262332302,-0.4993738545,-0.533003632,0.2287690045,0.364531798,0.016702623,0,0.0837848835,0,-0.2913447565,-0.05949297,2.104156206,-0.2205883025,0,0.015329435,0.3858691245,0,1.075174146,0,-0.2733266645,-0.0359266925000001,0.0649554795,0,0,0.8249460635,1.703308376,1.308956934,0.3458756315,0,-1.211452204,0.8664124925,-0.505687004,0,0.840083144,-0.0649554795,-1.117877147,-0.0530931275,0.531805641,-0.6750886255,-1.23455065,0.172582706,0,0,0.090083802,0.019733851,-0.2606911605,-0.280327715,0.161336701,-0.033125657,0.093040556,-0.6489583375,-0.129910959,0.130229507,-0.108525171,-0.6623293535,0.889608317,-0.0840647095,-0.3594994305,-1.15347951,0,-0.142962759,0,0.0649554795,0.4294732905,0.33163101,-0.6910117935,0.116776278,0.093040556,0,0.096302831,-0.4796291105,0.0975087179999999,-0.2698478035,-0.535560515,-0.087024255,0,0.0649554795,0.291573047,0.568791179,-0.271775189,0,0.0649554795,0.318989105,-0.783727691,0,0.0203148685,-0.325681989,-1.09850859,0,-0.2983527405,0,-0.683190854,0,0,0,0,0,-0.187024322,0,0.1740882255,0.1740882255,0.0837848835,0.3468752745,0.167569767,-0.020082654,0.524730985,0,0,0.6098043615,-0.260888952,0.337841756,0,-0.4471560495,0.0054625095,0,-0.6547815745,0,0.093040556,0,0.6936118875,0,-0.6944145975,-0.8269087,0.198597581,0.0837848835,0.202363927
"set32_406",0,0,0,0.152654558,0.1436899365,0.0946856245000001,-0.2001700625,1.399888532,-0.280661748,0,0.025920676,0.417280352,0.216382178,-1.035941009,0.065444657,-0.730555281,0.413031813,0,-0.077374056,-0.389064785,-0.4413021155,0,0,0.302588369,0.0218192985,-0.3225436125,0.045895879,0.419723134,0.213586459,-0.243642854,0.261781269,0,0,0.025920676,1.269244886,-0.230385672,-0.1682462245,0,-0.888068809,0.2207338195,-0.103005549,0.580673004,0.141432314,0.0620525615,-1.728267781,-0.096209593,-0.038961389,0.1354304955,-0.2916758305,0.273704275,-0.048744023,0.04094128,0.112544517,0.05988584,0.0907094940000001,-0.040500138,-0.139155773,0,-0.128301074,0.389491965,0.1910495545,-0.0989137445,-0.06606654,0.1296049355,0.2308789285,0.2032554525,0.096851054,-0.46240306,0,-0.0450412745,0,-0.1476592,0.0160083365,-0.993983424,0.0127838775,0,-0.09412641,0.235388328,0,0.0230125785,0,0.086185099,-0.00330295150000004,-0.025920676,0,0,0.184280651,-0.638926154,0.130192798,0.0278952265,0,1.082315088,0.273677183,0.614830894,0,0.184082506,0.025920676,-0.257397328,0.00838686299999999,0.20216238,0.1599768225,0.293834074,0.916559492,0,0,0.0208868555,-0.168428141,0.004622156,-0.4579221145,0.505314736,-0.28918732,0.15043794,0.1699934155,0.051841352,-0.123629711,-0.22675561,0.1968371155,0.202300885,-0.0405725140000001,0.089090089,-0.489425854,0,-0.3716164305,0,-0.025920676,0.402499071,0.0719189490000001,-0.0448383130000001,0.145075122,0.15043794,0,-0.029686199,-0.2000385665,-0.385057568,-0.729629556,0.2846694485,-0.337169319,0,-0.025920676,-0.260617163,-0.153501562,-0.112908623,0,-0.025920676,0.3105904205,0.321483666,0,0.3112536155,-0.035997701,0.363276182,0,0.2528024325,0,0.0360218054999999,0,0,0,0,0,0.235782243,0,-0.0856894545,-0.0856894545,-0.0450412745,0.201097076,-0.090082549,-0.2145151365,0.15593661,0,0,0.006187871,-0.165000499,-0.083840631,0,-0.2188604905,-0.0099123395,0,0.1514822885,0,0.15043794,0,-0.5362368455,0,0.1092392005,0.1410445465,0.435848938,-0.0450412745,0.148841796
"set32_382",0,0,0,0.15677671,0.61232407,0.475521966,0.085531753,1.3990510265,-0.451331015,0,-0.148004758,0.559836527,0.621945872,-0.712368921,0.1261556375,-0.804165093,-0.0207977460000001,0,0.0558680135,0.209877512,-0.2965037165,0,0,0.7773708085,0.2578391815,-0.4574219605,0.101294633,0.501761082,-0.152311824,-0.196630725,0.7172535575,0,0,-0.148004758,1.561107217,-0.098162882,-0.0249749115,0,-0.633093871,0.5890740245,0.0318426,0.280879309,0.078692144,0.0189910055,-1.460075863,-0.240632217,-0.096347047,0.0338137015,-0.0369016969999999,0.677833733,-0.586924089,0.1251580125,0.445920888,-0.021040648,0.034729879,0.051888353,-0.106102075,0,-0.106401663,0.0667746395,0.5900839645,-0.2190523935,-0.061652362,0.360094706,0.455954864,0.377439952,0.522755263,-0.516315682,0,-0.1092087075,0,-0.417985764,-0.17689363,-0.969968519,-0.071081057,0,-0.0850297905,0.583468596,0,0.436131518,0,0.0414716295,-0.2020573395,0.148004758,0,0,0.4063172665,-0.654018605,0.195783447,-0.0816660335,0,1.0912884745,0.3743802825,0.8265746955,0,0.1028284415,-0.148004758,-0.439659888,-0.207166269,0.246932438,0.108244337,0.421886468,0.812693304,0,0,-0.120518489,-0.112281837,-0.016206352,-0.4850503575,0.6073829935,-0.8377948825,0.4739911725,0.1083235905,-0.296009516,-0.2107512885,0.1253342,0.15583359,0.310089502,-0.130561344,0.019431484,-1.17116931,0,-0.4973339885,0,0.148004758,0.2278619725,0.0741002970000002,-0.1513247195,0.015938311,0.4739911725,0,0.212265958,0.2857569325,-0.3756985405,-0.5725028235,0.744449743,-0.169778733,0,0.148004758,-0.344898329,-0.321037158,1.382818544,0,0.148004758,0.1670111405,0.371294489,0,0.5331824655,-0.1376557825,0.3249471005,0,0.2049051755,0,-0.0578164310000001,0,0,0,0,0,0.102875783,0,-0.1218323225,-0.1218323225,-0.1092087075,0.349590084,-0.218417415,-0.203287865,-0.330757071,0,0,0.077740916,-0.486768665,-0.024197189,0,-0.094918442,-0.028888872,0,0.1148461525,0,0.4739911725,0,-0.9690349865,0,0.214893583,0.380276395,0.129066862,-0.1092087075,0.253707337
"set32_453",0,0,0,0.035577972,-0.084431008,-0.149232568,-0.536030212,0.4385324465,-0.581173757,0,0.0876988405,0.0072315015000001,-0.1122687635,-0.587956558,0.030424269,-0.4390129545,0.3833835185,0,0.146634846,0.118533229,-0.317838532,0,0,0.1332798495,0.221550979,-0.5464191685,0.087936375,0.324258605,0.3492002025,-0.182443937,-0.0923652115,0,0,0.0876988405,0.0489449069999999,0.000960351999999998,0.0366529005,0,-0.67335705,-0.0652269865,-0.0498792025,0.102458229,0.017432686,-0.00768968800000001,-1.14702518,-0.109337037,0.17366184,0.146458228,-0.3490376395,0.171414835,0.1284811615,-0.112111843,0.1076060775,-0.114180554,0.114712918,0.075398189,-0.2561965135,0,0.032154986,0.1369282785,-0.1740246695,-0.2197313055,-0.0494238605,0.08962555,-0.1412063785,0.293536697,0.298029919,-0.4071670005,0,0.0259538645,0,0.1790407025,0.0363584885,-0.460324955,0.017525631,0,-0.0930776575,-0.079868771,0,0.213347069,0,0.1440584795,0.226164198,-0.0876988405,0,0,0.206248179,-0.276882559,0.1790902675,0.0104065975,0,0.9440541045,0.2252087705,0.0339991175,0,0.104371447,0.0876988405,-0.376712237,0.0202842375,0.00548625699999999,0.056432171,0.076724346,-0.026745085,0,0,-0.026685579,-0.083474611,-0.038481005,-0.109818451,0.450659379,-0.0779437345,-0.1371289935,0.0612874045,0.175397681,0.0393736165,0.06341255,-0.182577855,0.08372802,0.019046376,0.087490418,-0.224849192,0,-0.2427413205,0,-0.0876988405,-0.0591228435,0.0573911460000001,0.0901255425,-0.059876051,-0.1371289935,0,-0.121766138,0.1622473205,-0.1784954275,-0.630456053,0.000622391999999916,-0.123417141,0,-0.0876988405,0.00120027199999997,0.263293845,-0.275798839,0,-0.0876988405,-0.274169082,0.333205471,0,0.00504079500000001,-0.063187318,-0.098801248,0,0.2762904555,0,-0.090354738,0,0,0,0,0,0.249828143,0,-0.0909005605,-0.0909005605,0.0259538645,-0.28319779,0.051907729,-0.2072449495,0.024070881,0,0,-0.1390552975,0.0831852899999999,-0.199277756,0,-0.191126941,-0.051340352,0,-0.0548570115,0,-0.1371289935,0,-0.1765234085,0,-0.077529387,-0.2193226015,0.228197176,0.0259538645,0.328544222
