"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set58_117",-0.151903181,-0.201753634,0.630111488,0.218029325,2.41313345,2.420598656,1.913342827,0.771378982,-0.418451064,0.243351557,-0.1197318645,0.912849615,3.213055029,2.510276248,-0.119094032,-0.7342266895,2.9963993095,0.523157656,-1.624238318,0,0.107153141,0,-0.072408069,1.3631827815,0.175695077,1.1444178455,0.367519973,-0.224537783,-0.00917095949999996,-0.8650713235,1.5811045165,0,0,-0.2340975035,4.573322106,0,-0.685764415,-0.726721529,0.009241156,2.2244912475,0.4355374275,0.275496078,0.059177505,-0.504404924,0,-0.093187264,-2.709784398,-0.9826755735,2.53259087,0.426852087,-2.3650214965,1.4331799055,1.1984532535,-0.201795613,0.342865502,0,0.1807177635,0.174025165,-5.623888471,0.1927869365,2.270674382,-0.914707458,0.1789874005,0.379148568,2.3545950705,1.62764544,-0.319421241,0.205413255,0,0.009569987,0,-2.8428409165,-0.7781549645,-0.688600221,0.282699242,0.159083922,0.541500663,1.271771738,-0.035249561,-0.2055948815,0.334645804,-1.0105756125,-0.4217180085,-2.0738203065,0.701511283,0,-0.046279214,-1.383202143,-2.624949949,-0.000280625999999992,0,-0.461787353,0.2188707805,1.892361583,0.242670801,1.221750626,-0.2340975035,0.463370986,-0.4372750825,0.926183947,-0.168333603,-0.122617516,0.331861258,-0.186294266,0.104294044,0.1806452715,0.791052403,1.033631678,-0.2251551225,0.7253895665,-2.7182659165,1.9021418795,-0.104795652,-0.537842363,0.051831648,-0.103475429,0.911121396,1.530519958,-0.9800077835,-0.4862646205,-0.525644013,-0.09902516,-0.5467387955,0,0.2340975035,0.832417889,0.012397554,0.6225212905,0.540115818,2.224090208,-0.557274491,0.546055839,-1.0276770665,0.5765356445,-0.246905156,2.9681408425,-1.672580423,-0.434780773,0.8670791345,0,1.699522038,0.191786338,0,0.2340975035,-3.075497699,0.13365347,-0.503081947,2.245462797,0.7103119865,0.5120296115,0.571940494,-1.726896603,-0.222462952,0.0487976579999998,0,0,0,0,-0.162043868,-0.346366395,-0.114365639,0.856007941,0.930103357,0.109290357,2.7491315345,-0.209591304,0.452603426,-1.637176956,0,0.044718283,0.6154975555,0.17581106,0.222514961,-3.25876308,-0.479267658,0.168333603,0.453509039,-0.547857572,-0.520419126,2.598823745,0.044718283,-1.9956147265,0,-0.172406496,2.1477994565,-0.304331611,0.663363073,0.13283882
"set58_135",-0.1459449675,-0.298681181,1.5396229805,-0.127704341,3.4725771545,3.6853544285,2.6526386565,0.861773526,-0.8912957185,0.502322517,-0.193088509,3.8700267,6.050665043,3.071857688,0.241473327,-0.8357028055,2.8439058765,0.635682742,-1.948690896,0,0.062227745,0,-0.40588956,1.6444998625,0.5720447005,1.579313317,0.135180024,-0.217083375,0.6518416955,-0.7627442515,2.984867044,0,0,-0.2941172365,4.243819589,0,-0.852161,-0.8593154855,0.06520083,3.00510413,0.3121709945,0.0552302930000002,-0.0421147030000001,-0.4182092055,0,-0.426294511,-3.286086568,-0.556735859,3.8981191265,1.605796796,-4.0669384055,0.9016466025,2.3609345315,-0.350591227,0.230465228,0,0.0129259205,0.108072034,-4.918212039,0.0819652445,3.5278861885,-1.1964501835,0.58618599,0.826814035,4.421285821,1.8941801745,-0.581765112,0.26063171,0,0.045830157,0,-3.1810934025,-1.181732089,-0.590789663,0.257091046,0.085339738,0.3783610475,3.3960424405,0.0556202165,0.5374152305,0.188018205,-0.544844677,0.394937752,-1.6210115185,0.81673879,0,0.319999673,-1.1166729595,-2.186577267,-0.0350632645,0,-0.696976071,1.2422776235,2.778841989,0.0888200475,1.424879909,-0.2941172365,0.507674708,-0.306794135,0.800103589,-0.1560623185,-0.447232736,0.532458625,-0.019987239,-0.23306574,0.015235031,0.4289084685,0.6982429655,0.3385720885,0.834259874,-3.1848715725,2.6117732985,-0.0551985705,-0.70495219,-0.065640581,-0.108351389,2.442003799,1.080917788,-1.075814032,-0.164719289,-0.350492058,-0.0697449245,-0.8385770155,0,0.2941172365,0.6984799805,0.353676464,0.8528657665,0.5608130315,3.6176280645,-0.606806452,0.40790425,-0.071633197,1.325377902,0.239121571,3.408969376,-1.377136534,-0.466689782,0.75288782,0,2.0336968755,-0.308852349,0,0.2941172365,-2.970050352,0.231712367,0.00177407400000007,3.199306127,1.7327998165,1.3128766955,0.663008225,-1.4144407195,-0.405851997,-0.7661212735,0,0,0,0,-0.227536132,-0.402658924,-0.1010287275,2.021880408,1.562811832,0.711603543,5.4053073345,-0.110397141,0.3580392685,-1.305840439,0,-0.0156889895,0.9155700665,0.5047651295,0.113486786,-3.415590944,-0.4872135625,0.1560623185,0.685700912,-1.1056334365,-0.324418357,3.1492515885,-0.0156889895,-3.333027818,0,-0.229272046,3.4747248515,0.088153988,1.191500103,-0.016883901
"set58_310",-0.365654959,-0.364408718,0.880498294,0.2409784545,2.5071728255,2.5217704705,1.9197273235,0.741735082,0.0258082395,0.520537069,-0.240161145,1.3820677225,3.4258159215,2.334128445,-0.06046281,-0.789502495,2.84723469,0.508926179,-1.9732952605,0,0.2236917495,0,-0.289289348,1.449898859,0.4108560935,0.6155277165,0.406998442,-0.401114426,0.239790847,-0.4913355895,1.847548863,0,0,-0.282643741,4.479850944,0,-1.1123287025,-0.95848812,0.228982916,2.3387569895,0.283733565,0.0201824230000001,-0.021587562,-0.5798320135,0,-0.208639751,-3.357693787,-0.382113837,2.1428527275,0.75377137,-3.272937915,0.971812628,1.111714457,-0.160437399,0.268899458,0,0.239637543,0.182748446,-5.432591685,0.272445764,2.437242622,-1.1911890445,0.121003678,0.2834372815,2.4804673935,1.861711248,-0.12745072,0.0684092335,0,-0.0742414815,0,-2.417581015,-0.8354847375,-0.690847112,0.218053367,0.0630848305,0.510670236,1.714810221,-0.0860957075,-0.0399437825,0.208580895,-1.017857378,0.0837306354999998,-2.053606364,0.973051178,0,0.030935953,-1.5427781615,-2.5257384135,-0.0414978955,0,-0.4230043925,0.0233950655000003,1.940921082,0.188108854,1.4389660245,-0.282643741,0.442523472,-0.0216429319999999,0.897765921,-0.175570771,-0.423207215,0.111947865,-0.511131835,-0.285784295,0.08084454,0.6908011645,0.5635343075,-0.0645638160000001,0.5617693775,-2.653565343,1.762387188,-0.1167240775,-0.5871678435,-0.0443003175,-0.167769083,0.935831172,1.258464124,-0.9748439945,-0.3547504165,-0.664731583,-0.0345389965,-0.9918254765,0,0.282643741,0.5533492355,0.111855687,0.693085947,0.69072847,2.2492223555,-0.646092365,0.677041768,-0.9325395295,1.0833290455,-0.348638833,2.8749070235,-1.492905111,-0.486368489,0.934006712,0,1.1515875685,-0.14443488,0,0.282643741,-3.2309132445,0.142399494,-0.607074791,2.20720936,0.839583556,0.721069669,0.956013923,-1.9746222365,-0.549588503,0.0950014754999996,0,0,0,0,-0.074813736,-0.483200954,-0.042482596,1.27762317,1.186874896,0.016708864,3.2123756825,-0.233448155,0.806775062,-1.345959181,0,0.0206022345,0.743775438,0.361271972,0.122218869,-3.424144373,-0.709532651,0.175570771,0.5128471975,-0.3823996245,-0.7494271465,2.9134768935,0.0206022345,-2.183578383,0,-0.2792439155,1.934915803,-0.1313718205,0.953341773,0.030732108
"set58_309",-0.3706849595,-0.338343107,1.1193336365,0.3796786945,2.8567775545,2.9839627315,2.1798566805,0.92768706,0.2221462735,0.385994547,-0.1586400695,2.341712407,4.497281361,2.493651178,0.123634598,-0.760536111,3.032781984,0.470965547,-2.072251503,0,0.2570717595,0,-0.161760569,1.3237321465,0.6176311045,0.8363677655,0.524807471,-0.124608696,0.576143447,-0.7096457075,1.94825295,0,0,-0.228187492,4.967200913,0,-1.148611834,-0.6893032175,0.219397146,2.5186800625,0.313093226,0.12514111,-0.0745845060000001,-0.443549159,0,-0.248654773,-3.17907345,-0.545146387,2.4818037085,1.084378143,-4.294883333,0.7551618915,1.6732606045,-0.193284969,0.36642718,0,0.284662917,0.225081595,-5.212776245,0.308389537,2.6142945165,-0.91955426,0.1007062475,0.322307454,3.004203276,1.9108132415,0.00455578400000001,0.1458009265,0,-0.047250334,0,-2.7579011365,-0.6564442875,-0.47667802,0.276988079,0.06154257,0.5616107625,2.351196957,-0.2226792315,-0.057451777,0.30346214,-0.8220358195,0.639978992,-2.094050225,1.000556675,0,0.1015221265,-1.460935633,-2.4454792715,0.0938683515,0,-0.320205937,0.52046989,2.0358812775,0.1306571125,1.923043106,-0.228187492,0.426833694,0.1594131145,0.840879539,-0.2074406565,-0.637099701,-0.096609366,-0.819183933,-0.451748067,0.0467191635,0.7003353595,0.947296637,0.085965362,0.7087105555,-3.014158669,1.984473716,-0.1167977565,-0.533927259,-0.06749786,0.014280092,1.5484842945,1.314829153,-0.8908925295,-0.2743954785,-0.59881042,-0.1210206415,-0.852607883,0,0.228187492,0.645642788,0.21758315,0.7184645325,0.7016289475,2.719400413,-0.551731699,0.682327398,-0.7891343195,1.186828895,-0.310574815,3.074302696,-1.559000303,-0.452700767,1.0116360295,0,1.1192433845,-0.221976452,0,0.228187492,-2.755121837,0.183885202,-0.561916562,2.4220262695,1.008328032,1.027770069,0.912966626,-2.0664068805,-0.63754742,-0.0363376400000001,0,0,0,0,-0.063126327,-0.29049184,-0.0695474225,1.397906201,1.34416805,0.165997393,4.055573718,-0.233595513,1.058595775,-1.414216555,0,-0.00800485249999999,0.696086262,0.4331558545,0.164556967,-3.509993057,-0.8882921345,0.2074406565,0.4657168655,-0.4950801855,-0.8275825845,3.054137486,-0.00800485249999999,-2.265200528,0,-0.242387122,2.3279688755,-0.0738149135,1.106045352,0.116899472
"set58_308",-0.1106858065,-0.276234867,0.9149852005,0.4462837365,-0.0945422604999999,0.0668693935000001,-0.1229262155,0.966729538,-0.22819898,0.350045204,-0.1755936995,1.71263113,-0.376010063,0.921070287,0.1958763295,-0.579162026,2.833936729,0.571033075,-2.1002165565,0,0.219911458,0,-0.41558278,1.318263637,0.5177808135,0.73667573,0.335270438,0.039892757,0.294194219,-0.729665821,-0.2127700545,0,0,-0.261608578,4.572147166,0,-0.8671800035,-0.8002749165,0.319927634,0.1918447605,0.345956052,0.066232353,-0.0121384950000001,-0.367500851,0,-0.26410431,-3.0638031875,0.00130720499999997,0.570891306,1.179187988,-1.640156821,1.01391061,1.599487693,-0.140923176,0.352022306,0,0.0706405175,0.238407143,-5.503790666,0.0533496905,0.6000798175,-1.037247252,0.2694042,0.409945312,0.7771758875,1.796603815,-0.09081884,0.1467471845,0,0.00674506950000002,0,-0.5156614895,-0.5927753525,-0.72915503,0.2365643615,0.1342038775,0.4606990035,-0.103224843,-0.091950752,0.29231538,0.087678032,-0.9326844235,-0.2389295875,-1.917500384,1.106540365,0,0.1452722965,-1.678757948,-2.04150773,-0.033820916,0,-0.381259198,0.37179051,-0.110054511,0.2250418135,1.3429317565,-0.261608578,0.497074011,0.4300405725,0.915583596,-0.150549483,-0.303481158,0.146377257,-0.53026843,-0.885882224,0.0080006255,0.66848804,0.1400277145,0.21018269,0.9924382235,-0.602190721,-0.210301157,-0.079269809,-0.5610430355,-0.141374898,-0.059859729,-0.9279150135,1.467442752,-0.900429384,-0.178631832,-2.891505254,-0.068506006,-0.8805716585,0,0.261608578,0.585830755,0.200772713,0.7416436565,0.6743506085,-0.3867469295,-0.624309248,0.497930205,-0.5624057235,0.3583761365,-0.1338292195,0.8300355755,-1.602632293,-0.408677481,0.8238272755,0,1.285342365,0.08563805,0,0.261608578,-3.202246289,0.175465817,-0.5220846,0.095907493,0.763342492,0.667974719,0.964500572,-1.868969865,-0.536671972,0.803991775,0,0,0,0,-0.086184372,-0.2416621995,-0.0860148785,1.3569382265,1.2263964575,0.256719482,1.760788899,-0.158539618,0.6834826505,-1.331233392,0,0.048188999,0.737732878,0.2873926375,0.136831236,-3.302874066,-0.659601934,0.150549483,0.5711788835,-0.624229278,-0.5949582835,0.5419348235,0.048188999,-0.0944393815,0,-0.334640179,-0.325295563,-0.2495650585,0.8796960965,0.218551689
"set58_307",-0.056547997,-0.20907447,0.949339054,0.368401881,-0.0916071995,0.0304158975,-0.1091283685,0.914603084,-0.0374822975,0.451320114,-0.1320740685,1.7163368685,-0.4103965205,0.808306637,0.10340414,-0.7344449945,2.7650022705,0.50299833,-2.0094932705,0,0.226848455,0,-0.371472675,1.3147479705,0.537233499,1.0880626635,0.371869297,-0.180932297,0.3020962635,-0.708068087,-0.436625387,0,0,-0.2410146175,5.094838563,0,-0.8456769205,-0.743722926,0.319331966,0.026038702,0.3701610115,0.153424714,0.0272416069999999,-0.3711408625,0,-0.28840318,-3.041029613,0.1208521805,0.403442383,1.427753356,-2.217900516,1.0777312565,1.448447124,-0.206580157,0.415761242,0,0.1952896315,0.287353774,-5.507632631,0.1907239635,0.4519426905,-0.9106022445,0.3119413075,0.374075637,0.569156156,1.779231536,-0.110040547,0.3110663585,0,0.0596020985,0,-0.4889981185,-0.545806293,-0.59477093,0.308424569,0.1285764595,0.543935719,-0.305316674,0.0128347715,-0.0317851335,0.160937759,-0.965647300499999,0.105997757,-2.0085763055,1.090580249,0,0.101430503,-1.791939855,-2.205171041,0.1613086345,0,-0.4852146875,0.5083669675,-0.2060498635,0.075429253,1.6824748025,-0.2410146175,0.406252303,0.3434928935,1.025087135,-0.19948402,-0.338739104,0.133726819,-0.596620887,-0.700981192,0.0495943695,0.7085393085,0.2680934155,0.261767348,0.9001217395,-0.665551974,-0.251744453,-0.0493384505,-0.5713338735,0.0690906895,-0.05273706,-0.833288774,1.371918194,-0.848206301,-0.32983762,-2.7072213535,-0.1135146955,-0.8210631125,0,0.2410146175,0.6217413715,0.127267974,0.6767208625,0.780723793,-0.5609176765,-0.533010522,0.578968308,-0.761411603,0.4051095595,-0.186211118,0.991708879,-1.710983742,-0.407537644,0.7835859025,0,1.1339737235,0.166168334,0,0.2410146175,-2.8606978695,0.139870724,-0.588582287,0.0973928925,0.8339654395,0.7544950575,0.948628256,-1.8782027755,-0.338027651,0.8115904375,0,0,0,0,-0.014731878,-0.331480766,-0.108940549,1.2252282675,1.2200133525,0.287502498,1.8779049095,-0.098676901,0.607936841,-1.375155022,0,0.0196359105,0.6634763675,0.211795584,0.134779121,-3.253261851,-0.73447731,0.19948402,0.410356247,-0.5550565105,-0.554221554,0.5532620805,0.0196359105,0.174888957,0,-0.2421123285,-0.2070006355,-0.281958068,0.8812038485,0.221203384
"set58_304",-0.100619287,-0.278639829,0.796546551,0.3301121325,2.4313475385,2.3551731135,1.8439876855,0.7064106115,0.00395628449999999,0.550547537,-0.1316242745,1.43752154,3.391993886,2.390862795,0.0520562065,-0.7787515535,2.9690790805,0.451650129,-2.0863929525,0,0.207128799,0,-0.269208673,1.353310874,0.442539789,1.048145314,0.275462192,-0.264441307,0.1383762785,-0.542085356,1.7130406255,0,0,-0.2253561045,4.52141186,0,-0.83943166,-0.731453179,0.249718459,2.1200824115,0.2445303275,0.085896229,-0.170144503,-0.4173810285,0,-0.271513134,-3.321185748,-0.616921173,2.3816894475,1.452779401,-3.213554376,0.808013787,1.2680432955,-0.192550375,0.38751825,0,0.2641562225,0.151552006,-5.478646095,0.167262259,2.4382002535,-1.0219397105,0.174840591,0.2869467015,2.4146879815,1.8999619075,-0.107016214,0.1558191855,0,0.043539355,0,-2.432985074,-0.7318420265,-0.578969142,0.2329428925,0.0865905085,0.4913016445,1.8039629355,0.0136770615,0.0420344755,0.207711282,-1.0823041315,-0.27094573,-2.0723712415,0.851395982,0,0.0804789055,-1.4362935425,-2.2106698005,0.101383795,0,-0.4424468305,0.290844632,1.8243507545,0.214635405,1.746322066,-0.2253561045,0.457370057,0.4058398625,0.796356912,-0.1392110625,-0.42341244,-0.021773912,-0.621843777,-0.38072421,0.047015015,0.6970398425,0.740615835,0.2535690785,0.783344302,-2.5185260215,1.6481145635,-0.050192475,-0.5515853605,0.0393693535,-0.034403586,0.8511147745,1.250459106,-0.875310054,-0.334379323,-0.583783396,-0.0552854425,-0.8796147395,0,0.2253561045,0.570226958,0.085975328,0.668288535,0.701362663,2.102028035,-0.545050014,0.628995791,-0.8383142815,0.931593066,-0.2277043375,2.7790800265,-1.502665978,-0.402978108,0.8112569425,0,1.0690215435,-0.073477046,0,0.2253561045,-3.387691754,0.152380473,-0.583800077,2.002786513,0.5575051015,0.6554089345,0.840048329,-1.948415537,-0.495844211,0.177248122,0,0,0,0,-0.048202692,-0.357576758,-0.09373183,1.2465871725,1.1990753705,0.2666083845,3.265936084,-0.10038495,0.731544197,-1.429697667,0,-0.00714132149999999,0.7118924375,0.367054443,0.119954214,-3.329898311,-0.6186818515,0.1392110625,0.4340547175,-0.544785049,-0.6921500775,2.569822538,-0.00714132149999999,-1.915791432,0,-0.350693564,1.8391880525,-0.1264530395,0.9941797115,0.112101966
"set58_37",-0.316450187,-0.418998902,1.290923428,0.535845107,0.243446985,0.56636881,0.143032763,1.070670801,-0.154420941,0.390911106,-0.1662918375,2.6168391685,0.0995133445000005,-0.0730660870000001,0.2035768895,-0.7501329825,2.8915164835,0.381334302,-2.2543505775,0,0.1052585355,0,-0.375641215,1.3862274405,0.718403908,1.2810485135,0.289771054,-0.109697898,0.6176695725,-1.0343164425,0.2798854985,0,0,-0.2039666455,5.533123112,0,-0.9826148965,-0.770784788,0.165612811,0.268713245,0.2598262135,0.0590273400000001,-0.0137510070000001,-0.6269389575,0,-0.216056719,-3.1486226475,0.9150503095,0.8719931985,0.738376626,-1.4785797245,0.891702954,2.15479381,-0.281351656,0.419035019,0,0.249505245,0.152392392,-5.215483078,0.253197554,0.6840446805,-0.915967053,0.2684395745,0.5210950865,1.3328377145,1.8656689835,-0.175695787,0.264267089,0,-0.0025404715,0,-1.0979969865,-0.63344479,-0.499680658,0.2376726415,0.00939942800000002,0.5204552635,0.7938409735,0.047809082,0.127884667,0.272672305,-0.4551883245,0.4089882075,-1.8840579925,0.92893915,0,0.214233054,-1.355598482,-2.084426439,0.1407041865,0,-0.519607576,-0.1089720895,0.0863523120000001,0.242573821,1.0892577135,-0.2039666455,0.357264149,0.0666657875,0.985372498,-0.1999978335,-0.641346067,0.321265646,-0.55677779,-0.770206059,0.006122094,0.61263948,0.6347029205,0.390217488,0.938429518,-0.8006193075,-0.1104820805,-0.0402152795,-0.473883479,-0.02963476,-0.103549762,-0.289310225,1.294586279,-1.0236267275,-0.3809504195,-2.7384840655,0.0377521935,-0.893812278,0,0.2039666455,0.8481951395,0.328856493,0.83951702,0.797350941,-0.124779675,-0.534002162,0.415490166,-0.3104709695,1.145946699,0.0446664795,1.1608937095,-1.631416191,-0.512766407,0.9309386865,0,1.632333516,-0.223042194,0,0.2039666455,-3.5484612675,0.225995375,-0.368758994,0.5011016455,1.46464618,1.446155807,0.721382996,-1.6809182735,-0.514665279,0.241922311,0,0,0,0,-0.193619277,-0.2588155945,-0.037674808,1.8244728235,1.6427032535,0.3251747275,2.13736249,-0.080430559,0.6759208715,-1.274866192,0,-0.02827538,0.6536961755,0.496759649,0.190341084,-3.470075562,-0.8656070205,0.1999978335,0.44959599,-1.0948626725,-0.50653871,0.819208199,-0.02827538,-0.154216505,0,-0.3510401505,0.3797240105,-0.234263794,1.319489296,0.13255098
"set58_38",-0.017215396,-0.30131893,1.086035961,0.4754064945,0.184831746,0.468551235,0.0685689940000001,1.041123298,-0.19887544,0.341120005,-0.0923394355,2.0852110545,-0.3485305275,0.091306181,0.2392227,-0.6479269735,3.0414705045,0.432993813,-1.918915573,0,0.061276023,0,-0.519810591,1.3836354785,0.540449933,1.4996519705,0.150068377,-0.043490744,0.3922801225,-1.093174927,0.0547571310000001,0,0,-0.2207419275,4.830526486,0,-0.6690543935,-0.853417747,0.151588894,0.1655282955,0.1969711195,0.0463596390000001,0.0486887169999999,-0.4325885425,0,-0.196186765,-3.1948571775,0.3911578295,0.8987778275,0.670529806,-1.1323800185,0.85230627,2.1277077085,-0.283058981,0.43134137,0,0.131907972,0.232720289,-5.157299843,0.0253611714999999,0.841530001,-1.1366246535,0.556857052,0.7189591165,1.239279677,1.76026885,-0.234730297,0.380086552,0,0.0738983195,0,-0.889134177,-0.5816043525,-0.483676601,0.289946721,0.121484694,0.391122092,0.355320805,0.201726303,0.309630389,0.188718594,-0.5851318075,0.301332344,-1.8391180385,1.00780255,0,0.3234774525,-1.2317640665,-2.0551911675,-0.1183081195,0,-0.4601782775,0.1542542015,0.0932462770000001,0.37604057,0.6890461265,-0.2207419275,0.384029764,0.1865445045,0.920689213,-0.161544229,-0.539134527,0.33419565,-0.473084333,-0.884008372,-0.019231229,0.452237928,0.336351916,0.604321363,0.8344791645,-0.754555553,-0.0592179099999999,-0.0545041725,-0.576804145,-0.1661540905,-0.086265003,-0.502446683,1.445607941,-0.990951824,-0.387835229,-2.785234077,0.028983195,-0.8383681055,0,0.2207419275,0.7318587465,0.342346228,0.8437972195,0.796262227,-0.127363435,-0.42251692,0.222754237,-0.203097375,0.302106109,0.341983529,1.044569459,-1.697426108,-0.618842329,0.8985673475,0,1.649360587,-0.286258891,0,0.2207419275,-3.516356709,0.162888406,-0.301157221,0.3481878265,0.910653873,0.754313739,0.710293996,-1.7058094185,-0.447397696,0.766053505,0,0,0,0,-0.104613055,-0.2424872995,-0.128402492,1.4722163255,1.2702058165,0.3557929875,1.7630975525,-0.109008345,0.55844989,-1.019959117,0,-0.00691779799999999,0.7171377045,0.386087694,0.208895733,-3.362814756,-0.549728958,0.161544229,0.5167513685,-1.0112385605,-0.3678682555,0.641277347,-0.00691779799999999,0.0455703594999999,0,-0.368735231,0.1486614115,0.1556551055,0.9489629105,0.093412587
"set58_39",-0.1486882175,-0.332318184,1.2216613755,0.3152738765,2.50823387,2.771321448,1.915877499,1.0481110885,0.1107727175,0.497143115,-0.0885530584999999,1.4744064925,2.9356750015,2.261388558,0.23107935,-0.802947738,3.166292864,0.525880493,-1.662467829,0,0.095850629,0,-0.326766906,1.523206692,0.5517730745,1.003750221,0.169268005,-0.102767043,0.229616046,-0.9506824145,1.6051526235,0,0,-0.186090823,5.410511262,0,-0.7438189715,-0.8196728485,0.172307475,1.8915921205,0.138292357,0.277435946,-0.067810837,-0.6725643015,0,-0.213617171,-3.1398282865,-0.7414497615,2.4409260625,1.145455496,-2.017018753,0.7493561085,1.573857487,-0.209988015,0.418420568,0,0.1796236535,0.139690546,-5.213685026,-0.174201448,2.4168935005,-1.1064663215,0.2876709515,0.551743893,2.8144846465,1.846787346,-0.129865932,0.288828505,0,0.0349293465,0,-2.678576535,-0.714396202,-0.425039379,0.2693144275,0.078387093,0.376417805,1.73314275,-0.0325402175,0.152001144,0.261247499,-0.842000303,0.3341183755,-2.074076961,0.70190311,0,0.277082016,-1.237525725,-2.595877862,-0.090148566,0,-0.344389689,-0.222916598,1.8326904,0.5115748235,0.4913923375,-0.186090823,0.419799752,0.0931796545,0.879828001,-0.171776663,-0.538168582,0.040403793,-0.751574161,-0.587641273,0.0058818795,0.3901316125,1.270844378,0.242500956,0.4949262165,-2.596149801,1.590030843,-0.062608418,-0.488870082,-0.096644486,0.078824108,1.2093380245,1.284591263,-1.0499717665,-0.6853078945,-0.65535916,0.055319583,-1.054569757,0,0.186090823,0.765067999,0.307675727,0.8378675785,0.6224933415,2.4293032965,-0.595721307,0.375784779,-0.415869955,0.700814261,0.16251593,2.801374284,-1.510759646,-0.544293799,1.0870885595,0,1.4055920425,-0.693367513,0,0.186090823,-3.5666761805,0.245031362,-0.31776424,2.0979317895,0.614305308,0.566346847,0.55584895,-1.923043999,-0.629505538,0.22432764,0,0,0,0,-0.129484498,-0.2374743445,-0.0975377645,1.245604993,1.140229064,0.1994683555,2.672304435,-0.125216836,0.8457751095,-1.270275553,0,-0.0191506715,0.737912993,0.5416073435,0.305358232,-3.603595997,-0.590488791,0.171776663,0.6250178705,-0.813734763,-0.6192377955,2.4209316195,-0.0191506715,-1.566793429,0,-0.3559199105,2.318242592,0.1980955515,0.9507639755,0.0257158300000001
