"UID","X14.3.3.Beta","X14.3.3.EPSILON","X14.3.3.Zeta","X4EBP1","X4EBP1_pS65","X4EBP1_PT37_T46","X4EBP1_PT70","ACC1","ACVRL1","ADAR1","Akt","Akt_pS473","Akt_pT308","ALPHACATENIN","AMPKALPHA","Annexin1","Annexin.VII","AR","ARAF_PS299","ASNS","ATM","Bad_pS112","Bak","Bax","Bcl2","Bcl.xL","Beclin","BETACATENIN","Bid","B.Raf","B.Raf_pS445","BRCA2","Caspase.8","Caveolin.1","CD20","CD31","CD49b","CDK1","Chk1","CHK1_PS345","Chk2","Chk2_pT68","CIAP","c.Jun_pS73","c.Kit","Claudin.7","CMET","CMET_PY1235","c.Myc","Collagen.VI","C.Raf_pS338","Cyclin.B1","Cyclin.D1","Cyclin.E1","CYCLINE2","DJ1","E.Cadherin","eEF2","eEF2K","EGFR","EGFR_pY1173","eIF4E","eIF4G","ERALPHA","ERALPHA_PS118","ERCC1","ERK2","Ets.1","FASN","Fibronectin","FoxM1","FOXO3a_pS318_S321","FRA1","G6PD","Gab2","GAPDH","GATA3","GSK3_PS9","HER2","HER2_pY1248","HER3","HER3_pY1289","Heregulin","HSP70","IGFBP2","INPP4b","IRS1","Jak2","JNK_pT183_Y185","JNK2","KU80","Lck","MAPK_pT202_Y204","MDM2_pS166","MEK1","MEK1_pS217_S221","MIG6","Mre11","MSH2","MSH6","mTOR","Myosin.IIa_pS1943","N.Cadherin","NDRG1_pT346","NF2","NF.kB.p65_pS536","Notch1","N.Ras","p21","p27","P27_PT157","p27_pT198","p38.MAPK","p53","P62LCKLIGAND","P70S6K","p70.S6K_pT389","P90RSK","P90RSK_PT359_S363","p90RSK_pT573","PAI.1","PARP_CLEAVED","Paxillin","P.Cadherin","PCNA","Pdcd4","PDK1","PDK1_pS241","PEA.15","PEA.15_pS116","PI3K_P110_ALPHA","PKCALPHA","PKCALPHA_PS657","PKC.delta_pS664","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","Rad51","Raptor","Rb","Rb_pS807_S811","RBM15","Rictor","Rictor_pT1135","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2","SF2","Shc_pY317","SHP.2_pY542","Smac","Smad1","Smad3","Smad4","Snail","Src","SRC_PY416","Src_pY527","Stat3","Stat3_pY705","STAT5ALPHA","STATHMIN","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1","TTF1","VAV1","VEGFR.2","XBP.1","XRCC1","YAP","YAP_pS127","YB1","YB1_pS102","DVL3","FoxO3a","mTOR_pS2448","X53BP1","PI3K.p85","Porin"
"set106_713",-0.151129527,0.047512426,-1.316056986,-0.113321569,-1.9209766665,-1.2456328085,-1.0221439895,1.8110234555,-0.484028675,0.076477255,1.305759393,-3.94857536,-3.765531473,-0.919660662,-0.141100817,0.768339724,-0.622323908,-0.365680186,0.9898814905,0,-1.427213906,0,-0.46255902,-1.752268998,-1.9004384515,-0.605090764,0.221696758,0.198444933,1.02504769,-0.379837506,-1.396660167,-0.2376193965,0,0.836386817,-2.628154199,0,0.1966240515,-1.17407442,-2.126170565,-1.558209811,-0.630032451,0.622385783,0.342125046,0.00320490649999999,0.077046742,1.033746213,2.883176549,0.473545826,-1.02325127,0.47267517,1.98421986,-0.7084925425,-3.4936843725,1.1883035115,1.4673493915,0,-0.6873470925,-0.169158671,0.170078866,0.57391719,-1.754946148,-0.4515038155,-0.553315675,-1.551562164,-0.729029604,-0.109458227,-0.18092455,-0.5058598205,0,-0.6690657695,0,1.1561454745,-1.0366675,0.181835656,-0.4675673805,-2.5994910705,-0.078447303,-2.9622021915,-0.2842165,-2.2142492675,0,-0.122871177,0.494571347,-0.7115854555,0.204192189,0.248214009,0.9082203345,-0.841325047,-0.554209167,0.2251904775,0.816035543,0.4637420505,-2.503335975,-0.2137474785,-0.580044942,-1.702817829,0.805800774,0.979408891,-1.0927281815,-0.52697125,0.010529606,0.18309012,-1.173516249,0.131718639,-1.056303375,2.7778850875,-0.012930754,-2.0987028615,-0.9028059525,-1.156236028,0.1794877885,0.3043928015,0.1680202215,0.425898825,-0.4093269435,-0.146671768,-0.960269411,0.571166224,0.1333588965,0.1181802015,0.7844227985,-0.385910579,0.743825106,-2.121939595,-0.4876602035,-0.265413394,-1.803144001,0.502369802,-0.455221478,-0.2758801125,0.325194997,-0.210083743,-1.337170281,1.145177232,-0.388743631,-0.8325988835,-0.597467302,0.191902923,-0.68480642,0.182931007,0.612870492,1.8713464085,0,2.030808003,0.695568577,-0.401961127,0.141612532,-0.9659041345,0.4471015705,-0.2450916215,-0.660909559,-2.4514525855,-2.0408993625,1.190013624,0,0,0,0,1.796044339,0.00806262950000003,1.25042905,1.2462433655,1.0205615535,-0.766022008,-2.409693423,-0.721958403,1.5662146115,-0.054647095,0,-0.013619584,-1.074950694,0.227423884,0.141438433,0.786851653,1.643139623,1.616197948,-0.428730777,1.784238488,-1.169816182,-0.8156745425,0,1.1195211305,0.38343389,-0.196779882,-2.1724219605,-1.946886377,-0.3993028445,-1.373356544
"set128_584",-0.162754598,0.171654687,-0.963124919,0.1822935295,-0.5262099705,-0.4346339865,-0.4346339865,-1.2391038935,-0.553448627,0,0.5635186175,-1.46180327,-1.503813526,-0.123131155,-0.1414069865,1.0979855415,0.3108120245,-0.365298885,0.3263780715,0,-0.1059407645,0,0.028386408,-1.463140929,-1.151654598,-1.310693074,0.073108607,-0.041118792,0.3704175795,-0.481300463,-0.1623462625,0.574647358,0,0.6366760555,-1.418348121,0,0.0181245765,0.2582079115,-0.0269105610000001,-0.382144466,-0.3704175795,0.047118892,0.332520439,-0.1682594385,-0.111492688,0.768835976,0.625203537,-0.842831044,-1.2455618285,-0.114709142,-0.5010904095,-0.1216670665,-1.1540180105,-0.3009301265,-0.1475191255,0,-0.105826552,0,0.234297487,-0.0157396125,-0.8716480335,-0.1170254715,-0.7885838345,-0.4095989235,-0.484485807,0.254119793,0.045918617,-0.758186698,0,-0.7631395675,0,0.4696909675,-0.5637461155,-0.150295693,-0.616050021,-0.0751285325000002,-0.294809332,-1.010761489,-0.1715515705,-0.4871691825,0,-0.321524825,0.0758629205,-1.0279292185,-0.049766631,0.474669119,-0.334447173,-0.6748365465,-0.602612849,0.0341161225,-0.319759386,0.3787786475,-1.107480181,0.094085984,-0.00991200800000003,0.0011677759999999,0.1753178065,-0.068172233,0.583323208,-0.213110261,0.215860337,0,-0.368322869,-0.116442498,-0.0189075910000001,2.3434603225,-0.070360248,-1.8148016765,-1.1105421375,-0.586295467,0.164555146,0.294058779,0.1713449725,-0.271677149,-0.5215375555,0.332417219,-0.5079816965,0.1773819,-0.178633934,-0.296515738,-0.138950956,0.413084673,0.5322782165,-0.383808923,-0.791785212,0.048978287,-0.395342076,-0.209805358,-0.293184182,-0.058515281,0.259274075,-0.275146171,-0.795991413,0.487155217,-0.1829845975,-0.6174012975,0,0.163611142,-0.3704175795,-0.101396195,0.152190749,-0.1319104765,0,-0.9186931525,-0.0404400355000001,-0.093787079,-0.018802523,-0.4849696765,0.242233209,-0.287260684,-0.295064762,-0.4200562235,0.0642451334999999,0.519697148,0,0,0,0,-0.746406433,-0.2543176405,0.900933963,-0.0349237445,-0.00481732649999989,-0.7953057965,-1.0435697965,-0.611354437,0.4982022225,0.357207288,0,-0.273569466,-0.3664512265,0.096863677,-0.083688265,0.163330333,0.502876441,-0.541049453,-0.0954481295,1.0290123775,0.2171344485,-0.399540158,0,0.411723661,-0.014998177,0.104236072,-0.89243741,-0.5533421925,-0.425040169,-0.464322657
"set128_602",0.002901766,-0.043968522,0.1749909445,-0.022911385,0.0177263774999999,0.1847113055,0.1847113055,-1.239844392,0.455482412,0,0.3017413715,-0.5764427115,-0.4462107035,0.213584665,-0.142203535,0.2740449045,0.3623088075,-0.411698986,0.1619260205,0,-0.0414776360000001,0,-0.27856009,0.168565943,-0.8794191335,-0.2964069065,-0.159828989,-0.009009189,0.1058479955,-0.0316461235,0.00707984649999999,-0.239031272,0,0.5356387455,-0.719375885,0,-0.146438209,-0.2852903905,0.0320151839999998,-0.0280856700000001,-0.1058479955,-0.097946462,-0.23122621,0.137651397,-0.226919787,0.293735429,0.3974344965,-0.373384158,0.5093770505,-0.157280547,-0.974021377,-0.4296916955,-1.0485572665,0.0734967835000001,0.1047873045,0,-0.4168262065,0,0.0155895890000001,0.1156435855,-0.1437898495,-0.029148313,-0.0467760774999999,-0.584836996,0.0683399344999999,0.126671611,0.19206158,-0.660353147,0,-0.37209928,0,-0.355940725,-0.4661150205,-0.080830581,-0.403373311,-0.4674578855,0.0209407265,-0.2679721925,-0.116339464,-0.5166428635,0,0.025799129,-0.1786100025,-0.6111762185,0.230312026,0.005888114,-0.508856808,-0.176125533,-0.424294655,-0.226868126,-0.170539028,0.292452519,-0.020244601,0.0822078959999998,-0.015059132,-0.0986240465,-0.0884791115,-0.07640717,-0.0903760750000001,-0.039942946,0.165642843,0,-0.270454821,-0.092755983,-0.126434556,-0.0766518815000001,0.184365095,-1.889238512,-0.468920993,-0.4387026105,-0.725471268,0.339545736,0.218281168,0.2903794025,-0.439588899,-0.02556307,0.1579526285,-0.114519688,0.090795257,0.018296093,-0.2480945155,0.00199579400000005,0.2565760835,-0.286925876,-0.264046985,-0.065811566,-0.242832107,-0.370920681,0.244008247,-0.140109328,0.200801272,-0.316689999,-0.4099690975,-0.0463310850000001,-0.252446345,-0.0213758965000001,0,0.17647435,-0.1058479955,-0.046332386,-0.151175436,0.3035766865,0,0.1451030915,0.3395413865,-0.245573137,-0.037226847,0.125261466,-0.0778122234999999,-0.0692297405,-0.360249525,-0.315794198,-0.2216407885,0.436642892,0,0,0,0,-0.841098934,-0.085519716,0.00801447300000002,-0.4491073125,-0.8006240805,-0.600092552,-0.3893093795,-0.547892112,0.909489153,-0.04425915,0,0.540068625,-0.0822205545,-0.035599072,-0.089136496,0.192320595,0.363459935,-0.7689495,-0.098810602,0.533305139,0.259430895,-0.166890232,0,-0.296378226,0.062515492,-0.356171353,-0.205923337,-0.294213433,-0.3621653425,-0.271793025
"set128_581",-0.313860405,0.151708307,-0.8563749295,0.096837189,-0.3397372545,-0.1968701285,-0.1968701285,-1.1433335725,-0.548763409,0,0.4417749735,-0.8263859595,-0.7851710625,-0.069699529,0.050679981,1.0489009385,0.4493446095,-0.199073904,0.183444073,0,-0.0806891375,0,0.022315765,-1.2450512935,-1.00130032,-0.6683402415,-0.030914518,0.00920406300000001,0.3291198665,-0.554237263,-0.126350513,0.771753267,0,0.5576828745,-1.320602102,0,-0.120023455,0.513584087,0.020403867,-0.145469013,-0.3291198665,0.208256414,0.10125847,0.0152612465,-0.447180006,0.353794701,0.161185546,-1.196264267,-0.793087438,-0.201437287,-0.648038411,0.0973516689999999,-0.440246517,-0.420256044,-0.424024118,0,-0.0748196855,0,-0.02310051,-0.1297108125,-0.558353928,0.125591402,-0.335846076,-0.0933273939999999,0.1187890065,0.303435668,0.022156041,-0.409511596,0,-0.645498867,0,0.3334514475,-0.4659519555,-0.10192413,-0.25741084,0.0817650709999999,-0.108167434,-0.600044592,-0.066366424,-0.274718918,0,-0.251155678,-0.257857546,-0.5687705925,0.124967271,0.438293171,0.176229167,-0.319419152,-0.522549277,0.14638512,-0.0929136860000001,0.171369407,-0.592413022,0.1680883905,-0.264809017,0.2769592785,0.1505543925,-0.199301734,0.8045118535,-0.065264781,0.156834831,0,-0.295227677,0.025570096,0.027606442,2.080370973,-0.065968998,-1.3764436855,-0.1375698175,-0.280552463,-0.157923623,0.544405355,0.312035024,-0.2327825305,-0.303461104,0.127545818,-0.218161098,0.0851155389999999,-0.059145025,0.039051976,0.101067489,0.450910376,0.4794411575,-0.173431823,-0.8520716755,-0.0076825955,-0.122796504,-0.097391425,-0.27864037,0.1763028865,0.210179551,-0.398836413,-0.812800747,0.110727401,0.152248659,-0.274285605,0,0.236096858,-0.3291198665,-0.019590994,0.131903186,-0.0545901719999999,0,-1.2983067425,0.0893771155000002,-0.120480778,-0.156767152,-0.406142039,0.4397273465,-0.2367468805,-0.106658697,-0.173727188,0.408431217,0.543493532,0,0,0,0,-0.178667908,-0.242668065,0.476833101,-0.0750823435,-0.1226823415,0.088286031,-0.6966126805,-0.293252546,0.0762636710000001,0.332034389,0,-0.107526573,-0.3856727365,-0.161862107,-0.013854294,0.156574151,0.016715755,-0.192875371,-0.031629975,0.6132138,0.337053037,-0.2191099925,0,-0.171648823,0.000291706999999974,0.1146288,-0.591018093,-0.340351306,-0.291751274,-0.38224371
"set128_580",-0.105160975,0.141534276,-0.1444990885,-0.021655663,-0.3147951495,-0.2094164575,-0.2094164575,-0.6690573915,-0.138295375,0,0.311437996,-0.93826081,-0.838998244,0.0759341739999999,0.006895463,0.420757552,0.309611069,-0.238376656,0.0499850474999999,0,-0.0605444165,0,-0.133875996,-0.430292534,-0.7037097925,-0.109408948,-0.187725621,-0.047413014,0.171811014,-0.0881936495,-0.1596211275,0.259468544,0,0.385062666,-1.218650602,0,0.110514024,0.3444136705,-0.0506307970000001,-0.0177443460000001,-0.171811014,0.278629576,0.038245433,-0.188934295,-0.625188484,0.352870281,-0.1613316825,-0.942135477,-0.8452724755,-0.04258597,-0.5783139375,-0.1364226775,-0.852631082,-0.2168302765,-0.2022545315,0,0.039934081,0,0.246511444,-0.133141078,-0.500663821,0.0265886765,0.1823956905,-0.2516037825,-0.0984118435000001,0.2346204075,-0.02107324,-0.549186609,0,-0.494071501,0,0.367474944,-0.5824826865,-0.005997811,-0.3422285205,0.0857979594999998,-0.0578235905,-0.387791268,0.09273581,-0.3121851955,0,-0.068735154,-0.641945016,-0.735232717,0.08907022,0.263052784,0.685757939,-0.377154307,-0.480537187,-0.042475364,-0.10134969,0.4038858905,-0.7347149075,0.201456432,-0.048017373,0.0157178775000001,0.066933289,-0.075866248,0.4974981495,0.00652936300000001,0.2070841095,0,-0.261274761,-0.106045824,0.029554361,0.6498514255,-0.012878174,-1.62111105,0.9392720155,-0.6883328555,-0.2044220185,0.3928413135,0.235239655,0.0913977535,-0.3578241005,-0.104801119,-0.4123314275,-0.060318709,-0.2971338705,-0.3195338825,0.540740331,0.4451745955,0.306720943,-0.132274576,-0.6373964965,-0.2112749065,-0.157238732,-0.341856251,0.092480907,0.01018055,0.148123846,-0.267635571,-0.5605426415,-0.0207407895,0.038338665,-0.202235796,0,0.152401102,-0.171811014,-0.081731015,-0.023207238,-0.1196816885,0,-0.915942211,0.3097281065,-0.322345297,-0.15310549,-0.182675202,-0.0600115824999999,-0.1265816865,-0.120202292,-0.254367284,0.1745313075,0.463903686,0,0,0,0,0.903436914,-0.198207625,0.435412596,-0.2108943145,-0.4827590495,-0.224826934,-0.7102348085,-0.301479982,-0.158188581,0.084809367,0,-0.189352419,0.00597639400000002,-0.202819363,-0.076049884,0.213257978,0.1594092585,-0.8443404335,-0.14998715,0.608251573,0.197178305,-0.0243467020000001,0,-0.0380645299999999,0.138994489,-0.3759795715,-0.5079179115,-0.295271205,-0.2151745505,-0.278318287
"set128_583",-0.120454839,0.191970529,-1.0181175495,-0.906393514,-0.542317189,-0.249701335,-0.249701335,-6.1129588305,-0.490789356,0,0.688244655,-2.51600235,-2.202953133,-0.00296207599999998,-0.166614482,1.142800897,0.296763888,1.631716366,0.514914074,0,-0.0642990160000001,0,0.077880717,-1.6058440925,-1.1149533025,-2.669062273,-0.105143228,0.051264933,0.447632898,-0.574540421,-0.0907382769999999,0.5522849475,0,0.473339067,-1.41654768,0,0.1522147165,0.1681088955,-0.0288111210000002,-0.3301446105,-0.447632898,-0.591531934,0.421243879,-0.223999317,-0.157444435,0.756712888,0.7751856685,-2.407420774,3.490264383,-0.240839705,-0.4927445125,-0.0450198225000001,-1.4983479675,-0.149199122,-0.006888265,0,-0.4035994205,0,0.000332357000000005,0.019410771,-0.9872223765,-1.0684760435,-1.141498476,-0.701869383,-0.456749719,0.2968522005,-0.022417907,-0.7666744805,0,-0.7795906935,0,0.5921295875,-0.5219744365,-0.257839157,-0.603592638,0.071128181,-0.554553426,-1.1020480875,-0.297749268,-0.677785294,0,-0.370689711,-0.2396163865,-1.0648117735,-0.028405372,0.374014368,-5.2207908975,-1.732118845,-1.791263311,0.1949925415,-0.398916256,0.336102467,-1.5728555185,-0.091204585,-0.125772019,0.1019826005,0.259312394,-0.115762951,0.357177305,-0.195253349,0.2350055035,0,-0.437771963,-0.20109575,-0.138388849,2.6879710445,-0.083333237,-1.87849049,-7.08824324,-0.53052433,0.216651123,0.340010631,0.4627750355,-0.2851487205,-0.478666023,0.115756615,-0.561127171,-0.249460232,-0.237106819,-0.343133233,-4.8836520755,1.0596080595,-0.421228239,-0.342136836,-0.630209376,-0.018494093,-0.404982163,-0.3577606035,-0.642232136,-0.2579810885,0.179938877,-0.278609514,-0.9187424985,0.0840375619999999,-0.27262039,-0.72050143,0,0.338693647,-0.447632898,-0.143873894,0.25073981,0.024156921,0,-0.760372632,0.314064138,-0.297055388,-0.081975631,-0.534373427,0.248174956,-0.446555951,-0.320373404,-0.4668866855,-0.14675804,1.588867145,0,0,0,0,-10.419045649,-0.2570782475,0.610730043,-1.117592926,-0.851041608,-0.958301497,-1.8718040745,-0.487321039,1.5951232035,0.324377734,0,-0.430874184,-0.281101443,-0.23875883,-0.051894763,0.275249524,0.4154624605,-0.8555488755,0.946513133,0.89085424,-0.862269586,-0.5206723755,0,0.391523707,-0.158774853,-0.0281947045,-0.744730743,-1.59381957,-0.321608778,-0.4768689
"set128_605",-0.206435043,0.240673661,-0.998834518,0.131390162,-0.3922551905,-0.2120976715,-0.2120976715,-1.9591842745,-0.234404624,0,0.9105508995,-1.7038668215,-1.8719999125,-0.187961979,-0.125671463,1.3015448615,0.6014418125,-0.56166165,0.5957403915,0,-0.232488997,0,-0.088785484,-1.3047667825,-1.1426606595,-0.777353868,-0.006032924,-0.129102529,0.4627736355,-1.126974413,-0.139845398,0.3086697595,0,0.4069111975,-0.818224835,0,-0.2630241655,-0.5059912625,-0.218839987,-0.637537357,-0.4627736355,-0.228221399,0.059437827,0.072728602,0.025805592,0.553106099,1.323191578,-1.2064096055,1.010246679,-0.306878562,-0.579457469,0.3253581365,-1.7768448865,0.401527848,0.409411076,0,-0.3414623865,0,-0.073359816,0.2195472875,-1.068862311,0.385210546,-0.596433,-0.8380236455,-0.276450085,0.197159353,0.236655662,-0.7745654215,0,-0.5884699585,0,-0.356638238,-0.6808030285,0.031601394,-0.4719064665,-0.738505528,-0.291590981,-1.242982311,-0.28448615,-0.71918166,0,-0.201172993,0.237217657,-1.488329668,0.319507517,0.435813515,-1.975870199,-0.0630383090000002,-1.272517072,0.1464268045,-0.206029248,0.3870197705,-0.883524001,-0.322720935,-0.252463339,-0.2545754625,0.3173752785,-0.332714155,0.0170459514999999,-0.354236776,0.170400605,0,-0.477597846,-0.155100346,-0.277240917,1.9189360245,-0.170309464,-1.451273915,-3.4735329065,-0.1409365455,0.2070938015,0.2061282065,0.5188011135,0.0784265430000001,-0.5173350235,0.035056232,-0.2947236025,0.112805474,0.0305623445,-0.0613798605,-1.4093802205,0.489205441,0.6567746675,-0.872286343,-0.2716309535,0.3908072795,-0.481669581,-0.5120916365,-0.251116623,-0.5713712865,0.373851654,-0.548822569,-0.4760976795,0.241487603,-0.299331049,-0.325137486,0,0.294162436,-0.4627736355,-0.098754241,-0.062138446,0.720235619,0,0.3340336365,0.4690901775,-0.010836298,-0.016487839,-0.787285566,0.493385969,-0.16189078,-0.20854411,-0.7088252165,-0.615431757,1.2276188175,0,0,0,0,-3.872430634,-0.20389437,0.209088171,-0.8919365145,-0.4620883265,-0.556109154,-1.494805395,-0.693868837,1.098906075,0.517590227,0,0.29498684,-0.4021422765,0.065484503,0.016561993,0.107257571,0.732228932,-0.145968012,-0.311477354,1.164187939,0.139166158,-0.8062074955,0,0.0733556155000001,-0.184334014,0.027847173,-0.814004584,-0.637550916,-0.4778191345,-0.822614571
"set128_604",-0.061173482,0.173472254,-0.218115608,-0.023013239,-0.4811857395,-0.3122571635,-0.3122571635,-0.8071202415,-0.047643633,0,0.615217001,-1.149888324,-1.157935225,0.0782108289999999,-0.1803005385,0.537950162,0.283353982,-0.535248194,0.18886106,0,-0.0556088275,0,-0.202883445,-0.213330053,-1.0520395415,-0.250217409,-0.086012109,-0.056478847,0.209360397,-0.506744935,-0.2234124245,0.014420724,0,0.666768632,-0.705673763,0,-0.0158297825,-0.352951971,0.050976591,-0.4190712175,-0.209360397,0.103575231,0.047726348,-0.1867955525,-0.293804285,0.411546651,0.4586158225,-0.217446456,-0.161164293,-0.174774972,-0.6144810555,-0.3879883645,-1.3251867035,0.33043884,0.197747113,0,-0.3648294795,0,0.0496273110000001,-0.004041615,-0.77107508,0.253265528,0.016973745,-0.715171192,-0.518198208,0.190196527,0.084175368,-0.8303421565,0,-0.4935737885,0,0.252308607,-0.586715429,-0.10006409,-0.57574298,-0.529771009,-0.3500588475,-1.0697558075,-0.1865911245,-0.751755753,0,0.0409053915000001,-0.3066923295,-1.242000296,0.057072443,0.180037006,-0.4725188275,-0.460109388,-0.4724303665,-0.0239121425,-0.215607369,0.5489940105,-0.5591019785,-0.1050217265,0.0476520170000001,-0.1626121175,0.079692046,-0.055894594,-0.0886101600000002,-0.256545858,0.196741113,0,-0.388686712,-0.173697291,-0.193332049,0.610554358,-0.183265983,-2.278111985,-0.894248367,-0.590333889,0.029937052,0.218907574,-0.00126033450000002,0.222199887,-0.5128188285,-0.078695172,-0.484590191,0.105944447,-0.172116565,-0.378732221,-0.165453913,0.1172871375,0.356202279,-0.451928944,-0.248121557,-0.0738574635,-0.48556915,-0.3528161405,0.0699223329999999,-0.4290675785,0.148410409,-0.332514598,-0.457507044,0.343394872,-0.4218649685,-0.433664476,0,0.264055072,-0.209360397,-0.098465321,0.093187215,0.533280314,0,0.239536595,0.3973151645,-0.34968336,0.011897631,-0.555178419,0.0897821295000001,-0.1079016915,-0.471957239,-0.5104505975,-0.576451964,0.499091217,0,0,0,0,-0.630654922,-0.1812483845,0.132696453,-0.1823612345,-0.0862638114999999,-0.5528367205,-0.7311907525,-0.632155431,0.6900374625,0.125059185,0,0.172461524,-0.041742453,-0.424700682,-0.086002342,0.321138526,0.866437333,-1.257417453,-0.257286891,0.7824474005,0.0593665819999999,-0.4842017805,0,0.2300407995,-0.085290137,-0.329204301,-0.7426651,-0.506233587,-0.407515226,-0.740566112
"set128_585",-0.248999722,0.155648608,-1.1517253935,-0.011297778,0.235198273,0.321302108,0.321302108,-5.316846354,-0.500620668,0,0.6135019125,0.0127991900000002,0.663249123,0.587928957,0.022148162,1.0840921865,0.0964040004999999,-0.451869692,0.2964516095,0,0.0731760575,0,-0.029761542,-1.4347978095,-0.9033907545,-1.1722008975,-0.146860482,0.484781496,0.3005889255,-0.639557243,0.6064879505,0.7787345715,0,0.9371131775,-1.446614475,0,0.272843001,-0.2165540205,0.187445262,0.1648218325,-0.3005889255,-0.905601913,0.00499263700000002,0.082269688,0.304335015,0.902368959,1.1590685625,-1.671079288,4.4971008255,0.012931458,-2.3021542995,0.2380332375,-0.384615874,0.301513857,0.142525257,0,-0.57108394,0,0.047599128,0.3214594925,-0.826707044,0.3731482955,-0.6343940405,-0.858472198,0.2682221465,0.6543922785,0.147379789,-0.799235283,0,-0.072216798,0,-0.6801153545,-0.544536503,-0.546303801,-0.378022461,-0.0574012160000001,-0.990853987,-0.39102453,-0.5972840555,-0.642896159,0,-0.5292934395,0.0931162305,-0.833685667,0.327502374,0.336669823,-4.6288613215,-0.383222893,-1.288930162,0.155869911,-0.012957468,0.4299936005,-0.3468150525,-0.0900121745,-0.219820126,1.0683417915,0.3572671245,-0.453797641,0.2208226195,-0.241531009,0.2366012675,0,-0.292575206,-0.149069035,-0.00711592100000003,2.498571143,0.013612187,-1.591608175,-6.2167502555,0.294336553,-0.191629324,0.531213006,0.442312835,-0.5270387105,-0.5796863135,0.289603593,0.538378642,0.344400966,0.1322221085,0.1691834165,-4.116617811,0.619590294,0.5435760695,-0.420488157,-0.3940717935,0.2585023265,-0.174071227,-0.4294050965,-0.870548178,-0.1483279305,0.597108368,-0.690703792,-0.7385680625,0.6924027445,0.056252758,0.3763757785,0,0.232903134,-0.3005889255,-0.148824034,-0.178888743,-0.242141076,0,-0.1001347915,1.812634888,-0.203232591,-0.113351657,0.00957313499999995,1.055659578,0.265008323,0.029731394,-0.267653613,-0.332628942,0.864984565,0,0,0,0,-9.918499159,-0.2926398405,0.314199447,-1.272445396,-0.238045831,-0.3220167375,0.534296965,-0.686170092,0.4320106025,0.430640604,0,-0.114429832,-0.1296864525,0.05507,0.031864612,0.329658029,0.4082741245,-0.4334934405,-0.410242466,0.9039369265,0.322593675,-0.3927245925,0,-0.593902182,-0.451052749,-0.1484886095,0.20284667,-0.319663461,-0.532897783,-0.563664198
"set128_601",-0.118180916,0.03188206,0.0162351545,-0.119130005,-0.435752991,-0.219372737,-0.219372737,-0.51685413,0.243167582,0,0.43049124,-1.0152769275,-0.7163240345,-0.00694090199999997,-0.2528516065,0.375234698,0.521571259,-0.422004444,-0.0672997455,0,-0.0820654845000001,0,-0.267038298,-0.1680776525,-0.7560806165,-0.4634432275,-0.106665312,0.043073889,0.236511224,-0.0382396345,-0.263117422,-0.1427806005,0,0.809023023,-0.935449299,0,-0.364296148,-0.4405931075,-0.0416990040000002,-0.3989111685,-0.236511224,0.166755538,0.069968093,-0.2180678565,-0.221442711,0.197755766,0.4623400225,0.2330682735,-0.252520818,-0.037341764,-0.325427864,-0.9090714535,-1.5385072375,0.35117177,0.289420884,0,-0.2212985085,0,0.066043209,0.2414825055,-0.836469704,0.079977635,-0.258941902,-0.753546765,-0.632084308,0.299434406,0.003903983,-0.7529231505,0,-0.480118317,0,0.171478362,-0.429384899,-0.104626392,-0.6017669355,-0.68778695,-0.2645791875,-0.9085180285,-0.197280305,-0.774110037,0,-0.1214875615,-0.368011849,-0.8857967165,0.1181468,0.002190898,-0.2777013455,-0.2501434,-0.278671602,-0.352634414,-0.089532182,0.563613292,-0.8252874705,-0.1649280775,-0.153973547,0.00106493199999991,-0.00378488600000002,0.086908362,-0.0406344360000001,-0.059109967,0.21120726,0,-0.223755588,-0.189184904,-0.189537755,0.215185453,-0.036488295,-1.856529022,-0.476298434,-0.40142435,-0.152625789,-0.143181683,0.053974598,0.4814411455,-0.485920971,-0.25716888,-0.272011019,0.066492025,-0.1501614095,-0.3598396375,0.2145984295,0.00282710799999999,0.3917185265,-0.314780198,-0.277436826,-0.02816038,-0.243431654,-0.2492689085,0.197161052,-0.5117860485,0.101972463,-0.148229026,-0.557016266,0.6076719485,-0.3644414455,-0.2230454915,0,0.138628055,-0.236511224,0.096663888,-0.016117367,0.489933133,0,0.389773306,0.0458565569999998,-0.156817079,-0.094509003,-0.3246121395,0.201307687,0.265492859,-0.552109711,-0.34386019,-0.589706989,0.093872402,0,0,0,0,-0.0912886159999999,0.0842223215,0.0523742320000001,0.081975961,0.082091053,-0.7084215505,-0.407859374,-0.549427422,1.2430784875,-0.129731448,0,0.293172608,-0.215645359,-0.19749605,0.118702302,0.244812731,0.51876869,-0.873289646,-0.213861118,0.6922833935,0.0603065689999999,-0.1659101005,0,0.152555184,0.125981586,-0.38091849,-0.2801277865,-0.447083648,-0.4238913335,-0.399757613
